,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,341981731129224,0.023422,10.046051,1.208252,4.49878,0.16489,9.061846,-0.005295,-0.012192,0.008926,-0.000702,0.010369,-0.01218,0.170567,0.155629,0.647622,0.726134,0.005659,-0.005892
1,341981736073072,0.006668,10.031082,1.209457,4.507576,0.167861,9.040953,0.002167,-0.013245,0.012115,-0.007825,0.013302,-0.009419,0.170582,0.155654,0.647598,0.726147,0.005774,-0.005786
2,341981741016919,0.027618,9.995773,1.154984,4.473286,0.11614,9.012572,3.1e-05,-0.013245,0.008926,-0.005934,0.010233,-0.010733,0.170595,0.155683,0.647585,0.72615,0.005892,-0.005677
3,341981745960767,0.007263,9.987991,1.153793,4.488561,0.116622,8.996135,0.002167,-0.014313,0.008926,-0.008323,0.010244,-0.010725,0.170614,0.155709,0.647577,0.726147,0.006012,-0.005565
4,341981750904615,0.030609,9.985001,1.10112,4.466662,0.063752,8.997691,0.002167,-0.013245,0.007858,-0.007849,0.009073,-0.009897,0.170624,0.155742,0.647583,0.726132,0.006136,-0.00545
5,341981755848462,0.043182,9.986191,1.071198,4.45645,0.033613,9.000684,-0.001022,-0.014313,0.00679,-0.005486,0.008268,-0.012391,0.170634,0.15578,0.647592,0.726114,0.006259,-0.005337
6,341981760792310,0.009064,9.985001,1.137634,4.48728,0.101215,8.991585,-0.003159,-0.013245,0.004669,-0.003109,0.006149,-0.012638,0.17066,0.155796,0.647581,0.726114,0.006396,-0.005213
7,341981765705640,0.020432,9.980209,1.134644,4.475469,0.097961,8.991835,-0.005295,-0.012192,0.004669,-0.000729,0.00614,-0.012659,0.170682,0.155813,0.647566,0.726119,0.006529,-0.005095
8,341981770649488,0.05455,9.970627,1.117279,4.440626,0.079915,8.996619,-0.004227,-0.006851,0.004669,0.000719,0.00554,-0.007443,0.170673,0.155823,0.64756,0.726124,0.006663,-0.004978
9,341981775593335,0.064728,9.971832,1.080765,4.431907,0.043118,8.998121,-0.005295,-0.005798,0.000397,0.002124,0.001236,-0.007468,0.170667,0.15583,0.647565,0.72612,0.006802,-0.004859
10,341981780537183,0.046768,9.966446,1.080765,4.445887,0.044457,8.985117,-0.01062,-0.007919,-0.000656,0.005921,0.000653,-0.011851,0.170684,0.155841,0.647558,0.726119,0.006939,-0.00474
11,341981785450513,0.021027,10.008347,1.052032,4.487838,0.013044,9.007412,-0.011688,-0.006851,-0.002792,0.007343,-0.00153,-0.011622,0.170707,0.15584,0.647563,0.72611,0.007079,-0.004618
12,341981790394361,0.024628,10.017914,1.113693,4.489624,0.072882,9.024264,-0.013809,-0.008987,-0.001724,0.008282,-0.00015,-0.014346,0.170736,0.155841,0.647544,0.726119,0.007217,-0.004495
13,341981795338208,0.006073,10.018509,1.130447,4.50686,0.089877,9.018241,-0.015945,-0.007919,-0.001724,0.01067,-0.00016,-0.014355,0.17077,0.155832,0.647519,0.726136,0.007353,-0.004368
14,341981800282056,0.021637,10.028687,1.088547,4.497596,0.046355,9.02936,-0.013809,-0.006851,-0.000656,0.009247,0.000693,-0.012331,0.170792,0.155832,0.647508,0.72614,0.007489,-0.004238
15,341981805225904,0.037796,10.013123,1.047852,4.476297,0.006864,9.018026,-0.015945,-0.007919,-0.002792,0.010663,-0.00122,-0.014476,0.170814,0.155837,0.647506,0.726136,0.007623,-0.004102
16,341981810169751,0.021027,10.014923,0.968842,4.491895,-0.070561,9.003106,-0.021271,-0.00473,-0.00386,0.016849,-0.002363,-0.014151,0.170835,0.155834,0.64752,0.72612,0.007753,-0.003962
17,341981815113599,0.039597,9.998169,0.978409,4.467884,-0.060007,8.997592,-0.025528,-0.001526,-0.00386,0.022092,-0.002496,-0.013215,0.170847,0.155828,0.647523,0.726115,0.007861,-0.003847
18,341981820057447,0.080292,10.016724,1.066406,4.440538,0.022671,9.042099,-0.034058,-0.003662,-0.005981,0.028738,-0.003986,-0.019167,0.170865,0.155825,0.647482,0.726148,0.007961,-0.003728
19,341981824970777,0.061737,10.015518,1.086151,4.456943,0.042169,9.03483,-0.036179,-0.005798,-0.00705,0.029665,-0.004726,-0.022134,0.170894,0.155817,0.647433,0.726187,0.008053,-0.003607
20,341981829945142,0.019241,10.055618,1.136429,4.513309,0.088611,9.057007,-0.038315,-0.003662,-0.008118,0.032528,-0.005902,-0.021318,0.170937,0.155785,0.64737,0.726239,0.008143,-0.003482
21,341981834858472,-0.023849,10.04007,1.216644,4.545165,0.170166,9.033062,-0.037247,-0.001526,-0.005981,0.032546,-0.004042,-0.018704,0.170988,0.155735,0.64729,0.726309,0.008231,-0.003356
22,341981839771802,0.006668,10.044846,1.277695,4.520318,0.226737,9.057969,-0.03299,-0.000473,-0.004929,0.029224,-0.003299,-0.015746,0.171029,0.155692,0.647198,0.726391,0.008317,-0.003227
23,341981844746167,0.011459,10.062805,1.328568,4.524283,0.272961,9.081946,-0.02446,0.000595,-0.001724,0.022103,-0.000623,-0.010616,0.171061,0.155654,0.647106,0.726474,0.008399,-0.003099
24,341981849690015,0.030014,10.051437,1.324371,4.502506,0.267187,9.079776,-0.015945,0.000595,-0.000656,0.014504,3.9e-05,-0.006683,0.171082,0.155627,0.647028,0.726544,0.008475,-0.002974
25,341981854633863,-0.004105,10.021515,1.252548,4.519094,0.199731,9.029814,-0.007416,0.001663,-0.000656,0.007368,-0.000474,-0.001919,0.171106,0.155599,0.64699,0.726578,0.008548,-0.002847
26,341981859577710,0.022232,10.034073,1.202866,4.500962,0.147326,9.04708,-0.004227,0.002731,0.001465,0.005011,0.001371,0.000698,0.171115,0.155588,0.646969,0.726597,0.00862,-0.002719
27,341981864521558,0.07132,10.055618,1.157974,4.46662,0.098017,9.083019,-0.00209,0.00592,-0.000656,0.004527,-0.00117,0.00424,0.171111,0.155592,0.646965,0.726601,0.008688,-0.002594
28,341981869434888,0.05455,10.013733,1.11908,4.462555,0.064901,9.033911,0.001099,0.00592,-0.002792,0.001669,-0.003443,0.005423,0.171112,0.155591,0.646978,0.726589,0.008752,-0.002477
29,341981874348218,0.022827,10.023895,1.12326,4.495427,0.069752,9.029229,-0.003159,0.004868,-0.002792,0.004999,-0.003132,0.002584,0.171123,0.155578,0.646985,0.726583,0.008816,-0.00236
30,341981879292066,0.029419,10.046646,1.144806,4.499835,0.088463,9.054846,-0.005295,0.004868,-0.002792,0.006906,-0.00303,0.001629,0.171134,0.155565,0.646982,0.726586,0.008884,-0.002242
31,341981884235913,0.031204,10.049637,1.187912,4.499738,0.130779,9.063252,-0.001022,0.006989,-0.00386,0.00404,-0.004515,0.0053,0.171148,0.155549,0.646974,0.726593,0.008952,-0.002124
32,341981889179761,0.024628,10.038269,1.194489,4.500475,0.138849,9.051006,0.003235,0.006989,-0.00386,0.000238,-0.004717,0.007205,0.171162,0.155533,0.646972,0.726595,0.009023,-0.001998
33,341981894123609,0.028809,10.019714,1.127457,4.488036,0.074445,9.02877,0.002167,0.008057,-0.00386,0.001673,-0.004777,0.007674,0.171171,0.155522,0.646987,0.726582,0.009099,-0.001855
34,341981899036939,0.063538,10.00415,1.095734,4.449894,0.043576,9.026869,0.005371,0.006989,-0.002792,-0.001664,-0.003757,0.008283,0.171167,0.155528,0.647014,0.726558,0.009181,-0.00169
35,341981903980786,0.064133,10.030487,1.116684,4.461315,0.062096,9.052885,0.004303,0.008057,-0.002792,-0.00023,-0.003817,0.008753,0.171164,0.155532,0.647033,0.726541,0.009268,-0.001504
36,341981908924634,0.055756,10.028091,1.111298,4.467684,0.057746,9.046392,3.1e-05,0.00592,-0.002792,0.002624,-0.003391,0.004946,0.171164,0.155532,0.647046,0.726529,0.009381,-0.001258
37,341981913868482,0.006668,10.052032,1.093933,4.522159,0.040915,9.043697,-0.00209,0.00592,-0.001724,0.004523,-0.002229,0.004119,0.171175,0.155519,0.647065,0.726512,0.009498,-0.001
38,341981918781812,0.022827,10.02211,1.108902,4.494302,0.05841,9.02611,-0.003159,0.003799,-0.000656,0.004528,-0.000897,0.001881,0.171181,0.155512,0.647074,0.726504,0.009619,-0.000729
39,341981923756177,0.045578,10.019119,1.129852,4.472729,0.078489,9.036031,-0.003159,0.002731,-0.000656,0.004047,-0.000786,0.000934,0.171182,0.155511,0.647075,0.726503,0.009746,-0.000445
40,341981928700025,0.018036,10.033478,1.12027,4.503719,0.068879,9.035354,-0.005295,0.003799,0.001465,0.006445,0.001312,0.001167,0.171187,0.155505,0.647077,0.726501,0.009879,-0.000154
41,341981933643872,0.044373,9.995178,1.091537,4.462856,0.043137,9.009889,-0.007416,0.003799,0.001465,0.008339,0.001413,0.000218,0.171185,0.155508,0.647081,0.726498,0.009985,-0.000101
42,341981938587720,0.064728,10.018509,1.058624,4.455069,0.007236,9.035916,-0.008484,0.003799,0.002533,0.009297,0.002524,-0.000138,0.171174,0.155521,0.647091,0.726489,0.010101,-4.9e-05
43,341981943531568,0.027023,9.999954,1.127457,4.480548,0.078949,9.010513,-0.013809,0.002731,0.000397,0.013562,0.000766,-0.003712,0.171177,0.155507,0.647075,0.726505,0.010223,-2e-06
44,341981948475415,0.03241,10.020905,1.196289,4.485445,0.144142,9.039395,-0.01062,0.004868,0.000397,0.011676,0.000393,-0.000389,0.171187,0.155495,0.647044,0.726533,0.010353,4.5e-05
45,341981953419263,0.0354,10.026901,1.22142,4.485582,0.167557,9.048944,-0.006348,0.006989,0.002533,0.008825,0.00209,0.003648,0.171193,0.155488,0.647013,0.726561,0.010489,9.1e-05
46,341981958332593,0.056946,9.9814,1.226807,4.445887,0.175884,9.018849,-0.003159,0.008057,0.000397,0.006448,-0.000295,0.005778,0.171197,0.155483,0.646983,0.726587,0.010631,0.000141
47,341981963276441,0.023422,10.00116,1.149597,4.484357,0.098751,9.012555,-0.001022,0.008057,0.001465,0.004545,0.000664,0.006857,0.171201,0.155478,0.646984,0.726587,0.010778,0.000193
48,341981968220288,0.056946,9.967041,1.127457,4.438981,0.078755,8.994739,-0.00209,0.009125,0.000397,0.005974,-0.000457,0.007204,0.171199,0.155481,0.646985,0.726585,0.010933,0.000252
49,341981973164136,0.052765,10.013123,1.149002,4.463536,0.095617,9.03623,0.001099,0.008057,-0.000656,0.002641,-0.001543,0.007563,0.171198,0.155481,0.646989,0.726583,0.011091,0.000314
50,341981978077466,0.051559,10.016113,1.172943,4.466074,0.119122,9.041071,0.002167,0.010193,-0.000656,0.002648,-0.001817,0.009935,0.1712,0.15548,0.646987,0.726584,0.011255,0.000381
51,341981983021314,0.012054,10.032288,1.144806,4.508457,0.091675,9.034538,0.001099,0.011246,-0.000656,0.004076,-0.001875,0.010391,0.17121,0.155468,0.646996,0.726576,0.011422,0.000451
52,341981987934644,0.002472,10.061005,1.106506,4.529712,0.051745,9.051352,0.002167,0.010193,0.000397,0.002653,-0.00077,0.010056,0.171218,0.155458,0.647018,0.726556,0.011594,0.000524
53,341981992909009,0.065323,10.033478,1.087952,4.461148,0.033569,9.052927,-0.001022,0.009125,0.000397,0.00502,-0.000507,0.007682,0.17121,0.155468,0.647035,0.726541,0.01177,0.000601
54,341981997852857,0.07251,10.051437,1.092133,4.462863,0.035779,9.072544,-0.003159,0.008057,-0.000656,0.006444,-0.00134,0.005658,0.171202,0.155478,0.647048,0.72653,0.011949,0.000682
55,341982002796704,0.036591,10.049637,1.142426,4.494327,0.087485,9.060634,-0.007416,0.00592,-0.001724,0.009279,-0.001976,0.001735,0.17121,0.155469,0.64704,0.726537,0.012133,0.000767
56,341982007740552,0.010864,10.023895,1.172348,4.505792,0.120803,9.029735,-0.007416,0.003799,-0.000656,0.008329,-0.000694,-2.4e-05,0.171224,0.155452,0.647024,0.726551,0.01232,0.000857
57,341982012653882,0.038986,10.020905,1.12027,4.479095,0.067939,9.033721,-0.008484,0.004868,0.000397,0.009769,0.000292,0.000567,0.171226,0.155449,0.64702,0.726555,0.012511,0.000951
58,341982017597730,0.05336,10.045456,1.166962,4.477519,0.11052,9.067262,-0.009552,0.002731,0.001465,0.009765,0.001626,-0.001684,0.171226,0.155449,0.646998,0.726574,0.012679,0.000995
59,341982022541577,0.070114,10.047836,1.212448,4.463852,0.153712,9.082091,-0.009552,0.003799,0.000397,0.010241,0.000454,-0.000859,0.171226,0.155449,0.646963,0.726606,0.012849,0.001044
