,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2153234816054893,-0.717575,6.735458,6.08046,6.427396,3.353367,5.504255,-0.155319,-0.047226,-0.036087,-0.001229,0.097009,-0.135071,0.567984,0.199743,0.295613,0.741694,-0.001048,0.015742
1,2153234820968223,-0.728348,6.700745,6.184601,6.395401,3.432649,5.567365,-0.212845,-0.120728,-0.029694,-0.0564,0.156329,-0.182045,0.568225,0.199659,0.295126,0.741726,-0.000981,0.01574
2,2153234825912071,-0.69603,6.647476,6.384521,6.331987,3.545573,5.724542,-0.265045,-0.181458,-0.021164,-0.100973,0.211038,-0.221113,0.568524,0.199614,0.294442,0.741781,-0.000911,0.015736
3,2153234830855918,-0.662506,6.622345,6.610779,6.295889,3.668015,5.907983,-0.304459,-0.220871,-0.011581,-0.128708,0.253454,-0.246595,0.568854,0.199589,0.293617,0.741862,-0.000839,0.015731
4,2153234835799766,-0.609238,6.604385,6.902267,6.260097,3.816348,6.154433,-0.327896,-0.244308,-0.006256,-0.145361,0.27865,-0.26166,0.569203,0.199572,0.292702,0.74196,-0.000766,0.015725
5,2153234840743614,-0.563156,6.585831,7.126129,6.229342,3.923995,6.345834,-0.335358,-0.258148,0.001205,-0.157247,0.291944,-0.262963,0.569554,0.199573,0.291741,0.742069,-0.000692,0.015718
6,2153234845687461,-0.523651,6.534348,7.394882,6.167727,4.071227,6.560524,-0.328964,-0.258148,0.006531,-0.15949,0.291216,-0.254276,0.569892,0.199581,0.290779,0.742185,-0.000618,0.015711
7,2153234850631309,-0.491318,6.506226,7.695343,6.129744,4.239816,6.800066,-0.314041,-0.247498,0.010788,-0.153714,0.281582,-0.238909,0.57021,0.199587,0.289846,0.742304,-0.000541,0.015703
8,2153234855575156,-0.506287,6.493057,7.915009,6.121735,4.387084,6.952794,-0.285278,-0.229385,0.019302,-0.144557,0.263188,-0.210259,0.570485,0.199601,0.288981,0.742426,-0.000464,0.015694
9,2153234860488487,-0.488327,6.466125,8.089798,6.092713,4.483973,7.089914,-0.245865,-0.204895,0.026764,-0.131999,0.235027,-0.174603,0.57071,0.199626,0.288217,0.742543,-0.000386,0.015684
10,2153234865432334,-0.414703,6.454147,8.162811,6.065742,4.47159,7.188266,-0.202194,-0.17186,0.032089,-0.112199,0.200666,-0.136354,0.570881,0.199658,0.287569,0.742655,-0.000308,0.015673
11,2153234870376182,-0.356644,6.455338,8.177185,6.056311,4.431135,7.235406,-0.158524,-0.133514,0.033157,-0.087078,0.162441,-0.100428,0.570999,0.199684,0.287052,0.742757,-0.000231,0.01566
12,2153234875320030,-0.287216,6.499039,8.135284,6.08493,4.339188,7.25589,-0.116974,-0.086639,0.033157,-0.053094,0.123426,-0.065082,0.571062,0.199688,0.286678,0.742852,-0.000154,0.015644
13,2153234880233360,-0.236343,6.494247,8.091583,6.070352,4.269925,7.254196,-0.08075,-0.044037,0.032089,-0.021741,0.088347,-0.034809,0.571077,0.199668,0.286432,0.74294,-7.8e-05,0.015626
