,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2234987904860140,-1.080902,9.797653,1.286072,-5.514861,-0.469134,8.257281,0.012787,0.010284,0.018875,-0.018391,0.016815,0.002141,0.220815,0.260939,-0.602436,-0.721265,0.001662,-0.011756
1,2234987909803987,-1.07431,9.76712,1.320786,-5.504805,-0.428276,8.234613,0.009598,0.008148,0.016754,-0.01436,0.015093,0.002285,0.220852,0.260934,-0.602475,-0.721222,0.001713,-0.011743
2,2234987914717317,-1.050964,9.788071,1.343536,-5.538682,-0.408474,8.238458,0.006393,0.004959,0.01355,-0.009531,0.01249,0.001498,0.220889,0.260916,-0.602506,-0.721192,0.001764,-0.01173
3,2234987919661165,-1.079697,9.80603,1.306427,-5.523986,-0.447279,8.265361,0.005341,0.003891,0.009293,-0.007579,0.008484,0.000781,0.220899,0.260909,-0.602543,-0.72116,0.001815,-0.011716
4,2234987924635530,-1.112625,9.795853,1.356094,-5.497795,-0.396261,8.285703,0.005341,0.002823,0.008224,-0.006785,0.00762,-0.000171,0.220903,0.260906,-0.602561,-0.721145,0.001867,-0.011702
5,2234987929579378,-1.088684,9.813812,1.371063,-5.529146,-0.38412,8.285957,0.004272,0.001755,0.009293,-0.005407,0.008856,-0.000143,0.220917,0.260892,-0.602577,-0.721133,0.001919,-0.011689
6,2234987934523226,-1.03421,9.809616,1.389023,-5.57045,-0.364738,8.250132,0.007462,0.00708,0.009293,-0.011222,0.007933,0.001821,0.220957,0.260874,-0.602595,-0.721112,0.001971,-0.011676
7,2234987939467073,-1.026428,9.795853,1.377045,-5.566741,-0.373357,8.232889,0.006393,0.010284,0.007156,-0.012196,0.005261,0.004629,0.220998,0.260864,-0.602611,-0.721089,0.002024,-0.011663
8,2234987944380403,-1.058746,9.825775,1.324371,-5.555762,-0.429784,8.268591,0.005341,0.014542,0.003967,-0.013736,0.001369,0.008074,0.22103,0.260882,-0.602634,-0.721054,0.002079,-0.01165
9,2234987949324251,-1.034805,9.810226,1.368668,-5.569809,-0.382866,8.24714,0.004272,0.017731,0.000763,-0.014585,-0.002349,0.010723,0.22107,0.260898,-0.60264,-0.721031,0.002135,-0.011636
10,2234987954268099,-1.024033,9.832962,1.406982,-5.597291,-0.348848,8.262196,0.004272,0.017731,-0.001358,-0.014353,-0.004437,0.01043,0.221112,0.260908,-0.602636,-0.721017,0.002191,-0.011622
11,2234987959211946,-1.01326,9.86409,1.371658,-5.622046,-0.388362,8.273467,0.007462,0.017731,-0.001358,-0.016798,-0.004421,0.008379,0.221153,0.260921,-0.602651,-0.720988,0.002244,-0.011555
12,2234987964155794,-1.03302,9.860504,1.362091,-5.60433,-0.396618,8.281674,0.005341,0.018799,-0.00029,-0.015968,-0.003566,0.010693,0.221193,0.260941,-0.602662,-0.720959,0.002296,-0.011487
13,2234987969099642,-1.07132,9.851517,1.347122,-5.568355,-0.40928,8.297041,0.007462,0.016663,0.001831,-0.016472,-0.001092,0.00801,0.221221,0.260968,-0.602679,-0.720927,0.002351,-0.011417
14,2234987974043489,-1.11322,9.823395,1.342926,-5.518665,-0.40821,8.301779,0.006393,0.01561,0.002899,-0.015104,0.00014,0.008049,0.221238,0.261004,-0.602689,-0.7209,0.002406,-0.011346
15,2234987978987337,-1.153915,9.817398,1.387817,-5.489032,-0.363081,8.329313,0.006393,0.009216,0.007156,-0.01152,0.005454,0.003815,0.221246,0.261028,-0.602687,-0.72089,0.002463,-0.011274
16,2234987983931185,-1.154526,9.806625,1.397995,-5.482983,-0.351022,8.322916,0.00853,0.001755,0.011429,-0.008898,0.01098,-0.002594,0.22125,0.261034,-0.602692,-0.720883,0.00252,-0.0112
17,2234987988844515,-1.117401,9.80423,1.380035,-5.507717,-0.36755,8.29493,0.009598,-0.005707,0.01355,-0.00522,0.014383,-0.008612,0.221254,0.261014,-0.602714,-0.72087,0.002579,-0.011126
18,2234987993788362,-1.083893,9.812012,1.368073,-5.536649,-0.37968,8.277882,0.011719,-0.008896,0.01355,-0.004823,0.014952,-0.01238,0.221259,0.260982,-0.602749,-0.720851,0.002639,-0.01105
19,2234987998701692,-1.068329,9.80722,1.366272,-5.544814,-0.379638,8.264407,0.012787,-0.013153,0.010361,-0.002594,0.012563,-0.016712,0.221256,0.260944,-0.602788,-0.720833,0.002698,-0.010974
20,2234988003645540,-1.077911,9.815002,1.366867,-5.541816,-0.379449,8.277002,0.015991,-0.016357,0.011429,-0.003136,0.014189,-0.021041,0.221245,0.260903,-0.602834,-0.720813,0.002758,-0.010898
21,2234988008589388,-1.082092,9.813812,1.3591,-5.536229,-0.385728,8.2783,0.017044,-0.019547,0.014618,-0.002271,0.017891,-0.023686,0.221232,0.260854,-0.602887,-0.72079,0.002819,-0.010821
22,2234988013502718,-1.079697,9.815613,1.374649,-5.54008,-0.369719,8.280851,0.015991,-0.020615,0.014618,-0.000789,0.018072,-0.023815,0.22122,0.260801,-0.602934,-0.720774,0.002881,-0.010744
23,2234988018446566,-1.11322,9.813217,1.384232,-5.513249,-0.359112,8.302397,0.018112,-0.017426,0.014618,-0.004435,0.017521,-0.022776,0.221204,0.260763,-0.602977,-0.720757,0.002942,-0.010666
24,2234988023390413,-1.13237,9.801239,1.367477,-5.488628,-0.372712,8.303769,0.017044,-0.014221,0.015686,-0.005764,0.018006,-0.019528,0.221188,0.260736,-0.603018,-0.720737,0.003004,-0.010586
25,2234988028334261,-1.170685,9.80304,1.365082,-5.459741,-0.374792,8.329734,0.018112,-0.0121,0.016754,-0.008043,0.01869,-0.018471,0.221166,0.260724,-0.603056,-0.720717,0.003066,-0.010506
26,2234988033278108,-1.229935,9.810226,1.394409,-5.422053,-0.347049,8.377249,0.018112,-0.003571,0.017807,-0.013559,0.018234,-0.011897,0.221146,0.260739,-0.603074,-0.720701,0.003127,-0.010425
27,2234988038221956,-1.220352,9.825775,1.454865,-5.445901,-0.29018,8.391052,0.018112,-0.000381,0.018875,-0.015696,0.018728,-0.009347,0.221141,0.260748,-0.603077,-0.720698,0.003189,-0.010343
28,2234988043165804,-1.201797,9.823395,1.478806,-5.461401,-0.26586,8.380492,0.024506,0.003891,0.021011,-0.023533,0.020111,-0.009944,0.221148,0.260755,-0.603084,-0.720687,0.003249,-0.01026
29,2234988048109651,-1.189835,9.862885,1.508133,-5.499189,-0.243264,8.406332,0.033035,0.010284,0.023148,-0.034348,0.021135,-0.010315,0.221168,0.260768,-0.6031,-0.720663,0.003309,-0.010174
30,2234988053053499,-1.182648,9.858109,1.415955,-5.492428,-0.331765,8.38506,0.038361,0.017731,0.021011,-0.042911,0.017752,-0.008422,0.221188,0.26081,-0.603147,-0.720603,0.00337,-0.010088
31,2234988057966829,-1.178467,9.828781,1.331558,-5.468823,-0.407709,8.348192,0.039429,0.020935,0.022079,-0.045873,0.018249,-0.006556,0.221207,0.260865,-0.603216,-0.720518,0.003406,-0.010074
32,2234988062880159,-1.154526,9.809616,1.371658,-5.480473,-0.363117,8.32319,0.036224,0.024124,0.023148,-0.045554,0.018735,-0.001956,0.221244,0.260912,-0.603269,-0.720446,0.003443,-0.01006
33,2234988067824007,-1.120407,9.831772,1.37645,-5.522249,-0.360252,8.317981,0.038361,0.025192,0.022079,-0.047749,0.017508,-0.002679,0.221289,0.260952,-0.603328,-0.720369,0.00348,-0.010045
34,2234988072767855,-1.072525,9.832962,1.371658,-5.560069,-0.362918,8.286917,0.038361,0.022003,0.019943,-0.045493,0.015964,-0.00538,0.221338,0.260976,-0.603394,-0.72029,0.003517,-0.010029
35,2234988077711702,-1.046783,9.82518,1.377655,-5.576274,-0.353354,8.264862,0.04155,0.019867,0.017807,-0.046346,0.014248,-0.009337,0.221384,0.260992,-0.603465,-0.720209,0.003555,-0.010013
36,2234988082625032,-1.01326,9.826981,1.397995,-5.606086,-0.331387,8.246968,0.042618,0.020935,0.014618,-0.047492,0.010931,-0.009657,0.221436,0.261004,-0.603533,-0.720132,0.003592,-0.009997
37,2234988087599398,-1.016846,9.840744,1.371063,-5.609922,-0.357903,8.25559,0.045807,0.019867,0.01355,-0.049139,0.01008,-0.012664,0.22148,0.261022,-0.603615,-0.720044,0.003629,-0.009981
38,2234988092543245,-1.01326,9.845535,1.336349,-5.61259,-0.390506,8.251878,0.04155,0.016663,0.010361,-0.0435,0.00748,-0.012776,0.221514,0.261039,-0.603699,-0.719957,0.003665,-0.009965
39,2234988097487093,-1.03241,9.838943,1.336945,-5.594485,-0.386606,8.258955,0.04155,0.016663,0.009293,-0.043382,0.006429,-0.012925,0.221541,0.261064,-0.603778,-0.719873,0.003701,-0.009949
40,2234988102400423,-1.055756,9.833557,1.269913,-5.566724,-0.449318,8.2605,0.038361,0.017731,0.011429,-0.041848,0.008337,-0.009786,0.221564,0.261101,-0.603867,-0.719778,0.003736,-0.009933
41,2234988107344271,-1.066528,9.820999,1.27829,-5.552254,-0.436794,8.258655,0.034088,0.018799,0.011429,-0.039254,0.008139,-0.006238,0.221589,0.26114,-0.603943,-0.719693,0.003772,-0.009916
42,2234988112288118,-1.088684,9.797058,1.253754,-5.518274,-0.454754,8.251142,0.030899,0.017731,0.014618,-0.036479,0.011454,-0.004568,0.221612,0.26118,-0.604019,-0.719607,0.003805,-0.0099
