,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,1836562538831871,0.387344,10.529083,-0.02655,-9.179421,0.291606,-5.163865,-0.036011,0.07431,0.017685,-0.082059,0.019871,-0.001733,0.613004,0.594303,-0.373242,-0.362933,0.002007,-0.029994
1,1836562543806236,0.397522,10.675125,0.219452,-9.296886,0.544208,-5.237955,-0.047729,0.043427,0.018753,-0.059957,0.019992,0.022827,0.613137,0.594247,-0.373163,-0.362881,0.002117,-0.030193
2,1836562548780601,0.493896,10.515915,0.255966,-9.109435,0.578641,-5.251405,-0.048798,0.03064,0.023026,-0.048975,0.023873,0.029696,0.613267,0.59417,-0.373112,-0.36284,0.00222,-0.030385
3,1836562553693931,0.459167,10.317795,0.249985,-8.948748,0.568482,-5.131003,-0.032822,0.027451,0.019821,-0.038905,0.0206,0.016905,0.613365,0.59412,-0.373076,-0.362795,0.002316,-0.030573
4,1836562558607261,0.377777,9.999359,0.189529,-8.704359,0.499288,-4.914352,-0.021103,0.015732,0.01236,-0.02332,0.012802,0.011741,0.613425,0.594087,-0.373055,-0.362769,0.002406,-0.030754
5,1836562563551109,0.286194,9.797653,-0.016968,-8.571735,0.286809,-4.745458,-0.013641,0.039169,0.001709,-0.041002,0.002895,-0.005805,0.613477,0.594106,-0.37299,-0.362716,0.002491,-0.030932
6,1836562568494957,0.222748,9.647415,-0.20192,-8.471325,0.096999,-4.624947,-0.010452,0.043427,-0.004684,-0.043489,-0.003358,-0.010701,0.613514,0.594147,-0.372915,-0.362662,0.00257,-0.031107
7,1836562573438804,0.200592,9.636642,-0.247421,-8.472488,0.050981,-4.602225,-0.022171,0.028503,-0.008942,-0.035725,-0.0081,0.006482,0.613548,0.594164,-0.372846,-0.362647,0.002645,-0.031278
8,1836562578382652,0.062332,9.612106,-0.099579,-8.509237,0.197533,-4.467686,-0.032822,0.045547,-0.013199,-0.055864,-0.011854,0.008046,0.613613,0.594182,-0.372726,-0.362632,0.002714,-0.031444
9,1836562583326500,-0.110046,9.66777,-0.04451,-8.634946,0.253796,-4.342032,-0.039215,0.066864,-0.011078,-0.077672,-0.009098,0.00395,0.613707,0.594209,-0.372564,-0.362596,0.00278,-0.031611
10,1836562588270347,-0.284225,9.735992,-0.087006,-8.774801,0.212958,-4.223202,-0.047729,0.090302,-0.007874,-0.102308,-0.005202,0.000756,0.613831,0.594247,-0.372359,-0.362534,0.002843,-0.031775
11,1836562593183677,-0.408722,9.804825,-0.101974,-8.891105,0.199958,-4.149732,-0.05838,0.120117,-0.003616,-0.133556,-6.5e-05,-0.003497,0.613998,0.594295,-0.372101,-0.362437,0.002903,-0.031935
12,1836562598127525,-0.563156,9.839554,-0.106155,-8.990088,0.197152,-4.035426,-0.069031,0.153152,0.009171,-0.167432,0.0137,-0.009148,0.61422,0.594348,-0.371796,-0.362287,0.00296,-0.032092
13,1836562603071373,-0.688843,9.901794,-0.14267,-9.100157,0.163364,-3.962424,-0.079697,0.206406,0.018753,-0.219312,0.024898,-0.024271,0.61451,0.594429,-0.371411,-0.362057,0.003016,-0.032248
