,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836566.921803944,0.021308,-0.013798,0.035496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836566.926747791,0.021308,-0.013798,0.035496,0.001323,-0.000559,0.000499,0.000223,0.000037,-0.000861
2,1836566.931691639,0.021315,-0.013801,0.035498,0.002524,-0.000925,0.001080,0.000446,0.000073,-0.001721
3,1836566.936635487,0.021327,-0.013805,0.035504,0.003724,-0.001081,0.001518,0.000669,0.000110,-0.002582
4,1836566.941548817,0.021345,-0.013811,0.035511,0.004848,-0.001049,0.001870,0.000891,0.000147,-0.003438
5,1836566.946492664,0.021369,-0.013816,0.035521,0.006076,-0.000853,0.001991,0.001114,0.000183,-0.004298
6,1836566.951436512,0.021399,-0.013820,0.035530,0.007102,-0.000583,0.001833,0.001337,0.000220,-0.005159
7,1836566.956380360,0.021434,-0.013823,0.035539,0.007696,-0.000496,0.001492,0.001560,0.000257,-0.006020
8,1836566.961293690,0.021472,-0.013825,0.035547,0.008226,-0.000360,0.001083,0.001781,0.000293,-0.006875
9,1836566.966237537,0.021513,-0.013827,0.035552,0.008560,0.000060,0.000609,0.002004,0.000330,-0.007736
10,1836566.971181385,0.021555,-0.013827,0.035555,0.008647,0.000571,0.000141,0.002227,0.000367,-0.008597
11,1836566.976125233,0.021598,-0.013824,0.035556,0.008641,0.001091,-0.000344,0.002450,0.000404,-0.009457
12,1836566.981069080,0.021641,-0.013819,0.035554,0.008512,0.001684,-0.000684,0.002673,0.000440,-0.010318
13,1836566.986012928,0.021683,-0.013810,0.035551,0.008355,0.002148,-0.000851,0.002897,0.000477,-0.011179
14,1836566.990956776,0.021724,-0.013800,0.035547,0.008221,0.002572,-0.000977,0.003120,0.000514,-0.012040
15,1836566.995900623,0.021765,-0.013787,0.035542,0.008242,0.002747,-0.000628,0.003343,0.000551,-0.012900
16,1836567.000813953,0.021805,-0.013773,0.035539,0.008222,0.002755,-0.000139,0.003564,0.000587,-0.013756
17,1836567.005727284,0.021846,-0.013760,0.035538,0.008258,0.002536,0.000649,0.003786,0.000624,-0.014611
18,1836567.010640614,0.021886,-0.013747,0.035541,0.008361,0.002080,0.001641,0.004007,0.000660,-0.015467
19,1836567.015584461,0.021928,-0.013737,0.035549,0.008514,0.001384,0.002725,0.004231,0.000697,-0.016327
20,1836567.020528309,0.021970,-0.013730,0.035563,0.008524,0.000554,0.003966,0.004454,0.000734,-0.017188
21,1836567.025472157,0.022012,-0.013728,0.035582,0.008627,-0.000267,0.005196,0.004677,0.000770,-0.018049
22,1836567.030416004,0.022054,-0.013729,0.035608,0.008974,-0.000844,0.006193,0.004900,0.000807,-0.018909
23,1836567.035359852,0.022099,-0.013733,0.035639,0.009298,-0.001291,0.006950,0.005123,0.000844,-0.019770
24,1836567.040303700,0.022145,-0.013739,0.035673,0.009707,-0.001414,0.007548,0.005346,0.000881,-0.020631
25,1836567.045217030,0.022192,-0.013746,0.035710,0.009997,-0.000899,0.007717,0.005567,0.000917,-0.021486
26,1836567.050160877,0.022242,-0.013751,0.035748,0.010246,-0.000070,0.007579,0.005790,0.000954,-0.022347
27,1836567.055104725,0.022293,-0.013751,0.035786,0.010355,0.001073,0.007357,0.006013,0.000991,-0.023208
28,1836567.060048573,0.022344,-0.013746,0.035822,0.010365,0.002677,0.006919,0.006236,0.001027,-0.024069
29,1836567.064992420,0.022395,-0.013733,0.035856,0.010284,0.004419,0.006432,0.006459,0.001064,-0.024929
30,1836567.069905750,0.022445,-0.013711,0.035888,0.010186,0.006107,0.005791,0.006681,0.001101,-0.025785
31,1836567.074849598,0.022496,-0.013681,0.035916,0.010031,0.007963,0.005150,0.006904,0.001137,-0.026645
32,1836567.079793446,0.022545,-0.013641,0.035942,0.009575,0.009584,0.004458,0.007127,0.001174,-0.027506
33,1836567.084737293,0.022593,-0.013594,0.035964,0.009010,0.011070,0.003862,0.007350,0.001211,-0.028367
34,1836567.089681141,0.022637,-0.013539,0.035983,0.008398,0.012504,0.003330,0.007573,0.001248,-0.029228
35,1836567.094594471,0.022679,-0.013478,0.035999,0.007793,0.013451,0.002932,0.007795,0.001284,-0.030083
36,1836567.099538319,0.022717,-0.013411,0.036014,0.006939,0.014397,0.002414,0.008018,0.001321,-0.030944
37,1836567.104451649,0.022751,-0.013341,0.036026,0.006240,0.015354,0.002019,0.008239,0.001357,-0.031799
38,1836567.109395496,0.022782,-0.013265,0.036036,0.005854,0.016004,0.001573,0.008462,0.001394,-0.032660
39,1836567.114369862,0.022811,-0.013185,0.036044,0.005502,0.016401,0.001315,0.008687,0.001431,-0.033526
40,1836567.119313709,0.022838,-0.013104,0.036050,0.005466,0.016574,0.001111,0.008910,0.001468,-0.034387
41,1836567.124288075,0.022866,-0.013022,0.036056,0.005844,0.016721,0.000831,0.009134,0.001505,-0.035253
42,1836567.129201405,0.022894,-0.012939,0.036060,0.006521,0.016609,0.000448,0.009356,0.001541,-0.036108
43,1836567.134114735,0.022926,-0.012858,0.036062,0.007371,0.016480,-0.000020,0.009578,0.001578,-0.036964
44,1836567.139058582,0.022963,-0.012776,0.036062,0.008485,0.016426,-0.000608,0.009801,0.001615,-0.037824
45,1836567.143971912,0.023004,-0.012696,0.036059,0.009664,0.016339,-0.001362,0.010022,0.001651,-0.038680
46,1836567.148915760,0.023052,-0.012615,0.036052,0.010939,0.016050,-0.002242,0.010245,0.001688,-0.039540
47,1836567.153859608,0.023106,-0.012536,0.036041,0.012091,0.015925,-0.003065,0.010468,0.001725,-0.040401
48,1836567.158803455,0.023166,-0.012457,0.036026,0.013146,0.015873,-0.003797,0.010691,0.001761,-0.041262
49,1836567.163747303,0.023231,-0.012378,0.036007,0.014298,0.016100,-0.004554,0.010914,0.001798,-0.042123
50,1836567.168691151,0.023302,-0.012299,0.035985,0.015137,0.016598,-0.005344,0.011137,0.001835,-0.042983
51,1836567.173604481,0.023376,-0.012217,0.035958,0.015837,0.017102,-0.006178,0.011359,0.001871,-0.043839
52,1836567.178548328,0.023454,-0.012133,0.035928,0.016222,0.017368,-0.006980,0.011582,0.001908,-0.044699
53,1836567.183492176,0.023535,-0.012047,0.035893,0.016461,0.017241,-0.007785,0.011805,0.001945,-0.045560
54,1836567.188436024,0.023616,-0.011962,0.035855,0.016418,0.016990,-0.008411,0.012028,0.001982,-0.046421
55,1836567.193379871,0.023697,-0.011878,0.035813,0.015943,0.016567,-0.008890,0.012251,0.002018,-0.047282
56,1836567.198293202,0.023776,-0.011796,0.035770,0.015215,0.016166,-0.009140,0.012473,0.002055,-0.048137
57,1836567.203237049,0.023851,-0.011716,0.035724,0.014379,0.015712,-0.009243,0.012696,0.002092,-0.048998
58,1836567.208150379,0.023921,-0.011639,0.035679,0.013455,0.015250,-0.009497,0.012917,0.002128,-0.049853
59,1836567.213124745,0.023988,-0.011563,0.035632,0.012386,0.014861,-0.009715,0.013142,0.002165,-0.050719
60,1836567.218068592,0.024050,-0.011490,0.035584,0.011210,0.014648,-0.009982,0.013365,0.002202,-0.051580
61,1836567.223012440,0.024105,-0.011417,0.035534,0.010089,0.014760,-0.010265,0.013588,0.002239,-0.052441
62,1836567.227956287,0.024155,-0.011344,0.035484,0.009058,0.015026,-0.010486,0.013811,0.002275,-0.053301
63,1836567.232900135,0.024200,-0.011270,0.035432,0.007946,0.015406,-0.010701,0.014034,0.002312,-0.054162
64,1836567.237813465,0.024239,-0.011194,0.035379,0.006699,0.015962,-0.010929,0.014255,0.002349,-0.055018
65,1836567.242757313,0.024272,-0.011115,0.035325,0.005415,0.016709,-0.011129,0.014478,0.002385,-0.055878
66,1836567.247701161,0.024299,-0.011033,0.035270,0.004171,0.017592,-0.011330,0.014701,0.002422,-0.056739
67,1836567.252645008,0.024319,-0.010946,0.035214,0.002998,0.018584,-0.011510,0.014925,0.002459,-0.057600
68,1836567.257588856,0.024334,-0.010854,0.035157,0.001730,0.019673,-0.011522,0.015148,0.002496,-0.058460
69,1836567.262532703,0.024343,-0.010757,0.035100,0.000588,0.020923,-0.011529,0.015371,0.002532,-0.059321
70,1836567.267476551,0.024345,-0.010653,0.035043,-0.000734,0.022218,-0.011490,0.015594,0.002569,-0.060182
71,1836567.272389881,0.024342,-0.010544,0.034987,-0.001912,0.023653,-0.011146,0.015815,0.002606,-0.061037
72,1836567.277333729,0.024332,-0.010427,0.034932,-0.003082,0.025107,-0.010762,0.016038,0.002642,-0.061898
73,1836567.282277577,0.024317,-0.010303,0.034878,-0.004346,0.026609,-0.010393,0.016261,0.002679,-0.062759
74,1836567.287221424,0.024296,-0.010171,0.034827,-0.005753,0.027923,-0.010389,0.016484,0.002716,-0.063620
