,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836566.921803944,0.021308,-0.013798,0.035496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836566.926747791,0.021308,-0.013798,0.035496,0.001323,-0.000559,0.000499,0.000000,0.000000,0.000000
2,1836566.931691639,0.021315,-0.013801,0.035498,0.002523,-0.000930,0.001079,0.000000,0.000000,0.000000
3,1836566.936635487,0.021327,-0.013805,0.035504,0.003721,-0.001093,0.001516,0.000000,0.000000,0.000000
4,1836566.941548817,0.021345,-0.013811,0.035511,0.004842,-0.001074,0.001866,0.000000,0.000000,0.000000
5,1836566.946492664,0.021369,-0.013816,0.035520,0.006066,-0.000896,0.001984,0.000000,0.000000,0.000000
6,1836566.951436512,0.021399,-0.013820,0.035530,0.007087,-0.000646,0.001823,0.000000,0.000000,0.000000
7,1836566.956380360,0.021434,-0.013824,0.035539,0.007675,-0.000585,0.001478,0.000000,0.000000,0.000000
8,1836566.961293690,0.021472,-0.013827,0.035547,0.008198,-0.000478,0.001063,0.000000,0.000000,0.000000
9,1836566.966237537,0.021512,-0.013829,0.035552,0.008525,-0.000092,0.000585,0.000000,0.000000,0.000000
10,1836566.971181385,0.021555,-0.013829,0.035555,0.008603,0.000382,0.000110,0.000000,0.000000,0.000000
11,1836566.976125233,0.021597,-0.013827,0.035555,0.008587,0.000859,-0.000382,0.000000,0.000000,0.000000
12,1836566.981069080,0.021640,-0.013823,0.035553,0.008447,0.001406,-0.000729,0.000000,0.000000,0.000000
13,1836566.986012928,0.021681,-0.013816,0.035550,0.008278,0.001819,-0.000905,0.000000,0.000000,0.000000
14,1836566.990956776,0.021722,-0.013807,0.035545,0.008131,0.002188,-0.001041,0.000000,0.000000,0.000000
15,1836566.995900623,0.021763,-0.013796,0.035540,0.008138,0.002303,-0.000702,0.000000,0.000000,0.000000
16,1836567.000813953,0.021802,-0.013785,0.035537,0.008103,0.002248,-0.000223,0.000000,0.000000,0.000000
17,1836567.005727284,0.021842,-0.013774,0.035536,0.008123,0.001962,0.000554,0.000000,0.000000,0.000000
18,1836567.010640614,0.021882,-0.013764,0.035538,0.008209,0.001436,0.001534,0.000000,0.000000,0.000000
19,1836567.015584461,0.021923,-0.013757,0.035546,0.008344,0.000663,0.002605,0.000000,0.000000,0.000000
20,1836567.020528309,0.021964,-0.013754,0.035559,0.008335,-0.000247,0.003833,0.000000,0.000000,0.000000
21,1836567.025472157,0.022005,-0.013755,0.035578,0.008418,-0.001152,0.005049,0.000000,0.000000,0.000000
22,1836567.030416004,0.022047,-0.013761,0.035603,0.008744,-0.001817,0.006032,0.000000,0.000000,0.000000
23,1836567.035359852,0.022090,-0.013770,0.035633,0.009047,-0.002358,0.006773,0.000000,0.000000,0.000000
24,1836567.040303700,0.022135,-0.013782,0.035666,0.009432,-0.002577,0.007355,0.000000,0.000000,0.000000
25,1836567.045217030,0.022181,-0.013794,0.035702,0.009698,-0.002163,0.007507,0.000000,0.000000,0.000000
26,1836567.050160877,0.022229,-0.013805,0.035739,0.009922,-0.001439,0.007350,0.000000,0.000000,0.000000
27,1836567.055104725,0.022278,-0.013812,0.035776,0.010004,-0.000406,0.007110,0.000000,0.000000,0.000000
28,1836567.060048573,0.022328,-0.013814,0.035811,0.009987,0.001084,0.006653,0.000000,0.000000,0.000000
29,1836567.064992420,0.022377,-0.013809,0.035844,0.009878,0.002708,0.006146,0.000000,0.000000,0.000000
30,1836567.069905750,0.022426,-0.013795,0.035874,0.009751,0.004275,0.005484,0.000000,0.000000,0.000000
31,1836567.074849598,0.022474,-0.013774,0.035901,0.009565,0.006004,0.004822,0.000000,0.000000,0.000000
32,1836567.079793446,0.022521,-0.013745,0.035925,0.009077,0.007495,0.004107,0.000000,0.000000,0.000000
33,1836567.084737293,0.022566,-0.013708,0.035945,0.008479,0.008846,0.003488,0.000000,0.000000,0.000000
34,1836567.089681141,0.022608,-0.013664,0.035962,0.007834,0.010141,0.002931,0.000000,0.000000,0.000000
35,1836567.094594471,0.022646,-0.013614,0.035977,0.007195,0.010946,0.002508,0.000000,0.000000,0.000000
36,1836567.099538319,0.022682,-0.013560,0.035989,0.006305,0.011744,0.001965,0.000000,0.000000,0.000000
37,1836567.104451649,0.022713,-0.013502,0.035999,0.005569,0.012551,0.001543,0.000000,0.000000,0.000000
