,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,0.014718,-0.023033,-0.043422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,0.014718,-0.023033,-0.043422,-0.000401,-0.000780,0.000408,0.000042,0.000181,-0.000237
2,1836152.445465018,0.014716,-0.023037,-0.043420,-0.001003,-0.001415,0.000817,0.000085,0.000361,-0.000474
3,1836152.450408865,0.014711,-0.023044,-0.043416,-0.001508,-0.001943,0.001194,0.000127,0.000541,-0.000711
4,1836152.455352713,0.014704,-0.023053,-0.043410,-0.001821,-0.002133,0.001521,0.000169,0.000722,-0.000948
5,1836152.460296561,0.014695,-0.023064,-0.043403,-0.002060,-0.001972,0.001714,0.000212,0.000903,-0.001186
6,1836152.465240408,0.014684,-0.023074,-0.043394,-0.002131,-0.001645,0.001825,0.000254,0.001084,-0.001423
7,1836152.470184256,0.014674,-0.023082,-0.043385,-0.001992,-0.001150,0.001644,0.000297,0.001265,-0.001661
8,1836152.475097586,0.014664,-0.023088,-0.043377,-0.001708,-0.000505,0.001341,0.000339,0.001445,-0.001897
9,1836152.480071951,0.014656,-0.023090,-0.043370,-0.001300,0.000081,0.001012,0.000382,0.001627,-0.002136
10,1836152.484985281,0.014649,-0.023090,-0.043365,-0.000955,0.000687,0.000617,0.000424,0.001806,-0.002372
11,1836152.489929129,0.014644,-0.023086,-0.043362,-0.000595,0.001227,0.000171,0.000466,0.001987,-0.002609
12,1836152.494872977,0.014642,-0.023080,-0.043361,-0.000120,0.001683,-0.000231,0.000509,0.002168,-0.002847
13,1836152.499786307,0.014641,-0.023072,-0.043363,0.000445,0.002062,-0.000712,0.000551,0.002348,-0.003083
14,1836152.504760672,0.014643,-0.023062,-0.043366,0.000948,0.002278,-0.001334,0.000593,0.002530,-0.003322
15,1836152.509704520,0.014648,-0.023050,-0.043373,0.001628,0.002377,-0.002182,0.000636,0.002711,-0.003559
16,1836152.514648367,0.014656,-0.023039,-0.043383,0.002533,0.002447,-0.002985,0.000678,0.002892,-0.003797
17,1836152.519592215,0.014668,-0.023027,-0.043398,0.003525,0.002425,-0.004011,0.000721,0.003072,-0.004034
18,1836152.524536063,0.014686,-0.023015,-0.043418,0.004776,0.002332,-0.005099,0.000763,0.003253,-0.004272
19,1836152.529479910,0.014709,-0.023003,-0.043443,0.006104,0.002126,-0.006123,0.000806,0.003434,-0.004509
20,1836152.534393240,0.014739,-0.022993,-0.043473,0.007175,0.001918,-0.007023,0.000848,0.003614,-0.004745
21,1836152.539337088,0.014775,-0.022983,-0.043508,0.008369,0.001571,-0.007834,0.000890,0.003795,-0.004983
22,1836152.544280936,0.014816,-0.022975,-0.043547,0.009569,0.000991,-0.008390,0.000933,0.003976,-0.005220
23,1836152.549194266,0.014863,-0.022970,-0.043588,0.010475,0.000290,-0.008812,0.000975,0.004155,-0.005456
24,1836152.554138113,0.014915,-0.022969,-0.043632,0.011276,-0.000324,-0.009137,0.001017,0.004336,-0.005694
25,1836152.559081961,0.014971,-0.022971,-0.043677,0.011877,-0.001215,-0.009405,0.001060,0.004517,-0.005931
26,1836152.564025809,0.015030,-0.022977,-0.043723,0.012348,-0.002168,-0.009547,0.001102,0.004698,-0.006169
27,1836152.568969656,0.015091,-0.022987,-0.043770,0.012546,-0.003040,-0.009593,0.001145,0.004879,-0.006406
28,1836152.573913504,0.015153,-0.023002,-0.043818,0.012582,-0.004180,-0.009491,0.001187,0.005060,-0.006644
29,1836152.578826834,0.015214,-0.023023,-0.043865,0.012488,-0.005319,-0.009344,0.001229,0.005240,-0.006880
30,1836152.583770682,0.015276,-0.023049,-0.043911,0.012130,-0.006488,-0.009211,0.001272,0.005420,-0.007117
31,1836152.588714529,0.015336,-0.023081,-0.043956,0.011679,-0.007756,-0.009114,0.001314,0.005601,-0.007355
32,1836152.593658377,0.015394,-0.023120,-0.044001,0.011204,-0.009002,-0.008907,0.001356,0.005782,-0.007592
33,1836152.598602225,0.015449,-0.023164,-0.044045,0.010529,-0.010258,-0.008754,0.001399,0.005963,-0.007830
34,1836152.603546072,0.015501,-0.023215,-0.044089,0.009855,-0.011241,-0.008703,0.001441,0.006144,-0.008067
35,1836152.608489920,0.015550,-0.023270,-0.044132,0.009150,-0.012078,-0.008683,0.001484,0.006325,-0.008305
36,1836152.613433768,0.015595,-0.023330,-0.044175,0.008578,-0.012906,-0.008705,0.001526,0.006506,-0.008542
37,1836152.618347098,0.015637,-0.023394,-0.044217,0.008045,-0.013464,-0.008617,0.001568,0.006685,-0.008778
38,1836152.623290946,0.015677,-0.023460,-0.044260,0.007493,-0.013819,-0.008594,0.001611,0.006866,-0.009016
39,1836152.628234793,0.015714,-0.023528,-0.044302,0.006832,-0.014154,-0.008607,0.001653,0.007047,-0.009253
40,1836152.633178641,0.015748,-0.023598,-0.044345,0.006242,-0.014235,-0.008601,0.001696,0.007228,-0.009491
41,1836152.638091971,0.015779,-0.023668,-0.044387,0.005676,-0.014195,-0.008638,0.001738,0.007408,-0.009727
42,1836152.643035819,0.015807,-0.023739,-0.044430,0.005181,-0.014115,-0.008756,0.001780,0.007589,-0.009964
43,1836152.647979666,0.015832,-0.023808,-0.044473,0.004725,-0.013621,-0.009043,0.001823,0.007769,-0.010202
44,1836152.652923514,0.015856,-0.023876,-0.044518,0.004413,-0.012923,-0.009408,0.001865,0.007950,-0.010439
45,1836152.657836844,0.015877,-0.023939,-0.044564,0.004200,-0.012199,-0.010062,0.001907,0.008130,-0.010675
46,1836152.662780692,0.015898,-0.023999,-0.044614,0.004145,-0.011140,-0.010830,0.001950,0.008311,-0.010913
47,1836152.667724539,0.015919,-0.024055,-0.044667,0.003987,-0.010055,-0.011510,0.001992,0.008492,-0.011150
48,1836152.672668387,0.015938,-0.024104,-0.044724,0.003674,-0.008906,-0.012188,0.002034,0.008673,-0.011388
49,1836152.677612235,0.015957,-0.024148,-0.044785,0.003217,-0.007519,-0.012650,0.002077,0.008854,-0.011625
50,1836152.682525565,0.015972,-0.024185,-0.044847,0.002869,-0.005965,-0.013084,0.002119,0.009033,-0.011861
51,1836152.687469412,0.015987,-0.024215,-0.044911,0.002553,-0.004145,-0.013725,0.002162,0.009214,-0.012099
52,1836152.692413260,0.015999,-0.024235,-0.044979,0.002303,-0.002287,-0.014515,0.002204,0.009395,-0.012336
53,1836152.697357108,0.016011,-0.024246,-0.045051,0.002125,-0.000466,-0.015340,0.002246,0.009576,-0.012574
54,1836152.702300955,0.016021,-0.024249,-0.045127,0.001987,0.001527,-0.016462,0.002289,0.009757,-0.012811
55,1836152.707244803,0.016031,-0.024241,-0.045208,0.001706,0.003407,-0.017535,0.002331,0.009938,-0.013049
56,1836152.712188651,0.016039,-0.024224,-0.045295,0.001122,0.005204,-0.018540,0.002374,0.010118,-0.013286
57,1836152.717101981,0.016045,-0.024199,-0.045386,0.000386,0.006596,-0.019518,0.002416,0.010298,-0.013522
58,1836152.722015311,0.016047,-0.024166,-0.045482,-0.000453,0.007552,-0.020278,0.002458,0.010478,-0.013758
59,1836152.726959158,0.016045,-0.024129,-0.045582,-0.001677,0.008231,-0.021014,0.002500,0.010659,-0.013996
60,1836152.731903006,0.016036,-0.024088,-0.045686,-0.003063,0.008721,-0.021865,0.002543,0.010840,-0.014233
61,1836152.736846854,0.016021,-0.024045,-0.045794,-0.004517,0.009016,-0.022661,0.002585,0.011021,-0.014471
62,1836152.741790701,0.015999,-0.024001,-0.045906,-0.006118,0.009268,-0.023378,0.002628,0.011201,-0.014708
63,1836152.746734549,0.015969,-0.023955,-0.046022,-0.007691,0.009518,-0.023967,0.002670,0.011382,-0.014946
64,1836152.751678397,0.015930,-0.023908,-0.046140,-0.009058,0.009865,-0.024530,0.002713,0.011563,-0.015183
