,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,-0.063379,-0.754852,0.017568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,-0.063379,-0.754852,0.017568,0.000077,0.000874,0.000408,-0.000016,0.000663,-0.001401
2,1836152.445465018,-0.063381,-0.754856,0.017570,0.000397,0.001683,0.000817,-0.000031,0.001321,-0.002794
3,1836152.450408865,-0.063387,-0.754863,0.017574,0.000670,0.002351,0.001195,-0.000047,0.001984,-0.004196
4,1836152.455352713,-0.063394,-0.754872,0.017580,0.000895,0.002628,0.001522,-0.000063,0.002646,-0.005597
5,1836152.460296561,-0.063404,-0.754882,0.017588,0.001186,0.002546,0.001715,-0.000078,0.003309,-0.006998
6,1836152.465240408,-0.063414,-0.754891,0.017597,0.001386,0.002241,0.001827,-0.000094,0.003971,-0.008400
7,1836152.470184256,-0.063425,-0.754898,0.017606,0.001460,0.001696,0.001646,-0.000110,0.004634,-0.009801
8,1836152.475097586,-0.063435,-0.754902,0.017614,0.001456,0.000951,0.001344,-0.000125,0.005292,-0.011194
9,1836152.480071951,-0.063444,-0.754904,0.017621,0.001319,0.000208,0.001016,-0.000141,0.005959,-0.012604
10,1836152.484985281,-0.063450,-0.754902,0.017626,0.001250,-0.000535,0.000621,-0.000157,0.006617,-0.013997
11,1836152.489929129,-0.063454,-0.754897,0.017629,0.001143,-0.001228,0.000176,-0.000173,0.007280,-0.015398
12,1836152.494872977,-0.063457,-0.754889,0.017629,0.000903,-0.001893,-0.000226,-0.000188,0.007942,-0.016799
13,1836152.499786307,-0.063457,-0.754879,0.017628,0.000551,-0.002526,-0.000706,-0.000204,0.008601,-0.018192
14,1836152.504760672,-0.063454,-0.754866,0.017625,0.000198,-0.002991,-0.001327,-0.000220,0.009267,-0.019602
15,1836152.509704520,-0.063449,-0.754852,0.017618,-0.000360,-0.003421,-0.002176,-0.000235,0.009930,-0.021004
16,1836152.514648367,-0.063441,-0.754838,0.017607,-0.001136,-0.003913,-0.002979,-0.000251,0.010593,-0.022405
17,1836152.519592215,-0.063427,-0.754823,0.017592,-0.002023,-0.004359,-0.004004,-0.000267,0.011255,-0.023806
18,1836152.524536063,-0.063409,-0.754807,0.017573,-0.003176,-0.004843,-0.005092,-0.000283,0.011918,-0.025208
19,1836152.529479910,-0.063385,-0.754792,0.017547,-0.004440,-0.005257,-0.006117,-0.000298,0.012580,-0.026609
20,1836152.534393240,-0.063355,-0.754778,0.017517,-0.005464,-0.005578,-0.007017,-0.000314,0.013239,-0.028002
21,1836152.539337088,-0.063319,-0.754764,0.017482,-0.006652,-0.005822,-0.007828,-0.000330,0.013901,-0.029403
