,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,0.014718,-0.023033,-0.043422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,0.014718,-0.023033,-0.043422,0.000077,0.000874,0.000408,0.000000,0.000000,0.000000
2,1836152.445465018,0.014718,-0.023029,-0.043420,0.000394,0.001690,0.000817,0.000000,0.000000,0.000000
3,1836152.450408865,0.014720,-0.023020,-0.043416,0.000662,0.002373,0.001193,0.000000,0.000000,0.000000
4,1836152.455352713,0.014724,-0.023009,-0.043410,0.000879,0.002671,0.001519,0.000000,0.000000,0.000000
5,1836152.460296561,0.014728,-0.022995,-0.043403,0.001159,0.002618,0.001710,0.000000,0.000000,0.000000
6,1836152.465240408,0.014734,-0.022982,-0.043394,0.001347,0.002348,0.001820,0.000000,0.000000,0.000000
7,1836152.470184256,0.014740,-0.022971,-0.043385,0.001404,0.001846,0.001637,0.000000,0.000000,0.000000
8,1836152.475097586,0.014747,-0.022962,-0.043377,0.001383,0.001151,0.001332,0.000000,0.000000,0.000000
9,1836152.480071951,0.014754,-0.022956,-0.043370,0.001223,0.000466,0.001000,0.000000,0.000000,0.000000
10,1836152.484985281,0.014760,-0.022954,-0.043366,0.001131,-0.000213,0.000601,0.000000,0.000000,0.000000
11,1836152.489929129,0.014766,-0.022955,-0.043363,0.000998,-0.000834,0.000152,0.000000,0.000000,0.000000
12,1836152.494872977,0.014771,-0.022959,-0.043362,0.000728,-0.001420,-0.000255,0.000000,0.000000,0.000000
13,1836152.499786307,0.014774,-0.022966,-0.043363,0.000345,-0.001967,-0.000741,0.000000,0.000000,0.000000
14,1836152.504760672,0.014776,-0.022976,-0.043367,-0.000042,-0.002339,-0.001368,0.000000,0.000000,0.000000
15,1836152.509704520,0.014776,-0.022987,-0.043373,-0.000637,-0.002668,-0.002222,0.000000,0.000000,0.000000
16,1836152.514648367,0.014773,-0.023000,-0.043384,-0.001452,-0.003053,-0.003032,0.000000,0.000000,0.000000
17,1836152.519592215,0.014765,-0.023016,-0.043399,-0.002382,-0.003384,-0.004065,0.000000,0.000000,0.000000
18,1836152.524536063,0.014754,-0.023032,-0.043420,-0.003579,-0.003746,-0.005161,0.000000,0.000000,0.000000
19,1836152.529479910,0.014736,-0.023051,-0.043445,-0.004890,-0.004031,-0.006193,0.000000,0.000000,0.000000
20,1836152.534393240,0.014712,-0.023071,-0.043475,-0.005964,-0.004216,-0.007102,0.000000,0.000000,0.000000
21,1836152.539337088,0.014682,-0.023091,-0.043511,-0.007205,-0.004316,-0.007922,0.000000,0.000000,0.000000
22,1836152.544280936,0.014647,-0.023113,-0.043550,-0.008540,-0.004201,-0.008489,0.000000,0.000000,0.000000
23,1836152.549194266,0.014605,-0.023133,-0.043591,-0.009649,-0.003863,-0.008920,0.000000,0.000000,0.000000
24,1836152.554138113,0.014557,-0.023153,-0.043636,-0.010628,-0.003564,-0.009256,0.000000,0.000000,0.000000
25,1836152.559081961,0.014505,-0.023170,-0.043681,-0.011526,-0.002931,-0.009534,0.000000,0.000000,0.000000
26,1836152.564025809,0.014448,-0.023185,-0.043728,-0.012328,-0.002191,-0.009687,0.000000,0.000000,0.000000
27,1836152.568969656,0.014387,-0.023195,-0.043776,-0.012848,-0.001421,-0.009744,0.000000,0.000000,0.000000
28,1836152.573913504,0.014323,-0.023203,-0.043825,-0.013318,-0.000341,-0.009653,0.000000,0.000000,0.000000
