,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,0.014718,-0.023033,-0.043422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,0.014718,-0.023033,-0.043422,-0.000401,-0.000780,0.000408,-0.000040,0.000079,-0.000003
2,1836152.445465018,0.014716,-0.023037,-0.043420,-0.001003,-0.001416,0.000817,-0.000080,0.000157,-0.000006
3,1836152.450408865,0.014711,-0.023044,-0.043416,-0.001509,-0.001947,0.001194,-0.000120,0.000235,-0.000009
4,1836152.455352713,0.014704,-0.023053,-0.043410,-0.001824,-0.002141,0.001521,-0.000160,0.000314,-0.000012
5,1836152.460296561,0.014695,-0.023064,-0.043403,-0.002064,-0.001985,0.001713,-0.000200,0.000392,-0.000016
6,1836152.465240408,0.014684,-0.023074,-0.043394,-0.002137,-0.001663,0.001825,-0.000240,0.000471,-0.000019
7,1836152.470184256,0.014674,-0.023082,-0.043385,-0.002002,-0.001176,0.001643,-0.000280,0.000549,-0.000022
8,1836152.475097586,0.014664,-0.023088,-0.043377,-0.001721,-0.000540,0.001340,-0.000320,0.000627,-0.000025
9,1836152.480071951,0.014655,-0.023091,-0.043370,-0.001316,0.000037,0.001012,-0.000360,0.000706,-0.000028
10,1836152.484985281,0.014649,-0.023090,-0.043365,-0.000976,0.000631,0.000616,-0.000400,0.000784,-0.000031
11,1836152.489929129,0.014644,-0.023087,-0.043362,-0.000620,0.001158,0.000170,-0.000440,0.000863,-0.000034
12,1836152.494872977,0.014641,-0.023082,-0.043361,-0.000151,0.001601,-0.000233,-0.000480,0.000941,-0.000037
13,1836152.499786307,0.014640,-0.023074,-0.043363,0.000409,0.001965,-0.000714,-0.000520,0.001019,-0.000040
14,1836152.504760672,0.014642,-0.023064,-0.043366,0.000906,0.002164,-0.001336,-0.000561,0.001098,-0.000044
15,1836152.509704520,0.014647,-0.023053,-0.043373,0.001580,0.002247,-0.002185,-0.000601,0.001177,-0.000047
16,1836152.514648367,0.014655,-0.023042,-0.043384,0.002478,0.002298,-0.002988,-0.000641,0.001255,-0.000050
17,1836152.519592215,0.014667,-0.023031,-0.043398,0.003462,0.002256,-0.004013,-0.000681,0.001334,-0.000053
18,1836152.524536063,0.014684,-0.023020,-0.043418,0.004705,0.002141,-0.005102,-0.000721,0.001412,-0.000056
19,1836152.529479910,0.014707,-0.023009,-0.043443,0.006025,0.001914,-0.006126,-0.000761,0.001491,-0.000059
20,1836152.534393240,0.014737,-0.023000,-0.043473,0.007088,0.001682,-0.007027,-0.000801,0.001569,-0.000062
21,1836152.539337088,0.014772,-0.022991,-0.043508,0.008272,0.001310,-0.007838,-0.000841,0.001648,-0.000065
22,1836152.544280936,0.014813,-0.022985,-0.043547,0.009462,0.000704,-0.008395,-0.000881,0.001726,-0.000068
23,1836152.549194266,0.014859,-0.022981,-0.043588,0.010358,-0.000025,-0.008818,-0.000921,0.001804,-0.000072
24,1836152.554138113,0.014911,-0.022981,-0.043632,0.011148,-0.000667,-0.009143,-0.000961,0.001883,-0.000075
25,1836152.559081961,0.014966,-0.022985,-0.043677,0.011738,-0.001588,-0.009412,-0.001001,0.001961,-0.000078
26,1836152.564025809,0.015024,-0.022993,-0.043724,0.012198,-0.002572,-0.009554,-0.001041,0.002040,-0.000081
27,1836152.568969656,0.015084,-0.023005,-0.043771,0.012384,-0.003477,-0.009601,-0.001081,0.002118,-0.000084
28,1836152.573913504,0.015145,-0.023022,-0.043818,0.012407,-0.004649,-0.009499,-0.001121,0.002197,-0.000087
29,1836152.578826834,0.015206,-0.023045,-0.043865,0.012300,-0.005823,-0.009353,-0.001161,0.002275,-0.000090
30,1836152.583770682,0.015267,-0.023074,-0.043911,0.011929,-0.007029,-0.009220,-0.001201,0.002353,-0.000093
31,1836152.588714529,0.015326,-0.023109,-0.043957,0.011464,-0.008333,-0.009124,-0.001241,0.002432,-0.000097
32,1836152.593658377,0.015383,-0.023150,-0.044002,0.010974,-0.009619,-0.008918,-0.001281,0.002510,-0.000100
33,1836152.598602225,0.015437,-0.023198,-0.044046,0.010284,-0.010914,-0.008766,-0.001321,0.002589,-0.000103
34,1836152.603546072,0.015488,-0.023252,-0.044089,0.009595,-0.011938,-0.008716,-0.001361,0.002667,-0.000106
35,1836152.608489920,0.015535,-0.023311,-0.044132,0.008874,-0.012817,-0.008696,-0.001401,0.002746,-0.000109
36,1836152.613433768,0.015579,-0.023374,-0.044175,0.008286,-0.013688,-0.008719,-0.001441,0.002824,-0.000112
37,1836152.618347098,0.015620,-0.023441,-0.044218,0.007736,-0.014291,-0.008633,-0.001481,0.002903,-0.000115
38,1836152.623290946,0.015658,-0.023512,-0.044261,0.007167,-0.014692,-0.008610,-0.001521,0.002981,-0.000118
39,1836152.628234793,0.015693,-0.023584,-0.044303,0.006488,-0.015074,-0.008624,-0.001561,0.003060,-0.000121
40,1836152.633178641,0.015725,-0.023659,-0.044346,0.005879,-0.015204,-0.008618,-0.001601,0.003138,-0.000125
