,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,-0.191836,-0.366973,-0.021116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,-0.191836,-0.366973,-0.021116,0.000689,0.000544,0.000408,-0.000083,0.000050,0.000068
2,1836152.445465018,-0.191838,-0.366977,-0.021114,0.001500,0.000873,0.000817,-0.000165,0.000099,0.000136
3,1836152.450408865,-0.191842,-0.366984,-0.021110,0.002181,0.001147,0.001194,-0.000248,0.000148,0.000205
4,1836152.455352713,-0.191849,-0.366994,-0.021104,0.002549,0.001194,0.001522,-0.000330,0.000198,0.000273
5,1836152.460296561,-0.191858,-0.367005,-0.021097,0.002704,0.000953,0.001714,-0.000413,0.000248,0.000342
6,1836152.465240408,-0.191868,-0.367015,-0.021088,0.002639,0.000632,0.001826,-0.000496,0.000297,0.000410
7,1836152.470184256,-0.191878,-0.367023,-0.021079,0.002316,0.000246,0.001645,-0.000579,0.000347,0.000479
8,1836152.475097586,-0.191888,-0.367029,-0.021071,0.001799,-0.000215,0.001342,-0.000661,0.000396,0.000547
9,1836152.480071951,-0.191897,-0.367032,-0.021065,0.001195,-0.000570,0.001014,-0.000744,0.000446,0.000615
10,1836152.484985281,-0.191903,-0.367032,-0.021060,0.000642,-0.000968,0.000618,-0.000826,0.000495,0.000683
11,1836152.489929129,-0.191908,-0.367030,-0.021057,0.000103,-0.001297,0.000172,-0.000909,0.000545,0.000752
12,1836152.494872977,-0.191911,-0.367024,-0.021056,-0.000503,-0.001503,-0.000231,-0.000992,0.000594,0.000820
13,1836152.499786307,-0.191912,-0.367016,-0.021057,-0.001159,-0.001600,-0.000712,-0.001074,0.000644,0.000888
14,1836152.504760672,-0.191911,-0.367007,-0.021060,-0.001689,-0.001573,-0.001334,-0.001157,0.000693,0.000957
15,1836152.509704520,-0.191907,-0.366996,-0.021067,-0.002330,-0.001366,-0.002184,-0.001240,0.000743,0.001025
16,1836152.514648367,-0.191899,-0.366985,-0.021078,-0.003163,-0.001036,-0.002988,-0.001323,0.000793,0.001094
17,1836152.519592215,-0.191887,-0.366973,-0.021093,-0.004034,-0.000587,-0.004015,-0.001405,0.000842,0.001162
18,1836152.524536063,-0.191871,-0.366962,-0.021112,-0.005111,0.000036,-0.005105,-0.001488,0.000892,0.001231
19,1836152.529479910,-0.191848,-0.366951,-0.021138,-0.006210,0.000794,-0.006130,-0.001571,0.000941,0.001299
20,1836152.534393240,-0.191819,-0.366941,-0.021168,-0.007073,0.001449,-0.007033,-0.001653,0.000991,0.001367
21,1836152.539337088,-0.191785,-0.366932,-0.021203,-0.007988,0.002283,-0.007845,-0.001736,0.001040,0.001436
22,1836152.544280936,-0.191744,-0.366925,-0.021242,-0.008812,0.003333,-0.008404,-0.001819,0.001090,0.001504
23,1836152.549194266,-0.191698,-0.366920,-0.021283,-0.009316,0.004372,-0.008828,-0.001901,0.001139,0.001572
24,1836152.554138113,-0.191648,-0.366920,-0.021327,-0.009760,0.005290,-0.009155,-0.001984,0.001189,0.001640
25,1836152.559081961,-0.191593,-0.366922,-0.021372,-0.009906,0.006378,-0.009424,-0.002066,0.001238,0.001709
26,1836152.564025809,-0.191535,-0.366929,-0.021419,-0.009907,0.007469,-0.009568,-0.002149,0.001288,0.001777
