,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,0.014718,-0.023033,-0.043422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,0.014718,-0.023033,-0.043422,-0.000401,-0.000780,0.000408,0.000000,0.000000,0.000000
2,1836152.445465018,0.014716,-0.023037,-0.043420,-0.001003,-0.001416,0.000817,0.000000,0.000000,0.000000
3,1836152.450408865,0.014711,-0.023044,-0.043416,-0.001509,-0.001947,0.001193,0.000000,0.000000,0.000000
4,1836152.455352713,0.014704,-0.023053,-0.043410,-0.001823,-0.002142,0.001519,0.000000,0.000000,0.000000
5,1836152.460296561,0.014695,-0.023064,-0.043403,-0.002063,-0.001986,0.001710,0.000000,0.000000,0.000000
6,1836152.465240408,0.014684,-0.023074,-0.043394,-0.002135,-0.001666,0.001819,0.000000,0.000000,0.000000
7,1836152.470184256,0.014674,-0.023082,-0.043385,-0.001998,-0.001179,0.001636,0.000000,0.000000,0.000000
8,1836152.475097586,0.014664,-0.023088,-0.043377,-0.001716,-0.000544,0.001330,0.000000,0.000000,0.000000
9,1836152.480071951,0.014655,-0.023091,-0.043370,-0.001310,0.000031,0.000999,0.000000,0.000000,0.000000
10,1836152.484985281,0.014649,-0.023090,-0.043366,-0.000968,0.000624,0.000600,0.000000,0.000000,0.000000
11,1836152.489929129,0.014644,-0.023087,-0.043363,-0.000610,0.001149,0.000151,0.000000,0.000000,0.000000
12,1836152.494872977,0.014641,-0.023082,-0.043362,-0.000139,0.001590,-0.000256,0.000000,0.000000,0.000000
13,1836152.499786307,0.014641,-0.023074,-0.043363,0.000423,0.001952,-0.000742,0.000000,0.000000,0.000000
14,1836152.504760672,0.014643,-0.023064,-0.043367,0.000922,0.002149,-0.001368,0.000000,0.000000,0.000000
15,1836152.509704520,0.014647,-0.023054,-0.043374,0.001598,0.002229,-0.002222,0.000000,0.000000,0.000000
16,1836152.514648367,0.014655,-0.023043,-0.043385,0.002500,0.002278,-0.003031,0.000000,0.000000,0.000000
17,1836152.519592215,0.014667,-0.023031,-0.043400,0.003486,0.002233,-0.004062,0.000000,0.000000,0.000000
18,1836152.524536063,0.014685,-0.023020,-0.043420,0.004733,0.002116,-0.005157,0.000000,0.000000,0.000000
19,1836152.529479910,0.014708,-0.023010,-0.043445,0.006056,0.001885,-0.006188,0.000000,0.000000,0.000000
20,1836152.534393240,0.014738,-0.023001,-0.043476,0.007122,0.001650,-0.007096,0.000000,0.000000,0.000000
21,1836152.539337088,0.014773,-0.022992,-0.043511,0.008309,0.001275,-0.007914,0.000000,0.000000,0.000000
22,1836152.544280936,0.014814,-0.022986,-0.043550,0.009504,0.000665,-0.008478,0.000000,0.000000,0.000000
23,1836152.549194266,0.014861,-0.022983,-0.043591,0.010403,-0.000067,-0.008909,0.000000,0.000000,0.000000
24,1836152.554138113,0.014912,-0.022983,-0.043635,0.011198,-0.000713,-0.009242,0.000000,0.000000,0.000000
25,1836152.559081961,0.014968,-0.022987,-0.043681,0.011792,-0.001638,-0.009519,0.000000,0.000000,0.000000
26,1836152.564025809,0.015026,-0.022995,-0.043728,0.012256,-0.002626,-0.009671,0.000000,0.000000,0.000000
27,1836152.568969656,0.015087,-0.023008,-0.043776,0.012447,-0.003535,-0.009727,0.000000,0.000000,0.000000
28,1836152.573913504,0.015148,-0.023025,-0.043824,0.012475,-0.004713,-0.009635,0.000000,0.000000,0.000000
29,1836152.578826834,0.015209,-0.023048,-0.043871,0.012373,-0.005891,-0.009499,0.000000,0.000000,0.000000
30,1836152.583770682,0.015271,-0.023077,-0.043918,0.012006,-0.007101,-0.009377,0.000000,0.000000,0.000000
31,1836152.588714529,0.015330,-0.023113,-0.043965,0.011547,-0.008411,-0.009291,0.000000,0.000000,0.000000
32,1836152.593658377,0.015387,-0.023154,-0.044011,0.011063,-0.009702,-0.009096,0.000000,0.000000,0.000000
33,1836152.598602225,0.015442,-0.023202,-0.044056,0.010379,-0.011003,-0.008956,0.000000,0.000000,0.000000
34,1836152.603546072,0.015493,-0.023257,-0.044100,0.009695,-0.012031,-0.008918,0.000000,0.000000,0.000000
35,1836152.608489920,0.015541,-0.023316,-0.044144,0.008980,-0.012916,-0.008910,0.000000,0.000000,0.000000
36,1836152.613433768,0.015585,-0.023380,-0.044188,0.008398,-0.013794,-0.008946,0.000000,0.000000,0.000000
37,1836152.618347098,0.015627,-0.023448,-0.044232,0.007855,-0.014403,-0.008872,0.000000,0.000000,0.000000
38,1836152.623290946,0.015665,-0.023519,-0.044276,0.007293,-0.014810,-0.008863,0.000000,0.000000,0.000000
39,1836152.628234793,0.015701,-0.023592,-0.044320,0.006620,-0.015198,-0.008891,0.000000,0.000000,0.000000
40,1836152.633178641,0.015734,-0.023667,-0.044364,0.006018,-0.015334,-0.008899,0.000000,0.000000,0.000000
41,1836152.638091971,0.015764,-0.023743,-0.044407,0.005441,-0.015350,-0.008952,0.000000,0.000000,0.000000
42,1836152.643035819,0.015791,-0.023818,-0.044452,0.004935,-0.015327,-0.009086,0.000000,0.000000,0.000000
43,1836152.647979666,0.015815,-0.023894,-0.044497,0.004466,-0.014892,-0.009389,0.000000,0.000000,0.000000
44,1836152.652923514,0.015837,-0.023968,-0.044543,0.004142,-0.014255,-0.009772,0.000000,0.000000,0.000000
45,1836152.657836844,0.015857,-0.024038,-0.044591,0.003915,-0.013593,-0.010442,0.000000,0.000000,0.000000
46,1836152.662780692,0.015877,-0.024105,-0.044643,0.003847,-0.012597,-0.011228,0.000000,0.000000,0.000000
47,1836152.667724539,0.015896,-0.024167,-0.044698,0.003676,-0.011576,-0.011925,0.000000,0.000000,0.000000
48,1836152.672668387,0.015914,-0.024225,-0.044757,0.003349,-0.010493,-0.012623,0.000000,0.000000,0.000000
49,1836152.677612235,0.015931,-0.024276,-0.044819,0.002878,-0.009174,-0.013103,0.000000,0.000000,0.000000
50,1836152.682525565,0.015945,-0.024322,-0.044884,0.002515,-0.007689,-0.013556,0.000000,0.000000,0.000000
51,1836152.687469412,0.015957,-0.024360,-0.044951,0.002184,-0.005939,-0.014217,0.000000,0.000000,0.000000
52,1836152.692413260,0.015968,-0.024389,-0.045021,0.001919,-0.004153,-0.015027,0.000000,0.000000,0.000000
53,1836152.697357108,0.015977,-0.024409,-0.045095,0.001725,-0.002405,-0.015873,0.000000,0.000000,0.000000
54,1836152.702300955,0.015986,-0.024421,-0.045174,0.001572,-0.000486,-0.017015,0.000000,0.000000,0.000000
