,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,0.014718,-0.023033,-0.043422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,0.014718,-0.023033,-0.043422,-0.000401,-0.000780,0.000408,-0.000078,0.000142,-0.000166
2,1836152.445465018,0.014716,-0.023037,-0.043420,-0.001003,-0.001415,0.000817,-0.000155,0.000284,-0.000332
3,1836152.450408865,0.014711,-0.023044,-0.043416,-0.001510,-0.001944,0.001194,-0.000232,0.000426,-0.000498
4,1836152.455352713,0.014704,-0.023053,-0.043410,-0.001825,-0.002135,0.001521,-0.000310,0.000568,-0.000664
5,1836152.460296561,0.014695,-0.023064,-0.043403,-0.002066,-0.001976,0.001713,-0.000387,0.000711,-0.000831
6,1836152.465240408,0.014684,-0.023074,-0.043394,-0.002140,-0.001650,0.001825,-0.000465,0.000853,-0.000997
7,1836152.470184256,0.014674,-0.023082,-0.043385,-0.002005,-0.001158,0.001643,-0.000542,0.000995,-0.001164
8,1836152.475097586,0.014664,-0.023088,-0.043377,-0.001725,-0.000515,0.001340,-0.000619,0.001137,-0.001329
9,1836152.480071951,0.014655,-0.023090,-0.043370,-0.001322,0.000068,0.001012,-0.000698,0.001280,-0.001496
10,1836152.484985281,0.014649,-0.023090,-0.043365,-0.000983,0.000671,0.000616,-0.000775,0.001421,-0.001662
11,1836152.489929129,0.014644,-0.023087,-0.043362,-0.000628,0.001206,0.000170,-0.000852,0.001564,-0.001828
12,1836152.494872977,0.014641,-0.023081,-0.043361,-0.000161,0.001658,-0.000233,-0.000930,0.001706,-0.001994
13,1836152.499786307,0.014640,-0.023072,-0.043363,0.000397,0.002033,-0.000714,-0.001007,0.001847,-0.002160
14,1836152.504760672,0.014642,-0.023062,-0.043366,0.000893,0.002244,-0.001336,-0.001085,0.001991,-0.002327
15,1836152.509704520,0.014646,-0.023051,-0.043373,0.001564,0.002338,-0.002185,-0.001162,0.002133,-0.002494
16,1836152.514648367,0.014654,-0.023040,-0.043384,0.002460,0.002402,-0.002988,-0.001240,0.002275,-0.002660
17,1836152.519592215,0.014666,-0.023028,-0.043398,0.003442,0.002374,-0.004014,-0.001317,0.002418,-0.002826
18,1836152.524536063,0.014683,-0.023016,-0.043418,0.004683,0.002275,-0.005103,-0.001395,0.002560,-0.002993
19,1836152.529479910,0.014707,-0.023005,-0.043443,0.006000,0.002063,-0.006127,-0.001473,0.002702,-0.003159
20,1836152.534393240,0.014736,-0.022995,-0.043473,0.007060,0.001848,-0.007028,-0.001550,0.002844,-0.003324
21,1836152.539337088,0.014771,-0.022986,-0.043508,0.008241,0.001493,-0.007839,-0.001627,0.002986,-0.003491
22,1836152.544280936,0.014812,-0.022978,-0.043547,0.009428,0.000905,-0.008396,-0.001705,0.003128,-0.003657
23,1836152.549194266,0.014858,-0.022974,-0.043588,0.010321,0.000196,-0.008819,-0.001782,0.003270,-0.003823
24,1836152.554138113,0.014909,-0.022973,-0.043632,0.011108,-0.000426,-0.009144,-0.001859,0.003412,-0.003989
25,1836152.559081961,0.014964,-0.022975,-0.043677,0.011694,-0.001326,-0.009413,-0.001937,0.003554,-0.004155
26,1836152.564025809,0.015022,-0.022981,-0.043724,0.012150,-0.002288,-0.009555,-0.002015,0.003697,-0.004322
27,1836152.568969656,0.015082,-0.022993,-0.043771,0.012332,-0.003170,-0.009602,-0.002092,0.003839,-0.004488
28,1836152.573913504,0.015143,-0.023008,-0.043818,0.012351,-0.004320,-0.009500,-0.002170,0.003981,-0.004654
29,1836152.578826834,0.015203,-0.023030,-0.043865,0.012240,-0.005469,-0.009354,-0.002247,0.004123,-0.004820
30,1836152.583770682,0.015264,-0.023057,-0.043911,0.011865,-0.006649,-0.009222,-0.002324,0.004265,-0.004986
31,1836152.588714529,0.015323,-0.023090,-0.043957,0.011395,-0.007928,-0.009126,-0.002402,0.004407,-0.005153
32,1836152.593658377,0.015379,-0.023129,-0.044002,0.010901,-0.009186,-0.008919,-0.002479,0.004550,-0.005319
33,1836152.598602225,0.015433,-0.023174,-0.044046,0.010207,-0.010454,-0.008767,-0.002557,0.004692,-0.005485
34,1836152.603546072,0.015483,-0.023226,-0.044089,0.009512,-0.011448,-0.008718,-0.002635,0.004834,-0.005652
35,1836152.608489920,0.015530,-0.023282,-0.044132,0.008787,-0.012298,-0.008698,-0.002712,0.004977,-0.005818
36,1836152.613433768,0.015574,-0.023343,-0.044175,0.008193,-0.013139,-0.008721,-0.002790,0.005119,-0.005984
37,1836152.618347098,0.015614,-0.023408,-0.044218,0.007638,-0.013710,-0.008634,-0.002867,0.005260,-0.006150
38,1836152.623290946,0.015652,-0.023476,-0.044261,0.007064,-0.014079,-0.008612,-0.002944,0.005403,-0.006316
39,1836152.628234793,0.015687,-0.023545,-0.044304,0.006380,-0.014428,-0.008626,-0.003022,0.005545,-0.006483
40,1836152.633178641,0.015718,-0.023616,-0.044346,0.005766,-0.014524,-0.008620,-0.003099,0.005687,-0.006649
41,1836152.638091971,0.015747,-0.023688,-0.044389,0.005176,-0.014497,-0.008659,-0.003176,0.005829,-0.006814
42,1836152.643035819,0.015772,-0.023759,-0.044431,0.004656,-0.014433,-0.008777,-0.003254,0.005971,-0.006981
43,1836152.647979666,0.015795,-0.023831,-0.044475,0.004174,-0.013954,-0.009065,-0.003332,0.006114,-0.007147
44,1836152.652923514,0.015816,-0.023900,-0.044520,0.003836,-0.013272,-0.009432,-0.003409,0.006256,-0.007313
45,1836152.657836844,0.015835,-0.023965,-0.044566,0.003595,-0.012564,-0.010087,-0.003486,0.006397,-0.007479
46,1836152.662780692,0.015852,-0.024027,-0.044616,0.003512,-0.011521,-0.010856,-0.003564,0.006540,-0.007645
47,1836152.667724539,0.015870,-0.024084,-0.044669,0.003327,-0.010453,-0.011537,-0.003641,0.006682,-0.007812
48,1836152.672668387,0.015886,-0.024136,-0.044727,0.002985,-0.009321,-0.012217,-0.003719,0.006824,-0.007978
49,1836152.677612235,0.015901,-0.024182,-0.044787,0.002499,-0.007952,-0.012680,-0.003796,0.006967,-0.008144
50,1836152.682525565,0.015913,-0.024221,-0.044849,0.002121,-0.006416,-0.013115,-0.003874,0.007108,-0.008310
51,1836152.687469412,0.015924,-0.024253,-0.044914,0.001774,-0.004615,-0.013757,-0.003951,0.007250,-0.008476
52,1836152.692413260,0.015933,-0.024275,-0.044982,0.001493,-0.002776,-0.014548,-0.004029,0.007393,-0.008642
53,1836152.697357108,0.015940,-0.024289,-0.045054,0.001282,-0.000973,-0.015375,-0.004106,0.007535,-0.008809
54,1836152.702300955,0.015946,-0.024294,-0.045130,0.001112,0.001000,-0.016497,-0.004184,0.007677,-0.008975
55,1836152.707244803,0.015952,-0.024289,-0.045212,0.000798,0.002861,-0.017572,-0.004261,0.007820,-0.009142
56,1836152.712188651,0.015956,-0.024275,-0.045298,0.000181,0.004638,-0.018579,-0.004339,0.007962,-0.009308
57,1836152.717101981,0.015957,-0.024252,-0.045390,-0.000590,0.006009,-0.019558,-0.004416,0.008103,-0.009473
58,1836152.722015311,0.015954,-0.024223,-0.045486,-0.001463,0.006944,-0.020319,-0.004493,0.008245,-0.009639
59,1836152.726959158,0.015947,-0.024188,-0.045586,-0.002723,0.007603,-0.021056,-0.004571,0.008387,-0.009805
60,1836152.731903006,0.015933,-0.024151,-0.045690,-0.004145,0.008071,-0.021909,-0.004648,0.008529,-0.009971
61,1836152.736846854,0.015913,-0.024111,-0.045799,-0.005636,0.008344,-0.022706,-0.004726,0.008672,-0.010138
62,1836152.741790701,0.015885,-0.024070,-0.045911,-0.007274,0.008574,-0.023425,-0.004803,0.008814,-0.010304
63,1836152.746734549,0.015849,-0.024027,-0.046027,-0.008886,0.008800,-0.024015,-0.004881,0.008956,-0.010471
64,1836152.751678397,0.015805,-0.023984,-0.046145,-0.010291,0.009124,-0.024580,-0.004958,0.009099,-0.010637
65,1836152.756591727,0.015754,-0.023939,-0.046266,-0.011574,0.009731,-0.025019,-0.005035,0.009240,-0.010802
66,1836152.761535574,0.015697,-0.023891,-0.046390,-0.012605,0.010824,-0.025425,-0.005113,0.009382,-0.010969
67,1836152.766479422,0.015635,-0.023837,-0.046516,-0.013724,0.012037,-0.025807,-0.005191,0.009525,-0.011135
68,1836152.771423270,0.015567,-0.023778,-0.046643,-0.014693,0.013689,-0.026418,-0.005268,0.009667,-0.011301
69,1836152.776367117,0.015494,-0.023710,-0.046774,-0.015472,0.015577,-0.026991,-0.005346,0.009809,-0.011468
70,1836152.781310965,0.015418,-0.023633,-0.046907,-0.016031,0.017485,-0.027423,-0.005423,0.009952,-0.011634
71,1836152.786224295,0.015339,-0.023547,-0.047042,-0.016549,0.019575,-0.027769,-0.005500,0.010093,-0.011800
72,1836152.791168143,0.015257,-0.023450,-0.047179,-0.016942,0.021445,-0.027886,-0.005578,0.010235,-0.011966
73,1836152.796111990,0.015173,-0.023344,-0.047317,-0.017319,0.023027,-0.027950,-0.005655,0.010378,-0.012132
74,1836152.801025321,0.015088,-0.023231,-0.047454,-0.017867,0.024106,-0.027923,-0.005732,0.010519,-0.012298
75,1836152.805938651,0.015001,-0.023113,-0.047592,-0.018495,0.024705,-0.027755,-0.005810,0.010661,-0.012463
76,1836152.810913016,0.014909,-0.022990,-0.047730,-0.019308,0.024741,-0.027712,-0.005888,0.010804,-0.012630
77,1836152.815887381,0.014812,-0.022867,-0.047868,-0.020366,0.024324,-0.027778,-0.005966,0.010947,-0.012798
78,1836152.820800711,0.014712,-0.022747,-0.048004,-0.021484,0.023464,-0.027909,-0.006043,0.011089,-0.012963
79,1836152.825714041,0.014607,-0.022632,-0.048141,-0.022404,0.022129,-0.027999,-0.006120,0.011230,-0.013128
80,1836152.830657889,0.014496,-0.022523,-0.048280,-0.023249,0.020515,-0.028036,-0.006197,0.011372,-0.013295
81,1836152.835571219,0.014382,-0.022422,-0.048417,-0.024034,0.018808,-0.028181,-0.006274,0.011514,-0.013460
82,1836152.840515067,0.014263,-0.022329,-0.048557,-0.024696,0.016966,-0.028338,-0.006352,0.011656,-0.013627
83,1836152.845458914,0.014141,-0.022245,-0.048697,-0.025185,0.015302,-0.028348,-0.006430,0.011798,-0.013793
84,1836152.850402762,0.014016,-0.022169,-0.048837,-0.025498,0.013983,-0.028389,-0.006507,0.011941,-0.013959
85,1836152.855346610,0.013890,-0.022100,-0.048977,-0.025767,0.013032,-0.028345,-0.006585,0.012083,-0.014126
86,1836152.860290457,0.013763,-0.022036,-0.049117,-0.025988,0.012559,-0.028247,-0.006662,0.012225,-0.014292
87,1836152.865203787,0.013635,-0.021974,-0.049256,-0.026092,0.012623,-0.028332,-0.006739,0.012367,-0.014457
88,1836152.870147635,0.013506,-0.021912,-0.049396,-0.025958,0.013347,-0.028568,-0.006817,0.012509,-0.014624
89,1836152.875091483,0.013378,-0.021846,-0.049538,-0.025676,0.014733,-0.028799,-0.006894,0.012651,-0.014790
90,1836152.880065848,0.013250,-0.021772,-0.049681,-0.025183,0.016539,-0.029138,-0.006972,0.012795,-0.014958
91,1836152.884979178,0.013126,-0.021691,-0.049824,-0.024654,0.018872,-0.029751,-0.007049,0.012936,-0.015123
92,1836152.889892508,0.013005,-0.021598,-0.049970,-0.024167,0.021310,-0.030341,-0.007127,0.013077,-0.015288
93,1836152.894836356,0.012886,-0.021493,-0.050120,-0.023763,0.023839,-0.031095,-0.007204,0.013220,-0.015455
94,1836152.899780203,0.012768,-0.021375,-0.050274,-0.023317,0.026199,-0.031840,-0.007282,0.013362,-0.015621
95,1836152.904724051,0.012653,-0.021246,-0.050431,-0.023079,0.028084,-0.032638,-0.007359,0.013504,-0.015787
96,1836152.909667899,0.012539,-0.021107,-0.050593,-0.023012,0.029452,-0.033262,-0.007437,0.013647,-0.015954
97,1836152.914581229,0.012426,-0.020962,-0.050756,-0.023071,0.030048,-0.033900,-0.007514,0.013788,-0.016119
98,1836152.919525076,0.012312,-0.020813,-0.050924,-0.023268,0.029897,-0.034676,-0.007591,0.013930,-0.016286
99,1836152.924468924,0.012197,-0.020666,-0.051095,-0.023509,0.029206,-0.035533,-0.007669,0.014073,-0.016452
