,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,-0.095636,-0.409840,-0.039291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,-0.095636,-0.409840,-0.039291,0.000689,0.000544,0.000408,-0.000013,0.000062,0.000043
2,1836152.445465018,-0.095638,-0.409844,-0.039289,0.001500,0.000873,0.000817,-0.000026,0.000123,0.000085
3,1836152.450408865,-0.095643,-0.409851,-0.039285,0.002180,0.001147,0.001194,-0.000039,0.000184,0.000128
4,1836152.455352713,-0.095651,-0.409860,-0.039279,0.002547,0.001194,0.001522,-0.000052,0.000246,0.000170
5,1836152.460296561,-0.095661,-0.409870,-0.039271,0.002700,0.000954,0.001714,-0.000065,0.000307,0.000213
6,1836152.465240408,-0.095672,-0.409879,-0.039263,0.002634,0.000633,0.001826,-0.000078,0.000369,0.000256
7,1836152.470184256,-0.095683,-0.409887,-0.039254,0.002308,0.000247,0.001645,-0.000091,0.000430,0.000299
8,1836152.475097586,-0.095693,-0.409892,-0.039246,0.001789,-0.000214,0.001342,-0.000104,0.000491,0.000341
9,1836152.480071951,-0.095702,-0.409894,-0.039239,0.001181,-0.000568,0.001013,-0.000117,0.000553,0.000384
10,1836152.484985281,-0.095708,-0.409894,-0.039234,0.000625,-0.000966,0.000618,-0.000130,0.000614,0.000426
11,1836152.489929129,-0.095713,-0.409891,-0.039231,0.000083,-0.001296,0.000172,-0.000143,0.000676,0.000469
12,1836152.494872977,-0.095715,-0.409885,-0.039230,-0.000528,-0.001501,-0.000231,-0.000157,0.000737,0.000512
13,1836152.499786307,-0.095716,-0.409877,-0.039231,-0.001188,-0.001597,-0.000712,-0.000170,0.000799,0.000554
14,1836152.504760672,-0.095713,-0.409867,-0.039235,-0.001723,-0.001570,-0.001335,-0.000183,0.000860,0.000597
15,1836152.509704520,-0.095708,-0.409857,-0.039241,-0.002369,-0.001362,-0.002184,-0.000196,0.000922,0.000640
16,1836152.514648367,-0.095699,-0.409847,-0.039252,-0.003207,-0.001033,-0.002989,-0.000209,0.000983,0.000682
17,1836152.519592215,-0.095686,-0.409836,-0.039267,-0.004085,-0.000583,-0.004015,-0.000222,0.001045,0.000725
18,1836152.524536063,-0.095669,-0.409826,-0.039287,-0.005168,0.000040,-0.005105,-0.000235,0.001106,0.000768
19,1836152.529479910,-0.095645,-0.409817,-0.039312,-0.006274,0.000799,-0.006131,-0.000248,0.001168,0.000811
20,1836152.534393240,-0.095615,-0.409810,-0.039342,-0.007144,0.001455,-0.007034,-0.000261,0.001229,0.000853
21,1836152.539337088,-0.095579,-0.409803,-0.039377,-0.008066,0.002289,-0.007846,-0.000274,0.001291,0.000896
22,1836152.544280936,-0.095538,-0.409800,-0.039416,-0.008897,0.003340,-0.008405,-0.000287,0.001352,0.000938
23,1836152.549194266,-0.095491,-0.409799,-0.039457,-0.009410,0.004380,-0.008829,-0.000300,0.001413,0.000981
24,1836152.554138113,-0.095440,-0.409802,-0.039501,-0.009862,0.005298,-0.009156,-0.000313,0.001475,0.001023
25,1836152.559081961,-0.095385,-0.409809,-0.039546,-0.010017,0.006387,-0.009426,-0.000326,0.001536,0.001066
26,1836152.564025809,-0.095328,-0.409821,-0.039593,-0.010027,0.007480,-0.009569,-0.000339,0.001598,0.001109
27,1836152.568969656,-0.095268,-0.409837,-0.039640,-0.009821,0.008387,-0.009617,-0.000352,0.001659,0.001152
28,1836152.573913504,-0.095208,-0.409858,-0.039688,-0.009355,0.009472,-0.009516,-0.000365,0.001721,0.001194
29,1836152.578826834,-0.095148,-0.409885,-0.039735,-0.008771,0.010503,-0.009371,-0.000378,0.001782,0.001237
30,1836152.583770682,-0.095089,-0.409918,-0.039781,-0.007933,0.011454,-0.009239,-0.000391,0.001843,0.001279
31,1836152.588714529,-0.095032,-0.409956,-0.039827,-0.006969,0.012456,-0.009143,-0.000404,0.001905,0.001322
32,1836152.593658377,-0.094978,-0.410001,-0.039872,-0.005991,0.013431,-0.008937,-0.000417,0.001967,0.001365
33,1836152.598602225,-0.094927,-0.410053,-0.039917,-0.004826,0.014333,-0.008786,-0.000431,0.002028,0.001407
34,1836152.603546072,-0.094879,-0.410110,-0.039960,-0.003774,0.014987,-0.008736,-0.000444,0.002090,0.001450
35,1836152.608489920,-0.094835,-0.410172,-0.040003,-0.002754,0.015497,-0.008716,-0.000457,0.002151,0.001493
36,1836152.613433768,-0.094794,-0.410239,-0.040047,-0.001857,0.016055,-0.008739,-0.000470,0.002213,0.001535
37,1836152.618347098,-0.094757,-0.410309,-0.040090,-0.001107,0.016386,-0.008652,-0.000483,0.002274,0.001578
38,1836152.623290946,-0.094723,-0.410383,-0.040133,-0.000424,0.016525,-0.008629,-0.000496,0.002335,0.001621
39,1836152.628234793,-0.094692,-0.410458,-0.040175,0.000353,0.016601,-0.008643,-0.000509,0.002397,0.001663
40,1836152.633178641,-0.094664,-0.410535,-0.040218,0.000960,0.016477,-0.008637,-0.000522,0.002458,0.001706
41,1836152.638091971,-0.094639,-0.410612,-0.040261,0.001494,0.016253,-0.008674,-0.000535,0.002519,0.001748
42,1836152.643035819,-0.094617,-0.410690,-0.040304,0.001950,0.016025,-0.008792,-0.000548,0.002581,0.001791
43,1836152.647979666,-0.094597,-0.410767,-0.040347,0.002199,0.015436,-0.009080,-0.000561,0.002642,0.001834
44,1836152.652923514,-0.094580,-0.410842,-0.040392,0.002234,0.014724,-0.009446,-0.000574,0.002704,0.001876
45,1836152.657836844,-0.094564,-0.410914,-0.040439,0.002169,0.014029,-0.010099,-0.000587,0.002765,0.001919
46,1836152.662780692,-0.094549,-0.410982,-0.040489,0.001822,0.013095,-0.010868,-0.000600,0.002827,0.001962
47,1836152.667724539,-0.094534,-0.411046,-0.040542,0.001559,0.012098,-0.011548,-0.000613,0.002888,0.002004
48,1836152.672668387,-0.094520,-0.411104,-0.040600,0.001411,0.010978,-0.012227,-0.000626,0.002950,0.002047
49,1836152.677612235,-0.094507,-0.411157,-0.040660,0.001296,0.009584,-0.012688,-0.000639,0.003011,0.002090
50,1836152.682525565,-0.094496,-0.411203,-0.040722,0.001014,0.008085,-0.013122,-0.000652,0.003072,0.002132
51,1836152.687469412,-0.094486,-0.411242,-0.040787,0.000594,0.006357,-0.013763,-0.000665,0.003134,0.002175
