,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,-0.088634,0.713642,0.009650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,-0.088634,0.713642,0.009650,0.000689,0.000544,0.000408,0.001211,-0.000568,0.001881
2,1836152.445465018,-0.088636,0.713638,0.009652,0.001499,0.000884,0.000817,0.002415,-0.001133,0.003751
3,1836152.450408865,-0.088640,0.713631,0.009656,0.002177,0.001181,0.001195,0.003626,-0.001701,0.005632
4,1836152.455352713,-0.088647,0.713621,0.009662,0.002540,0.001262,0.001524,0.004838,-0.002270,0.007513
5,1836152.460296561,-0.088656,0.713610,0.009670,0.002690,0.001066,0.001717,0.006049,-0.002838,0.009394
6,1836152.465240408,-0.088666,0.713599,0.009679,0.002618,0.000802,0.001830,0.007260,-0.003406,0.011275
7,1836152.470184256,-0.088675,0.713590,0.009688,0.002286,0.000484,0.001651,0.008472,-0.003975,0.013156
8,1836152.475097586,-0.088684,0.713583,0.009696,0.001759,0.000101,0.001351,0.009675,-0.004539,0.015025
9,1836152.480071951,-0.088692,0.713579,0.009703,0.001143,-0.000162,0.001024,0.010894,-0.005111,0.016918
10,1836152.484985281,-0.088697,0.713577,0.009708,0.000577,-0.000459,0.000632,0.012098,-0.005676,0.018788
11,1836152.489929129,-0.088701,0.713578,0.009711,0.000024,-0.000676,0.000189,0.013309,-0.006244,0.020669
12,1836152.494872977,-0.088703,0.713581,0.009712,-0.000598,-0.000757,-0.000211,0.014521,-0.006812,0.022550
13,1836152.499786307,-0.088702,0.713585,0.009711,-0.001271,-0.000718,-0.000689,0.015724,-0.007377,0.024419
14,1836152.504760672,-0.088697,0.713591,0.009707,-0.001820,-0.000543,-0.001307,0.016943,-0.007949,0.026312
15,1836152.509704520,-0.088691,0.713598,0.009701,-0.002481,-0.000178,-0.002152,0.018154,-0.008517,0.028193
16,1836152.514648367,-0.088680,0.713604,0.009690,-0.003335,0.000321,-0.002952,0.019366,-0.009086,0.030074
17,1836152.519592215,-0.088665,0.713610,0.009675,-0.004229,0.000952,-0.003974,0.020577,-0.009654,0.031955
18,1836152.524536063,-0.088644,0.713614,0.009656,-0.005329,0.001767,-0.005059,0.021788,-0.010222,0.033836
19,1836152.529479910,-0.088616,0.713618,0.009630,-0.006454,0.002729,-0.006079,0.023000,-0.010790,0.035717
20,1836152.534393240,-0.088582,0.713620,0.009600,-0.007344,0.003598,-0.006976,0.024203,-0.011355,0.037587
21,1836152.539337088,-0.088542,0.713619,0.009566,-0.008287,0.004658,-0.007782,0.025415,-0.011924,0.039468
22,1836152.544280936,-0.088495,0.713616,0.009527,-0.009140,0.005947,-0.008334,0.026626,-0.012492,0.041349
23,1836152.549194266,-0.088442,0.713609,0.009486,-0.009675,0.007233,-0.008752,0.027830,-0.013057,0.043218
24,1836152.554138113,-0.088384,0.713598,0.009442,-0.010151,0.008411,-0.009072,0.029041,-0.013625,0.045099
25,1836152.559081961,-0.088321,0.713582,0.009397,-0.010330,0.009771,-0.009334,0.030252,-0.014193,0.046980
26,1836152.564025809,-0.088254,0.713561,0.009351,-0.010366,0.011146,-0.009471,0.031464,-0.014761,0.048862
27,1836152.568969656,-0.088184,0.713533,0.009304,-0.010187,0.012347,-0.009511,0.032675,-0.015330,0.050743
28,1836152.573913504,-0.088112,0.713500,0.009256,-0.009749,0.013737,-0.009402,0.033886,-0.015898,0.052624
29,1836152.578826834,-0.088040,0.713460,0.009210,-0.009194,0.015083,-0.009249,0.035090,-0.016463,0.054493
30,1836152.583770682,-0.087967,0.713413,0.009164,-0.008386,0.016361,-0.009109,0.036301,-0.017031,0.056374
31,1836152.588714529,-0.087895,0.713358,0.009119,-0.007452,0.017702,-0.009005,0.037513,-0.017599,0.058255
32,1836152.593658377,-0.087824,0.713295,0.009074,-0.006506,0.019027,-0.008790,0.038724,-0.018168,0.060136
33,1836152.598602225,-0.087754,0.713224,0.009030,-0.005374,0.020290,-0.008630,0.039935,-0.018736,0.062017
34,1836152.603546072,-0.087686,0.713145,0.008988,-0.004355,0.021317,-0.008571,0.041147,-0.019304,0.063899
35,1836152.608489920,-0.087621,0.713060,0.008945,-0.003370,0.022211,-0.008542,0.042358,-0.019873,0.065780
36,1836152.613433768,-0.087559,0.712968,0.008903,-0.002509,0.023164,-0.008556,0.043569,-0.020441,0.067661
37,1836152.618347098,-0.087498,0.712871,0.008861,-0.001795,0.023899,-0.008460,0.044773,-0.021006,0.069530
38,1836152.623290946,-0.087439,0.712768,0.008819,-0.001149,0.024456,-0.008428,0.045984,-0.021574,0.071411
39,1836152.628234793,-0.087381,0.712662,0.008778,-0.000410,0.024962,-0.008432,0.047196,-0.022142,0.073292
40,1836152.633178641,-0.087326,0.712552,0.008736,0.000158,0.025278,-0.008417,0.048407,-0.022710,0.075173
41,1836152.638091971,-0.087272,0.712439,0.008695,0.000653,0.025504,-0.008445,0.049611,-0.023275,0.077043
42,1836152.643035819,-0.087221,0.712324,0.008654,0.001068,0.025739,-0.008554,0.050822,-0.023844,0.078924
43,1836152.647979666,-0.087170,0.712207,0.008611,0.001275,0.025625,-0.008832,0.052033,-0.024412,0.080805
44,1836152.652923514,-0.087121,0.712090,0.008568,0.001268,0.025398,-0.009189,0.053245,-0.024980,0.082686
45,1836152.657836844,-0.087072,0.711975,0.008523,0.001160,0.025197,-0.009834,0.054448,-0.025545,0.084556
46,1836152.662780692,-0.087023,0.711860,0.008475,0.000769,0.024772,-0.010594,0.055660,-0.026113,0.086437
47,1836152.667724539,-0.086973,0.711748,0.008422,0.000460,0.024294,-0.011265,0.056871,-0.026681,0.088318
