,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1836152.435607840,0.014718,-0.023033,-0.043422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1836152.440551688,0.014718,-0.023033,0.000000,0.000689,0.000544,0.000408,0.000000,0.000000,0.000000
2,1836152.445465018,0.014721,-0.023030,0.000000,0.001500,0.000873,0.000817,0.000000,0.000000,0.000000
3,1836152.450408865,0.014729,-0.023026,0.000000,0.002180,0.001147,0.001193,0.000000,0.000000,0.000000
4,1836152.455352713,0.014740,-0.023020,0.000000,0.002546,0.001194,0.001519,0.000000,0.000000,0.000000
5,1836152.460296561,0.014752,-0.023014,0.000000,0.002700,0.000953,0.001710,0.000000,0.000000,0.000000
6,1836152.465240408,0.014766,-0.023010,0.000000,0.002632,0.000632,0.001820,0.000000,0.000000,0.000000
7,1836152.470184256,0.014779,-0.023007,0.000000,0.002306,0.000246,0.001637,0.000000,0.000000,0.000000
8,1836152.475097586,0.014790,-0.023005,0.000000,0.001786,-0.000215,0.001332,0.000000,0.000000,0.000000
9,1836152.480071951,0.014799,-0.023006,0.000000,0.001178,-0.000570,0.001000,0.000000,0.000000,0.000000
10,1836152.484985281,0.014805,-0.023009,0.000000,0.000621,-0.000969,0.000601,0.000000,0.000000,0.000000
11,1836152.489929129,0.014808,-0.023014,0.000000,0.000078,-0.001298,0.000152,0.000000,0.000000,0.000000
12,1836152.494872977,0.014808,-0.023020,0.000000,-0.000533,-0.001504,-0.000255,0.000000,0.000000,0.000000
13,1836152.499786307,0.014805,-0.023028,0.000000,-0.001194,-0.001601,-0.000741,0.000000,0.000000,0.000000
14,1836152.504760672,0.014799,-0.023036,0.000000,-0.001730,-0.001574,-0.001368,0.000000,0.000000,0.000000
15,1836152.509704520,0.014791,-0.023044,0.000000,-0.002378,-0.001368,-0.002222,0.000000,0.000000,0.000000
16,1836152.514648367,0.014779,-0.023050,0.000000,-0.003217,-0.001039,-0.003032,0.000000,0.000000,0.000000
17,1836152.519592215,0.014763,-0.023056,0.000000,-0.004096,-0.000590,-0.004065,0.000000,0.000000,0.000000
18,1836152.524536063,0.014743,-0.023058,0.000000,-0.005180,0.000033,-0.005161,0.000000,0.000000,0.000000
19,1836152.529479910,0.014717,-0.023058,0.000000,-0.006288,0.000791,-0.006193,0.000000,0.000000,0.000000
20,1836152.534393240,0.014686,-0.023054,0.000000,-0.007159,0.001445,-0.007102,0.000000,0.000000,0.000000
21,1836152.539337088,0.014651,-0.023047,0.000000,-0.008084,0.002279,-0.007922,0.000000,0.000000,0.000000
22,1836152.544280936,0.014611,-0.023036,0.000000,-0.008917,0.003329,-0.008489,0.000000,0.000000,0.000000
23,1836152.549194266,0.014567,-0.023020,0.000000,-0.009431,0.004368,-0.008920,0.000000,0.000000,0.000000
