,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,106953.615815212,0.229738,0.568515,0.662034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,106953.620759059,0.229738,0.568515,0.662034,-0.000372,0.000318,0.000096,-0.000015,-0.000022,0.000067
2,106953.625672389,0.229737,0.568513,0.662035,-0.000748,0.000647,0.000322,-0.000030,-0.000043,0.000133
3,106953.630616237,0.229734,0.568509,0.662036,-0.001027,0.001012,0.000604,-0.000045,-0.000065,0.000199
4,106953.635560085,0.229731,0.568502,0.662039,-0.001342,0.001448,0.000837,-0.000060,-0.000086,0.000266
5,106953.640503932,0.229726,0.568494,0.662043,-0.001607,0.001840,0.001163,-0.000075,-0.000108,0.000332
6,106953.645447780,0.229719,0.568484,0.662049,-0.001873,0.002149,0.001552,-0.000090,-0.000129,0.000399
7,106953.650391628,0.229711,0.568472,0.662057,-0.002080,0.002547,0.001719,-0.000105,-0.000151,0.000465
8,106953.655304958,0.229702,0.568459,0.662065,-0.002157,0.002876,0.001796,-0.000120,-0.000172,0.000531
9,106953.660248805,0.229691,0.568445,0.662074,-0.002209,0.003198,0.001932,-0.000135,-0.000194,0.000598
10,106953.665192653,0.229679,0.568430,0.662084,-0.002088,0.003390,0.002057,-0.000150,-0.000215,0.000664
11,106953.670136501,0.229665,0.568416,0.662094,-0.002102,0.003526,0.002017,-0.000165,-0.000237,0.000731
12,106953.675080348,0.229651,0.568402,0.662104,-0.002137,0.003693,0.002005,-0.000180,-0.000259,0.000797
13,106953.680024196,0.229636,0.568387,0.662114,-0.002211,0.003809,0.002083,-0.000196,-0.000280,0.000864
14,106953.684968044,0.229621,0.568371,0.662125,-0.002325,0.003939,0.002159,-0.000211,-0.000302,0.000930
15,106953.689881374,0.229606,0.568355,0.662135,-0.002328,0.004087,0.002277,-0.000226,-0.000323,0.000996
16,106953.694794704,0.229589,0.568339,0.662146,-0.002469,0.004224,0.002416,-0.000240,-0.000344,0.001063
17,106953.699738552,0.229572,0.568321,0.662159,-0.002570,0.004496,0.002509,-0.000256,-0.000366,0.001129
18,106953.704651882,0.229554,0.568303,0.662171,-0.002678,0.004659,0.002549,-0.000271,-0.000387,0.001195
19,106953.709595729,0.229536,0.568285,0.662184,-0.002768,0.004848,0.002628,-0.000286,-0.000409,0.001262
20,106953.714539577,0.229516,0.568265,0.662197,-0.002857,0.004999,0.002532,-0.000301,-0.000431,0.001328
21,106953.719483425,0.229496,0.568245,0.662209,-0.002984,0.005203,0.002477,-0.000316,-0.000452,0.001395
22,106953.724427272,0.229475,0.568224,0.662222,-0.003100,0.005391,0.002468,-0.000331,-0.000474,0.001461
23,106953.729371120,0.229454,0.568202,0.662234,-0.003241,0.005609,0.002614,-0.000346,-0.000495,0.001528
24,106953.734284450,0.229431,0.568180,0.662247,-0.003526,0.005852,0.002632,-0.000361,-0.000517,0.001594
25,106953.739228298,0.229408,0.568155,0.662260,-0.003735,0.005988,0.002564,-0.000376,-0.000538,0.001660
26,106953.744172145,0.229384,0.568130,0.662273,-0.004006,0.006154,0.002556,-0.000391,-0.000560,0.001727
27,106953.749115993,0.229360,0.568103,0.662286,-0.004348,0.006227,0.002583,-0.000406,-0.000581,0.001793
28,106953.754029323,0.229336,0.568074,0.662298,-0.004745,0.006259,0.002590,-0.000421,-0.000603,0.001860
29,106953.758973171,0.229313,0.568043,0.662311,-0.005265,0.006318,0.002679,-0.000436,-0.000624,0.001926
30,106953.763917018,0.229289,0.568010,0.662325,-0.005732,0.006371,0.002808,-0.000451,-0.000646,0.001993
31,106953.768860866,0.229266,0.567974,0.662339,-0.006201,0.006403,0.002969,-0.000466,-0.000668,0.002059
32,106953.773774196,0.229244,0.567937,0.662353,-0.006820,0.006373,0.003017,-0.000481,-0.000689,0.002125
33,106953.778718044,0.229222,0.567896,0.662368,-0.007259,0.006351,0.003057,-0.000496,-0.000711,0.002192
34,106953.783692409,0.229201,0.567853,0.662383,-0.007788,0.006380,0.003115,-0.000511,-0.000732,0.002259
35,106953.788636257,0.229181,0.567807,0.662399,-0.008267,0.006390,0.003289,-0.000526,-0.000754,0.002325
36,106953.793580104,0.229161,0.567760,0.662415,-0.008586,0.006436,0.003360,-0.000541,-0.000775,0.002392
37,106953.798523952,0.229142,0.567710,0.662432,-0.008948,0.006525,0.003456,-0.000556,-0.000797,0.002458
38,106953.803467800,0.229122,0.567659,0.662449,-0.009224,0.006724,0.003426,-0.000571,-0.000819,0.002525
39,106953.808381130,0.229102,0.567607,0.662466,-0.009465,0.007105,0.003404,-0.000586,-0.000840,0.002591
40,106953.813324977,0.229081,0.567552,0.662483,-0.009586,0.007354,0.003300,-0.000601,-0.000862,0.002657
41,106953.818268825,0.229058,0.567497,0.662499,-0.009630,0.007680,0.003312,-0.000616,-0.000883,0.002724
42,106953.823212673,0.229034,0.567441,0.662515,-0.009659,0.007882,0.003256,-0.000632,-0.000905,0.002790
43,106953.828156520,0.229009,0.567385,0.662532,-0.009795,0.008122,0.003247,-0.000647,-0.000926,0.002857
44,106953.833069850,0.228983,0.567328,0.662548,-0.009972,0.008477,0.003332,-0.000662,-0.000948,0.002923
45,106953.838013698,0.228956,0.567270,0.662564,-0.010139,0.008838,0.003294,-0.000677,-0.000969,0.002989
46,106953.842957546,0.228926,0.567210,0.662580,-0.010430,0.009254,0.003232,-0.000692,-0.000991,0.003056
47,106953.847901393,0.228896,0.567148,0.662596,-0.010636,0.009692,0.003260,-0.000707,-0.001012,0.003122
48,106953.852845241,0.228863,0.567085,0.662613,-0.010864,0.010103,0.003214,-0.000722,-0.001034,0.003189
49,106953.857789089,0.228829,0.567020,0.662629,-0.011195,0.010385,0.003183,-0.000737,-0.001055,0.003255
50,106953.862702419,0.228794,0.566953,0.662644,-0.011546,0.010784,0.003099,-0.000752,-0.001077,0.003322
51,106953.867646266,0.228758,0.566884,0.662660,-0.011870,0.011220,0.003074,-0.000767,-0.001098,0.003388
52,106953.872590114,0.228720,0.566813,0.662675,-0.012246,0.011498,0.002997,-0.000782,-0.001120,0.003455
53,106953.877533962,0.228681,0.566740,0.662690,-0.012654,0.011765,0.002931,-0.000797,-0.001142,0.003521
54,106953.882477809,0.228641,0.566664,0.662705,-0.012950,0.011977,0.002976,-0.000812,-0.001163,0.003588
55,106953.887421657,0.228601,0.566587,0.662719,-0.013281,0.012323,0.002797,-0.000827,-0.001185,0.003654
56,106953.892365505,0.228559,0.566508,0.662733,-0.013480,0.012450,0.002548,-0.000842,-0.001206,0.003721
57,106953.897309352,0.228517,0.566427,0.662746,-0.013716,0.012482,0.002395,-0.000857,-0.001228,0.003787
58,106953.902222682,0.228475,0.566346,0.662758,-0.013929,0.012612,0.002239,-0.000872,-0.001249,0.003853
59,106953.907166530,0.228433,0.566264,0.662769,-0.014253,0.012542,0.002048,-0.000887,-0.001271,0.003920
60,106953.912079860,0.228392,0.566180,0.662779,-0.014627,0.012481,0.001771,-0.000902,-0.001292,0.003986
61,106953.917023708,0.228351,0.566094,0.662788,-0.014724,0.012382,0.001581,-0.000917,-0.001314,0.004052
62,106953.921967555,0.228311,0.566008,0.662796,-0.014707,0.012167,0.001249,-0.000932,-0.001335,0.004119
63,106953.926911403,0.228272,0.565922,0.662802,-0.014582,0.011870,0.001082,-0.000947,-0.001357,0.004185
64,106953.931855251,0.228234,0.565837,0.662808,-0.014513,0.011557,0.000960,-0.000962,-0.001379,0.004252
65,106953.936768581,0.228198,0.565753,0.662812,-0.014459,0.011261,0.000843,-0.000977,-0.001400,0.004318
66,106953.941712429,0.228163,0.565670,0.662817,-0.014332,0.010973,0.000776,-0.000992,-0.001422,0.004385
67,106953.946656276,0.228129,0.565587,0.662820,-0.014150,0.010732,0.000791,-0.001007,-0.001443,0.004451
68,106953.951600124,0.228096,0.565506,0.662824,-0.013973,0.010594,0.000779,-0.001022,-0.001465,0.004518
69,106953.956543972,0.228063,0.565426,0.662828,-0.013803,0.010486,0.000800,-0.001038,-0.001486,0.004584
70,106953.961487819,0.228031,0.565346,0.662832,-0.013761,0.010326,0.000946,-0.001053,-0.001508,0.004651
71,106953.966401149,0.228000,0.565268,0.662837,-0.013771,0.010221,0.001079,-0.001068,-0.001529,0.004717
72,106953.971344997,0.227969,0.565189,0.662842,-0.013697,0.010083,0.001276,-0.001083,-0.001551,0.004783
73,106953.976258327,0.227938,0.565111,0.662849,-0.013640,0.009885,0.001473,-0.001098,-0.001572,0.004849
74,106953.981232692,0.227909,0.565033,0.662856,-0.013581,0.009744,0.001711,-0.001113,-0.001594,0.004916
75,106953.986176540,0.227880,0.564955,0.662864,-0.013366,0.009609,0.001875,-0.001128,-0.001615,0.004983
76,106953.991120388,0.227851,0.564879,0.662874,-0.013148,0.009341,0.001946,-0.001143,-0.001637,0.005049
77,106953.996064235,0.227824,0.564804,0.662883,-0.012854,0.009048,0.001974,-0.001158,-0.001659,0.005116
78,106954.000977565,0.227797,0.564732,0.662893,-0.012553,0.008781,0.001865,-0.001173,-0.001680,0.005182
79,106954.005921413,0.227771,0.564660,0.662902,-0.012240,0.008401,0.001730,-0.001188,-0.001702,0.005248
80,106954.010865261,0.227747,0.564591,0.662911,-0.011874,0.008201,0.001424,-0.001203,-0.001723,0.005315
81,106954.015778591,0.227723,0.564524,0.662918,-0.011454,0.007856,0.001155,-0.001218,-0.001745,0.005381
82,106954.020722438,0.227701,0.564460,0.662924,-0.011034,0.007497,0.000943,-0.001233,-0.001766,0.005448
83,106954.025666286,0.227679,0.564397,0.662928,-0.010659,0.007112,0.000826,-0.001248,-0.001788,0.005514
84,106954.030610134,0.227659,0.564337,0.662932,-0.010158,0.006849,0.000700,-0.001263,-0.001809,0.005581
85,106954.035553981,0.227639,0.564280,0.662936,-0.009697,0.006581,0.000633,-0.001278,-0.001831,0.005647
86,106954.040467311,0.227621,0.564225,0.662939,-0.009391,0.006318,0.000719,-0.001293,-0.001852,0.005713
87,106954.045411159,0.227603,0.564172,0.662942,-0.009124,0.006049,0.000741,-0.001308,-0.001874,0.005780
88,106954.050355007,0.227585,0.564121,0.662946,-0.008961,0.005908,0.000729,-0.001323,-0.001895,0.005846
89,106954.055298854,0.227569,0.564071,0.662950,-0.008820,0.005673,0.000791,-0.001338,-0.001917,0.005913
90,106954.060242702,0.227553,0.564021,0.662954,-0.008663,0.005443,0.000943,-0.001353,-0.001939,0.005979
91,106954.065186550,0.227538,0.563973,0.662958,-0.008586,0.005242,0.001176,-0.001368,-0.001960,0.006046
