,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,106953.615815212,0.234584,0.595254,0.685084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,106953.620759059,0.234584,0.595254,0.685084,-0.000372,0.000318,0.000096,0.000012,-0.000025,0.000102
2,106953.625672389,0.234583,0.595252,0.685084,-0.000748,0.000647,0.000322,0.000025,-0.000050,0.000204
3,106953.630616237,0.234581,0.595248,0.685086,-0.001028,0.001011,0.000604,0.000037,-0.000075,0.000306
4,106953.635560085,0.234577,0.595241,0.685089,-0.001344,0.001448,0.000837,0.000050,-0.000100,0.000408
5,106953.640503932,0.234572,0.595233,0.685093,-0.001609,0.001839,0.001163,0.000062,-0.000124,0.000510
6,106953.645447780,0.234565,0.595223,0.685099,-0.001877,0.002148,0.001552,0.000074,-0.000149,0.000612
7,106953.650391628,0.234557,0.595211,0.685107,-0.002084,0.002545,0.001719,0.000087,-0.000174,0.000714
8,106953.655304958,0.234548,0.595198,0.685115,-0.002163,0.002874,0.001796,0.000099,-0.000199,0.000816
9,106953.660248805,0.234537,0.595184,0.685124,-0.002216,0.003196,0.001932,0.000112,-0.000224,0.000918
10,106953.665192653,0.234524,0.595170,0.685134,-0.002098,0.003388,0.002056,0.000124,-0.000249,0.001020
11,106953.670136501,0.234511,0.595156,0.685144,-0.002114,0.003523,0.002017,0.000136,-0.000274,0.001122
12,106953.675080348,0.234497,0.595141,0.685154,-0.002151,0.003689,0.002005,0.000149,-0.000299,0.001224
13,106953.680024196,0.234482,0.595126,0.685164,-0.002228,0.003804,0.002083,0.000161,-0.000324,0.001326
14,106953.684968044,0.234466,0.595111,0.685175,-0.002344,0.003934,0.002159,0.000174,-0.000349,0.001428
15,106953.689881374,0.234451,0.595095,0.685185,-0.002351,0.004081,0.002276,0.000186,-0.000373,0.001530
16,106953.694794704,0.234434,0.595078,0.685197,-0.002494,0.004217,0.002415,0.000198,-0.000398,0.001631
17,106953.699738552,0.234417,0.595061,0.685209,-0.002599,0.004488,0.002508,0.000211,-0.000423,0.001733
18,106953.704651882,0.234399,0.595043,0.685221,-0.002711,0.004649,0.002548,0.000223,-0.000448,0.001835
19,106953.709595729,0.234381,0.595024,0.685234,-0.002805,0.004838,0.002627,0.000236,-0.000473,0.001937
20,106953.714539577,0.234361,0.595005,0.685247,-0.002898,0.004987,0.002531,0.000248,-0.000498,0.002039
21,106953.719483425,0.234341,0.594985,0.685260,-0.003029,0.005190,0.002475,0.000260,-0.000523,0.002141
22,106953.724427272,0.234320,0.594964,0.685272,-0.003149,0.005377,0.002467,0.000273,-0.000547,0.002243
23,106953.729371120,0.234298,0.594942,0.685284,-0.003295,0.005593,0.002612,0.000285,-0.000572,0.002345
24,106953.734284450,0.234276,0.594919,0.685297,-0.003585,0.005835,0.002630,0.000298,-0.000597,0.002447
25,106953.739228298,0.234253,0.594895,0.685311,-0.003799,0.005970,0.002562,0.000310,-0.000622,0.002549
26,106953.744172145,0.234229,0.594869,0.685323,-0.004075,0.006134,0.002553,0.000323,-0.000647,0.002651
27,106953.749115993,0.234205,0.594842,0.685336,-0.004423,0.006206,0.002581,0.000335,-0.000672,0.002753
28,106953.754029323,0.234181,0.594813,0.685349,-0.004826,0.006235,0.002587,0.000347,-0.000697,0.002854
29,106953.758973171,0.234157,0.594782,0.685362,-0.005351,0.006293,0.002676,0.000360,-0.000722,0.002957
30,106953.763917018,0.234134,0.594749,0.685375,-0.005825,0.006344,0.002806,0.000372,-0.000747,0.003059
31,106953.768860866,0.234111,0.594713,0.685389,-0.006300,0.006374,0.002966,0.000385,-0.000771,0.003161
32,106953.773774196,0.234089,0.594675,0.685404,-0.006926,0.006343,0.003013,0.000397,-0.000796,0.003262
33,106953.778718044,0.234067,0.594634,0.685419,-0.007371,0.006319,0.003054,0.000409,-0.000821,0.003364
34,106953.783692409,0.234046,0.594591,0.685434,-0.007908,0.006345,0.003111,0.000422,-0.000846,0.003467
35,106953.788636257,0.234026,0.594545,0.685450,-0.008394,0.006354,0.003285,0.000434,-0.000871,0.003569
36,106953.793580104,0.234006,0.594497,0.685466,-0.008721,0.006398,0.003356,0.000447,-0.000896,0.003671
37,106953.798523952,0.233987,0.594447,0.685483,-0.009090,0.006484,0.003452,0.000459,-0.000921,0.003773
38,106953.803467800,0.233967,0.594396,0.685500,-0.009374,0.006681,0.003421,0.000472,-0.000946,0.003875
