,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,106953.615815212,0.034345,0.007788,-0.013847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,106953.620759059,0.034345,0.007788,0.000000,-0.000372,0.000318,0.000096,0.000000,0.000000,0.000000
2,106953.625672389,0.034343,0.007790,0.000000,-0.000747,0.000647,0.000323,0.000000,0.000000,0.000000
3,106953.630616237,0.034339,0.007793,0.000000,-0.001027,0.001011,0.000604,0.000000,0.000000,0.000000
4,106953.635560085,0.034334,0.007798,0.000000,-0.001341,0.001447,0.000837,0.000000,0.000000,0.000000
5,106953.640503932,0.034328,0.007805,0.000000,-0.001604,0.001838,0.001164,0.000000,0.000000,0.000000
6,106953.645447780,0.034320,0.007814,0.000000,-0.001869,0.002145,0.001553,0.000000,0.000000,0.000000
7,106953.650391628,0.034311,0.007825,0.000000,-0.002074,0.002542,0.001720,0.000000,0.000000,0.000000
8,106953.655304958,0.034300,0.007837,0.000000,-0.002149,0.002871,0.001797,0.000000,0.000000,0.000000
9,106953.660248805,0.034290,0.007851,0.000000,-0.002198,0.003191,0.001933,0.000000,0.000000,0.000000
10,106953.665192653,0.034279,0.007867,0.000000,-0.002075,0.003381,0.002058,0.000000,0.000000,0.000000
11,106953.670136501,0.034269,0.007884,0.000000,-0.002086,0.003515,0.002019,0.000000,0.000000,0.000000
12,106953.675080348,0.034258,0.007901,0.000000,-0.002118,0.003680,0.002007,0.000000,0.000000,0.000000
13,106953.680024196,0.034248,0.007919,0.000000,-0.002189,0.003793,0.002086,0.000000,0.000000,0.000000
14,106953.684968044,0.034237,0.007938,0.000000,-0.002298,0.003921,0.002162,0.000000,0.000000,0.000000
15,106953.689881374,0.034226,0.007957,0.000000,-0.002298,0.004066,0.002281,0.000000,0.000000,0.000000
16,106953.694794704,0.034214,0.007977,0.000000,-0.002434,0.004200,0.002420,0.000000,0.000000,0.000000
17,106953.699738552,0.034202,0.007998,0.000000,-0.002531,0.004469,0.002514,0.000000,0.000000,0.000000
18,106953.704651882,0.034190,0.008020,0.000000,-0.002634,0.004628,0.002554,0.000000,0.000000,0.000000
19,106953.709595729,0.034177,0.008043,0.000000,-0.002719,0.004814,0.002634,0.000000,0.000000,0.000000
20,106953.714539577,0.034164,0.008067,0.000000,-0.002803,0.004960,0.002538,0.000000,0.000000,0.000000
21,106953.719483425,0.034150,0.008091,0.000000,-0.002924,0.005161,0.002484,0.000000,0.000000,0.000000
22,106953.724427272,0.034135,0.008117,0.000000,-0.003034,0.005345,0.002476,0.000000,0.000000,0.000000
23,106953.729371120,0.034120,0.008143,0.000000,-0.003168,0.005558,0.002622,0.000000,0.000000,0.000000
24,106953.734284450,0.034105,0.008171,0.000000,-0.003447,0.005796,0.002641,0.000000,0.000000,0.000000
25,106953.739228298,0.034088,0.008199,0.000000,-0.003649,0.005928,0.002574,0.000000,0.000000,0.000000
26,106953.744172145,0.034070,0.008228,0.000000,-0.003912,0.006089,0.002567,0.000000,0.000000,0.000000
27,106953.749115993,0.034050,0.008259,0.000000,-0.004247,0.006157,0.002595,0.000000,0.000000,0.000000
28,106953.754029323,0.034029,0.008289,0.000000,-0.004637,0.006183,0.002602,0.000000,0.000000,0.000000
29,106953.758973171,0.034006,0.008319,0.000000,-0.005148,0.006236,0.002693,0.000000,0.000000,0.000000
30,106953.763917018,0.033981,0.008350,0.000000,-0.005607,0.006283,0.002823,0.000000,0.000000,0.000000
31,106953.768860866,0.033953,0.008381,0.000000,-0.006067,0.006309,0.002985,0.000000,0.000000,0.000000
32,106953.773774196,0.033923,0.008412,0.000000,-0.006677,0.006273,0.003033,0.000000,0.000000,0.000000
33,106953.778718044,0.033890,0.008443,0.000000,-0.007107,0.006245,0.003075,0.000000,0.000000,0.000000
34,106953.783692409,0.033855,0.008474,0.000000,-0.007627,0.006267,0.003134,0.000000,0.000000,0.000000
35,106953.788636257,0.033817,0.008505,0.000000,-0.008096,0.006270,0.003309,0.000000,0.000000,0.000000
36,106953.793580104,0.033777,0.008536,0.000000,-0.008405,0.006309,0.003381,0.000000,0.000000,0.000000
37,106953.798523952,0.033736,0.008568,0.000000,-0.008757,0.006391,0.003478,0.000000,0.000000,0.000000
38,106953.803467800,0.033693,0.008599,0.000000,-0.009022,0.006582,0.003449,0.000000,0.000000,0.000000
39,106953.808381130,0.033648,0.008631,0.000000,-0.009252,0.006956,0.003429,0.000000,0.000000,0.000000
40,106953.813324977,0.033602,0.008666,0.000000,-0.009362,0.007197,0.003326,0.000000,0.000000,0.000000
41,106953.818268825,0.033556,0.008701,0.000000,-0.009395,0.007515,0.003340,0.000000,0.000000,0.000000
