,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,106953.615815212,0.075909,0.368609,0.658192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,106953.620759059,0.075909,0.368609,0.658192,-0.000372,0.000318,0.000096,0.000007,-0.000015,0.000080
2,106953.625672389,0.075907,0.368607,0.658193,-0.000748,0.000647,0.000323,0.000013,-0.000030,0.000160
3,106953.630616237,0.075904,0.368604,0.658194,-0.001028,0.001011,0.000604,0.000020,-0.000045,0.000241
4,106953.635560085,0.075898,0.368599,0.658197,-0.001343,0.001448,0.000837,0.000027,-0.000060,0.000321
5,106953.640503932,0.075891,0.368593,0.658202,-0.001608,0.001839,0.001164,0.000033,-0.000076,0.000401
6,106953.645447780,0.075881,0.368586,0.658207,-0.001875,0.002147,0.001553,0.000040,-0.000091,0.000482
7,106953.650391628,0.075870,0.368578,0.658215,-0.002082,0.002545,0.001720,0.000047,-0.000106,0.000562
8,106953.655304958,0.075856,0.368569,0.658224,-0.002160,0.002874,0.001797,0.000053,-0.000121,0.000642
9,106953.660248805,0.075841,0.368560,0.658233,-0.002212,0.003195,0.001933,0.000060,-0.000136,0.000722
10,106953.665192653,0.075824,0.368550,0.658242,-0.002093,0.003387,0.002058,0.000066,-0.000151,0.000802
11,106953.670136501,0.075807,0.368541,0.658253,-0.002108,0.003521,0.002018,0.000073,-0.000166,0.000883
12,106953.675080348,0.075789,0.368533,0.658263,-0.002143,0.003688,0.002007,0.000080,-0.000181,0.000963
13,106953.680024196,0.075769,0.368524,0.658273,-0.002219,0.003802,0.002085,0.000086,-0.000196,0.001043
14,106953.684968044,0.075750,0.368515,0.658283,-0.002334,0.003932,0.002162,0.000093,-0.000211,0.001124
15,106953.689881374,0.075730,0.368505,0.658294,-0.002339,0.004079,0.002280,0.000100,-0.000227,0.001204
16,106953.694794704,0.075709,0.368496,0.658305,-0.002481,0.004214,0.002419,0.000106,-0.000242,0.001283
17,106953.699738552,0.075687,0.368485,0.658318,-0.002584,0.004485,0.002513,0.000113,-0.000257,0.001364
18,106953.704651882,0.075664,0.368475,0.658330,-0.002694,0.004646,0.002553,0.000120,-0.000272,0.001444
19,106953.709595729,0.075640,0.368464,0.658343,-0.002785,0.004834,0.002633,0.000126,-0.000287,0.001524
20,106953.714539577,0.075615,0.368452,0.658356,-0.002876,0.004983,0.002537,0.000133,-0.000302,0.001604
21,106953.719483425,0.075589,0.368440,0.658369,-0.003005,0.005186,0.002482,0.000140,-0.000317,0.001685
22,106953.724427272,0.075562,0.368428,0.658381,-0.003123,0.005372,0.002474,0.000146,-0.000332,0.001765
23,106953.729371120,0.075534,0.368415,0.658394,-0.003266,0.005588,0.002620,0.000153,-0.000347,0.001845
24,106953.734284450,0.075506,0.368402,0.658407,-0.003553,0.005829,0.002639,0.000159,-0.000362,0.001925
25,106953.739228298,0.075475,0.368387,0.658420,-0.003765,0.005963,0.002572,0.000166,-0.000377,0.002006
26,106953.744172145,0.075444,0.368371,0.658433,-0.004038,0.006128,0.002564,0.000173,-0.000393,0.002086
27,106953.749115993,0.075412,0.368354,0.658446,-0.004383,0.006198,0.002592,0.000179,-0.000408,0.002166
28,106953.754029323,0.075380,0.368336,0.658459,-0.004783,0.006228,0.002599,0.000186,-0.000423,0.002246
29,106953.758973171,0.075347,0.368315,0.658472,-0.005305,0.006285,0.002689,0.000193,-0.000438,0.002326
30,106953.763917018,0.075314,0.368292,0.658485,-0.005775,0.006335,0.002820,0.000199,-0.000453,0.002407
31,106953.768860866,0.075280,0.368266,0.658499,-0.006247,0.006365,0.002981,0.000206,-0.000468,0.002487
32,106953.773774196,0.075246,0.368239,0.658514,-0.006869,0.006333,0.003029,0.000213,-0.000483,0.002567
33,106953.778718044,0.075212,0.368208,0.658530,-0.007311,0.006308,0.003071,0.000219,-0.000498,0.002647
34,106953.783692409,0.075177,0.368174,0.658545,-0.007843,0.006334,0.003129,0.000226,-0.000513,0.002728
35,106953.788636257,0.075143,0.368139,0.658561,-0.008326,0.006342,0.003304,0.000233,-0.000529,0.002808
36,106953.793580104,0.075108,0.368101,0.658577,-0.008648,0.006385,0.003376,0.000239,-0.000544,0.002889
37,106953.798523952,0.075072,0.368061,0.658594,-0.009014,0.006471,0.003473,0.000246,-0.000559,0.002969
38,106953.803467800,0.075036,0.368020,0.658611,-0.009293,0.006666,0.003444,0.000253,-0.000574,0.003049
39,106953.808381130,0.075000,0.367977,0.658629,-0.009538,0.007044,0.003423,0.000259,-0.000589,0.003129
40,106953.813324977,0.074961,0.367934,0.658646,-0.009663,0.007290,0.003320,0.000266,-0.000604,0.003210
41,106953.818268825,0.074920,0.367890,0.658662,-0.009711,0.007613,0.003333,0.000272,-0.000619,0.003290
42,106953.823212673,0.074878,0.367845,0.658679,-0.009744,0.007812,0.003278,0.000279,-0.000634,0.003370
43,106953.828156520,0.074836,0.367801,0.658696,-0.009884,0.008048,0.003270,0.000286,-0.000649,0.003451
44,106953.833069850,0.074792,0.367756,0.658712,-0.010066,0.008399,0.003357,0.000292,-0.000664,0.003530
45,106953.838013698,0.074746,0.367711,0.658729,-0.010236,0.008757,0.003319,0.000299,-0.000680,0.003611
46,106953.842957546,0.074698,0.367665,0.658745,-0.010532,0.009170,0.003259,0.000306,-0.000695,0.003691
47,106953.847901393,0.074648,0.367617,0.658762,-0.010742,0.009603,0.003288,0.000312,-0.000710,0.003771
48,106953.852845241,0.074596,0.367569,0.658778,-0.010976,0.010010,0.003244,0.000319,-0.000725,0.003852
49,106953.857789089,0.074542,0.367519,0.658795,-0.011311,0.010289,0.003214,0.000326,-0.000740,0.003932
50,106953.862702419,0.074486,0.367469,0.658811,-0.011667,0.010683,0.003131,0.000332,-0.000755,0.004012
