,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,106953.615815212,1.763502,2.532830,0.736622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,106953.620759059,1.763502,2.532830,0.736622,-0.000372,0.000318,0.000096,-0.000577,-0.000493,0.002141
2,106953.625672389,1.763501,2.532828,0.736623,-0.000756,0.000653,0.000322,-0.001150,-0.000984,0.004269
3,106953.630616237,1.763498,2.532824,0.736624,-0.001053,0.001031,0.000604,-0.001727,-0.001477,0.006409
4,106953.635560085,1.763493,2.532818,0.736627,-0.001394,0.001487,0.000837,-0.002303,-0.001970,0.008550
5,106953.640503932,1.763487,2.532810,0.736631,-0.001694,0.001904,0.001163,-0.002880,-0.002464,0.010691
6,106953.645447780,1.763478,2.532801,0.736637,-0.002004,0.002246,0.001552,-0.003457,-0.002957,0.012832
7,106953.650391628,1.763468,2.532790,0.736645,-0.002263,0.002683,0.001719,-0.004033,-0.003451,0.014973
8,106953.655304958,1.763456,2.532778,0.736654,-0.002401,0.003058,0.001795,-0.004606,-0.003941,0.017101
9,106953.660248805,1.763442,2.532765,0.736663,-0.002522,0.003431,0.001931,-0.005183,-0.004434,0.019242
10,106953.665192653,1.763426,2.532751,0.736672,-0.002480,0.003682,0.002056,-0.005760,-0.004928,0.021382
11,106953.670136501,1.763409,2.532737,0.736683,-0.002581,0.003883,0.002016,-0.006336,-0.005421,0.023523
12,106953.675080348,1.763392,2.532723,0.736693,-0.002711,0.004121,0.002003,-0.006913,-0.005914,0.025664
13,106953.680024196,1.763372,2.532708,0.736703,-0.002890,0.004315,0.002081,-0.007490,-0.006408,0.027805
14,106953.684968044,1.763353,2.532692,0.736713,-0.003117,0.004530,0.002157,-0.008067,-0.006901,0.029946
15,106953.689881374,1.763332,2.532674,0.736724,-0.003242,0.004768,0.002275,-0.008640,-0.007391,0.032074
16,106953.694794704,1.763310,2.532656,0.736735,-0.003512,0.005002,0.002413,-0.009213,-0.007882,0.034201
17,106953.699738552,1.763287,2.532637,0.736747,-0.003753,0.005378,0.002506,-0.009789,-0.008375,0.036342
18,106953.704651882,1.763262,2.532616,0.736760,-0.004008,0.005650,0.002546,-0.010363,-0.008865,0.038470
19,106953.709595729,1.763237,2.532594,0.736773,-0.004255,0.005957,0.002624,-0.010939,-0.009359,0.040611
20,106953.714539577,1.763209,2.532570,0.736786,-0.004509,0.006230,0.002528,-0.011516,-0.009852,0.042752
21,106953.719483425,1.763181,2.532545,0.736799,-0.004810,0.006565,0.002472,-0.012093,-0.010345,0.044893
22,106953.724427272,1.763150,2.532519,0.736811,-0.005109,0.006889,0.002463,-0.012669,-0.010839,0.047034
23,106953.729371120,1.763119,2.532491,0.736824,-0.005441,0.007250,0.002608,-0.013246,-0.011332,0.049174
24,106953.734284450,1.763086,2.532461,0.736837,-0.005925,0.007641,0.002626,-0.013819,-0.011822,0.051302
25,106953.739228298,1.763051,2.532428,0.736850,-0.006343,0.007933,0.002558,-0.014396,-0.012316,0.053443
26,106953.744172145,1.763015,2.532394,0.736863,-0.006832,0.008262,0.002548,-0.014973,-0.012809,0.055584
27,106953.749115993,1.762977,2.532356,0.736876,-0.007400,0.008504,0.002575,-0.015549,-0.013303,0.057725
28,106953.754029323,1.762939,2.532316,0.736889,-0.008031,0.008709,0.002581,-0.016122,-0.013793,0.059852
29,106953.758973171,1.762900,2.532273,0.736902,-0.008794,0.008951,0.002670,-0.016699,-0.014286,0.061993
30,106953.763917018,1.762860,2.532226,0.736916,-0.009514,0.009192,0.002799,-0.017276,-0.014780,0.064134
