,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,861109689732668,0.578278,10.067596,0.552841,0.802401,0.918046,-10.025454,0.013016,-0.114334,0.107956,0.015607,0.102702,0.118764,0.720706,0.692801,-0.009406,0.022814,0.00308,-0.022389
1,861109694676515,0.621384,10.051437,0.425949,0.834338,0.787328,-10.014144,0.020477,-0.11113,0.107956,0.023243,0.102483,0.115675,0.720664,0.69284,-0.009795,0.022824,0.003207,-0.022476
2,861109699620363,0.656097,10.013123,0.380463,0.86142,0.737123,-9.9776,0.024734,-0.104736,0.102631,0.027482,0.097217,0.109124,0.720612,0.692888,-0.010164,0.022837,0.003347,-0.022562
3,861109704533693,0.692017,9.857498,0.322403,0.88671,0.669663,-9.824372,0.025803,-0.110062,0.100494,0.028462,0.094828,0.11435,0.720556,0.69294,-0.010538,0.022838,0.003505,-0.022647
4,861109709477541,0.701584,9.879059,0.297272,0.889917,0.642929,-9.847392,0.03006,-0.120712,0.095169,0.032389,0.088903,0.124817,0.720492,0.693002,-0.010925,0.022812,0.003682,-0.022734
5,861109714421388,0.664474,9.849716,0.322403,0.848346,0.666457,-9.81828,0.035385,-0.113266,0.090912,0.037743,0.084689,0.117259,0.72042,0.693072,-0.011289,0.02279,0.003872,-0.022826
6,861109719365236,0.703979,9.834167,0.379272,0.885826,0.718579,-9.800473,0.035385,-0.098343,0.087708,0.037934,0.082062,0.102191,0.720351,0.693138,-0.011622,0.022789,0.004073,-0.022928
7,861109724309084,0.678848,9.843735,0.39064,0.857544,0.729394,-9.810472,0.036453,-0.086624,0.081314,0.038958,0.076074,0.090219,0.720282,0.693205,-0.011922,0.022795,0.004284,-0.023042
8,861109729252931,0.64772,9.84314,0.35054,0.82088,0.688829,-9.812313,0.035385,-0.080246,0.073868,0.037692,0.068937,0.083516,0.720213,0.693271,-0.012196,0.022798,0.004507,-0.023171
9,861109734196779,0.629761,9.833557,0.338562,0.798711,0.675448,-9.803875,0.033264,-0.077042,0.071732,0.035576,0.067032,0.080178,0.720148,0.693334,-0.012461,0.022801,0.004739,-0.023315
10,861109739140627,0.563919,9.821594,0.367294,0.730914,0.705256,-9.792094,0.03006,-0.072784,0.067474,0.03228,0.063103,0.075696,0.72009,0.69339,-0.012707,0.0228,0.004978,-0.023471
11,861109744053957,0.541779,9.80304,0.400223,0.706972,0.737054,-9.772933,0.026871,-0.071716,0.066406,0.029105,0.062238,0.074527,0.720039,0.693438,-0.012948,0.022799,0.005226,-0.023636
12,861109748997804,0.569305,9.799438,0.373886,0.729959,0.707874,-9.770308,0.022614,-0.070648,0.067474,0.024974,0.063558,0.07343,0.719994,0.693479,-0.013209,0.022821,0.005467,-0.023797
13,861109753941652,0.497482,9.843735,0.339767,0.654086,0.677778,-9.817062,0.018341,-0.067459,0.066406,0.020743,0.062831,0.070134,0.719947,0.693523,-0.01344,0.022822,0.005699,-0.023947
14,861109758885500,0.520218,9.839554,0.357712,0.674797,0.693299,-9.812207,0.015152,-0.063202,0.065338,0.017606,0.062087,0.065791,0.719912,0.693555,-0.013668,0.022834,0.005927,-0.024086
15,861109763798830,0.50766,9.875458,0.337372,0.658654,0.673994,-9.849273,0.009827,-0.067459,0.06427,0.012217,0.061141,0.069931,0.719879,0.693585,-0.013895,0.022832,0.006153,-0.024217
16,861109768742677,0.437027,9.879059,0.345749,0.58553,0.685492,-9.853607,0.006622,-0.066391,0.066406,0.009181,0.063481,0.0689,0.719855,0.693606,-0.014105,0.022813,0.006369,-0.024337
17,861109773686525,0.46756,9.839554,0.30983,0.610771,0.645723,-9.815366,0.004501,-0.062134,0.066406,0.007158,0.063751,0.064616,0.719825,0.693633,-0.014315,0.022809,0.006576,-0.024451
18,861109778630373,0.518433,9.90239,0.261353,0.657235,0.595592,-9.879655,0.005569,-0.056808,0.068527,0.008443,0.066011,0.059375,0.719778,0.693676,-0.014533,0.022832,0.006774,-0.024559
19,861109783574220,0.513641,9.949081,0.214066,0.648078,0.548572,-9.928396,0.005569,-0.052536,0.068527,0.008534,0.066173,0.055093,0.719718,0.693734,-0.014741,0.022858,0.006965,-0.024589
20,861109788487550,0.557938,9.992172,0.227234,0.691046,0.559122,-9.970766,0.00769,-0.053604,0.06427,0.010449,0.061778,0.056013,0.719657,0.693791,-0.014953,0.022887,0.007155,-0.024604
21,861109793461916,0.523224,10.036469,0.244598,0.655238,0.57786,-10.015052,0.01622,-0.054672,0.062149,0.018874,0.05917,0.057073,0.719588,0.693859,-0.015153,0.022898,0.007339,-0.024601
22,861109798405763,0.505859,10.003555,0.278717,0.636447,0.609612,-9.981373,0.023666,-0.061066,0.060013,0.026152,0.056411,0.063439,0.719516,0.693928,-0.015354,0.02289,0.007518,-0.024581
23,861109803319093,0.462173,10.009537,0.288284,0.589827,0.619446,-9.987791,0.031128,-0.074905,0.055756,0.033252,0.051272,0.077162,0.719436,0.694009,-0.015557,0.022837,0.007695,-0.024547
24,861109808262941,0.442413,10.096329,0.259552,0.56534,0.592206,-10.076149,0.035385,-0.084503,0.051483,0.037208,0.04645,0.08661,0.71934,0.694107,-0.015764,0.022751,0.007872,-0.024502
25,861109813206789,0.46875,10.104111,0.285889,0.588738,0.61483,-10.083153,0.035385,-0.089828,0.049362,0.037084,0.044161,0.091828,0.719252,0.694196,-0.015983,0.02266,0.00805,-0.024453
26,861109818120119,0.499283,10.071182,0.360718,0.618783,0.684792,-10.047699,0.036453,-0.086624,0.042969,0.037879,0.037845,0.088384,0.719185,0.694263,-0.016192,0.022573,0.008226,-0.024401
27,861109823063966,0.460373,10.008347,0.394226,0.577581,0.71644,-9.984362,0.04071,-0.073853,0.038712,0.042056,0.033817,0.075484,0.719123,0.694326,-0.016362,0.02249,0.0084,-0.024351
28,861109828007814,0.464554,9.969437,0.373276,0.577463,0.691874,-9.946487,0.044983,-0.057861,0.036575,0.04638,0.032013,0.05944,0.719049,0.694401,-0.016501,0.022432,0.008572,-0.024301
29,861109832951662,0.438217,9.932922,0.324203,0.546116,0.640401,-9.912205,0.050308,-0.041885,0.033386,0.051682,0.029098,0.043384,0.718954,0.694499,-0.016598,0.022388,0.008739,-0.024253
30,861109837895509,0.48671,9.950287,0.273315,0.590069,0.58436,-9.931271,0.051361,-0.037628,0.032318,0.052724,0.028127,0.039081,0.718842,0.694613,-0.0167,0.022363,0.008901,-0.024203
31,861109842839357,0.531601,9.943695,0.208084,0.629239,0.513168,-9.926917,0.044983,-0.040817,0.029114,0.046163,0.025182,0.042095,0.718723,0.694734,-0.016816,0.02234,0.009057,-0.024151
32,861109847752687,0.550751,9.912567,0.258957,0.649031,0.559145,-9.894206,0.04071,-0.038696,0.021667,0.041514,0.018065,0.039679,0.718628,0.69483,-0.01692,0.022313,0.009207,-0.024092
33,861109852696535,0.514832,9.947891,0.348145,0.616893,0.649407,-9.926949,0.04071,-0.031235,0.013138,0.041111,0.009808,0.031925,0.71856,0.6949,-0.016985,0.022273,0.00935,-0.024024
34,861109857640382,0.495682,9.967636,0.348145,0.596559,0.649126,-9.947038,0.042847,-0.028046,0.008881,0.04304,0.005553,0.028602,0.71849,0.694974,-0.017031,0.022225,0.009493,-0.023943
35,861109862584230,0.466949,9.970627,0.345749,0.566721,0.646171,-9.950487,0.04924,-0.020584,0.005692,0.04931,0.002269,0.021073,0.718409,0.695058,-0.01705,0.022176,0.009638,-0.023853
36,861109867528078,0.505264,9.910172,0.328995,0.602749,0.622733,-9.8906,0.053497,-0.016327,0.004623,0.053537,0.00111,0.016805,0.718317,0.695154,-0.017071,0.022145,0.009789,-0.02376
37,861109872441408,0.504669,9.887436,0.300262,0.599798,0.590487,-9.869032,0.055634,-0.011002,0.000351,0.055478,-0.003093,0.011354,0.718215,0.69526,-0.017076,0.022115,0.009933,-0.023678
38,861109877415773,0.481323,9.877853,0.240997,0.573039,0.528936,-9.861729,0.056702,-0.000351,-0.004974,0.056336,-0.008118,0.000544,0.718095,0.695386,-0.017047,0.022088,0.01007,-0.023612
39,861109882329103,0.498077,9.829376,0.214066,0.587838,0.496065,-9.814231,0.056702,0.000717,-0.007095,0.056229,-0.010197,-0.000589,0.71797,0.695517,-0.017018,0.022064,0.010203,-0.023561
