,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,1219926958723003,0.630951,9.730606,2.310196,-3.441422,0.318285,9.406125,0.131088,0.000763,0.012436,-0.124444,0.026665,-0.033796,0.13439,0.077336,-0.615827,-0.772474,0.000803,0.00146
1,1219926963666851,0.584274,9.712051,2.324554,-3.390791,0.33715,9.405196,0.132156,0.002899,0.011383,-0.126153,0.02531,-0.032372,0.134396,0.077362,-0.616079,-0.772269,0.000885,0.001526
2,1219926968580181,0.554337,9.745575,2.315582,-3.372895,0.324623,9.442642,0.134293,0.001831,0.011383,-0.127862,0.025755,-0.033993,0.134398,0.077388,-0.616334,-0.772062,0.000969,0.001593
3,1219926973524029,0.574097,9.711456,2.251526,-3.384471,0.278113,9.390392,0.136429,0.003967,0.012436,-0.130491,0.02657,-0.032393,0.134406,0.077417,-0.616598,-0.771848,0.001054,0.00166
4,1219926978467876,0.578888,9.698883,2.159958,-3.389734,0.19881,9.356237,0.135361,0.007156,0.014572,-0.130339,0.027871,-0.028656,0.134423,0.077448,-0.616862,-0.771631,0.00114,0.001728
5,1219926983411724,0.590256,9.674347,2.098907,-3.396119,0.151865,9.316123,0.125763,0.005035,0.010315,-0.120755,0.023076,-0.028876,0.13443,0.077478,-0.61711,-0.771428,0.001225,0.001794
6,1219926988355571,0.589066,9.651001,2.088135,-3.388487,0.151744,9.292159,0.118317,0.002899,0.006058,-0.113217,0.018521,-0.029715,0.134427,0.077508,-0.617344,-0.771238,0.001319,0.001867
7,1219926993299419,0.602234,9.62706,2.086929,-3.393807,0.162464,9.265742,0.115112,0.000763,0.007111,-0.109469,0.019606,-0.030563,0.134424,0.077531,-0.617572,-0.771054,0.001412,0.00194
8,1219926998243267,0.569305,9.619873,2.04982,-3.361951,0.129269,9.260042,0.10553,-0.000305,0.003922,-0.100172,0.015636,-0.029548,0.134414,0.077555,-0.617783,-0.770884,0.001502,0.00201
9,1219927003156597,0.506454,9.629456,1.996552,-3.307367,0.073062,9.274975,0.093811,-0.002426,0.000717,-0.088525,0.011623,-0.0289,0.134394,0.077579,-0.617973,-0.770733,0.001594,0.002083
