,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,1126837433067378,-0.454208,8.187546,6.114578,0.15653,9.807862,-2.900276,-0.02211,-0.042679,0.005936,-0.026856,-0.020154,0.034902,0.892827,0.446523,0.044826,0.038308,4.4e-05,0.001615
1,1126837438011225,-0.488327,8.160019,6.127747,0.118755,9.803184,-2.873526,-0.018906,-0.051208,0.009125,-0.024735,-0.022798,0.043948,0.892854,0.446485,0.044702,0.038273,5.6e-05,0.001612
2,1126837442924555,-0.511673,8.166,6.143906,0.095055,9.820595,-2.870495,-0.015717,-0.054398,0.008057,-0.021854,-0.025655,0.046209,0.892877,0.446454,0.044575,0.038231,6.8e-05,0.001609
3,1126837447868403,-0.530228,8.1642,6.116379,0.077469,9.798207,-2.886962,-0.01358,-0.053329,0.012314,-0.019798,-0.02167,0.04815,0.892898,0.446429,0.044446,0.038199,8.1e-05,0.001605
4,1126837452812251,-0.554169,8.14386,6.106201,0.052118,9.778719,-2.879111,-0.010391,-0.051208,0.019775,-0.016729,-0.01452,0.05129,0.892914,0.446412,0.044316,0.038185,9.5e-05,0.0016
5,1126837457756098,-0.552383,8.133682,6.069092,0.054995,9.74296,-2.892664,-0.007187,-0.045883,0.026169,-0.01325,-0.006305,0.051248,0.892924,0.446403,0.04419,0.03819,0.00011,0.001593
6,1126837462699946,-0.590088,8.113922,6.040359,0.017465,9.709238,-2.898322,-0.001862,-0.044815,0.031494,-0.008074,-0.001555,0.054186,0.892928,0.446406,0.044064,0.038206,0.000126,0.001584
7,1126837467643794,-0.583496,8.104355,6.059509,0.023357,9.718614,-2.878645,0.002396,-0.044815,0.041077,-0.004259,0.005995,0.060393,0.892926,0.446419,0.043928,0.038243,0.000145,0.001573
8,1126837472557124,-0.564346,8.114532,6.030182,0.046431,9.700543,-2.902516,0.007721,-0.045883,0.050674,0.000508,0.012887,0.067575,0.892918,0.446447,0.043779,0.038299,0.000165,0.001559
9,1126837477500971,-0.552383,8.107941,6.012817,0.060391,9.682157,-2.906887,0.010925,-0.044815,0.057068,0.003544,0.018555,0.070906,0.892904,0.446483,0.043624,0.038372,0.000187,0.001541
10,1126837482444819,-0.523041,8.122314,5.979309,0.094956,9.662804,-2.935781,0.014114,-0.044815,0.065582,0.006364,0.025281,0.076348,0.892885,0.446528,0.043459,0.038463,0.000213,0.001521
11,1126837487358149,-0.506287,8.150436,5.949371,0.118521,9.654869,-2.974954,0.014114,-0.048004,0.070908,0.00582,0.027643,0.082058,0.892865,0.446577,0.043282,0.038562,0.00024,0.001497
12,1126837492301997,-0.506287,8.115723,5.944595,0.117654,9.630031,-2.950951,0.011978,-0.052261,0.073044,0.00318,0.026876,0.086473,0.892848,0.446621,0.043092,0.038662,0.00027,0.001468
13,1126837497245844,-0.47876,8.115723,5.905685,0.149154,9.597785,-2.971791,0.009857,-0.058655,0.071976,0.000465,0.022268,0.090676,0.892833,0.446663,0.042888,0.038753,0.000304,0.001437
14,1126837502189692,-0.473373,8.073227,5.910477,0.151994,9.575854,-2.935081,0.007721,-0.069305,0.069839,-0.002675,0.014259,0.097621,0.892823,0.446698,0.042662,0.038828,0.00034,0.001402
15,1126837507133540,-0.450623,8.071426,5.881744,0.177504,9.550919,-2.948627,0.002396,-0.08316,0.06665,-0.009276,0.003593,0.106135,0.89282,0.446725,0.042408,0.038882,0.000378,0.001364
16,1126837512077387,-0.409317,8.034317,5.858398,0.216779,9.508673,-2.928627,-0.00293,-0.098068,0.057068,-0.015724,-0.012822,0.111674,0.892825,0.44674,0.042129,0.0389,0.00042,0.001323
17,1126837516990717,-0.412323,8.007385,5.873367,0.211073,9.504692,-2.89843,-0.008255,-0.114059,0.051727,-0.022449,-0.026489,0.120614,0.892838,0.446742,0.041822,0.038888,0.000425,0.001244
18,1126837521934565,-0.397354,7.964294,5.882935,0.221355,9.486229,-2.856435,-0.012512,-0.122574,0.045349,-0.027267,-0.036553,0.123117,0.892859,0.446733,0.041501,0.038854,0.000428,0.001164
19,1126837526878413,-0.401535,7.990021,5.872757,0.220031,9.493778,-2.882818,-0.017838,-0.13855,0.035751,-0.033802,-0.053623,0.129516,0.892887,0.446715,0.041155,0.038781,0.000431,0.001082
20,1126837531822260,-0.371017,7.974472,5.903885,0.24664,9.508642,-2.847915,-0.018906,-0.152405,0.027237,-0.035909,-0.068699,0.135343,0.89292,0.446693,0.040786,0.038675,0.000433,0.000998
21,1126837536796626,-0.357254,7.952911,5.900299,0.256896,9.492631,-2.830878,-0.016785,-0.158798,0.019775,-0.03409,-0.078574,0.136211,0.892952,0.446674,0.040409,0.038545,0.000435,0.000912
22,1126837541740473,-0.386581,7.969681,5.884735,0.228594,9.491339,-2.856134,-0.015717,-0.160919,0.016586,-0.03303,-0.082438,0.136125,0.892982,0.446659,0.040035,0.038405,0.000436,0.000825
23,1126837546653803,-0.415314,7.975662,5.902695,0.198344,9.510362,-2.852928,-0.010391,-0.156662,0.012314,-0.027038,-0.083493,0.130769,0.893007,0.446655,0.03968,0.03826,0.000436,0.000737
24,1126837551597651,-0.411713,7.977463,5.920044,0.200028,9.525277,-2.843504,-0.006119,-0.143875,0.013382,-0.021422,-0.075132,0.121708,0.893026,0.446658,0.03935,0.038129,0.000435,0.000647
25,1126837556541499,-0.434464,7.951721,5.903885,0.17437,9.497662,-2.835214,0.000259,-0.127899,0.018707,-0.013561,-0.061522,0.112869,0.893035,0.446673,0.039052,0.038027,0.000431,0.000555
26,1126837561454829,-0.423096,7.952911,5.912872,0.185097,9.505074,-2.830064,0.006653,-0.110855,0.026169,-0.005669,-0.04556,0.104451,0.893036,0.446702,0.038785,0.03796,0.000426,0.000464
27,1126837566398676,-0.406326,7.960098,5.876953,0.203996,9.479785,-2.856378,0.015182,-0.093811,0.03363,0.004332,-0.029668,0.096245,0.893023,0.44675,0.038545,0.037928,0.00042,0.000371
28,1126837571342524,-0.400345,7.960693,5.859589,0.211185,9.465672,-2.867786,0.021576,-0.081024,0.037888,0.011878,-0.018817,0.089279,0.893002,0.446812,0.03833,0.037918,0.000412,0.000278
29,1126837576286372,-0.376999,7.945129,5.900299,0.232329,9.487757,-2.830045,0.026901,-0.07251,0.042145,0.017922,-0.010487,0.085594,0.892974,0.446883,0.038128,0.037927,0.000402,0.000184
30,1126837581199702,-0.361435,7.942139,5.861984,0.250074,9.454259,-2.850517,0.03009,-0.061859,0.046402,0.022055,-0.000811,0.079988,0.892941,0.446962,0.037946,0.037957,0.00039,9.1e-05
31,1126837586143549,-0.327927,7.924789,5.880539,0.282286,9.457085,-2.823904,0.033295,-0.057587,0.044281,0.025769,-5.9e-05,0.075641,0.892905,0.447047,0.037773,0.037989,0.000376,-6e-06
32,1126837591087397,-0.272858,7.881088,5.852417,0.334742,9.406006,-2.802109,0.035416,-0.056534,0.042145,0.028077,-0.001207,0.073735,0.892867,0.447135,0.037602,0.038017,0.00036,-0.000108
33,1126837596031245,-0.253098,7.862534,5.819489,0.354753,9.367251,-2.806892,0.037552,-0.054398,0.040024,0.030507,-0.001696,0.070976,0.892825,0.447229,0.037438,0.038044,0.000343,-0.000209
34,1126837600975092,-0.257294,7.892456,5.842834,0.353587,9.403367,-2.819105,0.03862,-0.058655,0.032562,0.031401,-0.010247,0.070008,0.892784,0.447324,0.037273,0.038049,0.000326,-0.000312
35,1126837605918940,-0.234543,7.875107,5.816498,0.375771,9.370509,-2.820687,0.03862,-0.058655,0.026169,0.031627,-0.015363,0.066185,0.892743,0.44742,0.037114,0.038041,0.000308,-0.000414
36,1126837610862788,-0.236343,7.852356,5.82608,0.371892,9.364067,-2.799002,0.037552,-0.059723,0.020844,0.030646,-0.020224,0.063744,0.892702,0.447517,0.036934,0.038032,0.000288,-0.000516
37,1126837615806635,-0.24054,7.855347,5.827271,0.36843,9.366369,-2.803008,0.036484,-0.055466,0.018707,0.030098,-0.019354,0.058967,0.892663,0.447611,0.036769,0.038022,0.000268,-0.000617
38,1126837620719965,-0.235138,7.851761,5.807526,0.374526,9.347575,-2.81343,0.037552,-0.048004,0.016586,0.031991,-0.016635,0.05186,0.892619,0.447711,0.036623,0.038016,0.000242,-0.000699
39,1126837625663813,-0.220184,7.867325,5.820694,0.390983,9.3663,-2.818386,0.035416,-0.043747,0.013382,0.030406,-0.016587,0.046342,0.892578,0.447804,0.036484,0.03801,0.000214,-0.000781
40,1126837630607661,-0.231552,7.88588,5.837448,0.381391,9.390648,-2.82609,0.033295,-0.040543,0.012314,0.02866,-0.015455,0.042938,0.89254,0.447891,0.036357,0.038003,0.000185,-0.000863
41,1126837635551508,-0.275253,7.882294,5.879349,0.336587,9.423183,-2.804183,0.036484,-0.032028,0.013382,0.032659,-0.009633,0.037102,0.892505,0.447969,0.036265,0.037999,0.000154,-0.000944
42,1126837640495356,-0.245926,7.894257,5.878143,0.367665,9.427786,-2.813175,0.036484,-0.023499,0.015518,0.033453,-0.002836,0.031574,0.892467,0.448049,0.036179,0.038015,0.000121,-0.001024
43,1126837645408686,-0.218979,7.891861,5.872162,0.39538,9.420103,-2.813726,0.034348,-0.014984,0.016586,0.032154,0.003168,0.025209,0.892431,0.448125,0.036101,0.038048,8.8e-05,-0.001103
44,1126837650352534,-0.213593,7.886475,5.906281,0.400203,9.443674,-2.789808,0.033295,-0.010727,0.016586,0.031536,0.005739,0.021709,0.892401,0.448186,0.036029,0.038086,5.4e-05,-0.001182
45,1126837655265864,-0.223175,7.872116,5.939804,0.389173,9.46205,-2.76033,0.034348,-0.009659,0.015518,0.032725,0.005478,0.020321,0.892378,0.448235,0.035965,0.038121,1.8e-05,-0.001262
46,1126837660209712,-0.20163,7.870911,5.890717,0.412884,9.420725,-2.787807,0.034348,-0.013916,0.01445,0.032333,0.002085,0.023075,0.892347,0.4483,0.035886,0.038152,-1.9e-05,-0.001341
47,1126837665123042,-0.196838,7.894852,5.906281,0.420324,9.44687,-2.798487,0.034348,-0.026703,0.013382,0.031088,-0.006382,0.03263,0.892318,0.448365,0.035779,0.038168,-5.8e-05,-0.00142
48,1126837670066889,-0.214798,7.905624,5.957764,0.402455,9.494958,-2.779166,0.032227,-0.037354,0.012314,0.02795,-0.0135,0.040275,0.892299,0.448413,0.035656,0.038166,-9.9e-05,-0.001498
49,1126837675010737,-0.214203,7.910416,5.936813,0.4044,9.480665,-2.796385,0.029022,-0.043747,0.010193,0.024195,-0.018889,0.043793,0.892281,0.448461,0.035522,0.038153,-0.00014,-0.001577
50,1126837679954585,-0.195648,7.910416,5.951767,0.422737,9.491793,-2.786337,0.023697,-0.046936,0.011261,0.018559,-0.019735,0.046448,0.892271,0.448494,0.035373,0.038141,-0.000182,-0.001656
51,1126837684867915,-0.252502,7.894257,5.949982,0.364566,9.482726,-2.780344,0.018372,-0.05014,0.010193,0.012985,-0.022305,0.047847,0.892269,0.44851,0.03524,0.038113,-0.000224,-0.001733
52,1126837689811762,-0.296204,7.910416,5.907471,0.32367,9.459647,-2.823293,0.015182,-0.054398,0.012314,0.00934,-0.023016,0.052195,0.892263,0.448536,0.035112,0.038076,-0.000266,-0.00181
53,1126837694755610,-0.299789,7.978653,5.938599,0.325905,9.5252,-2.860078,0.013046,-0.052261,0.015518,0.007348,-0.019092,0.052189,0.892255,0.448563,0.034987,0.038048,-0.000309,-0.001886
54,1126837699699458,-0.265671,7.982239,5.9422,0.360442,9.528843,-2.857921,0.010925,-0.049072,0.020844,0.005416,-0.01284,0.052609,0.89225,0.448585,0.034851,0.038041,-0.00035,-0.001962
55,1126837704643305,-0.282425,7.950516,5.915863,0.342146,9.489342,-2.850127,0.006653,-0.043747,0.030426,0.001437,-0.00182,0.053651,0.892247,0.448599,0.034724,0.038058,-0.00039,-0.002038
56,1126837709587153,-0.274048,7.978058,5.956558,0.353308,9.538069,-2.847022,0.003464,-0.03949,0.037888,-0.001509,0.006821,0.054389,0.89225,0.4486,0.034594,0.038098,-0.000428,-0.002114
57,1126837714500483,-0.259094,7.950516,5.933807,0.367545,9.502882,-2.836918,-0.000793,-0.03949,0.042145,-0.005847,0.010397,0.056516,0.892257,0.448593,0.034456,0.038149,-0.000463,-0.002188
58,1126837719444331,-0.241135,7.94693,5.923035,0.386895,9.491465,-2.838429,-0.003998,-0.040543,0.042145,-0.009125,0.009889,0.057051,0.892266,0.448582,0.034309,0.038203,-0.000469,-0.002203
59,1126837724388178,-0.226761,7.961304,5.914658,0.404514,9.492729,-2.853308,-0.003998,-0.041611,0.044281,-0.009272,0.01097,0.059177,0.892271,0.448577,0.034154,0.038262,-0.000474,-0.002217
60,1126837729332026,-0.20462,7.961899,5.929031,0.427945,9.503852,-2.84267,-0.008255,-0.045883,0.044281,-0.013911,0.00859,0.062184,0.892284,0.44856,0.033981,0.038321,-0.000478,-0.002233
