,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2314390588444692,0.551346,9.949081,-0.212097,7.289389,-0.723938,-6.758245,0.032944,-0.00354,0.018814,0.022246,0.017964,0.025184,0.642857,0.667511,0.248656,0.281663,0.003784,-0.007817
1,2314390593358022,0.580673,9.949081,-0.200134,7.310863,-0.715186,-6.738044,0.036133,-0.004608,0.019882,0.023856,0.018991,0.028149,0.642771,0.667599,0.248641,0.281664,0.003795,-0.007617
2,2314390598301869,0.567505,9.977814,-0.183365,7.322078,-0.701568,-6.768117,0.036133,-0.004608,0.018814,0.023798,0.017928,0.028161,0.642692,0.66768,0.248631,0.281661,0.003804,-0.007416
3,2314390603245717,0.56691,9.975418,-0.279144,7.314444,-0.799776,-6.765181,0.036133,-0.000351,0.022018,0.026936,0.020917,0.025049,0.642583,0.667786,0.248632,0.281659,0.003811,-0.007212
4,2314390608189565,0.615997,9.9832,-0.359344,7.350382,-0.885004,-6.735078,0.030807,0.001785,0.024139,0.02472,0.023088,0.019769,0.642453,0.667908,0.248624,0.28167,0.003817,-0.007004
5,2314390613133412,0.624969,9.970627,-0.290512,7.351907,-0.818778,-6.720678,0.02655,0.001785,0.024139,0.021669,0.023215,0.016802,0.642349,0.668006,0.248604,0.281695,0.003822,-0.006792
6,2314390618077260,0.590256,10.013123,-0.227661,7.360077,-0.759378,-6.776098,0.025482,0.003922,0.024139,0.022388,0.023137,0.01452,0.642268,0.668078,0.24859,0.281721,0.003825,-0.006577
7,2314390623021108,0.645325,10.046051,-0.274353,7.419957,-0.812102,-6.760153,0.024414,0.010315,0.025208,0.026124,0.023905,0.009165,0.642166,0.668162,0.248574,0.281769,0.003827,-0.006357
8,2314390627934438,0.677643,10.069992,-0.35994,7.455012,-0.90307,-6.752839,0.022293,0.011368,0.024139,0.025275,0.022843,0.006946,0.642041,0.668267,0.24856,0.281817,0.003827,-0.006126
9,2314390632878285,0.672256,10.059814,-0.298294,7.447726,-0.843537,-6.749868,0.020157,0.008179,0.019882,0.021287,0.018821,0.007818,0.641943,0.66835,0.248543,0.281859,0.003825,-0.0059
10,2314390637822133,0.611801,10.066406,-0.232452,7.412447,-0.778201,-6.79785,0.019089,-0.004608,0.018814,0.011587,0.018456,0.01627,0.641881,0.668414,0.248516,0.28187,0.00382,-0.005669
11,2314390642765981,0.613602,10.065796,-0.177979,7.41597,-0.725457,-6.797469,0.018021,-0.01207,0.02095,0.005768,0.021012,0.020846,0.641839,0.668469,0.248467,0.28188,0.003813,-0.005433
12,2314390647709828,0.615997,10.061615,-0.125305,7.41718,-0.674094,-6.794299,0.020157,-0.017395,0.02095,0.00361,0.02123,0.026154,0.641812,0.668516,0.248405,0.281886,0.003803,-0.00519
13,2314390652623158,0.580673,10.038864,-0.145065,7.374111,-0.692801,-6.802914,0.022293,-0.021652,0.018814,0.00207,0.019262,0.030732,0.641784,0.668569,0.248353,0.281869,0.003789,-0.004942
14,2314390657567006,0.523819,10.04126,-0.113342,7.335881,-0.660381,-6.845639,0.023346,-0.026978,0.02095,-0.00074,0.021646,0.035251,0.641771,0.668614,0.248303,0.281834,0.003771,-0.004689
15,2314390662510854,0.531006,10.010727,-0.077423,7.320869,-0.624045,-6.820409,0.02655,-0.031235,0.025208,-0.001137,0.026029,0.040462,0.641762,0.668661,0.248235,0.281803,0.003748,-0.004432
16,2314390667454701,0.625565,10.014923,-0.158829,7.385636,-0.710471,-6.75743,0.031876,-0.035492,0.025208,-0.000254,0.026103,0.047221,0.641714,0.668751,0.248146,0.281778,0.003721,-0.004168
17,2314390672398549,0.636337,9.976624,-0.180984,7.364239,-0.73316,-6.723171,0.032944,-0.034439,0.024139,0.001193,0.024956,0.047221,0.641657,0.668848,0.24806,0.281752,0.003689,-0.003902
18,2314390677342397,0.572891,9.970032,-0.159424,7.314161,-0.711113,-6.764052,0.033997,-0.034439,0.02095,0.001772,0.021748,0.048006,0.641614,0.668932,0.247996,0.281707,0.003652,-0.003631
19,2314390682286244,0.556732,9.932327,-0.268967,7.268848,-0.820128,-6.747182,0.030807,-0.031235,0.023087,0.001837,0.023814,0.043442,0.641545,0.669038,0.247947,0.281655,0.003611,-0.003414
20,2314390687230092,0.656693,9.947891,-0.299484,7.348766,-0.856996,-6.688984,0.022293,-0.021652,0.022018,0.002307,0.022489,0.030651,0.641466,0.669141,0.247885,0.281645,0.003566,-0.003192
21,2314390692173940,0.662079,9.926331,-0.175583,7.344221,-0.734005,-6.67271,0.018021,-0.020584,0.017746,-0.000268,0.018296,0.026992,0.64143,0.669201,0.247814,0.28165,0.003517,-0.002967
22,2314390697087270,0.711761,9.980804,-0.10675,7.420951,-0.671288,-6.679307,0.020157,-0.020584,0.016693,0.00121,0.017182,0.028495,0.641405,0.669247,0.247726,0.281672,0.003463,-0.002735
23,2314390702031117,0.680038,9.998764,-0.198334,7.404485,-0.764558,-6.713117,0.022293,-0.017395,0.013489,0.00477,0.01375,0.027744,0.641356,0.669315,0.247669,0.281672,0.003405,-0.002498
24,2314390706974965,0.703384,9.970032,-0.149261,7.403889,-0.716254,-6.677421,0.019089,-0.008865,0.012421,0.008316,0.012313,0.019403,0.641319,0.66936,0.247614,0.281699,0.003342,-0.002255
25,2314390711918813,0.666275,9.974823,-0.062469,7.385561,-0.629496,-6.708358,0.018021,-0.00354,0.0103,0.011113,0.009935,0.014872,0.64131,0.66937,0.247571,0.281733,0.003276,-0.002008
26,2314390716862660,0.623779,9.989792,-0.081619,7.36421,-0.648794,-6.748259,0.023346,-0.000351,0.008163,0.017022,0.007467,0.016318,0.641292,0.669386,0.247554,0.28175,0.003204,-0.001754
27,2314390721775990,0.611801,9.995178,-0.18457,7.353262,-0.752706,-6.758328,0.024414,0.002853,0.009232,0.020073,0.008327,0.014736,0.641243,0.669429,0.247557,0.281759,0.003129,-0.001495
28,2314390726719838,0.572891,9.969437,-0.213303,7.305803,-0.780045,-6.766107,0.025482,0.002853,0.011368,0.020969,0.010428,0.015436,0.641188,0.669478,0.247569,0.281757,0.00305,-0.001227
29,2314390731663686,0.562729,9.977814,-0.204315,7.304793,-0.772435,-6.779273,0.025482,-0.000351,0.013489,0.018876,0.012723,0.017698,0.641137,0.669527,0.247575,0.281751,0.002968,-0.000956
30,2314390736607533,0.580078,9.980209,-0.274353,7.314653,-0.844697,-6.767474,0.027618,-0.000351,0.012421,0.020348,0.011597,0.0192,0.641063,0.669599,0.247587,0.281738,0.002884,-0.000684
31,2314390741551381,0.618988,9.988586,-0.333008,7.34479,-0.907174,-6.745158,0.02655,-0.000351,0.014557,0.01971,0.013763,0.018413,0.640969,0.66969,0.24759,0.281734,0.002794,-0.000397
32,2314390746495229,0.593246,9.959259,-0.309662,7.307246,-0.883329,-6.742288,0.020157,-0.000351,0.016693,0.015245,0.016085,0.013926,0.640894,0.669762,0.247589,0.281732,0.002699,-9.7e-05
33,2314390751439076,0.568115,9.965836,-0.304276,7.29392,-0.879077,-6.764548,0.016953,-0.002472,0.014557,0.011346,0.014168,0.013265,0.640832,0.669825,0.247593,0.28172,0.002605,0.000191
34,2314390756352406,0.559128,9.970627,-0.450928,7.281697,-1.02763,-6.771271,0.013763,-0.004608,0.015625,0.007638,0.015451,0.012559,0.640737,0.669924,0.247607,0.281688,0.002504,0.000494
35,2314390761296254,0.648911,9.954468,-0.38269,7.339065,-0.963336,-6.698442,0.005249,0.002853,0.016693,0.006754,0.016345,0.001255,0.64066,0.669995,0.247593,0.281708,0.0024,0.0008
36,2314390766240102,0.616592,9.946091,-0.256989,7.317656,-0.837339,-6.717267,-9.2e-05,0.003922,0.013489,0.003464,0.013242,-0.003159,0.640632,0.670016,0.247578,0.281734,0.002292,0.00111
37,2314390771183949,0.584869,9.993973,-0.271957,7.327068,-0.854805,-6.773405,0.002045,0.000717,0.011368,0.002653,0.011245,0.000672,0.640605,0.670043,0.247573,0.281737,0.00218,0.001425
38,2314390776127797,0.62677,9.964645,-0.273758,7.336458,-0.857121,-6.723371,0.002045,-0.006729,0.0103,-0.002569,0.010601,0.006047,0.640577,0.670078,0.247548,0.281739,0.002063,0.001745
39,2314390781071645,0.64473,9.960449,-0.179779,7.351476,-0.764096,-6.710471,0.002045,-0.018448,0.008163,-0.010814,0.009134,0.014518,0.640581,0.670096,0.247492,0.281735,0.00194,0.00207
40,2314390785984975,0.598038,9.974823,-0.084015,7.332827,-0.667617,-6.756172,0.004181,-0.025909,0.006042,-0.014572,0.007378,0.021412,0.64062,0.670091,0.247434,0.281711,0.001678,0.002741
41,2314390790928822,0.636948,9.958054,-0.10257,7.347224,-0.68643,-6.717591,0.009506,-0.024841,0.004974,-0.010066,0.006095,0.024366,0.64064,0.670101,0.247373,0.281693,0.001678,0.002741
42,2314390795872670,0.610001,9.9832,-0.071442,7.346375,-0.65583,-6.755883,0.013763,-0.023773,0.002838,-0.006392,0.003776,0.026599,0.640666,0.670105,0.247325,0.281666,0.00153,0.003071
43,2314390800816518,0.516037,9.965836,-0.064865,7.266332,-0.645066,-6.809755,0.021225,-0.028046,0.003906,-0.003917,0.004864,0.034833,0.640694,0.670114,0.247299,0.281606,0.001375,0.003408
44,2314390805760365,0.541779,9.922745,-0.236649,7.243638,-0.815701,-6.75832,0.023346,-0.029114,0.008163,-0.002868,0.009116,0.036986,0.640666,0.670179,0.247276,0.281536,0.001214,0.003753
45,2314390810673696,0.609406,9.906586,-0.379105,7.271691,-0.960928,-6.697357,0.019089,-0.020584,0.0103,0.000108,0.010895,0.027847,0.640591,0.670277,0.247256,0.281489,0.001047,0.004105
46,2314390815617543,0.583069,9.897614,-0.297089,7.250725,-0.878953,-6.7116,0.011627,-0.021652,0.0103,-0.005996,0.011177,0.023435,0.640556,0.67034,0.247227,0.281446,0.000874,0.004466
47,2314390820561391,0.581879,9.893417,-0.300095,7.245993,-0.882698,-6.710058,0.005249,-0.021652,0.012421,-0.010452,0.013482,0.018964,0.640529,0.670394,0.24719,0.281411,0.000695,0.004836
48,2314390825505239,0.681229,9.9431,-0.316849,7.350292,-0.906617,-6.676897,-9.2e-05,-0.01207,0.011368,-0.007726,0.01204,0.008383,0.64049,0.670446,0.247142,0.281417,0.000512,0.005209
49,2314390830449086,0.657288,9.971222,-0.28273,7.35455,-0.874278,-6.714438,-0.002213,-0.004608,0.003906,-0.004543,0.004227,0.001698,0.640465,0.67047,0.247129,0.28143,0.000323,0.005592
50,2314390835392934,0.575897,10.005341,-0.296494,7.318753,-0.8879,-6.795147,-0.001144,-0.005676,0.00177,-0.004643,0.002126,0.003254,0.640446,0.670489,0.247144,0.281414,0.000126,0.005987
51,2314390840336781,0.58606,10.031082,-0.24382,7.347088,-0.837021,-6.807732,-0.003281,-0.009933,-0.000351,-0.009254,0.000316,0.00488,0.640445,0.67049,0.247153,0.281405,-7.7e-05,0.00639
52,2314390845250112,0.589066,10.027496,-0.238434,7.346693,-0.831389,-6.803621,-0.003281,-0.01207,-0.000351,-0.010732,0.000439,0.006418,0.640454,0.670497,0.247141,0.281377,-0.000285,0.006801
53,2314390850193959,0.563324,10.055023,-0.22287,7.347766,-0.816193,-6.842125,-0.004349,-0.013123,-0.003555,-0.012423,-0.002668,0.006504,0.640475,0.670495,0.247137,0.281339,-0.000499,0.00722
54,2314390855137807,0.54776,10.074173,-0.248016,7.347863,-0.841327,-6.866693,-0.004349,-0.014191,-0.006744,-0.013355,-0.00579,0.007342,0.640494,0.670496,0.247144,0.281286,-0.000719,0.007649
55,2314390860081655,0.549561,10.051437,-0.210312,7.335308,-0.801732,-6.850417,-0.002213,-0.014191,-0.006744,-0.011817,-0.005853,0.008825,0.64052,0.670491,0.247148,0.281237,-0.000955,0.008107
56,2314390865025502,0.498672,10.040665,-0.20372,7.291193,-0.792075,-6.878677,-0.003281,-0.015259,-0.004623,-0.013194,-0.003646,0.008808,0.640553,0.67048,0.247158,0.281178,-0.001214,0.008606
57,2314390869938832,0.443008,10.0634,-0.218689,7.265408,-0.805681,-6.934049,0.000977,-0.019516,-0.002487,-0.012944,-0.001395,0.014783,0.640584,0.670478,0.247179,0.281096,-0.001479,0.009113
58,2314390874882680,0.486115,10.037674,-0.273758,7.274633,-0.860199,-6.8852,0.000977,-0.021652,0.003906,-0.014034,0.005106,0.016186,0.64059,0.670501,0.247178,0.281027,-0.001749,0.009629
59,2314390879826528,0.519623,10.016724,-0.245026,7.285331,-0.831181,-6.848194,-0.001144,-0.019516,0.008163,-0.013827,0.009293,0.013087,0.6406,0.670517,0.247159,0.280981,-0.001987,0.010019
60,2314390884770375,0.513046,10.014923,-0.136093,7.285178,-0.721533,-6.854641,-0.002213,-0.02272,0.011368,-0.016618,0.012704,0.014588,0.640642,0.670506,0.24712,0.280948,-0.002232,0.01042
61,2314390889714223,0.535782,9.992783,-0.04451,7.291054,-0.628828,-6.825683,0.005249,-0.021652,0.013489,-0.010377,0.014544,0.01895,0.640691,0.670485,0.247068,0.280932,-0.002483,0.010829
62,2314390894627553,0.587265,9.98201,-0.04451,7.320099,-0.629401,-6.782867,0.009506,-0.017395,0.012421,-0.004431,0.013112,0.018859,0.640725,0.670472,0.247013,0.280932,-0.002741,0.011247
63,2314390899571401,0.595642,9.96106,-0.073837,7.309493,-0.657892,-6.761766,0.014832,-0.01207,0.013489,0.003151,0.013721,0.018693,0.640737,0.670474,0.24697,0.280939,-0.003002,0.011671
64,2314390904515248,0.621384,9.950287,-0.072037,7.320492,-0.656769,-6.736371,0.022293,-0.005676,0.012421,0.012881,0.012075,0.019281,0.640731,0.670485,0.246935,0.280958,-0.003272,0.01211
65,2314390909459096,0.662674,9.945496,-0.168411,7.34107,-0.755209,-6.702145,0.027618,0.000717,0.008163,0.020878,0.007307,0.018456,0.640683,0.670528,0.246921,0.280976,-0.003547,0.012556
66,2314390914372426,0.693207,9.930527,-0.200134,7.350856,-0.78847,-6.669269,0.029739,0.003922,0.002838,0.024299,0.001749,0.01773,0.640622,0.67058,0.246916,0.280995,-0.003827,0.013012
67,2314390919346791,0.629166,9.926331,-0.237244,7.299802,-0.824686,-6.709465,0.028671,0.007111,0.000702,0.025604,-0.000533,0.014738,0.64056,0.67063,0.246941,0.280995,-0.004114,0.013478
68,2314390924290639,0.594452,9.929932,-0.307877,7.273449,-0.895626,-6.733969,0.023346,0.013504,-0.000351,0.026124,-0.001796,0.006466,0.640488,0.670682,0.246991,0.28099,-0.004406,0.013954
69,2314390929234487,0.621384,9.94429,-0.251602,7.306709,-0.841891,-6.726178,0.014832,0.016693,0.000702,0.022262,-0.000685,-0.001755,0.640441,0.670706,0.247026,0.28101,-0.004698,0.014428
70,2314390934178334,0.636337,9.979004,-0.226471,7.343444,-0.819839,-6.740781,0.010574,0.014572,0.000702,0.01773,-0.000442,-0.003178,0.640408,0.670718,0.247047,0.281036,-0.005001,0.014921
71,2314390939122182,0.610001,9.974823,-0.253998,7.320417,-0.846843,-6.754847,0.012695,0.014572,-0.003555,0.018999,-0.004751,-0.001613,0.640371,0.670736,0.247087,0.281044,-0.005308,0.015418
72,2314390944035512,0.581879,9.986191,-0.231857,7.309889,-0.824844,-6.782446,0.010574,0.014572,-0.001419,0.017602,-0.002558,-0.003129,0.640345,0.670743,0.247128,0.281052,-0.005626,0.015935
73,2314390948979360,0.577682,10.038269,-0.116333,7.35021,-0.712163,-6.825046,0.010574,0.009247,0.003906,0.014242,0.003063,0.00059,0.640351,0.670724,0.247141,0.281071,-0.005959,0.016475
74,2314390953923207,0.60582,10.094528,-0.099579,7.410439,-0.699367,-6.84638,0.013763,0.000717,0.003906,0.010639,0.003465,0.008944,0.64036,0.670714,0.247135,0.281082,-0.006294,0.01702
75,2314390958867055,0.623779,10.140625,-0.074432,7.45665,-0.677583,-6.86776,0.021225,-0.00354,0.006042,0.013197,0.005629,0.017138,0.640362,0.670714,0.247116,0.281092,-0.00663,0.017569
76,2314390963810903,0.683624,10.163361,-0.10376,7.513594,-0.710797,-6.841968,0.027618,-0.001404,0.007095,0.01934,0.006373,0.02001,0.640337,0.670737,0.24709,0.281116,-0.006973,0.018129
77,2314390968754750,0.706375,10.106506,-0.158234,7.487518,-0.76393,-6.783721,0.032944,0.006042,0.002838,0.028064,0.001541,0.018436,0.640284,0.670778,0.247086,0.281143,-0.00732,0.0187
78,2314390973698598,0.693207,10.065796,-0.16481,7.449779,-0.769006,-6.762945,0.036133,0.009247,-0.003555,0.032186,-0.005114,0.018483,0.640228,0.670819,0.247103,0.281159,-0.007673,0.019283
79,2314390978611928,0.613007,10.04007,-0.180984,7.373549,-0.782368,-6.799269,0.042526,0.007111,-0.004623,0.035245,-0.006233,0.024481,0.640168,0.670866,0.247147,0.281143,-0.008031,0.019876
80,2314390983555776,0.58606,9.993973,-0.166016,7.323554,-0.765046,-6.784613,0.049988,0.009247,-0.004623,0.042092,-0.006562,0.028123,0.640102,0.670918,0.247204,0.281122,-0.008376,0.02036
81,2314390988499623,0.587265,9.963455,-0.216293,7.300639,-0.814817,-6.760091,0.054245,0.010315,-0.007812,0.0457,-0.009916,0.030384,0.640016,0.670987,0.247275,0.281089,-0.008725,0.020854
82,2314390993443471,0.535782,9.945496,-0.309662,7.24609,-0.907095,-6.779897,0.056381,0.01564,-0.008881,0.050854,-0.011339,0.028064,0.639905,0.671074,0.247381,0.281039,-0.009075,0.021353
83,2314390998387319,0.510651,9.933517,-0.288116,7.221812,-0.885534,-6.788207,0.055313,0.020966,-0.007812,0.053833,-0.010541,0.023474,0.639802,0.671148,0.247497,0.280996,-0.009431,0.021864
84,2314391003331166,0.521423,9.925735,-0.333008,7.222307,-0.93173,-6.772977,0.053177,0.023087,-0.008881,0.053698,-0.011661,0.0205,0.639688,0.67123,0.247617,0.280955,-0.009791,0.022384
85,2314391008244496,0.438828,9.918564,-0.4216,7.153292,-1.018959,-6.822039,0.047852,0.018829,-0.005676,0.047114,-0.008053,0.0198,0.63957,0.671322,0.247752,0.280883,-0.010154,0.02291
86,2314391013188344,0.423264,9.884445,-0.470078,7.11623,-1.066417,-6.806203,0.04039,0.016693,-0.003555,0.040395,-0.005598,0.016112,0.639453,0.671417,0.247884,0.280807,-0.010522,0.023444
87,2314391018101674,0.464554,9.92215,-0.505997,7.170394,-1.10738,-6.802946,0.032944,0.014572,0.000702,0.033825,-0.00102,0.012368,0.639334,0.671516,0.247992,0.280746,-0.010894,0.023985
88,2314391023045522,0.517227,9.971222,-0.405426,7.248836,-1.012478,-6.803409,0.019089,0.016693,0.003906,0.025518,0.002411,0.001146,0.639256,0.671571,0.248064,0.280728,-0.011266,0.024529
89,2314391027989369,0.536987,9.952667,-0.305481,7.256603,-0.912793,-6.778324,0.014832,0.012436,0.006042,0.019638,0.004907,0.0012,0.639212,0.671598,0.248106,0.280726,-0.011634,0.02507
90,2314391032933217,0.58667,10.002945,-0.322235,7.326284,-0.934946,-6.779268,0.013763,0.006042,0.0103,0.014698,0.009565,0.004949,0.639161,0.67164,0.248119,0.280732,-0.012006,0.025622
91,2314391037877065,0.58786,10.00415,-0.367126,7.325265,-0.981033,-6.777997,0.008438,0.001785,0.0103,0.007922,0.009956,0.004312,0.639109,0.671687,0.248126,0.280729,-0.012401,0.026219
92,2314391042820912,0.62677,10.008347,-0.309067,7.359305,-0.925348,-6.755721,0.004181,-0.007797,0.011368,-0.001707,0.011705,0.008221,0.639082,0.671723,0.248097,0.280732,-0.01279,0.02682
93,2314391047764760,0.654297,9.988586,-0.18457,7.372401,-0.801156,-6.726055,0.005249,-0.013123,0.011368,-0.004623,0.011998,0.012794,0.639086,0.671734,0.248039,0.280747,-0.01317,0.02742
94,2314391052708608,0.584869,10.023895,-0.061264,7.35383,-0.677933,-6.803383,0.009506,-0.015259,0.0103,-0.003102,0.01095,0.017314,0.639129,0.671711,0.247989,0.28075,-0.013551,0.028039
95,2314391057652455,0.578278,10.041855,-0.030136,7.36285,-0.647341,-6.82229,0.018021,-0.017395,0.011368,0.001612,0.011922,0.024735,0.639167,0.671694,0.24794,0.280747,-0.013922,0.028661
96,2314391062565785,0.597443,10.058624,-0.048691,7.386459,-0.667498,-6.821285,0.028671,-0.020584,0.011368,0.007071,0.011837,0.034422,0.639182,0.671703,0.24789,0.280735,-0.014285,0.029289
