,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2315509451473373,0.651901,4.732117,8.60994,2.604998,7.794191,5.423424,0.064896,-0.033371,-0.009949,0.050791,-0.051756,0.012873,0.956393,0.245399,0.0081,0.158195,-0.004852,-0.001323
1,2315509456417221,0.617783,4.736908,8.581802,2.572852,7.796872,5.39041,0.058502,-0.037628,-0.01207,0.043286,-0.054373,0.012408,0.956362,0.245559,0.008042,0.158142,-0.00487,-0.001295
2,2315509461361069,0.618393,4.752472,8.530319,2.575771,7.786769,5.335387,0.04892,-0.040817,-0.007812,0.033478,-0.052141,0.016757,0.956333,0.245699,0.00797,0.158097,-0.004887,-0.001266
3,2315509466304916,0.636948,4.755463,8.484833,2.592338,7.763487,5.293448,0.04039,-0.041885,-0.006744,0.02512,-0.049971,0.017408,0.95631,0.245822,0.007891,0.158055,-0.004905,-0.001236
4,2315509471248764,0.604019,4.750671,8.476456,2.559928,7.766347,5.283434,0.030807,-0.038696,-0.003555,0.017198,-0.042956,0.017835,0.956291,0.24592,0.007816,0.158022,-0.004922,-0.001204
5,2315509476192612,0.618393,4.734512,8.49501,2.570648,7.758155,5.307164,0.023346,-0.034439,-0.001419,0.011551,-0.036188,0.017032,0.956275,0.245997,0.007745,0.157996,-0.004939,-0.001172
6,2315509481136459,0.634552,4.727325,8.500992,2.584999,7.750746,5.316092,0.018021,-0.028046,0.00177,0.008651,-0.02779,0.016352,0.956262,0.246059,0.007685,0.157983,-0.004957,-0.001139
7,2315509486049789,0.614792,4.68663,8.497406,2.55434,7.721615,5.329203,0.014832,-0.024841,0.003906,0.006738,-0.023169,0.016435,0.956251,0.246109,0.007631,0.157976,-0.004976,-0.001103
8,2315509490993637,0.644119,4.678848,8.514771,2.581726,7.715004,5.349883,0.013763,-0.023773,0.003906,0.006051,-0.021964,0.015837,0.95624,0.246157,0.007577,0.157971,-0.004997,-0.001066
9,2315509495937485,0.645325,4.691422,8.496216,2.586291,7.716659,5.326899,0.013763,-0.021652,0.003906,0.006701,-0.020205,0.014844,0.956229,0.246204,0.007528,0.157967,-0.005018,-0.001027
10,2315509500881332,0.642929,4.673462,8.497406,2.579212,7.703528,5.335152,0.016953,-0.019516,0.00177,0.01025,-0.020396,0.012262,0.956217,0.246257,0.007486,0.157959,-0.005042,-0.000986
11,2315509505825180,0.634552,4.651306,8.485428,2.564154,7.682453,5.333369,0.0159,-0.015259,0.000702,0.010484,-0.017058,0.009232,0.956206,0.246305,0.007456,0.157951,-0.005064,-0.000945
12,2315509510738510,0.602829,4.633362,8.497406,2.529489,7.683185,5.348618,0.016953,-0.006729,0.000702,0.014093,-0.010303,0.005332,0.956195,0.24635,0.007447,0.157948,-0.005087,-0.000902
13,2315509515682358,0.604614,4.650711,8.502197,2.536788,7.699776,5.344175,0.0159,-0.001404,-0.000351,0.014653,-0.006074,0.001814,0.956185,0.246392,0.007452,0.157945,-0.005111,-0.000857
14,2315509520626205,0.60881,4.668076,8.515961,2.546967,7.719937,5.347775,0.018021,0.000717,0.000702,0.017384,-0.00445,0.00194,0.956172,0.246438,0.007461,0.157947,-0.005135,-0.00081
15,2315509525570053,0.627365,4.676453,8.484833,2.56517,7.707112,5.317472,0.018021,0.002853,0.00177,0.018105,-0.002174,0.001877,0.956159,0.246485,0.007474,0.157952,-0.00518,-0.00071
16,2315509530513901,0.614792,4.693207,8.466873,2.557047,7.716823,5.291904,0.019089,0.00499,-0.000351,0.019638,-0.001727,-0.000889,0.956146,0.246535,0.007495,0.157953,-0.00518,-0.00071
17,2315509535457748,0.581879,4.690216,8.477646,2.525303,7.72975,5.299148,0.0159,0.009247,0.000702,0.017977,0.00325,-0.002254,0.956134,0.246575,0.007525,0.157959,-0.005185,-0.000704
18,2315509540401596,0.572296,4.669266,8.475266,2.509339,7.714446,5.30568,0.010574,0.012436,0.00177,0.01396,0.007987,-0.003303,0.956126,0.2466,0.007561,0.15797,-0.005189,-0.000697
19,2315509545345444,0.570511,4.700989,8.480652,2.51736,7.743941,5.295331,0.004181,0.017761,0.004974,0.00972,0.015824,-0.003578,0.95612,0.246609,0.007605,0.157991,-0.005193,-0.00069
20,2315509550289291,0.578888,4.677643,8.459702,2.516673,7.712118,5.288817,-9.2e-05,0.018829,0.009232,0.006258,0.020002,-0.000734,0.956114,0.246607,0.007647,0.158024,-0.005196,-0.000682
21,2315509555202621,0.581879,4.685425,8.485428,2.523469,7.729511,5.308582,-0.009674,0.022034,0.014557,-0.001525,0.02804,0.001553,0.956113,0.246582,0.007689,0.158071,-0.005199,-0.000675
22,2315509560146469,0.611801,4.686035,8.537506,2.55539,7.745174,5.357659,-0.017136,0.020966,0.015625,-0.00887,0.029889,0.002302,0.956116,0.246538,0.007724,0.15812,-0.005201,-0.000667
23,2315509565090317,0.624374,4.635757,8.55307,2.553144,7.706264,5.397224,-0.024582,0.017761,0.017746,-0.016788,0.030463,0.004979,0.956123,0.246474,0.007745,0.158174,-0.005203,-0.00066
