,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2313951792789272,-0.87619,9.690506,2.003128,-7.510658,2.593531,-5.962367,0.010574,-0.018448,-0.000351,0.020372,0.000242,0.006098,0.707289,0.598324,-0.204598,-0.316055,0.004988,-0.003627
1,2313951797733119,-0.857635,9.698288,1.926514,-7.496435,2.522584,-5.995304,0.009506,-0.016327,-0.004623,0.018519,-0.003963,0.004434,0.70725,0.598346,-0.204642,-0.31607,0.005299,-0.003741
2,2313951802646449,-0.807953,9.724625,1.886414,-7.475939,2.495052,-6.055136,0.006302,-0.014191,-0.011017,0.015313,-0.010669,0.003762,0.707208,0.598376,-0.20469,-0.316077,0.005613,-0.003856
3,2313951807590297,-0.825912,9.740784,1.846313,-7.496717,2.452808,-6.062739,-9.2e-05,-0.008865,-0.013138,0.007235,-0.013583,0.00379,0.707165,0.598414,-0.20472,-0.316082,0.005931,-0.003973
4,2313951812534145,-0.906128,9.716248,1.878632,-7.540229,2.465307,-5.985248,-0.01181,-0.001404,-0.011017,-0.00651,-0.013254,0.006691,0.707144,0.598435,-0.204702,-0.316103,0.00625,-0.004091
5,2313951817477992,-0.939636,9.688721,2.055206,-7.560985,2.628726,-5.90757,-0.016068,0.001785,-0.006744,-0.012146,-0.00968,0.008101,0.707173,0.598397,-0.204651,-0.316141,0.006572,-0.004209
6,2313951822421840,-0.891754,9.721634,2.198853,-7.562319,2.782464,-5.933766,-0.01181,0.002853,-0.004623,-0.010023,-0.006661,0.004915,0.707236,0.59832,-0.204608,-0.316174,0.006889,-0.004326
7,2313951827365688,-0.85704,9.771912,2.273087,-7.578975,2.867482,-5.977333,-0.002213,0.003922,-0.005676,-0.003795,-0.005656,-0.002472,0.707302,0.598237,-0.204578,-0.316204,0.007561,-0.004575
8,2313951832309535,-0.818726,9.751556,2.234177,-7.534049,2.836499,-5.99559,0.011627,0.001785,-0.007812,0.007788,-0.005115,-0.010611,0.707342,0.598185,-0.20457,-0.316217,0.007561,-0.004575
9,2313951837253383,-0.791199,9.728821,2.125244,-7.488964,2.734072,-6.019375,0.021225,0.000717,-0.009949,0.015592,-0.005346,-0.016683,0.707343,0.59818,-0.204587,-0.316213,0.007897,-0.0047
10,2313951842166713,-0.806763,9.708466,2.015106,-7.47636,2.621126,-6.016603,0.024414,-0.001404,-0.013138,0.019627,-0.007992,-0.017931,0.70731,0.598213,-0.20461,-0.316209,0.008237,-0.004828
11,2313951847110561,-0.817535,9.674347,1.991165,-7.458537,2.591941,-5.989833,0.023346,-0.00354,-0.013138,0.02034,-0.00839,-0.015687,0.707271,0.59825,-0.204635,-0.31621,0.008576,-0.004958
12,2313951852023891,-0.881577,9.741989,1.995956,-7.551905,2.588203,-5.994788,0.021225,-0.002472,-0.014206,0.018177,-0.009772,-0.015249,0.707228,0.598293,-0.204637,-0.316226,0.008916,-0.00509
13,2313951856998256,-0.877991,9.769516,2.005524,-7.569389,2.599654,-6.015191,0.019089,-0.000351,-0.01207,0.014989,-0.007943,-0.014914,0.707191,0.59833,-0.204639,-0.316235,0.009313,-0.005198
14,2313951861942104,-0.848068,9.740189,1.998352,-7.527089,2.595579,-6.015808,0.018021,0.000717,-0.009949,0.013296,-0.006001,-0.014541,0.707162,0.598363,-0.204649,-0.316233,0.009712,-0.005308
15,2313951866885951,-0.873199,9.724625,1.946869,-7.529734,2.537952,-5.998587,0.016953,0.002853,-0.009949,0.011053,-0.006039,-0.015358,0.707121,0.598412,-0.204652,-0.316229,0.010113,-0.005421
16,2313951871860317,-0.959991,9.773712,1.965424,-7.627675,2.541101,-5.972538,0.018021,0.000717,-0.009949,0.013298,-0.006002,-0.014539,0.70707,0.598468,-0.204633,-0.316248,0.010516,-0.005537
17,2313951876773647,-0.97435,9.771912,1.962433,-7.636807,2.53363,-5.962454,0.018021,-0.006729,-0.006744,0.018166,-0.003497,-0.008561,0.707017,0.598519,-0.204628,-0.316276,0.010919,-0.005656
18,2313951881717494,-0.936646,9.698288,1.968414,-7.559811,2.539984,-5.933506,0.016953,-0.01207,-0.002487,0.020718,-4e-06,-0.003169,0.706974,0.59855,-0.204646,-0.3163,0.011326,-0.005777
19,2313951886661342,-0.958786,9.680328,1.992966,-7.565982,2.556996,-5.900652,0.019089,-0.016327,-0.000351,0.025003,0.002158,-0.001119,0.706932,0.598576,-0.204665,-0.316333,0.011734,-0.005899
20,2313951891574672,-0.979736,9.699493,1.940887,-7.590254,2.502177,-5.910519,0.020157,-0.019516,-0.000351,0.027976,0.002111,0.000451,0.706872,0.598618,-0.204691,-0.31637,0.012149,-0.006024
21,2313951896518520,-0.9552,9.694702,1.961227,-7.571865,2.525474,-5.919033,0.022293,-0.021652,0.00177,0.030794,0.004436,0.000974,0.706817,0.598653,-0.20473,-0.316402,0.012569,-0.00615
22,2313951901431850,-0.929459,9.719238,1.936691,-7.56894,2.50776,-5.958237,0.024414,-0.025909,0.004974,0.034974,0.007639,0.003242,0.706756,0.598692,-0.204794,-0.316423,0.012992,-0.006277
23,2313951906375698,-0.896545,9.768326,1.937286,-7.580167,2.518038,-6.014784,0.028671,-0.026978,0.002838,0.038953,0.006326,0.000731,0.706689,0.598736,-0.204873,-0.316438,0.013419,-0.006405
24,2313951911319545,-0.892349,9.76413,1.888809,-7.570646,2.469873,-6.023884,0.029739,-0.025909,0.000702,0.039168,0.004545,-0.00118,0.706608,0.598798,-0.204954,-0.316449,0.013846,-0.006533
25,2313951916232875,-0.872604,9.778503,1.884613,-7.566764,2.469838,-6.047842,0.027618,-0.025909,0.002838,0.037459,0.006201,0.000657,0.706534,0.598854,-0.205042,-0.316452,0.014288,-0.006665
26,2313951921176723,-0.843277,9.756943,1.969009,-7.539039,2.555758,-6.034661,0.025482,-0.023773,-0.001419,0.034831,0.00179,-0.000296,0.706485,0.59888,-0.205118,-0.316463,0.014727,-0.006797
27,2313951926120571,-0.800781,9.771317,1.987564,-7.520817,2.583101,-6.069199,0.030807,-0.020584,-0.004623,0.036717,-4e-06,-0.006782,0.706436,0.598909,-0.205199,-0.316464,0.015167,-0.00693
28,2313951931064418,-0.767853,9.770111,1.961838,-7.494608,2.563782,-6.095193,0.036133,-0.017395,-0.007812,0.038601,-0.001787,-0.013266,0.706376,0.598956,-0.205286,-0.316453,0.015631,-0.00707
29,2313951936008266,-0.787003,9.72821,2.012711,-7.484268,2.605401,-6.042017,0.036133,-0.013123,-0.013138,0.036113,-0.006638,-0.017384,0.706326,0.598992,-0.205345,-0.316457,0.016094,-0.00721
30,2313951940921596,-0.851654,9.733002,2.023483,-7.5354,2.602135,-5.999823,0.036133,-0.014191,-0.015274,0.037043,-0.008811,-0.017044,0.70627,0.599033,-0.205381,-0.316483,0.016558,-0.007351
31,2313951945865444,-0.896545,9.724625,1.991165,-7.559432,2.559243,-5.970092,0.039337,-0.014191,-0.014206,0.039239,-0.007125,-0.018978,0.706197,0.599092,-0.20541,-0.316513,0.017021,-0.007493
32,2313951950809291,-0.907913,9.709656,1.963028,-7.555281,2.526512,-5.957333,0.039337,-0.014191,-0.01207,0.039047,-0.005041,-0.018557,0.70612,0.599159,-0.205442,-0.31654,0.017487,-0.007638
33,2313951955722621,-0.922287,9.722229,1.895401,-7.568753,2.456586,-5.970263,0.038269,-0.013123,-0.009949,0.037353,-0.003099,-0.018189,0.706028,0.599245,-0.205477,-0.316558,0.017986,-0.007728
34,2313951960666469,-0.948624,9.683319,1.843323,-7.556365,2.395064,-5.93544,0.032944,-0.009933,-0.008881,0.031238,-0.002867,-0.016697,0.705934,0.59934,-0.205499,-0.316574,0.018491,-0.00782
35,2313951965610317,-0.986328,9.673752,1.865463,-7.579019,2.406294,-5.899362,0.028671,-0.007797,-0.004623,0.026321,0.000606,-0.014527,0.705852,0.599423,-0.205507,-0.316594,0.018999,-0.007916
36,2313951970554164,-1.001892,9.689911,1.901978,-7.604934,2.438515,-5.893579,0.023346,-0.007797,0.000702,0.022036,0.004737,-0.009913,0.705789,0.599485,-0.20551,-0.316615,0.019511,-0.008014
37,2313951975498012,-0.949814,9.70488,1.935501,-7.581325,2.482037,-5.932614,0.020157,-0.008865,0.004974,0.020114,0.008182,-0.006174,0.705747,0.599523,-0.205533,-0.316621,0.020025,-0.008115
38,2313951980441860,-0.940842,9.741989,1.924728,-7.599997,2.475447,-5.967256,0.019089,-0.01207,0.004974,0.021572,0.00771,-0.003166,0.705702,0.599561,-0.205565,-0.316628,0.020543,-0.00822
39,2313951985385707,-0.89415,9.739594,1.901978,-7.563212,2.461738,-6.001196,0.016953,-0.01207,0.003906,0.02014,0.006238,-0.001947,0.70566,0.599597,-0.205611,-0.316625,0.02106,-0.008327
40,2313951990329555,-0.870804,9.733002,1.897186,-7.541824,2.460637,-6.012907,0.014832,-0.01207,0.000702,0.018911,0.002684,-0.001157,0.705621,0.599628,-0.205657,-0.316623,0.021583,-0.008438
41,2313951995242885,-0.911514,9.715652,1.933105,-7.562332,2.485738,-5.966055,0.011627,-0.008865,0.003906,0.01411,0.005429,-0.000676,0.705595,0.599648,-0.205683,-0.316626,0.022109,-0.008553
42,2313952000217250,-0.926468,9.701889,1.964233,-7.566461,2.51174,-5.939949,0.009506,-0.006729,0.003906,0.011113,0.005176,-0.000785,0.70558,0.599657,-0.205695,-0.316635,0.022637,-0.008671
