,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,98207440616924,0.583679,9.892227,-1.521133,-2.552093,-0.11364,9.694552,0.060822,0.050797,0.057098,-0.06604,0.065448,0.029918,0.084935,0.053521,-0.749823,-0.653977,0.003176,-0.005951
1,98207445560772,0.589066,9.897614,-1.570206,-2.563531,-0.15761,9.704586,0.054428,0.047607,0.060287,-0.058968,0.06799,0.027631,0.085112,0.053498,-0.749921,-0.653845,0.003175,-0.005951
2,98207450504619,0.56691,9.862289,-1.612717,-2.539865,-0.201941,9.679609,0.044846,0.048676,0.065613,-0.049461,0.073137,0.029837,0.0853,0.053465,-0.750003,-0.653727,0.003175,-0.005951
3,98207455417950,0.589066,9.901794,-1.541489,-2.567403,-0.122602,9.703712,0.030991,0.049744,0.06987,-0.035826,0.077083,0.033037,0.085498,0.053423,-0.750062,-0.653638,0.003174,-0.005952
4,98207460361797,0.674057,9.891022,-1.4505,-2.645428,-0.029182,9.663945,0.022476,0.044418,0.072006,-0.026315,0.078197,0.029254,0.085697,0.053363,-0.750105,-0.653569,0.003173,-0.005952
5,98207465305645,0.729126,9.830566,-1.400818,-2.686607,0.01514,9.587281,0.015015,0.036957,0.073074,-0.017485,0.077979,0.023337,0.085888,0.053285,-0.750135,-0.653515,0.003172,-0.005953
6,98207470249493,0.74408,9.855713,-1.38765,-2.707033,0.033655,9.606505,0.006485,0.035889,0.075195,-0.008771,0.079657,0.02371,0.086082,0.0532,-0.750151,-0.653477,0.003171,-0.005954
7,98207475193340,0.689621,9.887436,-1.381073,-2.661251,0.043902,9.64676,-0.000961,0.039093,0.077332,-0.00194,0.081979,0.02802,0.086283,0.053116,-0.750154,-0.653454,0.00317,-0.005955
8,98207480137188,0.553741,9.9431,-1.302658,-2.536048,0.125386,9.717071,-0.009491,0.040146,0.083725,0.006626,0.088167,0.029907,0.086492,0.053026,-0.750141,-0.653449,0.003169,-0.005956
9,98207485081035,0.540573,9.952667,-1.199707,-2.520677,0.228464,9.715024,-0.014816,0.042282,0.096512,0.012244,0.100933,0.031377,0.086725,0.052914,-0.750117,-0.653457,0.003168,-0.005957
