,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,98210.944523174,-1.117156,-0.016886,-0.023632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,98210.949436504,-1.117156,-0.016886,-0.023632,-0.000132,0.000034,-0.000156,0.000139,-0.000040,-0.000050
2,98210.954380352,-1.117156,-0.016887,-0.023633,-0.000352,0.000108,-0.000268,0.000278,-0.000081,-0.000100
3,98210.959324200,-1.117157,-0.016888,-0.023634,-0.000621,0.000346,-0.000229,0.000418,-0.000121,-0.000151
4,98210.964268047,-1.117160,-0.016890,-0.023635,-0.000800,0.000513,-0.000102,0.000558,-0.000161,-0.000201
5,98210.969181377,-1.117164,-0.016893,-0.023636,-0.000857,0.000677,-0.000008,0.000697,-0.000201,-0.000251
6,98210.974094707,-1.117168,-0.016896,-0.023636,-0.000779,0.000753,0.000078,0.000835,-0.000242,-0.000301
7,98210.979038555,-1.117173,-0.016898,-0.023635,-0.000688,0.000768,0.000185,0.000975,-0.000282,-0.000351
8,98210.983982403,-1.117178,-0.016900,-0.023635,-0.000510,0.000865,0.000348,0.001115,-0.000322,-0.000401
9,98210.988926250,-1.117183,-0.016901,-0.023633,-0.000265,0.000878,0.000438,0.001254,-0.000363,-0.000452
10,98210.993870098,-1.117187,-0.016901,-0.023631,-0.000052,0.000772,0.000633,0.001394,-0.000403,-0.000502
11,98210.998783428,-1.117191,-0.016900,-0.023628,0.000223,0.000714,0.000767,0.001533,-0.000443,-0.000552
12,98211.003727276,-1.117194,-0.016898,-0.023624,0.000500,0.000490,0.000873,0.001673,-0.000484,-0.000602
13,98211.008671123,-1.117195,-0.016895,-0.023620,0.000624,0.000154,0.000946,0.001812,-0.000524,-0.000653
14,98211.013614971,-1.117195,-0.016891,-0.023615,0.000774,-0.000303,0.000973,0.001952,-0.000565,-0.000703
15,98211.018528301,-1.117192,-0.016888,-0.023610,0.001038,-0.000791,0.000877,0.002091,-0.000605,-0.000753
16,98211.023472149,-1.117187,-0.016885,-0.023606,0.001271,-0.001481,0.000816,0.002231,-0.000645,-0.000803
17,98211.028415996,-1.117178,-0.016881,-0.023602,0.001481,-0.002054,0.000940,0.002370,-0.000685,-0.000854
18,98211.033359844,-1.117166,-0.016878,-0.023597,0.001624,-0.002617,0.001008,0.002510,-0.000726,-0.000904
19,98211.038303692,-1.117151,-0.016874,-0.023592,0.001806,-0.003103,0.001196,0.002650,-0.000766,-0.000954
20,98211.043247539,-1.117134,-0.016871,-0.023586,0.002138,-0.003367,0.001429,0.002789,-0.000807,-0.001004
21,98211.048191387,-1.117115,-0.016867,-0.023578,0.002352,-0.003709,0.001639,0.002929,-0.000847,-0.001055
22,98211.053104717,-1.117094,-0.016862,-0.023570,0.002568,-0.003892,0.001991,0.003068,-0.000887,-0.001105
23,98211.058048565,-1.117072,-0.016856,-0.023560,0.002899,-0.003744,0.002256,0.003207,-0.000928,-0.001155
24,98211.062992412,-1.117049,-0.016849,-0.023549,0.003134,-0.003597,0.002392,0.003347,-0.000968,-0.001205
25,98211.067936260,-1.117028,-0.016840,-0.023537,0.003423,-0.003180,0.002499,0.003487,-0.001008,-0.001256
26,98211.072849590,-1.117007,-0.016830,-0.023524,0.003875,-0.002618,0.002375,0.003626,-0.001049,-0.001306
27,98211.077823955,-1.116989,-0.016816,-0.023512,0.004268,-0.002103,0.002228,0.003766,-0.001089,-0.001356
28,98211.082767803,-1.116972,-0.016799,-0.023501,0.004744,-0.001621,0.002098,0.003906,-0.001130,-0.001407
29,98211.087711651,-1.116957,-0.016780,-0.023491,0.005268,-0.001105,0.002161,0.004045,-0.001170,-0.001457
30,98211.092655498,-1.116943,-0.016757,-0.023480,0.005943,-0.000735,0.002255,0.004185,-0.001210,-0.001507
31,98211.097599346,-1.116930,-0.016731,-0.023469,0.006450,-0.000658,0.002393,0.004325,-0.001251,-0.001557
32,98211.102512676,-1.116916,-0.016702,-0.023457,0.006984,-0.000711,0.002380,0.004464,-0.001291,-0.001607
33,98211.107456524,-1.116902,-0.016670,-0.023445,0.007418,-0.000925,0.002450,0.004603,-0.001331,-0.001658
34,98211.112400371,-1.116885,-0.016637,-0.023433,0.007656,-0.001197,0.002607,0.004743,-0.001372,-0.001708
35,98211.117313701,-1.116867,-0.016604,-0.023421,0.007742,-0.001468,0.002768,0.004882,-0.001412,-0.001758
36,98211.122288067,-1.116847,-0.016570,-0.023407,0.007824,-0.001762,0.002787,0.005022,-0.001452,-0.001809
37,98211.127201397,-1.116827,-0.016536,-0.023393,0.007461,-0.002029,0.002743,0.005161,-0.001493,-0.001859
38,98211.132145244,-1.116805,-0.016505,-0.023380,0.007008,-0.002380,0.002946,0.005301,-0.001533,-0.001909
39,98211.137058575,-1.116782,-0.016476,-0.023365,0.006347,-0.002736,0.003263,0.005440,-0.001573,-0.001959
40,98211.142002422,-1.116759,-0.016451,-0.023349,0.005708,-0.003046,0.003529,0.005579,-0.001614,-0.002009
41,98211.146946270,-1.116736,-0.016429,-0.023331,0.005059,-0.003402,0.003805,0.005719,-0.001654,-0.002060
42,98211.151859600,-1.116712,-0.016412,-0.023312,0.004379,-0.003699,0.004160,0.005858,-0.001694,-0.002110
43,98211.156803448,-1.116688,-0.016397,-0.023292,0.003729,-0.003706,0.004432,0.005997,-0.001734,-0.002160
44,98211.161747295,-1.116665,-0.016386,-0.023269,0.003272,-0.003783,0.004554,0.006137,-0.001775,-0.002210
45,98211.166691143,-1.116642,-0.016377,-0.023247,0.003104,-0.003978,0.004677,0.006277,-0.001815,-0.002260
46,98211.171634991,-1.116618,-0.016369,-0.023223,0.003279,-0.004139,0.004742,0.006416,-0.001856,-0.002311
47,98211.176548321,-1.116594,-0.016360,-0.023200,0.003749,-0.004138,0.004655,0.006555,-0.001896,-0.002361
48,98211.181492168,-1.116569,-0.016349,-0.023176,0.004306,-0.004224,0.004492,0.006695,-0.001936,-0.002411
49,98211.186436016,-1.116542,-0.016336,-0.023154,0.004944,-0.004202,0.004252,0.006835,-0.001977,-0.002461
50,98211.191379864,-1.116515,-0.016320,-0.023133,0.005697,-0.003904,0.003824,0.006974,-0.002017,-0.002512
