,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,98210.944523174,-0.782723,0.096888,-0.034925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,98210.949436504,-0.782723,0.096888,-0.034925,-0.000132,0.000034,-0.000156,0.000092,-0.000040,-0.000081
2,98210.954380352,-0.782723,0.096887,-0.034926,-0.000352,0.000108,-0.000268,0.000184,-0.000081,-0.000162
3,98210.959324200,-0.782724,0.096885,-0.034927,-0.000620,0.000347,-0.000229,0.000276,-0.000121,-0.000243
4,98210.964268047,-0.782727,0.096883,-0.034928,-0.000799,0.000515,-0.000102,0.000368,-0.000162,-0.000325
5,98210.969181377,-0.782730,0.096880,-0.034929,-0.000856,0.000679,-0.000008,0.000459,-0.000202,-0.000405
6,98210.974094707,-0.782734,0.096877,-0.034929,-0.000777,0.000756,0.000078,0.000551,-0.000242,-0.000486
7,98210.979038555,-0.782739,0.096874,-0.034928,-0.000686,0.000774,0.000185,0.000643,-0.000283,-0.000567
8,98210.983982403,-0.782744,0.096872,-0.034927,-0.000507,0.000872,0.000349,0.000735,-0.000323,-0.000649
9,98210.988926250,-0.782749,0.096871,-0.034926,-0.000261,0.000887,0.000438,0.000827,-0.000364,-0.000730
10,98210.993870098,-0.782753,0.096871,-0.034924,-0.000047,0.000784,0.000633,0.000919,-0.000405,-0.000811
11,98210.998783428,-0.782757,0.096872,-0.034921,0.000229,0.000728,0.000767,0.001011,-0.000445,-0.000892
12,98211.003727276,-0.782760,0.096874,-0.034917,0.000508,0.000506,0.000873,0.001103,-0.000485,-0.000973
13,98211.008671123,-0.782762,0.096877,-0.034913,0.000633,0.000174,0.000947,0.001195,-0.000526,-0.001055
14,98211.013614971,-0.782762,0.096881,-0.034908,0.000784,-0.000280,0.000973,0.001287,-0.000566,-0.001136
15,98211.018528301,-0.782760,0.096884,-0.034903,0.001050,-0.000765,0.000877,0.001379,-0.000607,-0.001217
16,98211.023472149,-0.782754,0.096888,-0.034899,0.001285,-0.001450,0.000816,0.001471,-0.000647,-0.001298
17,98211.028415996,-0.782746,0.096892,-0.034895,0.001497,-0.002020,0.000940,0.001563,-0.000688,-0.001379
18,98211.033359844,-0.782734,0.096896,-0.034890,0.001642,-0.002579,0.001008,0.001655,-0.000728,-0.001460
19,98211.038303692,-0.782720,0.096900,-0.034885,0.001826,-0.003059,0.001196,0.001747,-0.000769,-0.001542
20,98211.043247539,-0.782703,0.096905,-0.034879,0.002160,-0.003319,0.001430,0.001839,-0.000809,-0.001623
21,98211.048191387,-0.782684,0.096910,-0.034871,0.002377,-0.003655,0.001639,0.001931,-0.000850,-0.001704
22,98211.053104717,-0.782663,0.096916,-0.034863,0.002595,-0.003833,0.001992,0.002023,-0.000890,-0.001785
23,98211.058048565,-0.782642,0.096923,-0.034853,0.002928,-0.003680,0.002257,0.002115,-0.000931,-0.001866
24,98211.062992412,-0.782620,0.096931,-0.034842,0.003166,-0.003527,0.002393,0.002207,-0.000971,-0.001948
25,98211.067936260,-0.782599,0.096941,-0.034830,0.003458,-0.003103,0.002500,0.002299,-0.001012,-0.002029
26,98211.072849590,-0.782580,0.096953,-0.034818,0.003914,-0.002535,0.002376,0.002391,-0.001052,-0.002110
27,98211.077823955,-0.782562,0.096968,-0.034806,0.004310,-0.002014,0.002229,0.002483,-0.001093,-0.002191
28,98211.082767803,-0.782546,0.096986,-0.034795,0.004789,-0.001525,0.002099,0.002575,-0.001133,-0.002273
29,98211.087711651,-0.782532,0.097007,-0.034784,0.005316,-0.001002,0.002163,0.002667,-0.001174,-0.002354
30,98211.092655498,-0.782520,0.097030,-0.034774,0.005994,-0.000625,0.002257,0.002760,-0.001214,-0.002435
31,98211.097599346,-0.782509,0.097058,-0.034763,0.006505,-0.000540,0.002394,0.002852,-0.001255,-0.002516
32,98211.102512676,-0.782497,0.097088,-0.034751,0.007042,-0.000585,0.002382,0.002943,-0.001295,-0.002597
33,98211.107456524,-0.782484,0.097120,-0.034739,0.007480,-0.000791,0.002452,0.003035,-0.001336,-0.002678
34,98211.112400371,-0.782470,0.097155,-0.034727,0.007722,-0.001054,0.002609,0.003127,-0.001376,-0.002760
35,98211.117313701,-0.782454,0.097190,-0.034714,0.007812,-0.001317,0.002770,0.003219,-0.001417,-0.002841
36,98211.122288067,-0.782436,0.097225,-0.034701,0.007898,-0.001602,0.002789,0.003312,-0.001457,-0.002922
37,98211.127201397,-0.782418,0.097260,-0.034687,0.007539,-0.001860,0.002746,0.003403,-0.001498,-0.003003
38,98211.132145244,-0.782398,0.097293,-0.034674,0.007091,-0.002201,0.002949,0.003495,-0.001538,-0.003084
39,98211.137058575,-0.782378,0.097323,-0.034659,0.006434,-0.002547,0.003265,0.003587,-0.001578,-0.003165
40,98211.142002422,-0.782357,0.097350,-0.034643,0.005800,-0.002848,0.003531,0.003679,-0.001619,-0.003246
41,98211.146946270,-0.782335,0.097374,-0.034625,0.005155,-0.003194,0.003808,0.003771,-0.001659,-0.003328
42,98211.151859600,-0.782313,0.097393,-0.034607,0.004480,-0.003480,0.004163,0.003862,-0.001700,-0.003408
43,98211.156803448,-0.782290,0.097410,-0.034586,0.003835,-0.003477,0.004435,0.003955,-0.001740,-0.003490
44,98211.161747295,-0.782269,0.097423,-0.034564,0.003383,-0.003543,0.004557,0.004047,-0.001781,-0.003571
45,98211.166691143,-0.782247,0.097434,-0.034541,0.003221,-0.003726,0.004680,0.004139,-0.001821,-0.003652
46,98211.171634991,-0.782225,0.097444,-0.034518,0.003401,-0.003877,0.004746,0.004231,-0.001862,-0.003733
47,98211.176548321,-0.782202,0.097455,-0.034494,0.003876,-0.003864,0.004659,0.004322,-0.001902,-0.003814
48,98211.181492168,-0.782179,0.097468,-0.034471,0.004439,-0.003937,0.004496,0.004414,-0.001943,-0.003896
49,98211.186436016,-0.782154,0.097483,-0.034449,0.005082,-0.003904,0.004256,0.004507,-0.001983,-0.003977
50,98211.191379864,-0.782128,0.097502,-0.034428,0.005842,-0.003593,0.003828,0.004599,-0.002024,-0.004058
51,98211.196323711,-0.782103,0.097525,-0.034409,0.006496,-0.003270,0.003387,0.004691,-0.002064,-0.004139
52,98211.201237041,-0.782079,0.097550,-0.034392,0.007176,-0.003065,0.002987,0.004782,-0.002105,-0.004220
53,98211.206180889,-0.782054,0.097580,-0.034377,0.007722,-0.002987,0.002537,0.004874,-0.002145,-0.004301
54,98211.211155254,-0.782029,0.097613,-0.034365,0.008103,-0.002907,0.002111,0.004967,-0.002186,-0.004383
55,98211.216099102,-0.782004,0.097647,-0.034354,0.008588,-0.002914,0.001807,0.005059,-0.002226,-0.004464
56,98211.221042950,-0.781978,0.097683,-0.034345,0.008973,-0.002851,0.001395,0.005151,-0.002267,-0.004546
57,98211.225956280,-0.781951,0.097722,-0.034338,0.009227,-0.002681,0.001117,0.005243,-0.002307,-0.004626
58,98211.230900127,-0.781925,0.097761,-0.034333,0.009445,-0.002375,0.000907,0.005335,-0.002348,-0.004708
59,98211.235843975,-0.781901,0.097803,-0.034328,0.009679,-0.002153,0.000660,0.005427,-0.002388,-0.004789
60,98211.240757305,-0.781877,0.097845,-0.034325,0.009901,-0.002080,0.000565,0.005518,-0.002429,-0.004870
61,98211.245701153,-0.781853,0.097889,-0.034323,0.010061,-0.001929,0.000611,0.005611,-0.002469,-0.004951
62,98211.250645000,-0.781829,0.097934,-0.034320,0.010233,-0.001610,0.000624,0.005703,-0.002510,-0.005032
63,98211.255588848,-0.781807,0.097980,-0.034317,0.010456,-0.001374,0.000608,0.005795,-0.002550,-0.005114
64,98211.260502178,-0.781785,0.098027,-0.034314,0.010666,-0.001239,0.000612,0.005886,-0.002590,-0.005194
