,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,97839180438543,0.184433,8.049881,5.410675,-5.609054,1.047469,7.845463,0.156693,-0.000336,0.063477,-0.112512,0.116345,-0.048857,0.333577,0.162317,-0.421936,-0.827254,0.014528,0.000229
1,97839185382391,0.194016,8.034912,5.383148,-5.605599,1.042956,7.814428,0.137512,-0.002457,0.060287,-0.097158,0.106708,-0.041519,0.333641,0.162367,-0.422265,-0.827051,0.014547,0.00036
2,97839190326238,0.17247,8.013367,5.386139,-5.574671,1.052031,7.814771,0.116211,-0.002457,0.059219,-0.081709,0.097017,-0.030487,0.33371,0.162402,-0.42255,-0.826871,0.014564,0.000492
3,97839195270086,0.13176,7.989426,5.426849,-5.527729,1.083713,7.846582,0.097031,-0.002457,0.057098,-0.067816,0.08736,-0.021223,0.333782,0.162424,-0.42279,-0.826715,0.014579,0.000624
4,97839200213934,0.106628,7.970276,5.477722,-5.49525,1.127453,7.878654,0.084259,-0.002457,0.054962,-0.058572,0.08035,-0.015483,0.333854,0.162439,-0.423,-0.826575,0.014592,0.000762
5,97839205127264,0.082687,7.942139,5.51123,-5.457548,1.160961,7.894644,0.074661,-0.005661,0.054962,-0.049391,0.077723,-0.012118,0.333926,0.162439,-0.423189,-0.826449,0.014602,0.000902
6,97839210101629,0.048569,7.930176,5.567505,-5.423044,1.201617,7.939386,0.067215,-0.012054,0.057098,-0.039539,0.079047,-0.01056,0.334,0.162418,-0.423367,-0.826332,0.014616,0.001186
7,97839215045477,0.090469,7.926575,5.566299,-5.449953,1.22373,7.91346,0.062943,-0.016312,0.060287,-0.033441,0.081642,-0.008869,0.334077,0.16238,-0.42354,-0.826219,0.014616,0.001186
8,97839219989324,0.079086,7.910416,5.544754,-5.42978,1.212634,7.897607,0.06189,-0.019501,0.064545,-0.030391,0.085988,-0.007694,0.334161,0.16233,-0.423716,-0.826105,0.01462,0.001333
9,97839224933172,0.086868,7.868515,5.540573,-5.405429,1.234358,7.866176,0.064011,-0.020569,0.066681,-0.03113,0.089048,-0.008266,0.334247,0.162278,-0.423897,-0.825988,0.014623,0.001482
10,97839229877020,0.101837,7.84996,5.540573,-5.402316,1.252762,7.847021,0.065079,-0.019501,0.068802,-0.032577,0.090769,-0.007003,0.334338,0.162225,-0.424079,-0.825868,0.014626,0.001779
11,97839234820867,0.125183,7.837997,5.535187,-5.410062,1.26773,7.823822,0.068268,-0.014175,0.070938,-0.038495,0.091611,-0.004384,0.334438,0.162182,-0.424265,-0.82574,0.014626,0.001779
12,97839239734197,0.184433,7.850571,5.509445,-5.461311,1.271019,7.783189,0.070404,-0.006714,0.072006,-0.045139,0.090271,-0.000548,0.334549,0.162153,-0.42445,-0.825606,0.014552,0.001814
13,97839244678045,0.179657,7.84877,5.457367,-5.456974,1.232672,7.753729,0.073608,-0.000336,0.075195,-0.051772,0.091549,0.003299,0.334671,0.162137,-0.424641,-0.825462,0.014476,0.001847
14,97839249621893,0.229324,7.816452,5.475922,-5.46999,1.286755,7.717429,0.073608,0.006058,0.075195,-0.056152,0.088918,0.007053,0.334801,0.162131,-0.424826,-0.825315,0.014399,0.001877
15,97839254565740,0.253876,7.78772,5.415466,-5.468989,1.264963,7.650518,0.073608,0.015656,0.076263,-0.062728,0.08583,0.01333,0.334944,0.162143,-0.425005,-0.825163,0.014319,0.001905
16,97839259509588,0.265839,7.774551,5.372375,-5.469698,1.245484,7.609728,0.07254,0.025238,0.075195,-0.068563,0.080585,0.018935,0.335096,0.162174,-0.425174,-0.825008,0.014235,0.001931
17,97839264453436,0.307144,7.79071,5.359207,-5.511564,1.250118,7.587518,0.067215,0.031631,0.074142,-0.069124,0.074911,0.025013,0.335255,0.162213,-0.425329,-0.824855,0.014146,0.001956
18,97839269397283,0.343048,7.775742,5.313721,-5.528919,1.238982,7.530705,0.064011,0.040146,0.070938,-0.07273,0.067502,0.02992,0.335418,0.16227,-0.425471,-0.824705,0.014054,0.001983
19,97839274310613,0.359818,7.79071,5.295761,-5.552989,1.229462,7.518142,0.055496,0.049744,0.067749,-0.07326,0.057455,0.038419,0.335587,0.162341,-0.425587,-0.824562,0.01396,0.00201
20,97839279254461,0.407104,7.812256,5.284988,-5.603958,1.235163,7.496543,0.041641,0.061462,0.062424,-0.071456,0.042587,0.049887,0.335765,0.162429,-0.425666,-0.824431,0.013866,0.002041
21,97839284198309,0.419662,7.805069,5.25087,-5.61064,1.218651,7.463405,0.025665,0.067841,0.058151,-0.064425,0.029887,0.05999,0.335948,0.16252,-0.425706,-0.824318,0.013772,0.002075
22,97839289142156,0.344254,7.797897,5.272415,-5.553017,1.209811,7.511618,0.007553,0.068909,0.051758,-0.052231,0.016756,0.0669,0.336125,0.162609,-0.425703,-0.82423,0.013678,0.002113
23,97839294055486,0.367599,7.80986,5.319107,-5.5793,1.25361,7.53139,-0.01268,0.06572,0.046432,-0.035549,0.005346,0.0731,0.336295,0.162678,-0.425659,-0.82417,0.013585,0.002156
24,97839298999334,0.332275,7.838593,5.344238,-5.575145,1.247823,7.581263,-0.029724,0.059326,0.041107,-0.018951,-0.003434,0.075644,0.336454,0.162728,-0.425582,-0.824135,0.013496,0.002203
25,97839303943182,0.310135,7.835007,5.372375,-5.557796,1.262584,7.606751,-0.045715,0.051865,0.040054,-0.002296,-0.007888,0.079477,0.33661,0.162751,-0.425476,-0.824121,0.013401,0.002258
26,97839308887029,0.288589,7.835602,5.437622,-5.542718,1.305235,7.656524,-0.059555,0.040146,0.035782,0.015704,-0.012317,0.077721,0.33675,0.162744,-0.425348,-0.824132,0.013309,0.002315
27,97839313830877,0.287384,7.84996,5.511841,-5.55125,1.357428,7.708822,-0.07341,0.029495,0.037918,0.033095,-0.012011,0.080357,0.33689,0.1627,-0.425198,-0.824161,0.013232,0.002365
28,97839318774725,0.280807,7.840988,5.596832,-5.539151,1.425269,7.756995,-0.081924,0.019913,0.037918,0.045863,-0.011659,0.079414,0.337023,0.162628,-0.425035,-0.824205,0.013149,0.002418
29,97839323688055,0.259857,7.833206,5.670456,-5.517628,1.477221,7.807319,-0.086182,0.017776,0.040054,0.050441,-0.010871,0.081763,0.337159,0.162546,-0.424863,-0.824253,0.013047,0.002483
30,97839328631902,0.25267,7.84996,5.720139,-5.523449,1.50538,7.850545,-0.086182,0.016708,0.042175,0.051214,-0.008759,0.082375,0.337299,0.16246,-0.424691,-0.824302,0.01294,0.00255
31,97839333575750,0.271225,7.871521,5.777588,-5.550967,1.548653,7.886911,-0.082993,0.016708,0.041107,0.048891,-0.008335,0.079981,0.337436,0.162376,-0.424523,-0.824349,0.012774,0.00252
32,97839338519598,0.293976,7.890076,5.830856,-5.579595,1.59181,7.916622,-0.075531,0.019913,0.041107,0.041288,-0.006571,0.077739,0.337575,0.162303,-0.424367,-0.824387,0.012603,0.002488
33,97839343463445,0.310135,7.82901,5.837448,-5.549266,1.627411,7.875436,-0.068085,0.025238,0.037918,0.032163,-0.008259,0.074884,0.337711,0.162248,-0.424218,-0.824418,0.012429,0.002456
34,97839348407293,0.302353,7.868515,5.850616,-5.571806,1.617163,7.910397,-0.059555,0.033752,0.03685,0.020081,-0.009082,0.074553,0.337849,0.162221,-0.42408,-0.824438,0.012252,0.002422
35,97839353320623,0.331085,7.897858,5.851212,-5.614086,1.616637,7.911451,-0.049973,0.042282,0.035782,0.007229,-0.009462,0.073645,0.33799,0.162218,-0.423957,-0.824445,0.01207,0.002387
36,97839358233953,0.33168,7.897858,5.853012,-5.616145,1.617672,7.911126,-0.041443,0.052933,0.033661,-0.006365,-0.012,0.073946,0.338134,0.162246,-0.423841,-0.824439,0.011886,0.002351
37,97839363147283,0.335266,7.903839,5.796753,-5.62598,1.570753,7.878228,-0.036118,0.061462,0.032593,-0.016165,-0.014152,0.075384,0.338283,0.162298,-0.42373,-0.824425,0.011698,0.002315
38,97839368121649,0.346649,7.955917,5.786575,-5.672911,1.545563,7.894968,-0.03186,0.068909,0.030457,-0.024471,-0.017166,0.076142,0.338435,0.162372,-0.423623,-0.824403,0.011507,0.002277
39,97839373065496,0.374176,8.000809,5.78537,-5.726471,1.537241,7.903656,-0.035049,0.074234,0.028336,-0.025957,-0.022424,0.079784,0.338589,0.162455,-0.423506,-0.824383,0.011313,0.00224
40,97839377978826,0.363403,8.008575,5.757248,-5.727189,1.506026,7.89598,-0.043579,0.073181,0.028336,-0.019133,-0.025593,0.083883,0.338744,0.16253,-0.423375,-0.824373,0.011114,0.002202
41,97839382922674,0.381363,7.992416,5.774002,-5.730618,1.532432,7.885107,-0.056366,0.062515,0.024063,-0.00264,-0.030056,0.082182,0.338885,0.162576,-0.423224,-0.824383,0.010913,0.002165
42,97839387866522,0.401718,8.02774,5.821289,-5.770453,1.562759,7.921686,-0.069138,0.047607,0.02301,0.016863,-0.030171,0.079883,0.339015,0.16258,-0.423059,-0.824414,0.010709,0.002128
43,97839392810369,0.390335,8.039703,5.84343,-5.770941,1.568421,7.948025,-0.079803,0.026306,0.01767,0.039238,-0.030231,0.070137,0.339115,0.162538,-0.422886,-0.824469,0.010504,0.002091
44,97839397723699,0.378967,8.022354,5.86618,-5.750208,1.58609,7.95822,-0.092575,0.005005,0.015549,0.063194,-0.028582,0.063455,0.339194,0.162445,-0.422705,-0.824548,0.010085,0.002018
45,97839402698065,0.371185,8.012772,5.897308,-5.73653,1.608377,7.976582,-0.0979,-0.015244,0.011292,0.081042,-0.025944,0.051994,0.339245,0.162309,-0.422523,-0.824647,0.010085,0.002018
46,97839407611395,0.32869,8.019958,5.928421,-5.709067,1.608663,8.0245,-0.105362,-0.031219,0.007019,0.097447,-0.025978,0.044206,0.339273,0.162142,-0.422339,-0.824762,0.009657,0.001943
47,97839412555242,0.350235,8.031326,5.991272,-5.729448,1.659761,8.058461,-0.104294,-0.040802,0.004898,0.103324,-0.023302,0.036705,0.339287,0.161956,-0.422162,-0.824884,0.009441,0.001906
48,97839417499090,0.341858,8.054077,6.04454,-5.736198,1.685834,8.110207,-0.098969,-0.048264,0.001694,0.104646,-0.020566,0.02745,0.339285,0.161763,-0.421999,-0.825006,0.009441,0.001906
49,97839422442938,0.354431,8.054672,6.0625,-5.743137,1.701768,8.116505,-0.089386,-0.0504,0.000626,0.099242,-0.016497,0.02023,0.339274,0.161574,-0.421856,-0.825121,0.009224,0.001867
50,97839427386785,0.372391,8.060059,6.075073,-5.757605,1.714114,8.119207,-0.076599,-0.045074,-0.002563,0.086299,-0.015861,0.01437,0.339258,0.161409,-0.421734,-0.825222,0.009004,0.001828
51,97839432300115,0.38855,8.077423,6.076263,-5.779717,1.711995,8.122845,-0.062759,-0.036545,-0.007889,0.070326,-0.01782,0.008552,0.339235,0.161278,-0.421632,-0.825309,0.008558,0.001749
52,97839437243963,0.384949,8.119919,6.055923,-5.806074,1.674116,8.138938,-0.052094,-0.024826,-0.011093,0.054453,-0.020734,0.007624,0.339213,0.161185,-0.421543,-0.825382,0.008558,0.001749
53,97839442187811,0.361008,8.150436,6.089432,-5.809095,1.676236,8.190594,-0.040375,-0.00885,-0.01535,0.03484,-0.025813,0.007995,0.339193,0.161139,-0.421462,-0.825441,0.008293,0.001651
54,97839447131658,0.352631,8.179764,6.110382,-5.823255,1.675731,8.225038,-0.028671,0.003937,-0.017471,0.0175,-0.027859,0.007772,0.339177,0.161132,-0.421392,-0.825484,0.008025,0.001554
55,97839452075506,0.346054,8.18576,6.074478,-5.824096,1.640367,8.210653,-0.015884,0.015656,-0.020676,0.000104,-0.029876,0.005685,0.339162,0.161163,-0.42134,-0.825511,0.007752,0.001456
56,97839456988836,0.320312,8.207901,6.005035,-5.823552,1.563525,8.195998,-0.006287,0.026306,-0.023865,-0.014257,-0.032793,0.004739,0.339146,0.161231,-0.4213,-0.825525,0.007475,0.001357
57,97839461932684,0.299957,8.22287,6.00145,-5.820997,1.545118,8.212892,-0.000961,0.035889,-0.026001,-0.024787,-0.036233,0.006146,0.339133,0.161326,-0.421262,-0.825531,0.007194,0.001256
58,97839466876531,0.250885,8.230042,5.980499,-5.792985,1.50394,8.230573,0.003296,0.041214,-0.027069,-0.031566,-0.037502,0.006278,0.33912,0.161439,-0.421228,-0.825531,0.006909,0.001155
59,97839471820379,0.223343,8.201309,5.976913,-5.755346,1.500817,8.225469,0.004364,0.046539,-0.026001,-0.036015,-0.038404,0.009435,0.339114,0.161564,-0.421191,-0.825528,0.006621,0.001054
60,97839476733709,0.179657,8.24321,5.995468,-5.754922,1.479404,8.283758,0.004364,0.047607,-0.023865,-0.036716,-0.037132,0.01132,0.339112,0.161691,-0.421154,-0.825523,0.006326,0.000954
61,97839481708074,0.161697,8.240814,5.992477,-5.742329,1.470001,8.289253,0.003296,0.042282,-0.019608,-0.032163,-0.031949,0.011309,0.339113,0.161804,-0.42112,-0.825518,0.006028,0.000854
62,97839486651922,0.118591,8.227051,5.987686,-5.703509,1.453274,8.301129,0.003296,0.034821,-0.017471,-0.026928,-0.027133,0.008204,0.33911,0.161901,-0.421092,-0.825514,0.005726,0.000755
63,97839491595770,0.144333,8.2061,6.007431,-5.708216,1.488522,8.28557,0.004364,0.025238,-0.01535,-0.020982,-0.020994,0.003258,0.339102,0.161975,-0.421074,-0.825512,0.005422,0.000659
64,97839496539617,0.161102,8.211487,5.996063,-5.724734,1.48413,8.272365,0.005432,0.01033,-0.012146,-0.01131,-0.01177,-0.004159,0.339085,0.162015,-0.421073,-0.825512,0.005123,0.000568
65,97839501483465,0.171265,8.207306,6.00444,-5.72886,1.496921,8.269338,0.006485,-0.004593,-0.010025,-0.001637,-0.003418,-0.012219,0.339056,0.162023,-0.421088,-0.825515,0.004806,0.000476
66,97839506427313,0.168869,8.183365,5.993073,-5.709996,1.496745,8.250369,0.006485,-0.018433,-0.008957,0.008017,0.003192,-0.019688,0.339016,0.162001,-0.421114,-0.825522,0.004501,0.000393
67,97839511340643,0.150314,8.196533,5.973312,-5.704944,1.467453,8.25751,0.004364,-0.033356,-0.008957,0.019923,0.008494,-0.027255,0.33896,0.161949,-0.421149,-0.825538,0.004181,0.000311
68,97839516284490,0.169479,8.213882,5.953568,-5.729297,1.45257,8.246622,0.004364,-0.046143,-0.0047,0.028893,0.017234,-0.032226,0.338899,0.161866,-0.421198,-0.825554,0.003853,0.000233
69,97839521228338,0.181442,8.218079,5.960144,-5.738538,1.461372,8.247828,0.005432,-0.053589,-0.003632,0.033317,0.021639,-0.036554,0.338833,0.161767,-0.421256,-0.825571,0.00354,0.000164
70,97839526172186,0.198212,8.252197,5.936813,-5.772441,1.435786,8.246291,0.005432,-0.056793,-0.002563,0.035555,0.02383,-0.037808,0.338766,0.16166,-0.42132,-0.825587,0.003222,0.0001
71,97839531116033,0.228134,8.228256,5.930222,-5.775219,1.4535,8.213276,0.005432,-0.052521,0.001694,0.032654,0.025481,-0.032791,0.338712,0.161556,-0.421382,-0.825597,0.002903,4.1e-05
72,97839536029363,0.246689,8.218674,5.940994,-5.779643,1.474579,8.205136,0.009689,-0.049332,0.002762,0.027391,0.026815,-0.032647,0.338664,0.16146,-0.421449,-0.825602,0.002642,-0.000126
73,97839540973211,0.247284,8.216278,5.949371,-5.776465,1.483324,8.209478,0.012878,-0.04187,0.00383,0.019926,0.025922,-0.029404,0.338623,0.16138,-0.421517,-0.825599,0.002377,-0.000292
74,97839545917059,0.236511,8.194733,5.900299,-5.75299,1.449828,8.174607,0.016083,-0.035477,0.00383,0.013175,0.024618,-0.027429,0.338588,0.161316,-0.421623,-0.825572,0.002111,-0.000455
75,97839550860906,0.233521,8.178574,5.890121,-5.738495,1.448836,8.161354,0.02034,-0.026962,0.00383,0.004194,0.022879,-0.024785,0.338559,0.161275,-0.421729,-0.825538,0.001843,-0.000615
