,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,97843.005389715,-0.025505,0.328423,0.112944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,97843.010333563,-0.025505,0.328423,0.112944,0.000622,-0.000044,0.000012,0.000045,-0.000001,0.000023
2,97843.015277410,-0.025508,0.328424,0.112944,0.001216,-0.000033,-0.000046,0.000090,-0.000002,0.000046
3,97843.020221258,-0.025514,0.328425,0.112944,0.001619,-0.000065,-0.000147,0.000135,-0.000003,0.000068
4,97843.025165106,-0.025522,0.328426,0.112944,0.001781,-0.000113,-0.000227,0.000179,-0.000004,0.000091
5,97843.030078436,-0.025531,0.328427,0.112943,0.001765,-0.000051,-0.000441,0.000224,-0.000005,0.000114
6,97843.035022283,-0.025539,0.328428,0.112941,0.001801,0.000121,-0.000583,0.000269,-0.000005,0.000137
7,97843.039966131,-0.025548,0.328429,0.112938,0.001512,0.000181,-0.000910,0.000314,-0.000006,0.000159
8,97843.044848943,-0.025556,0.328428,0.112934,0.001229,0.000220,-0.001233,0.000358,-0.000007,0.000182
9,97843.049823309,-0.025562,0.328428,0.112928,0.000732,0.000218,-0.001615,0.000403,-0.000008,0.000205
10,97843.054736639,-0.025566,0.328427,0.112920,0.000357,-0.000007,-0.001984,0.000448,-0.000009,0.000227
11,97843.059680486,-0.025568,0.328427,0.112910,-0.000062,-0.000412,-0.002335,0.000492,-0.000010,0.000250
12,97843.064624334,-0.025568,0.328430,0.112899,-0.000531,-0.000979,-0.002804,0.000537,-0.000011,0.000273
13,97843.069568182,-0.025565,0.328434,0.112885,-0.000827,-0.001610,-0.003276,0.000582,-0.000012,0.000296
14,97843.074512029,-0.025561,0.328442,0.112869,-0.001157,-0.002215,-0.003697,0.000627,-0.000013,0.000319
15,97843.079455877,-0.025554,0.328452,0.112850,-0.001507,-0.002569,-0.004001,0.000672,-0.000014,0.000341
16,97843.084369207,-0.025546,0.328464,0.112830,-0.001800,-0.002962,-0.004320,0.000716,-0.000014,0.000364
17,97843.089313055,-0.025536,0.328478,0.112809,-0.001936,-0.003336,-0.004329,0.000761,-0.000015,0.000387
18,97843.094256902,-0.025526,0.328493,0.112787,-0.002007,-0.003695,-0.004450,0.000806,-0.000016,0.000410
19,97843.099200750,-0.025515,0.328511,0.112765,-0.001999,-0.003840,-0.004602,0.000851,-0.000017,0.000432
20,97843.104144598,-0.025503,0.328529,0.112742,-0.002279,-0.003727,-0.004310,0.000896,-0.000018,0.000455
21,97843.109057928,-0.025491,0.328546,0.112721,-0.002652,-0.003487,-0.004161,0.000940,-0.000019,0.000478
22,97843.114001775,-0.025477,0.328562,0.112700,-0.002789,-0.003166,-0.004048,0.000985,-0.000020,0.000501
23,97843.118945623,-0.025462,0.328576,0.112680,-0.002934,-0.002822,-0.003856,0.001030,-0.000021,0.000524
24,97843.123889471,-0.025447,0.328589,0.112660,-0.003358,-0.002251,-0.003825,0.001075,-0.000022,0.000546
25,97843.128833318,-0.025429,0.328598,0.112641,-0.003758,-0.001581,-0.003591,0.001120,-0.000023,0.000569
26,97843.133746649,-0.025411,0.328604,0.112623,-0.004213,-0.000943,-0.003425,0.001164,-0.000024,0.000592
27,97843.138690496,-0.025390,0.328607,0.112605,-0.004579,-0.000112,-0.003280,0.001209,-0.000024,0.000615
28,97843.143634344,-0.025368,0.328605,0.112589,-0.004889,0.001051,-0.003137,0.001254,-0.000025,0.000637
29,97843.148578191,-0.025345,0.328598,0.112573,-0.005046,0.002378,-0.002957,0.001299,-0.000026,0.000660
30,97843.153522039,-0.025321,0.328584,0.112557,-0.005031,0.003062,-0.002542,0.001344,-0.000027,0.000683
31,97843.158465887,-0.025298,0.328566,0.112544,-0.004880,0.004053,-0.001886,0.001389,-0.000028,0.000706
32,97843.163409734,-0.025276,0.328544,0.112534,-0.004181,0.005145,-0.001533,0.001433,-0.000029,0.000728
33,97843.168353582,-0.025258,0.328517,0.112526,-0.003361,0.006040,-0.001211,0.001478,-0.000030,0.000751
34,97843.173266912,-0.025245,0.328486,0.112520,-0.002694,0.006948,-0.000791,0.001523,-0.000031,0.000774
35,97843.178210760,-0.025235,0.328450,0.112516,-0.002327,0.007563,-0.000368,0.001568,-0.000032,0.000797
36,97843.183154608,-0.025227,0.328412,0.112514,-0.001948,0.007887,0.000021,0.001612,-0.000033,0.000820
37,97843.188067938,-0.025222,0.328372,0.112513,-0.001638,0.008116,0.000199,0.001657,-0.000034,0.000842
38,97843.193011785,-0.025218,0.328332,0.112514,-0.001393,0.008036,0.000365,0.001702,-0.000034,0.000865
39,97843.197955633,-0.025215,0.328291,0.112516,-0.001116,0.008004,0.000594,0.001747,-0.000035,0.000888
40,97843.202899481,-0.025213,0.328251,0.112518,-0.000767,0.007735,0.000620,0.001792,-0.000036,0.000911
41,97843.207843328,-0.025213,0.328213,0.112521,-0.000493,0.007287,0.000658,0.001836,-0.000037,0.000933
42,97843.212756658,-0.025214,0.328177,0.112525,-0.000281,0.006818,0.000545,0.001881,-0.000038,0.000956
43,97843.217700506,-0.025216,0.328143,0.112527,-0.000029,0.006193,0.000469,0.001926,-0.000039,0.000979
44,97843.222644354,-0.025218,0.328113,0.112529,0.000219,0.005828,0.000313,0.001971,-0.000040,0.001002
45,97843.227588201,-0.025222,0.328084,0.112531,0.000402,0.005581,0.000178,0.002016,-0.000041,0.001024
46,97843.232532049,-0.025227,0.328057,0.112532,0.000622,0.005409,0.000087,0.002060,-0.000042,0.001047
47,97843.237475897,-0.025232,0.328031,0.112532,0.000930,0.005338,0.000003,0.002105,-0.000043,0.001070
48,97843.242419744,-0.025240,0.328005,0.112532,0.001296,0.005338,-0.000085,0.002150,-0.000043,0.001093
49,97843.247333074,-0.025249,0.327979,0.112532,0.001760,0.005339,-0.000233,0.002195,-0.000044,0.001115
50,97843.252246404,-0.025260,0.327954,0.112531,0.002247,0.005362,-0.000199,0.002239,-0.000045,0.001138
51,97843.257220770,-0.025273,0.327929,0.112530,0.002678,0.005538,-0.000006,0.002284,-0.000046,0.001161
52,97843.262164617,-0.025289,0.327903,0.112531,0.003039,0.005836,0.000127,0.002329,-0.000047,0.001184
53,97843.267108465,-0.025307,0.327875,0.112532,0.003446,0.006157,0.000203,0.002374,-0.000048,0.001207
54,97843.272082830,-0.025327,0.327847,0.112533,0.003799,0.006367,0.000151,0.002419,-0.000049,0.001229
55,97843.276996160,-0.025349,0.327817,0.112534,0.004243,0.006620,0.000107,0.002464,-0.000050,0.001252
56,97843.286853338,-0.025397,0.327756,0.112536,0.004996,0.006875,-0.000265,0.002553,-0.000052,0.001298
57,97843.291766668,-0.025424,0.327725,0.112535,0.005354,0.006676,-0.000527,0.002598,-0.000053,0.001320
58,97843.296710516,-0.025454,0.327695,0.112533,0.005756,0.006281,-0.000949,0.002643,-0.000053,0.001343
59,97843.301654363,-0.025485,0.327667,0.112529,0.006186,0.005694,-0.001490,0.002687,-0.000054,0.001366
60,97843.306598211,-0.025519,0.327642,0.112523,0.006425,0.005015,-0.002173,0.002732,-0.000055,0.001389
61,97843.311542059,-0.025553,0.327620,0.112513,0.006615,0.004179,-0.003072,0.002777,-0.000056,0.001411
62,97843.316455389,-0.025588,0.327603,0.112498,0.006804,0.003161,-0.003991,0.002822,-0.000057,0.001434
63,97843.321399236,-0.025623,0.327591,0.112479,0.006880,0.001921,-0.004892,0.002866,-0.000058,0.001457
64,97843.326343084,-0.025658,0.327585,0.112456,0.006899,0.000564,-0.005822,0.002911,-0.000059,0.001480
65,97843.331286932,-0.025693,0.327585,0.112428,0.006990,-0.000741,-0.006782,0.002956,-0.000060,0.001502
66,97843.336230779,-0.025728,0.327593,0.112395,0.007025,-0.001906,-0.007448,0.003001,-0.000061,0.001525
67,97843.341174627,-0.025763,0.327605,0.112359,0.007126,-0.003019,-0.007991,0.003046,-0.000062,0.001548
68,97843.346118475,-0.025797,0.327624,0.112321,0.007201,-0.004007,-0.008463,0.003091,-0.000062,0.001571
69,97843.351031805,-0.025831,0.327647,0.112280,0.007329,-0.004605,-0.008712,0.003135,-0.000063,0.001593
70,97843.356006170,-0.025866,0.327674,0.112237,0.007304,-0.004922,-0.008842,0.003180,-0.000064,0.001616
71,97843.360950018,-0.025901,0.327701,0.112195,0.007160,-0.005023,-0.008916,0.003225,-0.000065,0.001639
72,97843.365893865,-0.025935,0.327730,0.112151,0.006951,-0.004892,-0.008873,0.003270,-0.000066,0.001662
73,97843.370837713,-0.025968,0.327757,0.112108,0.006705,-0.004666,-0.008647,0.003315,-0.000067,0.001685
74,97843.380694891,-0.026031,0.327810,0.112025,0.006400,-0.004336,-0.008519,0.003404,-0.000069,0.001730
75,97843.385638738,-0.026061,0.327834,0.111983,0.006369,-0.003951,-0.008313,0.003449,-0.000070,0.001753
76,97843.390582586,-0.026092,0.327857,0.111943,0.006472,-0.003462,-0.008050,0.003494,-0.000071,0.001776
77,97843.395495916,-0.026123,0.327877,0.111904,0.006675,-0.002722,-0.007707,0.003539,-0.000072,0.001798
78,97843.400439764,-0.026155,0.327894,0.111867,0.007015,-0.001846,-0.007353,0.003583,-0.000072,0.001821
79,97843.405383611,-0.026189,0.327906,0.111831,0.007546,-0.000865,-0.006943,0.003628,-0.000073,0.001844
80,97843.410327459,-0.026227,0.327914,0.111798,0.007811,0.000098,-0.006583,0.003673,-0.000074,0.001867
81,97843.415271307,-0.026266,0.327918,0.111766,0.007863,0.000980,-0.006269,0.003718,-0.000075,0.001890
82,97843.420215154,-0.026306,0.327917,0.111736,0.007782,0.001689,-0.006016,0.003763,-0.000076,0.001912
83,97843.425128484,-0.026346,0.327913,0.111708,0.007462,0.002115,-0.005852,0.003807,-0.000077,0.001935
84,97843.430072332,-0.026384,0.327906,0.111679,0.007005,0.002430,-0.005682,0.003852,-0.000078,0.001958
85,97843.435016180,-0.026420,0.327897,0.111652,0.006559,0.002593,-0.005749,0.003897,-0.000079,0.001981
86,97843.439960027,-0.026454,0.327888,0.111625,0.006228,0.002595,-0.005851,0.003942,-0.000080,0.002003
87,97843.444903875,-0.026487,0.327878,0.111596,0.006084,0.002623,-0.005869,0.003987,-0.000081,0.002026
