,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,97843.005389715,-0.011075,0.367880,0.112265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,97843.010333563,-0.011075,0.367880,0.112265,0.000622,-0.000044,0.000012,0.000046,0.000004,0.000016
2,97843.015277410,-0.011078,0.367880,0.112265,0.001216,-0.000033,-0.000046,0.000091,0.000009,0.000031
3,97843.020221258,-0.011084,0.367881,0.112265,0.001619,-0.000065,-0.000147,0.000137,0.000013,0.000047
4,97843.025165106,-0.011092,0.367882,0.112265,0.001781,-0.000113,-0.000227,0.000182,0.000017,0.000062
5,97843.030078436,-0.011100,0.367884,0.112264,0.001765,-0.000052,-0.000441,0.000227,0.000021,0.000078
6,97843.035022283,-0.011109,0.367885,0.112262,0.001801,0.000120,-0.000583,0.000273,0.000026,0.000094
7,97843.039966131,-0.011118,0.367886,0.112259,0.001512,0.000180,-0.000910,0.000318,0.000030,0.000109
8,97843.044848943,-0.011125,0.367886,0.112255,0.001229,0.000219,-0.001233,0.000363,0.000034,0.000125
9,97843.049823309,-0.011132,0.367885,0.112249,0.000732,0.000217,-0.001615,0.000409,0.000038,0.000140
10,97843.054736639,-0.011136,0.367885,0.112241,0.000357,-0.000009,-0.001984,0.000454,0.000043,0.000156
11,97843.059680486,-0.011138,0.367885,0.112231,-0.000062,-0.000415,-0.002335,0.000500,0.000047,0.000171
12,97843.064624334,-0.011137,0.367887,0.112220,-0.000531,-0.000982,-0.002804,0.000545,0.000051,0.000187
13,97843.069568182,-0.011134,0.367891,0.112206,-0.000827,-0.001613,-0.003276,0.000591,0.000055,0.000203
14,97843.074512029,-0.011130,0.367899,0.112189,-0.001157,-0.002219,-0.003697,0.000636,0.000060,0.000218
15,97843.079455877,-0.011123,0.367909,0.112171,-0.001507,-0.002573,-0.004001,0.000682,0.000064,0.000234
16,97843.084369207,-0.011115,0.367921,0.112151,-0.001799,-0.002968,-0.004320,0.000727,0.000068,0.000249
17,97843.089313055,-0.011105,0.367935,0.112130,-0.001936,-0.003342,-0.004329,0.000773,0.000072,0.000265
18,97843.094256902,-0.011094,0.367950,0.112108,-0.002007,-0.003702,-0.004450,0.000818,0.000077,0.000281
19,97843.099200750,-0.011083,0.367967,0.112086,-0.001999,-0.003848,-0.004602,0.000864,0.000081,0.000296
20,97843.104144598,-0.011071,0.367985,0.112063,-0.002278,-0.003736,-0.004310,0.000909,0.000085,0.000312
21,97843.109057928,-0.011058,0.368002,0.112042,-0.002651,-0.003496,-0.004161,0.000955,0.000089,0.000327
22,97843.114001775,-0.011044,0.368018,0.112021,-0.002789,-0.003176,-0.004048,0.001000,0.000094,0.000343
23,97843.118945623,-0.011029,0.368032,0.112000,-0.002934,-0.002833,-0.003856,0.001046,0.000098,0.000359
24,97843.123889471,-0.011013,0.368044,0.111981,-0.003357,-0.002263,-0.003825,0.001091,0.000102,0.000374
25,97843.128833318,-0.010996,0.368053,0.111962,-0.003758,-0.001594,-0.003591,0.001137,0.000106,0.000390
26,97843.133746649,-0.010977,0.368059,0.111944,-0.004212,-0.000958,-0.003425,0.001182,0.000111,0.000405
27,97843.138690496,-0.010956,0.368062,0.111926,-0.004578,-0.000127,-0.003280,0.001227,0.000115,0.000421
28,97843.143634344,-0.010934,0.368060,0.111910,-0.004888,0.001035,-0.003137,0.001273,0.000119,0.000437
29,97843.148578191,-0.010911,0.368052,0.111893,-0.005045,0.002360,-0.002957,0.001318,0.000123,0.000452
30,97843.153522039,-0.010888,0.368037,0.111878,-0.005030,0.003043,-0.002542,0.001364,0.000128,0.000468
31,97843.158465887,-0.010865,0.368020,0.111865,-0.004879,0.004033,-0.001886,0.001409,0.000132,0.000483
32,97843.163409734,-0.010844,0.367997,0.111855,-0.004179,0.005123,-0.001533,0.001455,0.000136,0.000499
33,97843.168353582,-0.010826,0.367970,0.111847,-0.003359,0.006017,-0.001211,0.001500,0.000140,0.000515
34,97843.173266912,-0.010813,0.367938,0.111841,-0.002693,0.006923,-0.000791,0.001546,0.000145,0.000530
35,97843.178210760,-0.010804,0.367903,0.111837,-0.002325,0.007537,-0.000368,0.001591,0.000149,0.000546
36,97843.183154608,-0.010797,0.367865,0.111834,-0.001947,0.007859,0.000021,0.001637,0.000153,0.000561
37,97843.188067938,-0.010792,0.367825,0.111834,-0.001636,0.008087,0.000199,0.001682,0.000157,0.000577
38,97843.193011785,-0.010788,0.367785,0.111835,-0.001391,0.008006,0.000365,0.001728,0.000162,0.000593
39,97843.197955633,-0.010786,0.367744,0.111837,-0.001114,0.007971,0.000594,0.001773,0.000166,0.000608
40,97843.202899481,-0.010785,0.367705,0.111839,-0.000765,0.007701,0.000620,0.001819,0.000170,0.000624
41,97843.207843328,-0.010786,0.367666,0.111842,-0.000490,0.007251,0.000657,0.001864,0.000174,0.000639
42,97843.212756658,-0.010787,0.367631,0.111846,-0.000279,0.006780,0.000544,0.001909,0.000179,0.000655
43,97843.217700506,-0.010790,0.367597,0.111848,-0.000026,0.006154,0.000469,0.001955,0.000183,0.000670
44,97843.222644354,-0.010793,0.367567,0.111850,0.000221,0.005787,0.000313,0.002000,0.000187,0.000686
45,97843.227588201,-0.010797,0.367539,0.111852,0.000405,0.005538,0.000178,0.002046,0.000191,0.000702
46,97843.232532049,-0.010802,0.367512,0.111853,0.000625,0.005364,0.000087,0.002091,0.000196,0.000717
47,97843.237475897,-0.010808,0.367486,0.111853,0.000933,0.005291,0.000003,0.002137,0.000200,0.000733
48,97843.242419744,-0.010816,0.367460,0.111854,0.001300,0.005289,-0.000085,0.002182,0.000204,0.000749
49,97843.247333074,-0.010825,0.367435,0.111853,0.001764,0.005288,-0.000233,0.002228,0.000208,0.000764
50,97843.252246404,-0.010837,0.367410,0.111852,0.002250,0.005309,-0.000199,0.002273,0.000213,0.000780
51,97843.257220770,-0.010851,0.367385,0.111851,0.002682,0.005483,-0.000006,0.002319,0.000217,0.000795
52,97843.262164617,-0.010867,0.367360,0.111852,0.003043,0.005778,0.000127,0.002364,0.000221,0.000811
53,97843.267108465,-0.010886,0.367333,0.111853,0.003450,0.006097,0.000202,0.002410,0.000226,0.000827
54,97843.272082830,-0.010906,0.367305,0.111854,0.003803,0.006304,0.000151,0.002456,0.000230,0.000842
55,97843.276996160,-0.010928,0.367277,0.111855,0.004247,0.006555,0.000107,0.002501,0.000234,0.000858
56,97843.286853338,-0.010977,0.367217,0.111857,0.005001,0.006805,-0.000265,0.002592,0.000243,0.000889
57,97843.291766668,-0.011005,0.367187,0.111856,0.005359,0.006604,-0.000527,0.002637,0.000247,0.000904
58,97843.296710516,-0.011036,0.367157,0.111854,0.005761,0.006207,-0.000949,0.002682,0.000251,0.000920
59,97843.301654363,-0.011067,0.367130,0.111850,0.006191,0.005617,-0.001490,0.002728,0.000255,0.000936
60,97843.306598211,-0.011101,0.367106,0.111844,0.006430,0.004935,-0.002173,0.002773,0.000260,0.000951
61,97843.311542059,-0.011136,0.367086,0.111834,0.006620,0.004097,-0.003072,0.002819,0.000264,0.000967
62,97843.316455389,-0.011171,0.367069,0.111819,0.006809,0.003076,-0.003991,0.002864,0.000268,0.000982
63,97843.321399236,-0.011206,0.367058,0.111800,0.006886,0.001833,-0.004892,0.002910,0.000272,0.000998
64,97843.326343084,-0.011242,0.367053,0.111777,0.006905,0.000473,-0.005822,0.002955,0.000277,0.001014
65,97843.331286932,-0.011277,0.367055,0.111749,0.006996,-0.000834,-0.006782,0.003001,0.000281,0.001029
66,97843.336230779,-0.011311,0.367063,0.111716,0.007031,-0.002002,-0.007448,0.003046,0.000285,0.001045
67,97843.341174627,-0.011345,0.367077,0.111680,0.007132,-0.003118,-0.007991,0.003092,0.000289,0.001060
68,97843.346118475,-0.011380,0.367096,0.111641,0.007207,-0.004110,-0.008463,0.003137,0.000294,0.001076
69,97843.351031805,-0.011413,0.367121,0.111601,0.007336,-0.004710,-0.008712,0.003183,0.000298,0.001092
70,97843.356006170,-0.011448,0.367148,0.111558,0.007311,-0.005031,-0.008842,0.003228,0.000302,0.001107
71,97843.360950018,-0.011482,0.367177,0.111515,0.007168,-0.005135,-0.008916,0.003274,0.000306,0.001123
72,97843.365893865,-0.011515,0.367207,0.111472,0.006958,-0.005006,-0.008873,0.003319,0.000311,0.001139
73,97843.370837713,-0.011548,0.367235,0.111429,0.006713,-0.004784,-0.008647,0.003365,0.000315,0.001154
74,97843.380694891,-0.011610,0.367290,0.111345,0.006408,-0.004460,-0.008519,0.003456,0.000323,0.001185
