,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,97652461551702,-0.442245,9.84433,1.594925,-8.605663,0.366851,5.045617,0.01181,-0.001389,0.009155,-0.004483,0.0109,-0.009291,0.391227,0.344405,-0.537891,-0.662571,0.006946,0.013041
1,97652466495549,-0.420105,9.84314,1.630829,-8.615964,0.405945,5.032268,0.003296,-0.000336,0.005966,-0.001418,0.006386,-0.001942,0.391226,0.344407,-0.537909,-0.662555,0.007186,0.013346
2,97652471439397,-0.400345,9.856903,1.633835,-8.637304,0.410389,5.021634,-0.007355,-0.001389,0.005966,0.004382,0.004932,0.006935,0.391235,0.344397,-0.537911,-0.662554,0.007429,0.013654
3,97652476383245,-0.375214,9.835358,1.670944,-8.630905,0.453074,4.996944,-0.011627,-0.001389,0.005966,0.006333,0.0043,0.010683,0.391248,0.344381,-0.537905,-0.66256,0.007668,0.013959
4,97652481327092,-0.350067,9.834167,1.724213,-8.643253,0.509223,4.984093,-0.014816,0.001801,0.005966,0.004953,0.00346,0.014895,0.391271,0.344365,-0.537888,-0.662568,0.008121,0.014565
5,97652486270940,-0.318344,9.809021,1.749954,-8.636471,0.542589,4.949486,-0.020142,0.009262,0.008087,0.000677,0.003895,0.023265,0.39131,0.344356,-0.537883,-0.662553,0.008121,0.014565
6,97652491214788,-0.290817,9.774307,1.757126,-8.618706,0.558339,4.910743,-0.023331,0.014587,0.011292,-0.002715,0.005956,0.029013,0.391372,0.344339,-0.537871,-0.662536,0.00833,0.01487
7,97652496128118,-0.30098,9.777298,1.793045,-8.618327,0.592113,4.92696,-0.027603,0.017776,0.011292,-0.003602,0.004953,0.034175,0.391443,0.34432,-0.537838,-0.66253,0.008539,0.015201
8,97652501071965,-0.270462,9.770721,1.789444,-8.626577,0.594425,4.896013,-0.029724,0.017776,0.012344,-0.002673,0.005668,0.03623,0.391524,0.34429,-0.537809,-0.662521,0.008741,0.015546
9,97652506015813,-0.274643,9.758148,1.815186,-8.61466,0.621059,4.898322,-0.03186,0.016708,0.016617,-0.0009,0.009666,0.03842,0.391615,0.344248,-0.537772,-0.662519,0.00894,0.015908
10,97652510959661,-0.277039,9.754547,1.837341,-8.611367,0.643319,4.902457,-0.030792,0.015656,0.016617,-0.000453,0.00994,0.037019,0.391705,0.344202,-0.537732,-0.662522,0.009136,0.016283
11,97652515872991,-0.28064,9.733612,1.893005,-8.59326,0.699801,4.906268,-0.033997,0.014587,0.013412,0.002069,0.006429,0.038767,0.391797,0.344148,-0.537669,-0.662547,0.00933,0.016663
12,97652520816838,-0.293808,9.742584,1.903778,-8.595778,0.707088,4.92355,-0.030792,0.011383,0.009155,0.003603,0.003086,0.033749,0.391874,0.344099,-0.537606,-0.662579,0.009523,0.01705
13,97652525760686,-0.330322,9.80304,1.917542,-8.633438,0.707608,4.984868,-0.024399,0.005005,0.00383,0.006544,-0.000461,0.024331,0.39192,0.344062,-0.53755,-0.662617,0.009689,0.017228
14,97652530704534,-0.320145,9.84433,1.915741,-8.674655,0.701991,4.994108,-0.02121,-0.001389,-0.001495,0.01096,-0.004482,0.017715,0.391947,0.344024,-0.537505,-0.662657,0.009855,0.017404
