,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,97656.296289799,0.707588,1.604753,0.519687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,97656.301203129,0.707588,1.604753,0.519687,-0.000273,-0.000017,-0.000042,0.000051,0.000016,-0.000007
2,97656.306146977,0.707589,1.604753,0.519686,-0.000468,-0.000187,-0.000096,0.000102,0.000032,-0.000014
3,97656.311090825,0.707591,1.604754,0.519686,-0.000612,-0.000457,-0.000119,0.000153,0.000049,-0.000021
4,97656.316034672,0.707594,1.604757,0.519685,-0.001000,-0.000642,-0.000111,0.000204,0.000065,-0.000028
5,97656.320978520,0.707598,1.604760,0.519685,-0.001380,-0.000829,0.000026,0.000255,0.000081,-0.000035
6,97656.325922368,0.707605,1.604765,0.519685,-0.001703,-0.001134,0.000154,0.000307,0.000097,-0.000043
7,97656.330866215,0.707612,1.604772,0.519685,-0.002125,-0.001616,0.000251,0.000358,0.000114,-0.000050
8,97656.335810063,0.707622,1.604781,0.519686,-0.002432,-0.002144,0.000363,0.000409,0.000130,-0.000057
9,97656.340723393,0.707633,1.604793,0.519688,-0.002631,-0.002820,0.000299,0.000460,0.000146,-0.000064
10,97656.345667241,0.707644,1.604808,0.519689,-0.002772,-0.003462,0.000122,0.000511,0.000162,-0.000071
11,97656.350580571,0.707656,1.604827,0.519689,-0.002961,-0.004163,-0.000019,0.000562,0.000178,-0.000078
12,97656.355524418,0.707668,1.604849,0.519689,-0.003097,-0.004890,-0.000066,0.000613,0.000195,-0.000085
13,97656.360437748,0.707680,1.604874,0.519688,-0.003221,-0.005490,-0.000057,0.000664,0.000211,-0.000092
14,97656.365381596,0.707693,1.604903,0.519688,-0.003418,-0.005872,-0.000001,0.000715,0.000227,-0.000099
15,97656.370294926,0.707706,1.604934,0.519687,-0.003556,-0.006191,-0.000004,0.000766,0.000243,-0.000106
16,97656.375238774,0.707720,1.604966,0.519687,-0.003603,-0.006505,-0.000019,0.000817,0.000259,-0.000113
17,97656.380182621,0.707734,1.605000,0.519686,-0.003889,-0.006627,0.000061,0.000868,0.000276,-0.000120
18,97656.385126469,0.707750,1.605035,0.519686,-0.004158,-0.006700,0.000269,0.000919,0.000292,-0.000127
19,97656.390070317,0.707766,1.605070,0.519687,-0.004554,-0.006874,0.000453,0.000970,0.000308,-0.000135
20,97656.395014164,0.707785,1.605106,0.519688,-0.004968,-0.006826,0.000640,0.001021,0.000324,-0.000142
21,97656.399927495,0.707805,1.605142,0.519691,-0.005250,-0.006744,0.000852,0.001072,0.000340,-0.000149
22,97656.404901860,0.707827,1.605179,0.519695,-0.005432,-0.006629,0.001049,0.001124,0.000357,-0.000156
23,97656.409815190,0.707850,1.605214,0.519699,-0.005595,-0.006512,0.001263,0.001175,0.000373,-0.000163
24,97656.414759037,0.707874,1.605249,0.519705,-0.005813,-0.006584,0.001440,0.001226,0.000389,-0.000170
25,97656.419702885,0.707899,1.605285,0.519711,-0.005888,-0.006708,0.001495,0.001277,0.000405,-0.000177
26,97656.424646733,0.707924,1.605321,0.519718,-0.005957,-0.006784,0.001572,0.001328,0.000422,-0.000184
27,97656.429560063,0.707950,1.605358,0.519725,-0.006125,-0.007167,0.001599,0.001379,0.000438,-0.000191
28,97656.434503911,0.707976,1.605397,0.519732,-0.006155,-0.007635,0.001902,0.001430,0.000454,-0.000198
29,97656.439447758,0.708002,1.605438,0.519741,-0.006009,-0.007961,0.002154,0.001481,0.000470,-0.000205
30,97656.444391606,0.708027,1.605480,0.519751,-0.005715,-0.008182,0.002315,0.001532,0.000486,-0.000212
31,97656.449335453,0.708051,1.605524,0.519762,-0.005454,-0.008377,0.002429,0.001583,0.000503,-0.000220
32,97656.454248784,0.708073,1.605568,0.519773,-0.005136,-0.008497,0.002472,0.001634,0.000519,-0.000227
