,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2236157898166428,0.746475,9.940109,0.024918,-9.93421,0.767812,-0.292321,-0.005371,-0.004776,0.00206,0.005154,0.001662,0.005155,0.508104,0.468219,-0.528145,-0.493623,0.000859,-0.0124
1,2236157903110276,0.757843,9.957458,0.05246,-9.949954,0.796723,-0.302767,-0.006424,-0.006897,-0.001129,0.007077,-0.001683,0.006099,0.508116,0.468207,-0.528136,-0.493632,0.00097,-0.012574
2,2236157908054123,0.751862,9.934113,0.039291,-9.927406,0.781851,-0.297913,-0.006424,-0.005844,-0.001129,0.006028,-0.001605,0.006147,0.508125,0.468199,-0.528128,-0.493639,0.001084,-0.01275
3,2236157912997971,0.751266,9.947281,0.032104,-9.941032,0.775682,-0.29674,-0.003235,-0.004776,-0.001129,0.00482,-0.001503,0.00301,0.508128,0.468196,-0.528126,-0.493641,0.0012,-0.012932
4,2236157917941819,0.762634,10.007141,0.002777,-10.003362,0.750969,-0.305464,-0.002167,-0.004776,-0.002197,0.004692,-0.002561,0.001939,0.508123,0.4682,-0.528132,-0.493636,0.001316,-0.013119
5,2236157922885666,0.74408,10.045456,0.026718,-10.038916,0.777359,-0.285115,-0.001099,-0.004776,-0.003265,0.004564,-0.003618,0.000868,0.508117,0.468207,-0.528128,-0.493639,0.00143,-0.013308
6,2236157927829514,0.742889,10.009537,0.069809,-9.999892,0.817458,-0.28538,-0.001099,-0.004776,-0.003265,0.004565,-0.003618,0.000868,0.508119,0.468205,-0.528116,-0.493652,0.001545,-0.013498
7,2236157932742844,0.733902,10.021515,0.081787,-10.010563,0.829892,-0.275802,0.00209,-0.006897,-0.004333,0.006454,-0.004817,-0.002419,0.508117,0.468208,-0.528102,-0.493667,0.001657,-0.013685
8,2236157937686692,0.712357,9.996964,0.09436,-9.984225,0.840045,-0.255348,0.003159,-0.005844,-0.003265,0.005436,-0.003666,-0.003435,0.508114,0.468212,-0.528084,-0.493685,0.001763,-0.013865
9,2236157942630539,0.674057,9.974228,0.112915,-9.958514,0.856009,-0.218037,0.004227,-0.004776,-7.6e-05,0.004561,-0.000399,-0.004441,0.508109,0.468218,-0.52806,-0.49371,0.001867,-0.014044
10,2236157947574387,0.696198,9.986786,0.13446,-9.970451,0.878262,-0.239482,0.005295,-0.003708,0.000992,0.003528,0.000753,-0.005455,0.508114,0.468214,-0.528038,-0.493732,0.001968,-0.014219
11,2236157952487717,0.72374,10.000565,0.129074,-9.985837,0.874027,-0.266385,0.009552,-0.001572,0.00206,0.001287,0.002008,-0.009606,0.508119,0.46821,-0.528029,-0.493741,0.002062,-0.014383
