,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,2244295186109764,-0.390167,7.560867,6.495255,2.043909,0.310636,9.758755,0.005295,0.083649,-0.009659,0.017388,-0.060251,0.056445,0.131009,0.033062,0.415903,0.899316,0.002444,-0.002282
1,2244295191053611,-0.459,7.561462,6.506027,2.105136,0.333642,9.755608,0.014877,0.097488,-0.01712,0.012142,-0.076461,0.063439,0.130944,0.032834,0.415969,0.899303,0.002445,-0.002282
2,2244295195997459,-0.540405,7.55249,6.474899,2.177402,0.334076,9.71616,0.025528,0.110275,-0.021378,0.005423,-0.089815,0.071925,0.130877,0.032573,0.416064,0.899278,0.002445,-0.002281
3,2244295200910789,-0.582901,7.542313,6.453949,2.210939,0.335408,9.689121,0.038315,0.119858,-0.014984,-0.004748,-0.09356,0.085338,0.130786,0.032301,0.416191,0.899243,0.002446,-0.00228
4,2244295205885154,-0.632584,7.577026,6.427612,2.263003,0.306914,9.690728,0.048965,0.127319,-0.008591,-0.013438,-0.095536,0.096818,0.130673,0.032017,0.416347,0.899196,0.002448,-0.002279
5,2244295210829002,-0.664307,7.554886,6.395889,2.282902,0.306024,9.649852,0.056427,0.133713,-7.6e-05,-0.019465,-0.094572,0.108353,0.130534,0.03173,0.416521,0.899146,0.00245,-0.002278
6,2244295215772850,-0.689438,7.554276,6.373154,2.301434,0.297548,9.63194,0.06601,0.13797,0.013779,-0.028396,-0.088668,0.122125,0.13036,0.031449,0.416717,0.89909,0.002452,-0.002275
7,2244295220716697,-0.661316,7.551895,6.349213,2.268301,0.278127,9.620729,0.06813,0.13797,0.025497,-0.031149,-0.080184,0.130107,0.130159,0.031183,0.416918,0.899036,0.002456,-0.002272
8,2244295225660545,-0.623001,7.554276,6.275589,2.229509,0.215992,9.582326,0.069199,0.132645,0.03508,-0.034167,-0.069798,0.13257,0.129941,0.030942,0.417122,0.898982,0.002461,-0.002269
9,2244295230573875,-0.591278,7.582413,6.244461,2.202032,0.171265,9.589449,0.064941,0.123062,0.042542,-0.033032,-0.05728,0.129612,0.129717,0.030732,0.417312,0.898932,0.002466,-0.002265
10,2244295235517723,-0.566147,7.557877,6.236084,2.16662,0.177125,9.571065,0.054291,0.111343,0.047867,-0.026155,-0.043748,0.12263,0.129492,0.03055,0.417476,0.898896,0.00247,-0.002261
11,2244295240461570,-0.530228,7.568649,6.213333,2.131622,0.147463,9.57108,0.041504,0.092163,0.048935,-0.018887,-0.028407,0.106993,0.129284,0.03041,0.417605,0.89887,0.002475,-0.002257
12,2244295245405418,-0.470383,7.539322,6.194778,2.064129,0.140131,9.547646,0.026596,0.068726,0.046799,-0.010466,-0.012446,0.085769,0.129105,0.030318,0.417693,0.898857,0.002479,-0.002253
13,2244295250349266,-0.457809,7.525558,6.168442,2.047707,0.126237,9.522827,0.008484,0.047424,0.042542,0.001738,0.001232,0.064236,0.128958,0.030265,0.417735,0.898861,0.002482,-0.002249
14,2244295255293113,-0.461395,7.526749,6.212143,2.048132,0.158918,9.551724,-0.006424,0.022919,0.038284,0.010048,0.016216,0.040845,0.128848,0.030256,0.417735,0.898877,0.002486,-0.002245
15,2244295260206443,-0.465591,7.51178,6.218719,2.047922,0.172695,9.544231,-0.024536,0.002686,0.034012,0.02256,0.029206,0.020103,0.12877,0.030281,0.417688,0.89891,0.002489,-0.002241
