,time,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,linacce_x,linacce_y,linacce_z,grav_x,grav_y,grav_z,magnet_x,magnet_y,magnet_z,pos_x,pos_y,pos_z,ori_w,ori_x,ori_y,ori_z,rv_w,rv_x,rv_y,rv_z
0,2244300571252636.0,-0.036255,0.032516,0.02124,-0.20854871456431492,7.549068142996472,6.5247538563078695,0.048938,0.180395,-0.119485,-0.256525,7.284099,6.560983,8.172773318259475,-21.75233668354941,-34.87804151050145,0.015503,-0.03776,-0.024486,0.914219,0.404441,0.002498,-0.025002,0.124401,0.041177999999999985,0.40470600000000007,0.9050080000000001
1,2244300576196483.0,-0.047974,0.025055,0.018036,-0.20922651870699074,7.511604486755557,6.541278793188786,0.05107,0.113941,-0.081015,-0.256258,7.283332,6.561843,7.983919820075025,-21.750092701985945,-34.70302491829232,0.015523,-0.037549,-0.024556,0.914265,0.404341,0.002542,-0.024937,0.12432800000000001,0.04115200000000001,0.40465500000000004,0.9050430000000003
2,2244300581140331.0,-0.059692,0.01973,0.011642,-0.22023285200879963,7.46140211082865,6.5673820371581,0.03009,0.07753,-0.066447,-0.256226,7.281978,6.563348,7.79506628369087,-21.747848719968587,-34.52800829068231,0.015544,-0.037333,-0.024625,0.914323,0.404213,0.002577,-0.02489,0.12428099999999999,0.041118,0.4045639999999999,0.9050920000000001
3,2244300586084179.0,-0.068222,0.008011,0.007385,-0.24977674100983685,7.43847535176223,6.588692055743825,-0.0057859999999999995,0.067232,-0.04342599999999999,-0.256264,7.280202,6.565316,7.606212747306715,-21.74560473795123,-34.35299166307229,0.015566,-0.037112,-0.024694,0.914391,0.40406,0.002599,-0.024865,0.124263,0.041088000000000006,0.40444199999999997,0.905149
4,2244300590997509.0,-0.0746,-0.0037079999999999995,0.004196,-0.27089142827552803,7.4203794292329235,6.635650855298138,-0.016102,0.04652,0.017171,-0.256118,7.277901,6.567873,7.580243359162564,-21.89541452062267,-34.02512115302781,0.015588,-0.03689,-0.024762,0.914461,0.403901,0.002602,-0.024846,0.124266,0.04107299999999999,0.40428300000000006,0.905221
5,2244300595941356.0,-0.0746,-0.011169,0.0009920000000000003,-0.2986149412433273,7.401694112335393,6.656657500847417,-0.05672300000000001,0.033127,0.0036369999999999996,-0.256184,7.275579,6.570442,7.579867331818441,-22.07036808494054,-33.67069923050951,0.01561,-0.036665,-0.02483,0.914536,0.403733,0.002586,-0.024845,0.12429099999999997,0.04105599999999999,0.404123,0.9052909999999997
6,2244300600885204.0,-0.0746,-0.014359,-0.0021969999999999993,-0.30942249991484366,7.378570703488457,6.664788185351168,-0.045366,0.006791999999999999,0.022867,-0.256169,7.273076,6.573213,7.579491304398259,-22.24532168464656,-33.316277236301715,0.015634,-0.03643,-0.024896,0.914611,0.40356,0.002554,-0.024871,0.124326,0.041045,0.40394899999999995,0.9053639999999998
7,2244300605829052.0,-0.072479,-0.015427,-0.002197,-0.33516077817683715,7.374926314926956,6.703771444830019,-0.098237,0.023946,0.071081,-0.256548,7.270498,6.57605,7.579115276978077,-22.420275284352574,-32.961855242093925,0.015656,-0.036195,-0.024962,0.914686,0.40339,0.002518,-0.024903,0.12436999999999997,0.041016,0.40377300000000005,0.905438
8,2244300610742382.0,-0.06395,-0.012238,-0.001129,-0.3581889999827001,7.376515143100708,6.738353570784376,-0.098365,0.017514,0.090151,-0.256993,7.268107,6.578675,7.280049701120238,-22.316838046017214,-33.17381164608213,0.015676,-0.035961,-0.025026,0.914753,0.403237,0.002493,-0.024917,0.124408,0.04098199999999999,0.4036100000000001,0.905506
9,2244300615686229.0,-0.053299,-0.005844,-7.59999999999999e-05,-0.34023265064351704,7.361581297850641,6.745098037413982,-0.066274,-0.00048799999999999885,0.082719,-0.257343,7.266019,6.580966,6.904572346093776,-22.143540843055302,-33.52790795388747,0.015693,-0.035725,-0.025089,0.914811,0.403105,0.002477,-0.024924,0.12443199999999999,0.040949999999999986,0.4034690000000001,0.905567
