,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,2244300.571252636,0.015503,-0.037760,-0.024486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2244300.576196483,0.015503,-0.037760,-0.024486,0.001058,-0.000126,0.000261,0.001613,0.000757,-0.001379
2,2244300.581140331,0.015506,-0.037755,-0.024485,0.001766,-0.000309,0.000403,0.003227,0.001514,-0.002757
3,2244300.586084179,0.015510,-0.037748,-0.024483,0.002298,-0.000413,0.000460,0.004840,0.002271,-0.004136
4,2244300.590997509,0.015516,-0.037738,-0.024480,0.002697,-0.000364,0.000557,0.006443,0.003023,-0.005506
5,2244300.595941356,0.015523,-0.037726,-0.024478,0.002813,-0.000308,0.000778,0.008057,0.003780,-0.006885
6,2244300.600885204,0.015529,-0.037714,-0.024474,0.002918,-0.000057,0.000909,0.009670,0.004538,-0.008264
7,2244300.605829052,0.015535,-0.037701,-0.024469,0.002882,0.000114,0.001004,0.011283,0.005295,-0.009642
8,2244300.610742382,0.015540,-0.037687,-0.024464,0.002706,0.000515,0.001324,0.012887,0.006047,-0.011013
9,2244300.615686229,0.015542,-0.037674,-0.024458,0.002447,0.000901,0.001684,0.014500,0.006804,-0.012391
10,2244300.620630077,0.015543,-0.037661,-0.024450,0.002183,0.001121,0.001947,0.016113,0.007561,-0.013770
11,2244300.625573925,0.015541,-0.037649,-0.024440,0.002060,0.001425,0.002268,0.017727,0.008318,-0.015149
12,2244300.630517772,0.015539,-0.037637,-0.024429,0.001778,0.001672,0.002313,0.019340,0.009075,-0.016527
13,2244300.635431102,0.015534,-0.037626,-0.024417,0.001755,0.001666,0.001847,0.020943,0.009827,-0.017898
14,2244300.640374950,0.015530,-0.037615,-0.024408,0.002336,0.001642,0.002062,0.022557,0.010584,-0.019276
15,2244300.645288280,0.015527,-0.037601,-0.024398,0.003121,0.001257,0.002443,0.024160,0.011337,-0.020646
16,2244300.650232128,0.015527,-0.037584,-0.024386,0.003706,0.000916,0.002227,0.025773,0.012094,-0.022025
17,2244300.655175976,0.015529,-0.037566,-0.024375,0.004155,0.000835,0.001726,0.027386,0.012851,-0.023404
