,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,1917440430958636,1.148102,10.001755,-1.169785,-4.604893,-1.034432,-8.969216,0.069778,0.076126,0.03154,0.021643,0.022348,-0.103398,0.670693,0.681834,-0.255503,-0.141396,0.000521,-0.002586
1,1917440435902484,1.4366,10.013123,-1.096756,-4.357083,-1.010258,-9.139165,0.057007,0.086777,0.032608,0.005527,0.025715,-0.105601,0.67064,0.681958,-0.255438,-0.141159,0.000547,-0.002377
2,1917440440846332,1.616165,9.994568,-0.868713,-4.161137,-0.816268,-9.23454,0.050613,0.064407,0.03154,0.012122,0.024981,-0.083269,0.670596,0.682054,-0.255409,-0.14096,0.000572,-0.002165
3,1917440445790179,1.497055,9.985596,-0.9142,-4.259148,-0.844381,-9.161647,0.049545,0.066544,0.030472,0.009957,0.024136,-0.084437,0.670552,0.682152,-0.255371,-0.140764,0.000598,-0.001949
4,1917440450734027,1.460541,9.897614,-0.839981,-4.227854,-0.769303,-9.073872,0.037827,0.074005,0.029404,-0.003903,0.025157,-0.084405,0.670535,0.682232,-0.255312,-0.140567,0.000624,-0.001732
5,1917440455677875,1.425232,9.819794,-0.717285,-4.194329,-0.645437,-8.998063,0.022919,0.06015,0.030472,-0.008656,0.028176,-0.064831,0.670539,0.682277,-0.25527,-0.140402,0.00065,-0.001511
6,1917440460621722,1.525787,9.787476,-0.687943,-4.087193,-0.633542,-9.027147,0.014389,0.045242,0.034729,-0.007079,0.033298,-0.04797,0.670552,0.682297,-0.255261,-0.140258,0.000676,-0.001286
7,1917440465535052,1.540756,9.760544,-0.73703,-4.066082,-0.684833,-9.01019,0.003738,0.039917,0.03154,-0.013536,0.031702,-0.037602,0.670577,0.682302,-0.255253,-0.140133,0.000701,-0.00106
8,1917440470478900,1.503647,9.782089,-0.865128,-4.12586,-0.803984,-9.001639,-0.006912,0.047363,0.029404,-0.026682,0.031527,-0.038075,0.670617,0.682298,-0.255226,-0.140006,0.000728,-0.000824
9,1917440475422748,1.45636,9.840744,-0.841782,-4.191887,-0.770855,-9.027947,-0.011185,0.029251,0.027283,-0.020836,0.029585,-0.020388,0.670653,0.682283,-0.255221,-0.139919,0.000753,-0.000594
10,1917440480366595,1.595825,9.873062,-0.644257,-4.063435,-0.596486,-9.141764,-0.00798,0.002625,0.028351,-0.003738,0.029331,0.000304,0.670677,0.682253,-0.255265,-0.139869,0.000777,-0.000361
11,1917440485310443,1.806503,9.955673,-0.565842,-3.92093,-0.549414,-9.328648,-0.00798,-0.000565,0.027283,-0.002186,0.028182,0.003062,0.670705,0.682216,-0.255319,-0.139818,0.000802,-0.000115
