,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,0.006479,0.406794,0.014448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,0.006479,0.406794,0.014448,-0.000247,0.000088,0.000007,0.000326,-0.000017,-0.000446
2,1917444.932362445,0.006478,0.406794,0.014448,-0.000385,0.000303,-0.000028,0.000652,-0.000035,-0.000892
3,1917444.937306293,0.006476,0.406796,0.014448,-0.000595,0.000478,0.000057,0.000978,-0.000052,-0.001338
4,1917444.942250140,0.006473,0.406798,0.014448,-0.000765,0.000437,0.000111,0.001305,-0.000069,-0.001784
5,1917444.947163470,0.006469,0.406800,0.014449,-0.001031,0.000534,0.000017,0.001629,-0.000087,-0.002227
6,1917444.952107318,0.006464,0.406803,0.014449,-0.001124,0.000604,0.000025,0.001955,-0.000104,-0.002673
7,1917444.957051166,0.006459,0.406806,0.014449,-0.001268,0.000621,0.000038,0.002281,-0.000121,-0.003119
8,1917444.961995013,0.006452,0.406809,0.014449,-0.001333,0.000655,0.000057,0.002607,-0.000139,-0.003565
9,1917444.966908343,0.006446,0.406812,0.014449,-0.001505,0.000643,0.000175,0.002931,-0.000156,-0.004008
10,1917444.971852191,0.006438,0.406816,0.014450,-0.001604,0.000687,0.000132,0.003258,-0.000173,-0.004454
11,1917444.976796039,0.006430,0.406819,0.014451,-0.001699,0.000656,0.000239,0.003584,-0.000191,-0.004900
12,1917444.981739886,0.006422,0.406822,0.014452,-0.001680,0.000660,0.000269,0.003910,-0.000208,-0.005346
13,1917444.986683734,0.006414,0.406825,0.014453,-0.001728,0.000684,0.000414,0.004236,-0.000226,-0.005792
14,1917444.991658099,0.006405,0.406829,0.014455,-0.001714,0.000668,0.000603,0.004564,-0.000243,-0.006241
15,1917444.996601947,0.006397,0.406832,0.014458,-0.001581,0.000789,0.000694,0.004890,-0.000260,-0.006687
16,1917445.001515277,0.006389,0.406836,0.014462,-0.001587,0.000755,0.000712,0.005215,-0.000278,-0.007130
17,1917445.006459125,0.006381,0.406840,0.014465,-0.001597,0.000727,0.000711,0.005541,-0.000295,-0.007576
18,1917445.011372455,0.006373,0.406843,0.014469,-0.001527,0.000841,0.000751,0.005865,-0.000312,-0.008019
19,1917445.016316302,0.006366,0.406847,0.014473,-0.001584,0.000832,0.000729,0.006191,-0.000330,-0.008465
20,1917445.021260150,0.006358,0.406852,0.014476,-0.001642,0.000690,0.000785,0.006517,-0.000347,-0.008911
21,1917445.026173480,0.006350,0.406855,0.014480,-0.001682,0.000601,0.000806,0.006841,-0.000364,-0.009354
22,1917445.031117328,0.006341,0.406858,0.014484,-0.001797,0.000540,0.000682,0.007167,-0.000382,-0.009800
23,1917445.036061175,0.006332,0.406861,0.014487,-0.001761,0.000497,0.000594,0.007494,-0.000399,-0.010246
24,1917445.041005023,0.006324,0.406863,0.014490,-0.001634,0.000506,0.000444,0.007820,-0.000416,-0.010692
25,1917445.045948871,0.006316,0.406866,0.014493,-0.001695,0.000627,0.000308,0.008146,-0.000434,-0.011138
26,1917445.050862201,0.006307,0.406869,0.014494,-0.001655,0.000772,0.000162,0.008470,-0.000451,-0.011581
27,1917445.055806049,0.006299,0.406872,0.014495,-0.001643,0.001048,0.000031,0.008796,-0.000468,-0.012027
28,1917445.060749896,0.006291,0.406878,0.014495,-0.001534,0.001089,0.000046,0.009122,-0.000486,-0.012473
29,1917445.065693744,0.006283,0.406883,0.014495,-0.001535,0.001205,0.000012,0.009449,-0.000503,-0.012919
30,1917445.070607074,0.006276,0.406889,0.014495,-0.001414,0.001388,0.000038,0.009773,-0.000520,-0.013362
31,1917445.075550922,0.006269,0.406896,0.014495,-0.001349,0.001495,0.000110,0.010099,-0.000538,-0.013808
32,1917445.080494769,0.006262,0.406903,0.014496,-0.001334,0.001587,0.000087,0.010425,-0.000555,-0.014254
33,1917445.085469134,0.006256,0.406911,0.014496,-0.001259,0.001858,0.000145,0.010753,-0.000573,-0.014703
34,1917445.090382465,0.006249,0.406920,0.014497,-0.001075,0.001986,0.000359,0.011077,-0.000590,-0.015146
35,1917445.095356830,0.006244,0.406930,0.014499,-0.000941,0.002024,0.000464,0.011405,-0.000607,-0.015595
36,1917445.100300677,0.006239,0.406940,0.014501,-0.000754,0.002041,0.000581,0.011732,-0.000625,-0.016041
37,1917445.105214008,0.006236,0.406950,0.014504,-0.000696,0.002012,0.000754,0.012056,-0.000642,-0.016484
38,1917445.110157855,0.006232,0.406960,0.014508,-0.000700,0.002090,0.000977,0.012382,-0.000659,-0.016930
39,1917445.115101703,0.006229,0.406970,0.014513,-0.000584,0.002263,0.001247,0.012708,-0.000677,-0.017376
40,1917445.120045550,0.006226,0.406982,0.014519,-0.000358,0.002293,0.001348,0.013034,-0.000694,-0.017822
41,1917445.124958881,0.006224,0.406993,0.014525,-0.000329,0.002380,0.001394,0.013358,-0.000711,-0.018265
42,1917445.129902728,0.006223,0.407005,0.014532,-0.000323,0.002651,0.001475,0.013685,-0.000729,-0.018711
43,1917445.134846576,0.006221,0.407018,0.014540,-0.000229,0.002863,0.001503,0.014011,-0.000746,-0.019157
44,1917445.139790424,0.006220,0.407032,0.014547,-0.000252,0.003107,0.001455,0.014337,-0.000763,-0.019603
45,1917445.144734271,0.006219,0.407047,0.014554,-0.000228,0.003168,0.001382,0.014663,-0.000781,-0.020049
46,1917445.149678119,0.006217,0.407063,0.014561,-0.000264,0.003338,0.001373,0.014989,-0.000798,-0.020495
47,1917445.154591449,0.006216,0.407079,0.014568,-0.000446,0.003535,0.001381,0.015313,-0.000815,-0.020938
48,1917445.159535297,0.006214,0.407097,0.014575,-0.000464,0.003542,0.001322,0.015640,-0.000833,-0.021384
49,1917445.164479144,0.006212,0.407114,0.014581,-0.000521,0.003534,0.001256,0.015966,-0.000850,-0.021830
50,1917445.169422992,0.006209,0.407132,0.014587,-0.000664,0.003530,0.001178,0.016292,-0.000868,-0.022276
51,1917445.174336322,0.006206,0.407149,0.014593,-0.000834,0.003780,0.001049,0.016616,-0.000885,-0.022719
52,1917445.179280170,0.006202,0.407168,0.014598,-0.000996,0.003952,0.000844,0.016942,-0.000902,-0.023165
53,1917445.189167865,0.006192,0.407207,0.014607,-0.001460,0.004512,0.000476,0.017594,-0.000937,-0.024057
54,1917445.194081195,0.006185,0.407229,0.014609,-0.001623,0.004907,0.000474,0.017919,-0.000954,-0.024500
55,1917445.199025043,0.006177,0.407253,0.014611,-0.001865,0.005210,0.000532,0.018245,-0.000972,-0.024946
56,1917445.203968890,0.006167,0.407279,0.014614,-0.001907,0.005662,0.000529,0.018571,-0.000989,-0.025392
57,1917445.208912738,0.006158,0.407307,0.014617,-0.002011,0.005957,0.000616,0.018897,-0.001006,-0.025838
58,1917445.213826068,0.006148,0.407336,0.014620,-0.002088,0.006218,0.000717,0.019221,-0.001024,-0.026281
59,1917445.218769916,0.006138,0.407367,0.014623,-0.002061,0.006451,0.000822,0.019547,-0.001041,-0.026727
60,1917445.223713763,0.006128,0.407399,0.014627,-0.002083,0.006594,0.000921,0.019874,-0.001058,-0.027173
61,1917445.228627093,0.006117,0.407431,0.014632,-0.002082,0.006687,0.000999,0.020198,-0.001076,-0.027616
62,1917445.233570941,0.006107,0.407464,0.014637,-0.002066,0.006781,0.001135,0.020524,-0.001093,-0.028062
63,1917445.238514789,0.006097,0.407498,0.014642,-0.002027,0.006902,0.001150,0.020850,-0.001110,-0.028508
64,1917445.243458636,0.006087,0.407532,0.014648,-0.001920,0.006921,0.001104,0.021176,-0.001128,-0.028954
65,1917445.248402484,0.006077,0.407566,0.014654,-0.001918,0.007001,0.001158,0.021502,-0.001145,-0.029400
66,1917445.253315814,0.006068,0.407601,0.014659,-0.001847,0.007168,0.001063,0.021826,-0.001162,-0.029843
67,1917445.258259662,0.006059,0.407636,0.014664,-0.001652,0.007250,0.001064,0.022153,-0.001180,-0.030289
68,1917445.263203509,0.006051,0.407672,0.014670,-0.001529,0.007342,0.001096,0.022479,-0.001197,-0.030735
69,1917445.268177875,0.006043,0.407709,0.014675,-0.001445,0.007632,0.001191,0.022807,-0.001214,-0.031184
70,1917445.273091205,0.006036,0.407746,0.014681,-0.001238,0.007873,0.001244,0.023131,-0.001232,-0.031627
71,1917445.278035052,0.006030,0.407785,0.014687,-0.001122,0.008187,0.001225,0.023457,-0.001249,-0.032073
72,1917445.282948383,0.006024,0.407825,0.014693,-0.001030,0.008520,0.001384,0.023781,-0.001266,-0.032516
73,1917445.287892230,0.006019,0.407867,0.014700,-0.001103,0.008552,0.001552,0.024108,-0.001284,-0.032962
74,1917445.292836078,0.006014,0.407910,0.014708,-0.001050,0.008622,0.001610,0.024434,-0.001301,-0.033408
75,1917445.297779925,0.006009,0.407952,0.014716,-0.000954,0.008901,0.001575,0.024760,-0.001318,-0.033854
76,1917445.302723773,0.006004,0.407996,0.014723,-0.001030,0.009151,0.001423,0.025086,-0.001336,-0.034300
77,1917445.307667621,0.005999,0.408041,0.014730,-0.001025,0.009346,0.001404,0.025412,-0.001353,-0.034746
78,1917445.312580951,0.005994,0.408087,0.014737,-0.000990,0.009678,0.001351,0.025736,-0.001370,-0.035189
