,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,0.006479,0.406794,0.014448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,0.006479,0.406794,0.014448,-0.000247,0.000088,0.000007,0.000000,0.000000,0.000000
2,1917444.932362445,0.006478,0.406794,0.014448,-0.000387,0.000301,-0.000028,0.000000,0.000000,0.000000
3,1917444.937306293,0.006476,0.406796,0.014448,-0.000600,0.000471,0.000056,0.000000,0.000000,0.000000
4,1917444.942250140,0.006473,0.406798,0.014448,-0.000774,0.000423,0.000108,0.000000,0.000000,0.000000
5,1917444.947163470,0.006469,0.406800,0.014449,-0.001045,0.000512,0.000013,0.000000,0.000000,0.000000
6,1917444.952107318,0.006464,0.406803,0.014449,-0.001146,0.000570,0.000019,0.000000,0.000000,0.000000
7,1917444.957051166,0.006458,0.406806,0.014449,-0.001299,0.000574,0.000030,0.000000,0.000000,0.000000
8,1917444.961995013,0.006452,0.406809,0.014449,-0.001374,0.000592,0.000046,0.000000,0.000000,0.000000
9,1917444.966908343,0.006445,0.406811,0.014449,-0.001558,0.000561,0.000161,0.000000,0.000000,0.000000
10,1917444.971852191,0.006437,0.406814,0.014450,-0.001671,0.000585,0.000115,0.000000,0.000000,0.000000
11,1917444.976796039,0.006429,0.406817,0.014451,-0.001780,0.000532,0.000218,0.000000,0.000000,0.000000
12,1917444.981739886,0.006420,0.406820,0.014452,-0.001778,0.000511,0.000243,0.000000,0.000000,0.000000
13,1917444.986683734,0.006412,0.406822,0.014453,-0.001843,0.000507,0.000384,0.000000,0.000000,0.000000
14,1917444.991658099,0.006402,0.406825,0.014455,-0.001848,0.000462,0.000569,0.000000,0.000000,0.000000
15,1917444.996601947,0.006393,0.406827,0.014458,-0.001736,0.000552,0.000654,0.000000,0.000000,0.000000
16,1917445.001515277,0.006385,0.406830,0.014461,-0.001764,0.000484,0.000666,0.000000,0.000000,0.000000
17,1917445.006459125,0.006376,0.406832,0.014464,-0.001797,0.000419,0.000660,0.000000,0.000000,0.000000
18,1917445.011372455,0.006367,0.406834,0.014467,-0.001753,0.000495,0.000692,0.000000,0.000000,0.000000
