,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,1.148810,-0.164357,-0.102810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,1.148810,-0.164357,-0.102810,-0.000158,0.000209,0.000008,0.000673,-0.000468,-0.003373
2,1917444.932362445,1.148809,-0.164359,-0.102810,-0.000146,0.000477,-0.000025,0.001347,-0.000936,-0.006745
3,1917444.937306293,1.148808,-0.164360,-0.102810,-0.000208,0.000761,0.000062,0.002020,-0.001404,-0.010118
4,1917444.942250140,1.148805,-0.164363,-0.102810,-0.000346,0.000854,0.000115,0.002694,-0.001872,-0.013491
5,1917444.947163470,1.148803,-0.164367,-0.102809,-0.000477,0.001129,0.000021,0.003363,-0.002337,-0.016843
6,1917444.952107318,1.148799,-0.164372,-0.102809,-0.000472,0.001297,0.000030,0.004036,-0.002805,-0.020215
7,1917444.957051166,1.148795,-0.164378,-0.102809,-0.000529,0.001460,0.000042,0.004710,-0.003273,-0.023588
8,1917444.961995013,1.148791,-0.164384,-0.102808,-0.000501,0.001605,0.000060,0.005383,-0.003741,-0.026961
9,1917444.966908343,1.148786,-0.164390,-0.102808,-0.000581,0.001781,0.000176,0.006052,-0.004206,-0.030313
10,1917444.971852191,1.148780,-0.164398,-0.102807,-0.000559,0.001978,0.000133,0.006726,-0.004674,-0.033685
11,1917444.976796039,1.148773,-0.164406,-0.102806,-0.000565,0.002120,0.000238,0.007399,-0.005142,-0.037058
12,1917444.981739886,1.148766,-0.164414,-0.102805,-0.000448,0.002240,0.000266,0.008073,-0.005610,-0.040431
13,1917444.986683734,1.148758,-0.164422,-0.102803,-0.000368,0.002424,0.000410,0.008746,-0.006078,-0.043803
14,1917444.991658099,1.148750,-0.164430,-0.102801,-0.000249,0.002554,0.000598,0.009424,-0.006549,-0.047197
15,1917444.996601947,1.148740,-0.164438,-0.102798,0.000055,0.002745,0.000688,0.010097,-0.007017,-0.050570
16,1917445.001515277,1.148729,-0.164445,-0.102794,0.000166,0.002893,0.000703,0.010766,-0.007482,-0.053922
17,1917445.006459125,1.148716,-0.164453,-0.102790,0.000286,0.003061,0.000701,0.011440,-0.007950,-0.057294
18,1917445.011372455,1.148703,-0.164460,-0.102787,0.000559,0.003314,0.000739,0.012109,-0.008415,-0.060646
19,1917445.016316302,1.148688,-0.164467,-0.102783,0.000669,0.003547,0.000714,0.012782,-0.008883,-0.064019
20,1917445.021260150,1.148672,-0.164474,-0.102779,0.000714,0.003682,0.000767,0.013456,-0.009351,-0.067392
21,1917445.026173480,1.148655,-0.164481,-0.102775,0.000811,0.003861,0.000783,0.014125,-0.009816,-0.070743
22,1917445.031117328,1.148637,-0.164488,-0.102770,0.000871,0.004118,0.000657,0.014798,-0.010284,-0.074116
