,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,0.006479,0.406794,0.014448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,0.006479,0.406794,0.014448,-0.000158,0.000209,0.000008,0.000000,0.000000,0.000000
2,1917444.932362445,0.006478,0.406795,0.014448,-0.000158,0.000464,-0.000025,0.000000,0.000000,0.000000
3,1917444.937306293,0.006477,0.406797,0.014448,-0.000242,0.000723,0.000061,0.000000,0.000000,0.000000
4,1917444.942250140,0.006476,0.406801,0.014448,-0.000415,0.000778,0.000113,0.000000,0.000000,0.000000
5,1917444.947163470,0.006474,0.406805,0.014449,-0.000592,0.001002,0.000019,0.000000,0.000000,0.000000
6,1917444.952107318,0.006471,0.406810,0.014449,-0.000644,0.001106,0.000026,0.000000,0.000000,0.000000
7,1917444.957051166,0.006468,0.406815,0.014449,-0.000770,0.001193,0.000036,0.000000,0.000000,0.000000
8,1917444.961995013,0.006464,0.406821,0.014449,-0.000823,0.001249,0.000053,0.000000,0.000000,0.000000
9,1917444.966908343,0.006460,0.406827,0.014449,-0.000994,0.001324,0.000167,0.000000,0.000000,0.000000
10,1917444.971852191,0.006455,0.406834,0.014450,-0.001075,0.001406,0.000121,0.000000,0.000000,0.000000
11,1917444.976796039,0.006450,0.406841,0.014451,-0.001196,0.001421,0.000223,0.000000,0.000000,0.000000
12,1917444.981739886,0.006444,0.406848,0.014452,-0.001206,0.001402,0.000248,0.000000,0.000000,0.000000
13,1917444.986683734,0.006438,0.406855,0.014453,-0.001263,0.001433,0.000389,0.000000,0.000000,0.000000
14,1917444.991658099,0.006432,0.406862,0.014455,-0.001294,0.001396,0.000573,0.000000,0.000000,0.000000
15,1917444.996601947,0.006425,0.406869,0.014458,-0.001151,0.001409,0.000660,0.000000,0.000000,0.000000
16,1917445.001515277,0.006420,0.406876,0.014461,-0.001212,0.001367,0.000671,0.000000,0.000000,0.000000
17,1917445.006459125,0.006414,0.406882,0.014465,-0.001276,0.001332,0.000663,0.000000,0.000000,0.000000
18,1917445.011372455,0.006408,0.406889,0.014468,-0.001197,0.001370,0.000697,0.000000,0.000000,0.000000
19,1917445.016316302,0.006402,0.406896,0.014471,-0.001294,0.001375,0.000668,0.000000,0.000000,0.000000
20,1917445.021260150,0.006395,0.406902,0.014475,-0.001468,0.001267,0.000715,0.000000,0.000000,0.000000
21,1917445.026173480,0.006388,0.406909,0.014478,-0.001600,0.001194,0.000726,0.000000,0.000000,0.000000
22,1917445.031117328,0.006380,0.406915,0.014482,-0.001781,0.001184,0.000593,0.000000,0.000000,0.000000
23,1917445.036061175,0.006371,0.406920,0.014485,-0.001828,0.001105,0.000495,0.000000,0.000000,0.000000
24,1917445.041005023,0.006362,0.406926,0.014487,-0.001772,0.001020,0.000336,0.000000,0.000000,0.000000
25,1917445.045948871,0.006354,0.406931,0.014489,-0.001815,0.001130,0.000192,0.000000,0.000000,0.000000
26,1917445.050862201,0.006345,0.406936,0.014490,-0.001763,0.001205,0.000037,0.000000,0.000000,0.000000
27,1917445.055806049,0.006336,0.406942,0.014490,-0.001664,0.001401,-0.000101,0.000000,0.000000,0.000000
28,1917445.060749896,0.006328,0.406949,0.014489,-0.001617,0.001347,-0.000096,0.000000,0.000000,0.000000
29,1917445.065693744,0.006320,0.406956,0.014489,-0.001624,0.001415,-0.000141,0.000000,0.000000,0.000000
30,1917445.070607074,0.006312,0.406963,0.014488,-0.001494,0.001469,-0.000124,0.000000,0.000000,0.000000
31,1917445.075550922,0.006304,0.406970,0.014488,-0.001455,0.001490,-0.000063,0.000000,0.000000,0.000000
32,1917445.080494769,0.006297,0.406978,0.014487,-0.001470,0.001526,-0.000098,0.000000,0.000000,0.000000
33,1917445.085469134,0.006290,0.406985,0.014487,-0.001338,0.001676,-0.000049,0.000000,0.000000,0.000000
34,1917445.090382465,0.006283,0.406993,0.014486,-0.001196,0.001644,0.000153,0.000000,0.000000,0.000000
35,1917445.095356830,0.006277,0.407002,0.014487,-0.001149,0.001565,0.000244,0.000000,0.000000,0.000000
36,1917445.100300677,0.006272,0.407009,0.014488,-0.001071,0.001438,0.000347,0.000000,0.000000,0.000000
37,1917445.105214008,0.006266,0.407016,0.014490,-0.001128,0.001341,0.000505,0.000000,0.000000,0.000000
38,1917445.110157855,0.006261,0.407023,0.014493,-0.001183,0.001367,0.000714,0.000000,0.000000,0.000000
39,1917445.115101703,0.006255,0.407030,0.014496,-0.001086,0.001404,0.000971,0.000000,0.000000,0.000000
40,1917445.120045550,0.006250,0.407037,0.014501,-0.000978,0.001262,0.001056,0.000000,0.000000,0.000000
41,1917445.124958881,0.006245,0.407043,0.014506,-0.001005,0.001276,0.001086,0.000000,0.000000,0.000000
42,1917445.129902728,0.006240,0.407049,0.014512,-0.000953,0.001455,0.001154,0.000000,0.000000,0.000000
43,1917445.134846576,0.006235,0.407056,0.014517,-0.000862,0.001535,0.001167,0.000000,0.000000,0.000000
44,1917445.139790424,0.006231,0.407064,0.014523,-0.000854,0.001706,0.001104,0.000000,0.000000,0.000000
45,1917445.144734271,0.006227,0.407072,0.014528,-0.000909,0.001698,0.001014,0.000000,0.000000,0.000000
46,1917445.149678119,0.006222,0.407081,0.014533,-0.000957,0.001811,0.000988,0.000000,0.000000,0.000000
47,1917445.154591449,0.006217,0.407090,0.014538,-0.001114,0.002026,0.000980,0.000000,0.000000,0.000000
48,1917445.159535297,0.006212,0.407100,0.014543,-0.001241,0.001993,0.000902,0.000000,0.000000,0.000000
49,1917445.164479144,0.006206,0.407110,0.014548,-0.001411,0.001967,0.000816,0.000000,0.000000,0.000000
50,1917445.169422992,0.006199,0.407119,0.014552,-0.001654,0.001990,0.000718,0.000000,0.000000,0.000000
51,1917445.174336322,0.006191,0.407129,0.014555,-0.001781,0.002242,0.000571,0.000000,0.000000,0.000000
52,1917445.179280170,0.006182,0.407140,0.014558,-0.001947,0.002422,0.000347,0.000000,0.000000,0.000000
53,1917445.189167865,0.006163,0.407164,0.014561,-0.002282,0.003037,-0.000057,0.000000,0.000000,0.000000
54,1917445.194081195,0.006151,0.407179,0.014561,-0.002334,0.003400,-0.000077,0.000000,0.000000,0.000000
55,1917445.199025043,0.006140,0.407196,0.014561,-0.002507,0.003726,-0.000038,0.000000,0.000000,0.000000
56,1917445.203968890,0.006127,0.407214,0.014561,-0.002432,0.004068,-0.000059,0.000000,0.000000,0.000000
57,1917445.208912738,0.006115,0.407234,0.014560,-0.002499,0.004309,0.000008,0.000000,0.000000,0.000000
58,1917445.213826068,0.006103,0.407256,0.014560,-0.002563,0.004508,0.000088,0.000000,0.000000,0.000000
59,1917445.218769916,0.006090,0.407278,0.014561,-0.002559,0.004623,0.000172,0.000000,0.000000,0.000000
60,1917445.223713763,0.006078,0.407301,0.014562,-0.002648,0.004690,0.000248,0.000000,0.000000,0.000000
61,1917445.228627093,0.006065,0.407324,0.014563,-0.002747,0.004702,0.000301,0.000000,0.000000,0.000000
62,1917445.233570941,0.006051,0.407347,0.014564,-0.002837,0.004705,0.000414,0.000000,0.000000,0.000000
63,1917445.238514789,0.006037,0.407370,0.014566,-0.002894,0.004717,0.000403,0.000000,0.000000,0.000000
64,1917445.243458636,0.006023,0.407394,0.014568,-0.002952,0.004607,0.000332,0.000000,0.000000,0.000000
65,1917445.248402484,0.006008,0.407416,0.014570,-0.003069,0.004602,0.000359,0.000000,0.000000,0.000000
66,1917445.253315814,0.005993,0.407439,0.014572,-0.003080,0.004634,0.000239,0.000000,0.000000,0.000000
67,1917445.258259662,0.005978,0.407462,0.014573,-0.003038,0.004524,0.000213,0.000000,0.000000,0.000000
