,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,-0.014761,0.121915,-0.070776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,-0.014761,0.121915,-0.070776,-0.000158,0.000209,0.000008,0.000093,0.000027,-0.000330
2,1917444.932362445,-0.014762,0.121916,-0.070776,-0.000156,0.000465,-0.000025,0.000186,0.000054,-0.000660
3,1917444.937306293,-0.014764,0.121917,-0.070776,-0.000239,0.000726,0.000062,0.000278,0.000080,-0.000991
4,1917444.942250140,-0.014767,0.121920,-0.070776,-0.000408,0.000785,0.000115,0.000371,0.000107,-0.001321
5,1917444.947163470,-0.014770,0.121922,-0.070775,-0.000580,0.001013,0.000022,0.000463,0.000134,-0.001649
6,1917444.952107318,-0.014775,0.121925,-0.070775,-0.000626,0.001124,0.000032,0.000556,0.000160,-0.001979
7,1917444.957051166,-0.014781,0.121929,-0.070775,-0.000745,0.001217,0.000045,0.000649,0.000187,-0.002309
8,1917444.961995013,-0.014787,0.121932,-0.070775,-0.000790,0.001282,0.000064,0.000742,0.000214,-0.002640
9,1917444.966908343,-0.014793,0.121936,-0.070775,-0.000952,0.001365,0.000181,0.000834,0.000241,-0.002968
10,1917444.971852191,-0.014801,0.121940,-0.070774,-0.001022,0.001458,0.000139,0.000927,0.000267,-0.003298
11,1917444.976796039,-0.014808,0.121944,-0.070773,-0.001132,0.001485,0.000245,0.001019,0.000294,-0.003628
12,1917444.981739886,-0.014817,0.121947,-0.070772,-0.001128,0.001478,0.000275,0.001112,0.000321,-0.003958
13,1917444.986683734,-0.014825,0.121951,-0.070770,-0.001172,0.001524,0.000420,0.001205,0.000348,-0.004289
14,1917444.991658099,-0.014834,0.121955,-0.070768,-0.001188,0.001502,0.000609,0.001298,0.000375,-0.004621
15,1917444.996601947,-0.014843,0.121959,-0.070765,-0.001028,0.001531,0.000701,0.001391,0.000401,-0.004951
16,1917445.001515277,-0.014851,0.121963,-0.070762,-0.001072,0.001507,0.000718,0.001483,0.000428,-0.005279
17,1917445.006459125,-0.014859,0.121967,-0.070758,-0.001116,0.001490,0.000717,0.001576,0.000455,-0.005609
18,1917445.011372455,-0.014867,0.121971,-0.070754,-0.001018,0.001548,0.000758,0.001668,0.000481,-0.005937
19,1917445.016316302,-0.014875,0.121975,-0.070751,-0.001093,0.001573,0.000735,0.001761,0.000508,-0.006268
20,1917445.021260150,-0.014884,0.121979,-0.070747,-0.001245,0.001488,0.000790,0.001854,0.000535,-0.006598
21,1917445.026173480,-0.014892,0.121983,-0.070743,-0.001353,0.001438,0.000809,0.001946,0.000562,-0.006926
22,1917445.031117328,-0.014902,0.121986,-0.070739,-0.001510,0.001453,0.000685,0.002039,0.000588,-0.007256
23,1917445.036061175,-0.014912,0.121988,-0.070735,-0.001531,0.001399,0.000596,0.002131,0.000615,-0.007586
24,1917445.041005023,-0.014922,0.121991,-0.070732,-0.001449,0.001340,0.000445,0.002224,0.000642,-0.007917
25,1917445.045948871,-0.014931,0.121993,-0.070730,-0.001463,0.001479,0.000311,0.002317,0.000669,-0.008247
26,1917445.050862201,-0.014941,0.121996,-0.070728,-0.001382,0.001582,0.000166,0.002409,0.000695,-0.008575
27,1917445.055806049,-0.014951,0.122000,-0.070728,-0.001253,0.001809,0.000038,0.002502,0.000722,-0.008905
28,1917445.060749896,-0.014960,0.122005,-0.070727,-0.001174,0.001786,0.000054,0.002595,0.000749,-0.009235
29,1917445.065693744,-0.014970,0.122010,-0.070727,-0.001148,0.001886,0.000020,0.002687,0.000776,-0.009566
30,1917445.070607074,-0.014979,0.122015,-0.070727,-0.000984,0.001974,0.000048,0.002780,0.000802,-0.009894
31,1917445.075550922,-0.014988,0.122021,-0.070727,-0.000910,0.002030,0.000121,0.002872,0.000829,-0.010224
32,1917445.080494769,-0.014997,0.122028,-0.070726,-0.000888,0.002102,0.000099,0.002965,0.000856,-0.010554
33,1917445.085469134,-0.015006,0.122035,-0.070725,-0.000718,0.002289,0.000160,0.003058,0.000883,-0.010886
34,1917445.090382465,-0.015014,0.122043,-0.070725,-0.000538,0.002295,0.000376,0.003151,0.000909,-0.011215
35,1917445.095356830,-0.015022,0.122052,-0.070723,-0.000451,0.002256,0.000481,0.003244,0.000936,-0.011547
36,1917445.100300677,-0.015029,0.122060,-0.070720,-0.000332,0.002169,0.000597,0.003337,0.000963,-0.011877
37,1917445.105214008,-0.015036,0.122069,-0.070718,-0.000347,0.002114,0.000770,0.003429,0.000990,-0.012205
38,1917445.110157855,-0.015042,0.122077,-0.070714,-0.000358,0.002183,0.000993,0.003522,0.001017,-0.012535
39,1917445.115101703,-0.015049,0.122086,-0.070709,-0.000216,0.002264,0.001265,0.003614,0.001043,-0.012866
40,1917445.120045550,-0.015055,0.122095,-0.070703,-0.000063,0.002167,0.001366,0.003707,0.001070,-0.013196
41,1917445.124958881,-0.015061,0.122105,-0.070696,-0.000043,0.002227,0.001412,0.003799,0.001097,-0.013524
42,1917445.129902728,-0.015066,0.122114,-0.070689,0.000057,0.002453,0.001496,0.003892,0.001123,-0.013854
43,1917445.134846576,-0.015072,0.122125,-0.070682,0.000198,0.002583,0.001526,0.003985,0.001150,-0.014184
44,1917445.139790424,-0.015077,0.122137,-0.070674,0.000256,0.002803,0.001480,0.004078,0.001177,-0.014515
45,1917445.144734271,-0.015082,0.122150,-0.070667,0.000253,0.002846,0.001408,0.004171,0.001204,-0.014845
46,1917445.149678119,-0.015088,0.122163,-0.070660,0.000258,0.003012,0.001400,0.004263,0.001231,-0.015175
47,1917445.154591449,-0.015094,0.122176,-0.070653,0.000155,0.003280,0.001410,0.004355,0.001257,-0.015503
48,1917445.159535297,-0.015101,0.122191,-0.070647,0.000083,0.003301,0.001350,0.004448,0.001284,-0.015833
49,1917445.164479144,-0.015108,0.122206,-0.070640,-0.000031,0.003331,0.001284,0.004541,0.001311,-0.016163
50,1917445.169422992,-0.015116,0.122220,-0.070634,-0.000216,0.003411,0.001205,0.004634,0.001338,-0.016494
51,1917445.174336322,-0.015125,0.122234,-0.070628,-0.000284,0.003720,0.001078,0.004726,0.001364,-0.016822
52,1917445.179280170,-0.015135,0.122250,-0.070623,-0.000390,0.003959,0.000874,0.004819,0.001391,-0.017152
53,1917445.189167865,-0.015157,0.122282,-0.070614,-0.000603,0.004694,0.000512,0.005004,0.001444,-0.017812
54,1917445.194081195,-0.015171,0.122301,-0.070612,-0.000592,0.005120,0.000514,0.005096,0.001471,-0.018141
55,1917445.199025043,-0.015186,0.122322,-0.070609,-0.000699,0.005510,0.000574,0.005189,0.001498,-0.018471
56,1917445.203968890,-0.015202,0.122344,-0.070606,-0.000559,0.005916,0.000576,0.005282,0.001525,-0.018801
57,1917445.208912738,-0.015218,0.122369,-0.070604,-0.000558,0.006223,0.000666,0.005375,0.001551,-0.019131
58,1917445.213826068,-0.015236,0.122394,-0.070601,-0.000555,0.006489,0.000769,0.005467,0.001578,-0.019459
59,1917445.218769916,-0.015253,0.122421,-0.070597,-0.000481,0.006672,0.000876,0.005560,0.001605,-0.019790
60,1917445.223713763,-0.015271,0.122449,-0.070593,-0.000500,0.006809,0.000976,0.005653,0.001632,-0.020120
61,1917445.228627093,-0.015290,0.122477,-0.070588,-0.000527,0.006891,0.001054,0.005745,0.001658,-0.020448
62,1917445.233570941,-0.015308,0.122506,-0.070583,-0.000544,0.006965,0.001191,0.005837,0.001685,-0.020778
63,1917445.238514789,-0.015327,0.122535,-0.070577,-0.000527,0.007050,0.001206,0.005930,0.001712,-0.021108
64,1917445.243458636,-0.015346,0.122564,-0.070571,-0.000510,0.007014,0.001160,0.006023,0.001738,-0.021439
65,1917445.248402484,-0.015365,0.122593,-0.070566,-0.000550,0.007085,0.001214,0.006116,0.001765,-0.021769
66,1917445.253315814,-0.015384,0.122622,-0.070560,-0.000483,0.007192,0.001120,0.006208,0.001792,-0.022097
67,1917445.258259662,-0.015403,0.122652,-0.070555,-0.000363,0.007160,0.001121,0.006301,0.001819,-0.022427
68,1917445.263203509,-0.015422,0.122683,-0.070549,-0.000298,0.007175,0.001153,0.006393,0.001845,-0.022757
69,1917445.268177875,-0.015440,0.122713,-0.070544,-0.000159,0.007377,0.001250,0.006487,0.001872,-0.023090
70,1917445.273091205,-0.015458,0.122745,-0.070538,0.000055,0.007470,0.001306,0.006579,0.001899,-0.023418
71,1917445.278035052,-0.015476,0.122777,-0.070531,0.000232,0.007677,0.001289,0.006672,0.001926,-0.023748
72,1917445.282948383,-0.015493,0.122811,-0.070525,0.000398,0.007909,0.001451,0.006764,0.001952,-0.024076
73,1917445.287892230,-0.015510,0.122846,-0.070518,0.000258,0.007981,0.001619,0.006857,0.001979,-0.024406
74,1917445.292836078,-0.015528,0.122882,-0.070511,0.000245,0.008017,0.001677,0.006950,0.002006,-0.024736
75,1917445.297779925,-0.015546,0.122917,-0.070502,0.000381,0.008204,0.001644,0.007042,0.002033,-0.025067
76,1917445.302723773,-0.015564,0.122953,-0.070495,0.000357,0.008464,0.001493,0.007135,0.002059,-0.025397
77,1917445.307667621,-0.015582,0.122991,-0.070487,0.000369,0.008632,0.001476,0.007228,0.002086,-0.025727
78,1917445.312580951,-0.015601,0.123029,-0.070480,0.000480,0.008897,0.001426,0.007320,0.002113,-0.026055
79,1917445.317524799,-0.015620,0.123069,-0.070474,0.000593,0.009019,0.001342,0.007413,0.002140,-0.026385
80,1917445.322468646,-0.015639,0.123110,-0.070467,0.000681,0.009313,0.001298,0.007506,0.002166,-0.026716
81,1917445.327412494,-0.015658,0.123152,-0.070461,0.000803,0.009649,0.001198,0.007598,0.002193,-0.027046
82,1917445.332325824,-0.015677,0.123195,-0.070456,0.000956,0.009918,0.001079,0.007691,0.002220,-0.027374
83,1917445.337269672,-0.015697,0.123240,-0.070451,0.000965,0.010198,0.000951,0.007783,0.002247,-0.027704
84,1917445.342213519,-0.015717,0.123287,-0.070446,0.000965,0.010300,0.000806,0.007876,0.002273,-0.028034
85,1917445.347157367,-0.015737,0.123334,-0.070443,0.000980,0.010421,0.000837,0.007969,0.002300,-0.028365
86,1917445.352101215,-0.015758,0.123381,-0.070439,0.001102,0.010453,0.000887,0.008062,0.002327,-0.028695
87,1917445.357045062,-0.015778,0.123429,-0.070435,0.001200,0.010448,0.000935,0.008154,0.002354,-0.029025
88,1917445.361958392,-0.015797,0.123477,-0.070431,0.001186,0.010595,0.001057,0.008247,0.002380,-0.029353
89,1917445.366902240,-0.015817,0.123526,-0.070426,0.001087,0.010700,0.001220,0.008339,0.002407,-0.029683
90,1917445.371846088,-0.015838,0.123575,-0.070420,0.001018,0.010993,0.001294,0.008432,0.002434,-0.030014
91,1917445.376789935,-0.015860,0.123625,-0.070414,0.001052,0.011361,0.001184,0.008525,0.002461,-0.030344
92,1917445.381733783,-0.015882,0.123677,-0.070409,0.001084,0.011687,0.001191,0.008618,0.002487,-0.030674
93,1917445.386677631,-0.015905,0.123730,-0.070403,0.001166,0.011931,0.001258,0.008710,0.002514,-0.031004
94,1917445.391590961,-0.015929,0.123784,-0.070397,0.001274,0.012175,0.001221,0.008803,0.002541,-0.031332
95,1917445.396565326,-0.015952,0.123841,-0.070392,0.001325,0.012510,0.001319,0.008896,0.002568,-0.031665
96,1917445.401478656,-0.015976,0.123898,-0.070386,0.001388,0.012625,0.001314,0.008988,0.002594,-0.031993
97,1917445.406453021,-0.016000,0.123956,-0.070380,0.001522,0.012692,0.001249,0.009081,0.002621,-0.032325
98,1917445.411396869,-0.016024,0.124015,-0.070374,0.001699,0.012794,0.001237,0.009174,0.002648,-0.032655
99,1917445.416310199,-0.016047,0.124074,-0.070368,0.001915,0.012782,0.001253,0.009266,0.002675,-0.032983
100,1917445.421254047,-0.016069,0.124134,-0.070362,0.002113,0.012680,0.001167,0.009359,0.002701,-0.033313
101,1917445.426197894,-0.016090,0.124194,-0.070357,0.002298,0.012645,0.001036,0.009452,0.002728,-0.033644
102,1917445.431141742,-0.016110,0.124254,-0.070353,0.002337,0.012779,0.001017,0.009545,0.002755,-0.033974
103,1917445.436055072,-0.016130,0.124315,-0.070348,0.002371,0.012802,0.000962,0.009637,0.002782,-0.034302
104,1917445.440998920,-0.016150,0.124376,-0.070344,0.002497,0.012878,0.000896,0.009730,0.002808,-0.034632
105,1917445.445942767,-0.016170,0.124438,-0.070340,0.002633,0.012944,0.000753,0.009822,0.002835,-0.034962
106,1917445.450886615,-0.016190,0.124500,-0.070337,0.002690,0.013205,0.000616,0.009915,0.002862,-0.035293
107,1917445.455830463,-0.016209,0.124564,-0.070334,0.002771,0.013618,0.000621,0.010008,0.002889,-0.035623
108,1917445.460743793,-0.016230,0.124629,-0.070332,0.002820,0.013987,0.000631,0.010100,0.002915,-0.035951
109,1917445.465687640,-0.016251,0.124696,-0.070329,0.002636,0.014278,0.000728,0.010193,0.002942,-0.036281
110,1917445.470631488,-0.016273,0.124764,-0.070326,0.002699,0.014611,0.000807,0.010286,0.002969,-0.036611
111,1917445.475575336,-0.016296,0.124834,-0.070323,0.002563,0.015005,0.000991,0.010378,0.002996,-0.036942
112,1917445.480519183,-0.016321,0.124905,-0.070319,0.002459,0.015301,0.001295,0.010471,0.003022,-0.037272
113,1917445.485463031,-0.016347,0.124978,-0.070313,0.002297,0.015559,0.001408,0.010564,0.003049,-0.037602
114,1917445.490376361,-0.016374,0.125050,-0.070306,0.002224,0.015836,0.001489,0.010656,0.003076,-0.037930
115,1917445.495289691,-0.016402,0.125124,-0.070300,0.001966,0.016174,0.001636,0.010748,0.003102,-0.038258
116,1917445.500233539,-0.016432,0.125198,-0.070292,0.001755,0.016470,0.001802,0.010841,0.003129,-0.038589
117,1917445.505177386,-0.016463,0.125274,-0.070284,0.001525,0.016750,0.001875,0.010934,0.003156,-0.038919
118,1917445.510121234,-0.016496,0.125350,-0.070275,0.001310,0.016904,0.002026,0.011027,0.003183,-0.039249
119,1917445.515065082,-0.016531,0.125427,-0.070266,0.001050,0.016981,0.002110,0.011119,0.003210,-0.039579
120,1917445.520008929,-0.016567,0.125503,-0.070256,0.000849,0.017126,0.002163,0.011212,0.003236,-0.039909
121,1917445.524952777,-0.016604,0.125579,-0.070246,0.000740,0.017235,0.002330,0.011305,0.003263,-0.040240
122,1917445.529896625,-0.016641,0.125656,-0.070235,0.000534,0.017400,0.002552,0.011398,0.003290,-0.040570
123,1917445.534840472,-0.016680,0.125733,-0.070223,0.000361,0.017702,0.002656,0.011491,0.003317,-0.040900
124,1917445.539753802,-0.016721,0.125810,-0.070210,0.000237,0.018032,0.002763,0.011583,0.003343,-0.041228
125,1917445.544697650,-0.016762,0.125889,-0.070197,0.000107,0.018312,0.002888,0.011675,0.003370,-0.041558
126,1917445.549641498,-0.016805,0.125969,-0.070183,0.000008,0.018531,0.002998,0.011768,0.003397,-0.041888
127,1917445.554585345,-0.016849,0.126049,-0.070169,-0.000193,0.018668,0.003143,0.011861,0.003424,-0.042219
128,1917445.559529193,-0.016895,0.126130,-0.070154,-0.000319,0.018931,0.003208,0.011954,0.003450,-0.042549
129,1917445.564473041,-0.016941,0.126211,-0.070138,-0.000641,0.019206,0.003192,0.012047,0.003477,-0.042879
130,1917445.569386371,-0.016989,0.126292,-0.070123,-0.000772,0.019516,0.003196,0.012139,0.003504,-0.043207
131,1917445.574299701,-0.017038,0.126375,-0.070108,-0.001075,0.019869,0.003194,0.012231,0.003530,-0.043535
132,1917445.579274066,-0.017090,0.126459,-0.070092,-0.001200,0.020044,0.003257,0.012324,0.003557,-0.043868
133,1917445.584217914,-0.017143,0.126543,-0.070077,-0.001226,0.020206,0.003378,0.012417,0.003584,-0.044198
134,1917445.589161761,-0.017197,0.126628,-0.070060,-0.001201,0.020446,0.003418,0.012510,0.003611,-0.044528
135,1917445.594105609,-0.017250,0.126714,-0.070044,-0.001286,0.020654,0.003401,0.012603,0.003638,-0.044858
136,1917445.599049457,-0.017305,0.126800,-0.070027,-0.001302,0.020841,0.003361,0.012695,0.003664,-0.045188
137,1917445.603993304,-0.017360,0.126888,-0.070011,-0.001237,0.021126,0.003408,0.012788,0.003691,-0.045519
138,1917445.608876117,-0.017415,0.126975,-0.069995,-0.001197,0.021279,0.003515,0.012880,0.003718,-0.045845
139,1917445.613850482,-0.017471,0.127065,-0.069978,-0.001225,0.021468,0.003604,0.012973,0.003745,-0.046177
140,1917445.618794330,-0.017527,0.127156,-0.069961,-0.001186,0.021643,0.003750,0.013066,0.003771,-0.046507
141,1917445.623738177,-0.017584,0.127247,-0.069943,-0.001247,0.021814,0.003951,0.013159,0.003798,-0.046837
142,1917445.628682025,-0.017641,0.127339,-0.069923,-0.001105,0.022013,0.004037,0.013251,0.003825,-0.047168
143,1917445.633625873,-0.017698,0.127432,-0.069904,-0.001003,0.022029,0.004166,0.013344,0.003852,-0.047498
144,1917445.638569720,-0.017754,0.127525,-0.069884,-0.000893,0.022144,0.004342,0.013437,0.003878,-0.047828
145,1917445.643513568,-0.017811,0.127619,-0.069863,-0.000709,0.022294,0.004492,0.013530,0.003905,-0.048158
146,1917445.648457416,-0.017867,0.127714,-0.069841,-0.000555,0.022435,0.004617,0.013622,0.003932,-0.048488
147,1917445.653370746,-0.017922,0.127810,-0.069819,-0.000384,0.022570,0.004742,0.013715,0.003959,-0.048817
148,1917445.658314593,-0.017977,0.127907,-0.069796,-0.000009,0.022748,0.004816,0.013807,0.003985,-0.049147
149,1917445.663258441,-0.018031,0.128006,-0.069773,0.000465,0.022776,0.004980,0.013900,0.004012,-0.049477
150,1917445.668202289,-0.018083,0.128106,-0.069749,0.000907,0.022837,0.004978,0.013993,0.004039,-0.049807
151,1917445.673115619,-0.018133,0.128206,-0.069725,0.001411,0.022834,0.005071,0.014085,0.004066,-0.050135
152,1917445.678059467,-0.018181,0.128309,-0.069701,0.001809,0.022785,0.005050,0.014178,0.004092,-0.050466
153,1917445.683003314,-0.018227,0.128412,-0.069677,0.002283,0.022761,0.004905,0.014271,0.004119,-0.050796
154,1917445.687947162,-0.018271,0.128517,-0.069653,0.002606,0.022801,0.004765,0.014363,0.004146,-0.051126
155,1917445.692891009,-0.018314,0.128622,-0.069630,0.003017,0.022888,0.004660,0.014456,0.004173,-0.051456
156,1917445.697834857,-0.018355,0.128728,-0.069608,0.003333,0.022898,0.004584,0.014549,0.004199,-0.051786
157,1917445.702748187,-0.018395,0.128835,-0.069587,0.003691,0.022789,0.004514,0.014641,0.004226,-0.052114
158,1917445.707692035,-0.018433,0.128943,-0.069565,0.003941,0.022908,0.004434,0.014734,0.004253,-0.052445
159,1917445.712635883,-0.018470,0.129052,-0.069544,0.004265,0.023048,0.004412,0.014827,0.004280,-0.052775
160,1917445.717579730,-0.018507,0.129162,-0.069523,0.004530,0.022955,0.004431,0.014919,0.004306,-0.053105
161,1917445.722523578,-0.018542,0.129273,-0.069502,0.004630,0.022924,0.004290,0.015012,0.004333,-0.053435
162,1917445.727436908,-0.018576,0.129382,-0.069482,0.004760,0.022902,0.004289,0.015104,0.004360,-0.053763
163,1917445.732380756,-0.018609,0.129493,-0.069462,0.004956,0.023187,0.004239,0.015197,0.004387,-0.054094
164,1917445.737324603,-0.018643,0.129606,-0.069442,0.005156,0.023310,0.004214,0.015290,0.004413,-0.054424
165,1917445.742268451,-0.018676,0.129719,-0.069422,0.005280,0.023401,0.004222,0.015383,0.004440,-0.054754
166,1917445.747212299,-0.018709,0.129833,-0.069402,0.005423,0.023408,0.004175,0.015476,0.004467,-0.055084
167,1917445.752125629,-0.018740,0.129947,-0.069383,0.005598,0.023461,0.004256,0.015568,0.004494,-0.055412
168,1917445.757069476,-0.018772,0.130063,-0.069363,0.005732,0.023538,0.004453,0.015660,0.004520,-0.055743
169,1917445.762013324,-0.018803,0.130178,-0.069342,0.005960,0.023688,0.004668,0.015753,0.004547,-0.056073
170,1917445.766957172,-0.018833,0.130295,-0.069320,0.006236,0.023824,0.004887,0.015846,0.004574,-0.056403
171,1917445.771901019,-0.018863,0.130414,-0.069297,0.006395,0.024051,0.005210,0.015939,0.004601,-0.056733
172,1917445.776814349,-0.018892,0.130533,-0.069273,0.006717,0.024233,0.005452,0.016031,0.004627,-0.057061
173,1917445.781758197,-0.018920,0.130654,-0.069247,0.006910,0.024424,0.005700,0.016124,0.004654,-0.057392
174,1917445.786702045,-0.018948,0.130777,-0.069220,0.007103,0.024619,0.005932,0.016217,0.004681,-0.057722
175,1917445.791615375,-0.018976,0.130900,-0.069192,0.007244,0.024837,0.006026,0.016309,0.004707,-0.058050
176,1917445.796559222,-0.019003,0.131025,-0.069163,0.007446,0.024994,0.006210,0.016401,0.004734,-0.058380
177,1917445.801472552,-0.019030,0.131151,-0.069134,0.007667,0.025091,0.006358,0.016494,0.004761,-0.058708
178,1917445.806416400,-0.019056,0.131278,-0.069104,0.007993,0.025159,0.006550,0.016586,0.004788,-0.059038
179,1917445.811360248,-0.019081,0.131406,-0.069073,0.008343,0.025246,0.006680,0.016679,0.004814,-0.059369
180,1917445.816304095,-0.019105,0.131536,-0.069041,0.008464,0.025380,0.006722,0.016772,0.004841,-0.059699
181,1917445.821247943,-0.019128,0.131667,-0.069009,0.008859,0.025518,0.006867,0.016865,0.004868,-0.060029
182,1917445.826161273,-0.019150,0.131798,-0.068977,0.009264,0.025646,0.007026,0.016957,0.004895,-0.060357
183,1917445.831105121,-0.019171,0.131931,-0.068944,0.009658,0.025791,0.007106,0.017050,0.004921,-0.060687
184,1917445.836048968,-0.019190,0.132067,-0.068910,0.010140,0.025855,0.007162,0.017142,0.004948,-0.061018
185,1917445.840992816,-0.019207,0.132203,-0.068876,0.010724,0.025977,0.007184,0.017235,0.004975,-0.061348
186,1917445.845936664,-0.019222,0.132342,-0.068842,0.011213,0.026119,0.007151,0.017328,0.005002,-0.061678
187,1917445.850849994,-0.019236,0.132481,-0.068809,0.011782,0.026201,0.007092,0.017420,0.005028,-0.062006
188,1917445.855793842,-0.019247,0.132623,-0.068775,0.012376,0.026197,0.007033,0.017513,0.005055,-0.062336
189,1917445.860737689,-0.019255,0.132767,-0.068742,0.012835,0.026290,0.006988,0.017120,0.005048,-0.061982
190,1917445.865681537,-0.019262,0.132911,-0.068709,0.013311,0.026567,0.006892,0.016726,0.005041,-0.061628
191,1917445.870625384,-0.019267,0.133059,-0.068677,0.013893,0.026719,0.006855,0.016333,0.005034,-0.061274
192,1917445.875569232,-0.019270,0.133208,-0.068645,0.014254,0.026905,0.006774,0.015939,0.005027,-0.060920
193,1917445.880482562,-0.019272,0.133358,-0.068613,0.014587,0.027135,0.006754,0.015548,0.005020,-0.060569
194,1917445.885426410,-0.019273,0.133511,-0.068582,0.014921,0.027383,0.006757,0.015155,0.005013,-0.060215
195,1917445.890339740,-0.019274,0.133664,-0.068551,0.015041,0.027745,0.006776,0.014764,0.005006,-0.059863
196,1917445.895253070,-0.019274,0.133820,-0.068519,0.015137,0.028125,0.006881,0.014373,0.004999,-0.059511
197,1917445.900196918,-0.019275,0.133978,-0.068487,0.015287,0.028599,0.007037,0.013979,0.004991,-0.059157
198,1917445.905140765,-0.019277,0.134139,-0.068455,0.015529,0.029120,0.007322,0.013586,0.004984,-0.058803
199,1917445.910084613,-0.019279,0.134302,-0.068420,0.015605,0.029684,0.007430,0.013192,0.004977,-0.058449
200,1917445.915028461,-0.019281,0.134469,-0.068386,0.015617,0.030115,0.007524,0.012799,0.004970,-0.058095
201,1917445.919972308,-0.019285,0.134637,-0.068351,0.015588,0.030401,0.007636,0.011487,0.004676,-0.057939
202,1917445.924916156,-0.019290,0.134806,-0.068315,0.015428,0.030719,0.007730,0.010175,0.004381,-0.057783
203,1917445.929829486,-0.019295,0.134975,-0.068279,0.015159,0.031085,0.007808,0.008871,0.004089,-0.057629
204,1917445.934773334,-0.019303,0.135146,-0.068242,0.015125,0.031561,0.007935,0.007559,0.003794,-0.057473
205,1917445.939717181,-0.019313,0.135320,-0.068205,0.015265,0.032159,0.007980,0.006247,0.003500,-0.057317
206,1917445.944661029,-0.019323,0.135496,-0.068168,0.015307,0.032751,0.007847,0.004934,0.003205,-0.057161
207,1917445.949604877,-0.019334,0.135675,-0.068131,0.015404,0.033575,0.007890,0.003622,0.002911,-0.057006
208,1917445.954518207,-0.019347,0.135856,-0.068095,0.015410,0.034500,0.007893,0.002318,0.002618,-0.056851
209,1917445.959462054,-0.019362,0.136043,-0.068058,0.015363,0.035543,0.007912,0.001006,0.002324,-0.056695
210,1917445.964405902,-0.019380,0.136234,-0.068021,0.015319,0.036814,0.007994,-0.000306,0.002029,-0.056539
211,1917445.969349750,-0.019401,0.136430,-0.067983,0.015053,0.038122,0.007949,-0.001618,0.001735,-0.056384
212,1917445.974293597,-0.019426,0.136632,-0.067946,0.014846,0.039284,0.007917,-0.002930,0.001441,-0.056228
