,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,0.439535,-0.360856,-0.090043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,0.439535,-0.360856,-0.090043,0.000159,-0.000209,0.000008,0.000070,0.000089,0.000110
2,1917444.932362445,0.439534,-0.360856,-0.090043,0.000159,-0.000463,-0.000025,0.000139,0.000179,0.000220
3,1917444.937306293,0.439531,-0.360855,-0.090043,0.000244,-0.000720,0.000062,0.000209,0.000268,0.000330
4,1917444.942250140,0.439528,-0.360853,-0.090043,0.000417,-0.000773,0.000116,0.000279,0.000357,0.000440
5,1917444.947163470,0.439524,-0.360852,-0.090042,0.000596,-0.000994,0.000023,0.000348,0.000446,0.000550
6,1917444.952107318,0.439518,-0.360851,-0.090042,0.000648,-0.001095,0.000032,0.000418,0.000535,0.000660
7,1917444.957051166,0.439512,-0.360850,-0.090042,0.000775,-0.001177,0.000045,0.000487,0.000624,0.000770
8,1917444.961995013,0.439505,-0.360849,-0.090042,0.000828,-0.001228,0.000064,0.000557,0.000713,0.000880
9,1917444.966908343,0.439498,-0.360848,-0.090041,0.001000,-0.001297,0.000181,0.000626,0.000802,0.000989
10,1917444.971852191,0.439490,-0.360847,-0.090040,0.001081,-0.001373,0.000139,0.000696,0.000891,0.001099
11,1917444.976796039,0.439481,-0.360847,-0.090039,0.001203,-0.001381,0.000246,0.000765,0.000981,0.001209
12,1917444.981739886,0.439472,-0.360846,-0.090038,0.001213,-0.001355,0.000276,0.000835,0.001070,0.001319
13,1917444.986683734,0.439463,-0.360846,-0.090036,0.001272,-0.001378,0.000421,0.000905,0.001159,0.001430
14,1917444.991658099,0.439454,-0.360846,-0.090034,0.001303,-0.001332,0.000610,0.000975,0.001249,0.001540
15,1917444.996601947,0.439445,-0.360847,-0.090031,0.001161,-0.001336,0.000703,0.001045,0.001338,0.001650
16,1917445.001515277,0.439436,-0.360846,-0.090027,0.001223,-0.001284,0.000720,0.001114,0.001427,0.001760
17,1917445.006459125,0.439427,-0.360847,-0.090024,0.001287,-0.001238,0.000719,0.001183,0.001516,0.001870
18,1917445.011372455,0.439419,-0.360847,-0.090020,0.001209,-0.001266,0.000760,0.001253,0.001605,0.001979
19,1917445.016316302,0.439410,-0.360847,-0.090016,0.001307,-0.001258,0.000738,0.001322,0.001694,0.002089
20,1917445.021260150,0.439401,-0.360848,-0.090012,0.001481,-0.001138,0.000793,0.001392,0.001783,0.002199
21,1917445.026173480,0.439392,-0.360849,-0.090008,0.001614,-0.001050,0.000812,0.001461,0.001872,0.002309
22,1917445.031117328,0.439383,-0.360852,-0.090004,0.001797,-0.001027,0.000688,0.001531,0.001961,0.002419
23,1917445.036061175,0.439374,-0.360855,-0.090000,0.001845,-0.000933,0.000599,0.001601,0.002051,0.002529
24,1917445.041005023,0.439364,-0.360858,-0.089997,0.001790,-0.000832,0.000449,0.001670,0.002140,0.002639
25,1917445.045948871,0.439355,-0.360862,-0.089995,0.001835,-0.000927,0.000315,0.001740,0.002229,0.002749
26,1917445.050862201,0.439346,-0.360866,-0.089993,0.001784,-0.000985,0.000170,0.001809,0.002318,0.002858
27,1917445.055806049,0.439336,-0.360869,-0.089992,0.001687,-0.001165,0.000043,0.001879,0.002407,0.002968
28,1917445.060749896,0.439326,-0.360871,-0.089991,0.001642,-0.001093,0.000059,0.001949,0.002496,0.003079
29,1917445.065693744,0.439317,-0.360874,-0.089991,0.001650,-0.001142,0.000026,0.002018,0.002586,0.003189
30,1917445.070607074,0.439307,-0.360876,-0.089991,0.001521,-0.001178,0.000054,0.002087,0.002674,0.003298
31,1917445.075550922,0.439298,-0.360878,-0.089990,0.001485,-0.001179,0.000128,0.002157,0.002764,0.003408
32,1917445.080494769,0.439289,-0.360879,-0.089989,0.001501,-0.001194,0.000106,0.002227,0.002853,0.003518
33,1917445.085469134,0.439279,-0.360881,-0.089989,0.001371,-0.001323,0.000167,0.002297,0.002943,0.003629
34,1917445.090382465,0.439270,-0.360881,-0.089988,0.001231,-0.001270,0.000383,0.002366,0.003031,0.003738
35,1917445.095356830,0.439261,-0.360882,-0.089985,0.001186,-0.001169,0.000488,0.002436,0.003121,0.003849
36,1917445.100300677,0.439253,-0.360882,-0.089983,0.001110,-0.001018,0.000605,0.002506,0.003210,0.003959
37,1917445.105214008,0.439246,-0.360883,-0.089980,0.001168,-0.000898,0.000779,0.002575,0.003299,0.004068
38,1917445.110157855,0.439239,-0.360884,-0.089976,0.001225,-0.000899,0.001003,0.002645,0.003388,0.004179
39,1917445.115101703,0.439231,-0.360885,-0.089971,0.001130,-0.000912,0.001275,0.002714,0.003478,0.004289
40,1917445.120045550,0.439224,-0.360886,-0.089964,0.001024,-0.000744,0.001376,0.002784,0.003567,0.004399
41,1917445.124958881,0.439218,-0.360887,-0.089957,0.001054,-0.000732,0.001423,0.002853,0.003656,0.004508
42,1917445.129902728,0.439212,-0.360889,-0.089950,0.001004,-0.000883,0.001507,0.002923,0.003745,0.004618
43,1917445.134846576,0.439206,-0.360889,-0.089943,0.000916,-0.000936,0.001538,0.002993,0.003834,0.004728
44,1917445.139790424,0.439200,-0.360889,-0.089935,0.000911,-0.001079,0.001492,0.003062,0.003923,0.004838
45,1917445.144734271,0.439193,-0.360889,-0.089927,0.000968,-0.001041,0.001420,0.003132,0.004013,0.004948
46,1917445.149678119,0.439186,-0.360889,-0.089920,0.001019,-0.001125,0.001413,0.003202,0.004102,0.005058
47,1917445.154591449,0.439178,-0.360889,-0.089913,0.001179,-0.001310,0.001423,0.003271,0.004191,0.005168
