,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,0.198478,0.077745,-0.070640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,0.198478,0.077745,-0.070640,-0.000158,0.000209,0.000008,0.000715,-0.000070,-0.000360
2,1917444.932362445,0.198477,0.077744,-0.070640,-0.000154,0.000464,-0.000025,0.001429,-0.000139,-0.000719
3,1917444.937306293,0.198475,0.077742,-0.070640,-0.000230,0.000722,0.000062,0.002144,-0.000209,-0.001079
4,1917444.942250140,0.198473,0.077739,-0.070640,-0.000391,0.000776,0.000115,0.002859,-0.000278,-0.001438
5,1917444.947163470,0.198470,0.077736,-0.070639,-0.000553,0.000999,0.000022,0.003569,-0.000347,-0.001796
6,1917444.952107318,0.198468,0.077731,-0.070639,-0.000585,0.001103,0.000031,0.004284,-0.000417,-0.002155
7,1917444.957051166,0.198464,0.077726,-0.070638,-0.000687,0.001188,0.000044,0.004999,-0.000486,-0.002515
8,1917444.961995013,0.198461,0.077720,-0.070638,-0.000712,0.001242,0.000063,0.005713,-0.000556,-0.002874
9,1917444.966908343,0.198457,0.077714,-0.070638,-0.000852,0.001314,0.000180,0.006424,-0.000625,-0.003232
10,1917444.971852191,0.198454,0.077707,-0.070637,-0.000898,0.001395,0.000137,0.007139,-0.000694,-0.003591
11,1917444.976796039,0.198450,0.077700,-0.070636,-0.000980,0.001407,0.000243,0.007853,-0.000764,-0.003951
12,1917444.981739886,0.198446,0.077692,-0.070635,-0.000946,0.001385,0.000272,0.008568,-0.000834,-0.004310
13,1917444.986683734,0.198443,0.077685,-0.070633,-0.000956,0.001413,0.000417,0.009283,-0.000903,-0.004670
14,1917444.991658099,0.198439,0.077677,-0.070631,-0.000936,0.001373,0.000606,0.010002,-0.000973,-0.005032
15,1917444.996601947,0.198435,0.077670,-0.070628,-0.000737,0.001382,0.000697,0.010717,-0.001043,-0.005391
16,1917445.001515277,0.198431,0.077663,-0.070624,-0.000740,0.001336,0.000714,0.011427,-0.001112,-0.005749
17,1917445.006459125,0.198427,0.077657,-0.070620,-0.000740,0.001297,0.000712,0.012142,-0.001181,-0.006108
18,1917445.011372455,0.198424,0.077651,-0.070617,-0.000595,0.001331,0.000752,0.012852,-0.001250,-0.006466
19,1917445.016316302,0.198419,0.077645,-0.070613,-0.000620,0.001331,0.000729,0.013567,-0.001320,-0.006825
20,1917445.021260150,0.198415,0.077639,-0.070609,-0.000719,0.001218,0.000783,0.014281,-0.001389,-0.007185
21,1917445.026173480,0.198412,0.077633,-0.070605,-0.000773,0.001140,0.000801,0.014992,-0.001458,-0.007542
22,1917445.031117328,0.198409,0.077627,-0.070601,-0.000871,0.001125,0.000676,0.015707,-0.001528,-0.007902
23,1917445.036061175,0.198406,0.077621,-0.070598,-0.000832,0.001040,0.000586,0.016421,-0.001598,-0.008261
24,1917445.041005023,0.198404,0.077615,-0.070595,-0.000686,0.000948,0.000435,0.017136,-0.001667,-0.008621
25,1917445.045948871,0.198401,0.077609,-0.070593,-0.000634,0.001053,0.000300,0.017851,-0.001737,-0.008980
26,1917445.050862201,0.198398,0.077604,-0.070591,-0.000483,0.001121,0.000153,0.018561,-0.001806,-0.009338
27,1917445.055806049,0.198395,0.077599,-0.070590,-0.000283,0.001310,0.000025,0.019276,-0.001875,-0.009697
28,1917445.060749896,0.198390,0.077595,-0.070590,-0.000129,0.001249,0.000039,0.019991,-0.001945,-0.010057
29,1917445.065693744,0.198385,0.077591,-0.070590,-0.000026,0.001309,0.000005,0.020705,-0.002014,-0.010417
30,1917445.070607074,0.198379,0.077588,-0.070589,0.000219,0.001356,0.000032,0.021416,-0.002083,-0.010774
31,1917445.075550922,0.198373,0.077586,-0.070589,0.000375,0.001370,0.000104,0.022130,-0.002153,-0.011133
32,1917445.080494769,0.198366,0.077584,-0.070589,0.000483,0.001397,0.000080,0.022845,-0.002223,-0.011493
33,1917445.085469134,0.198359,0.077583,-0.070588,0.000742,0.001538,0.000140,0.023564,-0.002292,-0.011855
34,1917445.090382465,0.198350,0.077582,-0.070587,0.001013,0.001498,0.000354,0.024275,-0.002362,-0.012212
35,1917445.095356830,0.198341,0.077583,-0.070585,0.001195,0.001410,0.000458,0.024994,-0.002432,-0.012574
36,1917445.100300677,0.198333,0.077585,-0.070583,0.001410,0.001273,0.000573,0.025708,-0.002501,-0.012934
37,1917445.105214008,0.198324,0.077588,-0.070580,0.001494,0.001167,0.000744,0.026419,-0.002570,-0.013291
38,1917445.110157855,0.198315,0.077591,-0.070576,0.001586,0.001183,0.000966,0.027133,-0.002640,-0.013650
39,1917445.115101703,0.198306,0.077595,-0.070572,0.001832,0.001211,0.001236,0.027848,-0.002709,-0.014010
40,1917445.120045550,0.198297,0.077600,-0.070565,0.002094,0.001058,0.001336,0.028563,-0.002779,-0.014370
41,1917445.124958881,0.198287,0.077607,-0.070559,0.002223,0.001061,0.001381,0.029273,-0.002848,-0.014727
42,1917445.129902728,0.198277,0.077614,-0.070552,0.002437,0.001229,0.001463,0.029988,-0.002917,-0.015087
43,1917445.134846576,0.198266,0.077621,-0.070545,0.002694,0.001298,0.001491,0.030703,-0.002987,-0.015446
44,1917445.139790424,0.198254,0.077630,-0.070537,0.002871,0.001457,0.001444,0.031418,-0.003056,-0.015806
45,1917445.144734271,0.198241,0.077639,-0.070530,0.002989,0.001437,0.001370,0.032132,-0.003126,-0.016165
46,1917445.149678119,0.198227,0.077648,-0.070523,0.003119,0.001539,0.001360,0.032847,-0.003196,-0.016525
47,1917445.154591449,0.198213,0.077658,-0.070517,0.003142,0.001742,0.001368,0.033557,-0.003265,-0.016882
48,1917445.159535297,0.198198,0.077667,-0.070510,0.003200,0.001696,0.001307,0.034272,-0.003334,-0.017242
49,1917445.164479144,0.198183,0.077677,-0.070503,0.003219,0.001657,0.001239,0.034987,-0.003404,-0.017601
50,1917445.169422992,0.198168,0.077687,-0.070497,0.003169,0.001666,0.001158,0.035702,-0.003473,-0.017961
51,1917445.174336322,0.198154,0.077697,-0.070491,0.003238,0.001904,0.001029,0.036412,-0.003542,-0.018318
52,1917445.179280170,0.198138,0.077706,-0.070486,0.003273,0.002070,0.000824,0.037127,-0.003612,-0.018678
53,1917445.189167865,0.198104,0.077724,-0.070478,0.003348,0.002657,0.000457,0.038556,-0.003751,-0.019397
54,1917445.194081195,0.198084,0.077732,-0.070476,0.003507,0.003006,0.000457,0.039266,-0.003820,-0.019754
55,1917445.199025043,0.198063,0.077740,-0.070473,0.003551,0.003317,0.000515,0.039981,-0.003890,-0.020114
56,1917445.203968890,0.198040,0.077747,-0.070470,0.003847,0.003643,0.000515,0.040696,-0.003959,-0.020473
57,1917445.208912738,0.198015,0.077755,-0.070468,0.004005,0.003869,0.000603,0.041411,-0.004029,-0.020833
58,1917445.213826068,0.197989,0.077762,-0.070465,0.004167,0.004051,0.000704,0.042121,-0.004098,-0.021190
59,1917445.218769916,0.197961,0.077771,-0.070461,0.004403,0.004150,0.000808,0.042836,-0.004167,-0.021550
60,1917445.223713763,0.197933,0.077779,-0.070457,0.004551,0.004201,0.000906,0.043550,-0.004237,-0.021910
61,1917445.228627093,0.197904,0.077789,-0.070452,0.004691,0.004196,0.000982,0.044261,-0.004306,-0.022267
62,1917445.233570941,0.197874,0.077799,-0.070447,0.004845,0.004181,0.001117,0.044975,-0.004375,-0.022626
63,1917445.238514789,0.197845,0.077810,-0.070441,0.005036,0.004176,0.001129,0.045690,-0.004445,-0.022986
64,1917445.243458636,0.197815,0.077821,-0.070435,0.005230,0.004048,0.001081,0.046405,-0.004515,-0.023346
65,1917445.248402484,0.197784,0.077834,-0.070430,0.005370,0.004026,0.001132,0.047120,-0.004584,-0.023705
66,1917445.253315814,0.197754,0.077847,-0.070424,0.005617,0.004039,0.001036,0.047830,-0.004653,-0.024063
67,1917445.258259662,0.197723,0.077861,-0.070419,0.005923,0.003911,0.001034,0.048545,-0.004723,-0.024422
68,1917445.263203509,0.197692,0.077877,-0.070414,0.006175,0.003828,0.001064,0.049259,-0.004792,-0.024782
69,1917445.268177875,0.197660,0.077895,-0.070408,0.006506,0.003931,0.001159,0.049979,-0.004862,-0.025143
70,1917445.273091205,0.197628,0.077913,-0.070402,0.006912,0.003924,0.001212,0.050689,-0.004931,-0.025501
71,1917445.278035052,0.197594,0.077934,-0.070396,0.007285,0.004028,0.001193,0.051404,-0.005001,-0.025860
72,1917445.282948383,0.197560,0.077955,-0.070390,0.007648,0.004158,0.001352,0.052114,-0.005070,-0.026218
73,1917445.287892230,0.197523,0.077978,-0.070383,0.007710,0.004125,0.001518,0.052829,-0.005139,-0.026577
74,1917445.292836078,0.197487,0.078001,-0.070376,0.007900,0.004055,0.001573,0.053543,-0.005209,-0.026937
75,1917445.297779925,0.197450,0.078025,-0.070368,0.008244,0.004134,0.001537,0.054258,-0.005279,-0.027296
76,1917445.302723773,0.197412,0.078051,-0.070360,0.008429,0.004284,0.001384,0.054973,-0.005348,-0.027656
77,1917445.307667621,0.197373,0.078077,-0.070353,0.008653,0.004341,0.001364,0.055688,-0.005418,-0.028016
78,1917445.312580951,0.197334,0.078103,-0.070347,0.008978,0.004495,0.001312,0.056398,-0.005487,-0.028373
79,1917445.317524799,0.197293,0.078131,-0.070340,0.009309,0.004503,0.001224,0.057113,-0.005556,-0.028733
80,1917445.322468646,0.197251,0.078160,-0.070334,0.009618,0.004682,0.001178,0.057827,-0.005626,-0.029092
81,1917445.327412494,0.197207,0.078190,-0.070328,0.009964,0.004902,0.001075,0.058542,-0.005695,-0.029452
82,1917445.332325824,0.197162,0.078221,-0.070322,0.010341,0.005053,0.000954,0.059253,-0.005764,-0.029809
83,1917445.337269672,0.197115,0.078253,-0.070318,0.010579,0.005214,0.000822,0.059967,-0.005834,-0.030169
84,1917445.342213519,0.197067,0.078286,-0.070313,0.010811,0.005195,0.000675,0.060682,-0.005903,-0.030528
85,1917445.347157367,0.197019,0.078320,-0.070310,0.011060,0.005194,0.000702,0.061397,-0.005973,-0.030888
86,1917445.352101215,0.196969,0.078355,-0.070306,0.011419,0.005102,0.000750,0.062111,-0.006043,-0.031247
87,1917445.357045062,0.196920,0.078392,-0.070303,0.011758,0.004971,0.000795,0.062826,-0.006112,-0.031607
88,1917445.361958392,0.196870,0.078430,-0.070299,0.011984,0.004991,0.000914,0.063537,-0.006181,-0.031964
89,1917445.366902240,0.196819,0.078469,-0.070294,0.012130,0.004968,0.001074,0.064251,-0.006251,-0.032324
90,1917445.371846088,0.196768,0.078509,-0.070289,0.012309,0.005132,0.001145,0.064966,-0.006320,-0.032683
91,1917445.376789935,0.196716,0.078550,-0.070283,0.012595,0.005369,0.001032,0.065681,-0.006390,-0.033043
92,1917445.381733783,0.196663,0.078591,-0.070278,0.012880,0.005562,0.001036,0.066395,-0.006459,-0.033403
93,1917445.386677631,0.196607,0.078633,-0.070273,0.013218,0.005671,0.001100,0.067110,-0.006529,-0.033762
94,1917445.391590961,0.196551,0.078676,-0.070267,0.013583,0.005780,0.001060,0.067821,-0.006598,-0.034119
95,1917445.396565326,0.196493,0.078721,-0.070262,0.013899,0.005977,0.001155,0.068540,-0.006668,-0.034481
96,1917445.401478656,0.196434,0.078766,-0.070256,0.014224,0.005955,0.001147,0.069250,-0.006737,-0.034839
97,1917445.406453021,0.196373,0.078813,-0.070250,0.014627,0.005880,0.001078,0.069969,-0.006807,-0.035200
98,1917445.411396869,0.196312,0.078861,-0.070245,0.015073,0.005841,0.001063,0.070684,-0.006877,-0.035560
99,1917445.416310199,0.196251,0.078912,-0.070240,0.015561,0.005686,0.001076,0.071394,-0.006946,-0.035917
100,1917445.421254047,0.196189,0.078965,-0.070234,0.016034,0.005439,0.000987,0.072109,-0.007015,-0.036277
101,1917445.426197894,0.196126,0.079021,-0.070229,0.016497,0.005258,0.000852,0.072824,-0.007085,-0.036636
102,1917445.431141742,0.196063,0.079079,-0.070225,0.016818,0.005244,0.000830,0.073538,-0.007154,-0.036996
103,1917445.436055072,0.196000,0.079138,-0.070221,0.017133,0.005120,0.000771,0.074249,-0.007223,-0.037353
104,1917445.440998920,0.195937,0.079199,-0.070217,0.017546,0.005045,0.000703,0.074963,-0.007293,-0.037713
105,1917445.445942767,0.195872,0.079263,-0.070214,0.017971,0.004958,0.000556,0.075678,-0.007362,-0.038073
106,1917445.450886615,0.195807,0.079328,-0.070211,0.018320,0.005066,0.000416,0.076393,-0.007432,-0.038432
107,1917445.455830463,0.195741,0.079394,-0.070209,0.018695,0.005324,0.000418,0.077108,-0.007501,-0.038792
108,1917445.460743793,0.195673,0.079461,-0.070207,0.019040,0.005538,0.000424,0.077818,-0.007571,-0.039149
109,1917445.465687640,0.195603,0.079530,-0.070205,0.019155,0.005670,0.000517,0.078533,-0.007640,-0.039509
110,1917445.470631488,0.195531,0.079598,-0.070203,0.019521,0.005843,0.000593,0.079247,-0.007710,-0.039868
111,1917445.475575336,0.195459,0.079668,-0.070200,0.019691,0.006076,0.000773,0.079962,-0.007779,-0.040228
112,1917445.480519183,0.195385,0.079738,-0.070196,0.019895,0.006210,0.001074,0.080677,-0.007849,-0.040587
113,1917445.485463031,0.195310,0.079809,-0.070191,0.020044,0.006304,0.001183,0.081392,-0.007918,-0.040947
114,1917445.490376361,0.195234,0.079879,-0.070185,0.020283,0.006416,0.001261,0.082102,-0.007987,-0.041304
115,1917445.495289691,0.195158,0.079950,-0.070179,0.020339,0.006587,0.001404,0.082812,-0.008056,-0.041662
116,1917445.500233539,0.195080,0.080022,-0.070172,0.020447,0.006715,0.001565,0.083527,-0.008126,-0.042021
117,1917445.505177386,0.195001,0.080094,-0.070165,0.020539,0.006824,0.001635,0.084242,-0.008196,-0.042381
118,1917445.510121234,0.194922,0.080165,-0.070157,0.020648,0.006807,0.001782,0.084957,-0.008265,-0.042740
119,1917445.515065082,0.194842,0.080238,-0.070148,0.020716,0.006711,0.001862,0.085671,-0.008335,-0.043100
120,1917445.520008929,0.194763,0.080311,-0.070139,0.020845,0.006680,0.001911,0.086386,-0.008404,-0.043459
121,1917445.524952777,0.194684,0.080384,-0.070129,0.021068,0.006614,0.002073,0.087101,-0.008474,-0.043819
122,1917445.529896625,0.194604,0.080459,-0.070119,0.021197,0.006600,0.002291,0.087815,-0.008543,-0.044179
123,1917445.534840472,0.194524,0.080534,-0.070108,0.021363,0.006723,0.002391,0.088530,-0.008613,-0.044538
124,1917445.539753802,0.194444,0.080609,-0.070096,0.021577,0.006874,0.002493,0.089241,-0.008682,-0.044896
125,1917445.544697650,0.194362,0.080685,-0.070084,0.021790,0.006972,0.002614,0.089955,-0.008751,-0.045255
126,1917445.549641498,0.194279,0.080762,-0.070071,0.022038,0.007007,0.002721,0.090670,-0.008821,-0.045615
127,1917445.554585345,0.194195,0.080840,-0.070058,0.022186,0.006958,0.002861,0.091385,-0.008890,-0.045974
128,1917445.559529193,0.194111,0.080919,-0.070044,0.022412,0.007035,0.002921,0.092099,-0.008960,-0.046334
129,1917445.564473041,0.194027,0.080998,-0.070029,0.022445,0.007122,0.002901,0.092814,-0.009030,-0.046693
130,1917445.569386371,0.193942,0.081077,-0.070015,0.022668,0.007243,0.002900,0.093525,-0.009099,-0.047051
131,1917445.574299701,0.193856,0.081157,-0.070001,0.022723,0.007406,0.002894,0.094235,-0.009168,-0.047408
132,1917445.579274066,0.193769,0.081237,-0.069987,0.022962,0.007387,0.002953,0.094954,-0.009238,-0.047770
133,1917445.584217914,0.193681,0.081318,-0.069972,0.023302,0.007355,0.003068,0.095669,-0.009307,-0.048129
134,1917445.589161761,0.193593,0.081401,-0.069957,0.023695,0.007400,0.003104,0.096383,-0.009377,-0.048489
