,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,0.540783,-0.647572,-0.085354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,0.540783,-0.647572,-0.085354,-0.000158,0.000209,0.000008,-0.000774,-0.000217,-0.003124
2,1917444.932362445,0.540782,-0.647571,-0.085354,-0.000153,0.000479,-0.000025,-0.001547,-0.000434,-0.006248
3,1917444.937306293,0.540780,-0.647569,-0.085354,-0.000228,0.000769,0.000062,-0.002321,-0.000652,-0.009372
4,1917444.942250140,0.540777,-0.647567,-0.085354,-0.000387,0.000869,0.000115,-0.003095,-0.000869,-0.012495
5,1917444.947163470,0.540774,-0.647564,-0.085353,-0.000546,0.001154,0.000022,-0.003864,-0.001085,-0.015600
6,1917444.952107318,0.540769,-0.647560,-0.085353,-0.000575,0.001335,0.000031,-0.004637,-0.001302,-0.018724
7,1917444.957051166,0.540763,-0.647556,-0.085353,-0.000674,0.001513,0.000044,-0.005411,-0.001519,-0.021848
8,1917444.961995013,0.540756,-0.647551,-0.085353,-0.000695,0.001676,0.000063,-0.006185,-0.001736,-0.024972
9,1917444.966908343,0.540750,-0.647545,-0.085352,-0.000829,0.001872,0.000180,-0.006954,-0.001952,-0.028076
10,1917444.971852191,0.540741,-0.647539,-0.085351,-0.000869,0.002092,0.000138,-0.007727,-0.002169,-0.031200
11,1917444.976796039,0.540733,-0.647532,-0.085351,-0.000945,0.002259,0.000244,-0.008501,-0.002386,-0.034324
12,1917444.981739886,0.540723,-0.647524,-0.085349,-0.000904,0.002407,0.000273,-0.009275,-0.002604,-0.037448
13,1917444.986683734,0.540714,-0.647516,-0.085348,-0.000907,0.002622,0.000418,-0.010049,-0.002821,-0.040572
14,1917444.991658099,0.540703,-0.647507,-0.085346,-0.000877,0.002784,0.000607,-0.010827,-0.003039,-0.043715
15,1917444.996601947,0.540693,-0.647497,-0.085343,-0.000670,0.003010,0.000699,-0.011601,-0.003257,-0.046839
16,1917445.001515277,0.540683,-0.647485,-0.085339,-0.000663,0.003196,0.000716,-0.012370,-0.003472,-0.049943
17,1917445.006459125,0.540673,-0.647473,-0.085336,-0.000653,0.003405,0.000715,-0.013143,-0.003690,-0.053067
18,1917445.011372455,0.540662,-0.647460,-0.085332,-0.000496,0.003702,0.000755,-0.013912,-0.003905,-0.056172
19,1917445.016316302,0.540651,-0.647445,-0.085329,-0.000511,0.003980,0.000732,-0.014686,-0.004123,-0.059295
20,1917445.021260150,0.540639,-0.647429,-0.085325,-0.000597,0.004163,0.000787,-0.015460,-0.004340,-0.062419
21,1917445.026173480,0.540627,-0.647412,-0.085321,-0.000638,0.004392,0.000806,-0.016229,-0.004556,-0.065524
22,1917445.031117328,0.540614,-0.647395,-0.085317,-0.000722,0.004703,0.000681,-0.017002,-0.004773,-0.068648
23,1917445.036061175,0.540599,-0.647376,-0.085314,-0.000669,0.004959,0.000591,-0.017776,-0.004990,-0.071772
24,1917445.041005023,0.540585,-0.647356,-0.085311,-0.000507,0.005224,0.000441,-0.018550,-0.005207,-0.074896
25,1917445.045948871,0.540570,-0.647335,-0.085309,-0.000440,0.005701,0.000306,-0.019323,-0.005424,-0.078019
26,1917445.050862201,0.540555,-0.647311,-0.085308,-0.000273,0.006154,0.000161,-0.020092,-0.005640,-0.081124
27,1917445.055806049,0.540539,-0.647285,-0.085307,-0.000055,0.006747,0.000033,-0.020866,-0.005857,-0.084248
28,1917445.060749896,0.540523,-0.647256,-0.085307,0.000116,0.007104,0.000048,-0.021640,-0.006075,-0.087372
29,1917445.065693744,0.540506,-0.647225,-0.085307,0.000238,0.007599,0.000014,-0.022414,-0.006292,-0.090496
30,1917445.070607074,0.540489,-0.647192,-0.085307,0.000501,0.008093,0.000042,-0.023182,-0.006508,-0.093600
31,1917445.075550922,0.540472,-0.647156,-0.085307,0.000678,0.008572,0.000115,-0.023956,-0.006725,-0.096724
32,1917445.080494769,0.540455,-0.647117,-0.085307,0.000806,0.009080,0.000092,-0.024730,-0.006942,-0.099848
33,1917445.085469134,0.540437,-0.647075,-0.085306,0.001086,0.009720,0.000153,-0.025508,-0.007161,-0.102991
34,1917445.090382465,0.540418,-0.647031,-0.085306,0.001379,0.010189,0.000369,-0.026277,-0.007376,-0.106096
35,1917445.095356830,0.540400,-0.646983,-0.085304,0.001584,0.010631,0.000473,-0.027056,-0.007595,-0.109239
36,1917445.100300677,0.540381,-0.646933,-0.085302,0.001823,0.011037,0.000589,-0.027829,-0.007812,-0.112363
37,1917445.105214008,0.540363,-0.646881,-0.085300,0.001931,0.011486,0.000762,-0.028598,-0.008028,-0.115467
38,1917445.110157855,0.540344,-0.646827,-0.085297,0.002047,0.012076,0.000985,-0.029372,-0.008245,-0.118591
39,1917445.115101703,0.540324,-0.646770,-0.085292,0.002320,0.012692,0.001257,-0.030146,-0.008462,-0.121715
40,1917445.120045550,0.540304,-0.646709,-0.085287,0.002607,0.013145,0.001357,-0.030920,-0.008680,-0.124839
41,1917445.124958881,0.540285,-0.646646,-0.085280,0.002764,0.013765,0.001403,-0.031688,-0.008895,-0.127943
42,1917445.129902728,0.540264,-0.646580,-0.085274,0.003005,0.014568,0.001487,-0.032462,-0.009113,-0.131067
43,1917445.134846576,0.540242,-0.646510,-0.085267,0.003291,0.015288,0.001517,-0.033236,-0.009330,-0.134191
44,1917445.139790424,0.540220,-0.646435,-0.085260,0.003498,0.016114,0.001471,-0.034010,-0.009547,-0.137315
45,1917445.144734271,0.540197,-0.646357,-0.085254,0.003646,0.016777,0.001399,-0.034783,-0.009764,-0.140439
46,1917445.149678119,0.540173,-0.646276,-0.085248,0.003807,0.017576,0.001391,-0.035557,-0.009981,-0.143563
47,1917445.154591449,0.540148,-0.646191,-0.085242,0.003862,0.018488,0.001401,-0.036326,-0.010197,-0.146667
48,1917445.159535297,0.540121,-0.646102,-0.085235,0.003952,0.019171,0.001341,-0.037100,-0.010414,-0.149791
49,1917445.164479144,0.540092,-0.646009,-0.085230,0.004004,0.019876,0.001275,-0.037873,-0.010632,-0.152915
50,1917445.169422992,0.540062,-0.645913,-0.085224,0.003989,0.020646,0.001196,-0.038647,-0.010849,-0.156039
51,1917445.174336322,0.540031,-0.645815,-0.085219,0.004092,0.021654,0.001070,-0.039416,-0.011065,-0.159143
52,1917445.179280170,0.539997,-0.645711,-0.085215,0.004163,0.022611,0.000866,-0.040190,-0.011282,-0.162267
53,1917445.189167865,0.539925,-0.645495,-0.085208,0.004311,0.024810,0.000504,-0.041737,-0.011716,-0.168515
54,1917445.194081195,0.539885,-0.645378,-0.085206,0.004508,0.025991,0.000507,-0.042506,-0.011932,-0.171619
55,1917445.199025043,0.539843,-0.645255,-0.085205,0.004591,0.027155,0.000567,-0.043280,-0.012149,-0.174743
56,1917445.203968890,0.539798,-0.645126,-0.085203,0.004926,0.028350,0.000570,-0.044053,-0.012366,-0.177867
57,1917445.208912738,0.539752,-0.644992,-0.085201,0.005124,0.029459,0.000660,-0.044827,-0.012584,-0.180991
58,1917445.213826068,0.539704,-0.644853,-0.085199,0.005328,0.030536,0.000764,-0.045596,-0.012799,-0.184096
59,1917445.218769916,0.539655,-0.644708,-0.085197,0.005606,0.031549,0.000872,-0.046370,-0.013017,-0.187220
60,1917445.223713763,0.539604,-0.644558,-0.085193,0.005797,0.032530,0.000973,-0.047143,-0.013234,-0.190343
61,1917445.228627093,0.539552,-0.644404,-0.085190,0.005980,0.033465,0.001051,-0.047912,-0.013450,-0.193448
62,1917445.233570941,0.539498,-0.644245,-0.085186,0.006179,0.034412,0.001189,-0.048686,-0.013667,-0.196572
63,1917445.238514789,0.539443,-0.644081,-0.085181,0.006415,0.035384,0.001205,-0.049460,-0.013884,-0.199696
64,1917445.243458636,0.539387,-0.643912,-0.085177,0.006655,0.036248,0.001160,-0.050233,-0.014101,-0.202820
65,1917445.248402484,0.539329,-0.643739,-0.085173,0.006842,0.037233,0.001215,-0.051007,-0.014318,-0.205943
66,1917445.253315814,0.539271,-0.643563,-0.085168,0.007137,0.038263,0.001122,-0.051776,-0.014534,-0.209048
67,1917445.258259662,0.539211,-0.643380,-0.085164,0.007491,0.039173,0.001124,-0.052550,-0.014751,-0.212172
68,1917445.263203509,0.539150,-0.643192,-0.085160,0.007793,0.040145,0.001157,-0.053323,-0.014969,-0.215296
69,1917445.268177875,0.539088,-0.642998,-0.085156,0.008174,0.041324,0.001256,-0.054102,-0.015187,-0.218439
70,1917445.273091205,0.539025,-0.642801,-0.085151,0.008631,0.042396,0.001313,-0.054871,-0.015403,-0.221543
71,1917445.278035052,0.538962,-0.642597,-0.085147,0.009056,0.043601,0.001297,-0.055645,-0.015620,-0.224667
72,1917445.282948383,0.538898,-0.642387,-0.085142,0.009472,0.044840,0.001461,-0.056414,-0.015836,-0.227772
73,1917445.287892230,0.538832,-0.642171,-0.085137,0.009587,0.045939,0.001630,-0.057187,-0.016053,-0.230896
74,1917445.292836078,0.538764,-0.641949,-0.085131,0.009832,0.047016,0.001690,-0.057961,-0.016270,-0.234020
75,1917445.297779925,0.538695,-0.641721,-0.085124,0.010231,0.048258,0.001658,-0.058735,-0.016488,-0.237143
76,1917445.302723773,0.538624,-0.641488,-0.085118,0.010473,0.049586,0.001509,-0.059508,-0.016705,-0.240267
77,1917445.307667621,0.538552,-0.641248,-0.085113,0.010754,0.050837,0.001494,-0.060282,-0.016922,-0.243391
78,1917445.312580951,0.538478,-0.641004,-0.085107,0.011137,0.052193,0.001446,-0.061051,-0.017138,-0.246496
79,1917445.317524799,0.538402,-0.640751,-0.085102,0.011527,0.053426,0.001364,-0.061825,-0.017355,-0.249620
80,1917445.322468646,0.538325,-0.640492,-0.085098,0.011896,0.054845,0.001322,-0.062598,-0.017572,-0.252743
81,1917445.327412494,0.538246,-0.640226,-0.085094,0.012302,0.056320,0.001224,-0.063372,-0.017789,-0.255867
82,1917445.332325824,0.538165,-0.639954,-0.085090,0.012740,0.057735,0.001108,-0.064141,-0.018005,-0.258972
83,1917445.337269672,0.538083,-0.639674,-0.085087,0.013041,0.059182,0.000982,-0.064915,-0.018222,-0.262096
84,1917445.342213519,0.537999,-0.639386,-0.085085,0.013337,0.060466,0.000839,-0.065688,-0.018440,-0.265220
85,1917445.347157367,0.537913,-0.639092,-0.085083,0.013650,0.061782,0.000872,-0.066462,-0.018657,-0.268343
86,1917445.352101215,0.537825,-0.638792,-0.085082,0.014075,0.063023,0.000925,-0.067236,-0.018874,-0.271467
87,1917445.357045062,0.537735,-0.638486,-0.085080,0.014479,0.064241,0.000975,-0.068010,-0.019091,-0.274591
88,1917445.361958392,0.537646,-0.638175,-0.085078,0.014773,0.065617,0.001100,-0.068778,-0.019307,-0.277696
89,1917445.366902240,0.537554,-0.637855,-0.085075,0.014987,0.066973,0.001265,-0.069552,-0.019524,-0.280820
