,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917444.922474750,0.289928,-0.190275,-0.095375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917444.927418597,0.289928,-0.190275,-0.095375,0.000159,-0.000209,0.000008,0.000016,0.000082,0.000002
2,1917444.932362445,0.289926,-0.190274,-0.095375,0.000159,-0.000464,-0.000025,0.000032,0.000164,0.000005
3,1917444.937306293,0.289924,-0.190273,-0.095375,0.000244,-0.000722,0.000062,0.000048,0.000247,0.000007
4,1917444.942250140,0.289921,-0.190271,-0.095374,0.000417,-0.000776,0.000116,0.000064,0.000329,0.000010
5,1917444.947163470,0.289918,-0.190268,-0.095374,0.000595,-0.000999,0.000023,0.000080,0.000411,0.000012
6,1917444.952107318,0.289913,-0.190266,-0.095374,0.000647,-0.001103,0.000032,0.000096,0.000493,0.000014
7,1917444.957051166,0.289907,-0.190263,-0.095373,0.000774,-0.001189,0.000045,0.000112,0.000575,0.000017
8,1917444.961995013,0.289901,-0.190260,-0.095373,0.000827,-0.001245,0.000064,0.000128,0.000657,0.000019
9,1917444.966908343,0.289894,-0.190257,-0.095373,0.000998,-0.001318,0.000181,0.000144,0.000739,0.000022
10,1917444.971852191,0.289886,-0.190254,-0.095372,0.001079,-0.001400,0.000139,0.000161,0.000821,0.000024
11,1917444.976796039,0.289878,-0.190251,-0.095371,0.001201,-0.001413,0.000246,0.000177,0.000903,0.000027
12,1917444.981739886,0.289869,-0.190248,-0.095370,0.001211,-0.001394,0.000275,0.000193,0.000986,0.000029
13,1917444.986683734,0.289861,-0.190246,-0.095368,0.001268,-0.001424,0.000421,0.000209,0.001068,0.000031
14,1917444.991658099,0.289852,-0.190243,-0.095366,0.001299,-0.001386,0.000610,0.000225,0.001150,0.000034
15,1917444.996601947,0.289843,-0.190240,-0.095363,0.001157,-0.001398,0.000703,0.000241,0.001233,0.000036
16,1917445.001515277,0.289834,-0.190238,-0.095359,0.001218,-0.001355,0.000720,0.000257,0.001314,0.000039
17,1917445.006459125,0.289826,-0.190235,-0.095356,0.001281,-0.001319,0.000719,0.000273,0.001397,0.000041
18,1917445.011372455,0.289817,-0.190233,-0.095352,0.001203,-0.001357,0.000760,0.000289,0.001478,0.000043
19,1917445.016316302,0.289808,-0.190230,-0.095348,0.001300,-0.001359,0.000737,0.000305,0.001561,0.000046
20,1917445.021260150,0.289799,-0.190228,-0.095344,0.001473,-0.001250,0.000793,0.000321,0.001643,0.000048
21,1917445.026173480,0.289790,-0.190227,-0.095340,0.001605,-0.001175,0.000811,0.000337,0.001724,0.000051
22,1917445.031117328,0.289780,-0.190226,-0.095336,0.001787,-0.001164,0.000688,0.000353,0.001807,0.000053
23,1917445.036061175,0.289770,-0.190226,-0.095333,0.001834,-0.001083,0.000598,0.000369,0.001889,0.000055
24,1917445.041005023,0.289759,-0.190226,-0.095329,0.001778,-0.000996,0.000448,0.000385,0.001971,0.000058
25,1917445.045948871,0.289749,-0.190226,-0.095327,0.001822,-0.001105,0.000315,0.000401,0.002053,0.000060
26,1917445.050862201,0.289739,-0.190227,-0.095325,0.001770,-0.001178,0.000170,0.000417,0.002135,0.000063
27,1917445.055806049,0.289728,-0.190226,-0.095324,0.001672,-0.001373,0.000042,0.000433,0.002217,0.000065
28,1917445.060749896,0.289718,-0.190225,-0.095324,0.001626,-0.001317,0.000058,0.000450,0.002299,0.000067
29,1917445.065693744,0.289707,-0.190224,-0.095323,0.001633,-0.001383,0.000025,0.000466,0.002382,0.000070
30,1917445.070607074,0.289697,-0.190222,-0.095323,0.001503,-0.001436,0.000053,0.000482,0.002463,0.000072
31,1917445.075550922,0.289687,-0.190220,-0.095323,0.001465,-0.001455,0.000127,0.000498,0.002546,0.000075
32,1917445.080494769,0.289677,-0.190218,-0.095322,0.001479,-0.001488,0.000105,0.000514,0.002628,0.000077
33,1917445.085469134,0.289667,-0.190216,-0.095321,0.001348,-0.001636,0.000166,0.000530,0.002710,0.000080
