,time,acce_x,acce_y,acce_z,acce_glob_x,acce_glob_y,acce_glob_z,gyro_x,gyro_y,gyro_z,gyro_glob_x,gyro_glob_y,gyro_glob_z,ori_w,ori_x,ori_y,ori_z,pos_x,pos_y
0,1917718437272176,0.970932,10.034073,0.860504,-0.633287,0.21904,10.09539,0.088959,-0.016556,0.024078,-0.087147,0.032073,-0.01201,0.017704,-0.038382,-0.681308,-0.730776,-0.001084,-0.00892
1,1917718442216024,1.044556,10.106506,0.657593,-0.720478,0.022696,10.156048,0.093216,-0.010162,0.016632,-0.091815,0.024555,-0.006016,0.017736,-0.038435,-0.681476,-0.730615,-0.000988,-0.008943
2,1917718447159871,0.962555,10.08316,0.667175,-0.637518,0.032172,10.130864,0.093216,-0.021881,0.010239,-0.092639,0.019023,-0.018137,0.017733,-0.038494,-0.681645,-0.730455,-0.00089,-0.008967
3,1917718452103719,0.851227,10.040665,0.765335,-0.51837,0.128969,10.091579,0.100677,-0.029327,0.005981,-0.100617,0.015886,-0.025605,0.017706,-0.038554,-0.681823,-0.730286,-0.00079,-0.008992
4,1917718457047567,0.788376,10.018509,0.72583,-0.457993,0.091443,10.064825,0.103867,-0.030396,0.010239,-0.103484,0.020437,-0.026276,0.017682,-0.038621,-0.682009,-0.730109,-0.000689,-0.009019
5,1917718461991414,0.76503,10.057419,0.710861,-0.433327,0.07723,10.101907,0.104935,-0.031464,0.014496,-0.104237,0.024821,-0.02702,0.017663,-0.038695,-0.682196,-0.729931,-0.000587,-0.009046
6,1917718466935262,0.687225,10.093338,0.611511,-0.361534,-0.024908,10.128691,0.102814,-0.026138,0.017685,-0.101724,0.027457,-0.021567,0.017655,-0.038762,-0.682384,-0.729752,-0.000484,-0.009075
7,1917718471848592,0.686615,10.058014,0.519928,-0.368192,-0.108634,10.087513,0.09642,-0.021881,0.025146,-0.094634,0.034086,-0.017045,0.017666,-0.038833,-0.682562,-0.729581,-0.000379,-0.009106
8,1917718476792440,0.715347,9.967636,0.595947,-0.391809,-0.020136,10.003335,0.088959,-0.027206,0.033676,-0.086652,0.042346,-0.02205,0.017686,-0.038931,-0.682723,-0.729425,-0.000271,-0.00914
9,1917718481736287,0.80574,9.952667,0.676743,-0.474172,0.07286,9.996641,0.090027,-0.031464,0.039001,-0.087397,0.048018,-0.025925,0.017711,-0.039049,-0.682882,-0.72927,-0.000163,-0.009177
10,1917718486680135,0.900909,9.92215,0.598938,-0.574576,0.009773,9.964391,0.092148,-0.031464,0.039001,-0.089504,0.048192,-0.025863,0.017741,-0.039172,-0.683047,-0.729107,-5.9e-05,-0.00922
11,1917718491623983,1.010437,9.938904,0.402008,-0.698027,-0.173822,9.972319,0.086823,-0.02507,0.039001,-0.084014,0.047355,-0.019672,0.017786,-0.039289,-0.683211,-0.728947,4.3e-05,-0.009282
12,1917718496537313,1.104416,9.931122,0.195511,-0.807672,-0.366979,9.954795,0.071915,-0.021881,0.033676,-0.069501,0.040668,-0.017329,0.017829,-0.039395,-0.683356,-0.728803,0.000145,-0.009366
13,1917718501481160,0.980515,9.913162,0.212265,-0.681388,-0.355801,9.934108,0.053802,-0.039978,0.025146,-0.052661,0.031918,-0.036515,0.017818,-0.039516,-0.683471,-0.72869,0.000249,-0.009461
14,1917718506425008,0.885941,9.886841,0.400818,-0.569663,-0.171737,9.916705,0.041016,-0.057022,0.020889,-0.040762,0.027762,-0.054202,0.017766,-0.039655,-0.683555,-0.728604,0.000359,-0.009556
15,1917718511368856,0.919464,9.882645,0.54985,-0.587721,-0.018714,9.923146,0.034622,-0.065552,0.021957,-0.034563,0.028859,-0.062853,0.017703,-0.039814,-0.683621,-0.728536,0.000477,-0.009638
16,1917718516312703,1.005051,9.880249,0.634842,-0.662789,0.074505,9.929132,0.032501,-0.06662,0.018753,-0.032762,0.025565,-0.064182,0.017636,-0.039972,-0.683679,-0.728474,0.000602,-0.009705
17,1917718521226034,0.995468,9.887436,0.604919,-0.652325,0.045101,9.93433,0.031433,-0.064484,0.013428,-0.032093,0.020037,-0.062411,0.017562,-0.040117,-0.683737,-0.728414,0.000734,-0.009757
18,1917718526169881,0.932022,9.853912,0.608505,-0.586967,0.047249,9.899077,0.030365,-0.05809,0.005981,-0.031472,0.012125,-0.056522,0.017483,-0.040235,-0.683793,-0.728356,0.00087,-0.009795
19,1917718531113729,0.795563,9.876663,0.64682,-0.444299,0.074426,9.919515,0.031433,-0.059158,0.000641,-0.033025,0.006959,-0.057871,0.017386,-0.04034,-0.683851,-0.728298,0.000982,-0.009815
20,1917718536027059,0.709366,9.912567,0.683929,-0.351403,0.103444,9.954683,0.029297,-0.059158,0.007034,-0.030386,0.013139,-0.057546,0.017297,-0.040452,-0.683902,-0.728246,0.001098,-0.009828
21,1917718540970907,0.757843,9.951477,0.781494,-0.387711,0.203154,10.001264,0.029297,-0.055969,0.011307,-0.029951,0.017181,-0.054097,0.017223,-0.040567,-0.683948,-0.728198,0.001214,-0.009835
22,1917718545914754,0.858414,9.941299,0.826385,-0.481982,0.258038,9.99751,0.034622,-0.050644,0.014496,-0.03484,0.020437,-0.048395,0.017168,-0.040682,-0.684001,-0.728143,0.001332,-0.009837
23,1917718550858602,0.900909,9.990982,0.784485,-0.524013,0.218362,10.046126,0.038895,-0.045319,0.013428,-0.03903,0.019376,-0.042991,0.017123,-0.040787,-0.684064,-0.72808,0.001453,-0.009834
24,1917718555802450,0.847626,10.023895,0.794662,-0.467099,0.224373,10.077689,0.049545,-0.039978,0.011307,-0.049655,0.017781,-0.037403,0.017082,-0.040876,-0.684145,-0.727999,0.001575,-0.009825
25,1917718560746297,0.838058,10.073578,0.653397,-0.466202,0.082433,10.118407,0.050613,-0.030396,0.014496,-0.05016,0.02043,-0.027611,0.017061,-0.040953,-0.684234,-0.727912,0.001698,-0.009811
26,1917718565690145,0.988892,10.106506,0.474442,-0.629372,-0.083105,10.146003,0.042084,-0.017609,0.013428,-0.041354,0.017872,-0.01523,0.017066,-0.041012,-0.684315,-0.727832,0.001822,-0.009794
27,1917718570633993,1.109802,10.110092,0.382263,-0.75638,-0.163211,10.148542,0.033569,-0.018677,0.007034,-0.033438,0.010888,-0.016987,0.017062,-0.041069,-0.684385,-0.727763,0.001944,-0.009775
28,1917718575577840,0.946396,10.097519,0.490601,-0.583216,-0.066367,10.136645,0.027176,-0.035721,0.003845,-0.027876,0.008261,-0.034409,0.017016,-0.041143,-0.68444,-0.727708,0.002068,-0.009756
29,1917718580521688,0.78299,10.034668,0.672562,-0.405372,0.106525,10.078894,0.026108,-0.038925,0.001709,-0.027098,0.006245,-0.037768,0.016953,-0.041212,-0.684485,-0.727663,0.002195,-0.009737
