,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,0.007278,-0.010075,0.004850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,0.007278,-0.010075,0.004850,0.000041,-0.000192,0.000113,0.000000,0.000000,0.000000
2,1917722.775834188,0.007278,-0.010076,0.004851,0.000131,-0.000202,0.000212,0.000000,0.000000,0.000000
3,1917722.780778035,0.007279,-0.010077,0.004852,0.000238,-0.000296,0.000215,0.000000,0.000000,0.000000
4,1917722.785691366,0.007280,-0.010078,0.004853,0.000421,-0.000466,0.000220,0.000000,0.000000,0.000000
5,1917722.790635213,0.007282,-0.010081,0.004854,0.000564,-0.000417,0.000205,0.000000,0.000000,0.000000
6,1917722.795579061,0.007285,-0.010083,0.004855,0.000739,-0.000529,0.000118,0.000000,0.000000,0.000000
7,1917722.800522909,0.007289,-0.010085,0.004855,0.000830,-0.000367,0.000062,0.000000,0.000000,0.000000
8,1917722.805466756,0.007293,-0.010087,0.004856,0.001046,-0.000378,0.000138,0.000000,0.000000,0.000000
9,1917722.810380086,0.007298,-0.010089,0.004856,0.001175,-0.000311,0.000269,0.000000,0.000000,0.000000
10,1917722.815323934,0.007304,-0.010091,0.004858,0.001367,-0.000357,0.000224,0.000000,0.000000,0.000000
11,1917722.820267782,0.007310,-0.010092,0.004859,0.001548,-0.000313,0.000104,0.000000,0.000000,0.000000
12,1917722.825211629,0.007318,-0.010094,0.004859,0.001712,-0.000316,0.000126,0.000000,0.000000,0.000000
13,1917722.830155477,0.007326,-0.010095,0.004860,0.001809,-0.000377,0.000090,0.000000,0.000000,0.000000
14,1917722.835068807,0.007335,-0.010097,0.004860,0.001886,-0.000375,0.000118,0.000000,0.000000,0.000000
15,1917722.840012655,0.007345,-0.010099,0.004861,0.002033,-0.000421,0.000178,0.000000,0.000000,0.000000
16,1917722.844925985,0.007355,-0.010101,0.004862,0.002164,-0.000665,0.000236,0.000000,0.000000,0.000000
17,1917722.849900350,0.007365,-0.010105,0.004863,0.002302,-0.000914,0.000229,0.000000,0.000000,0.000000
18,1917722.854844198,0.007377,-0.010109,0.004864,0.002418,-0.001146,0.000327,0.000000,0.000000,0.000000
19,1917722.859788045,0.007389,-0.010115,0.004866,0.002591,-0.001351,0.000516,0.000000,0.000000,0.000000
20,1917722.864731893,0.007402,-0.010121,0.004868,0.002822,-0.001473,0.000647,0.000000,0.000000,0.000000
21,1917722.869675741,0.007416,-0.010129,0.004871,0.002956,-0.001779,0.000706,0.000000,0.000000,0.000000
22,1917722.874619588,0.007430,-0.010137,0.004875,0.003017,-0.002062,0.000847,0.000000,0.000000,0.000000
23,1917722.879563436,0.007445,-0.010148,0.004879,0.002923,-0.002261,0.000787,0.000000,0.000000,0.000000
24,1917722.884507284,0.007460,-0.010159,0.004883,0.003056,-0.002463,0.000665,0.000000,0.000000,0.000000
25,1917722.889451131,0.007475,-0.010171,0.004886,0.003243,-0.002716,0.000708,0.000000,0.000000,0.000000
26,1917722.894394979,0.007491,-0.010184,0.004890,0.003357,-0.003096,0.000716,0.000000,0.000000,0.000000
27,1917722.899308309,0.007507,-0.010200,0.004893,0.003428,-0.003374,0.000674,0.000000,0.000000,0.000000
28,1917722.904252157,0.007524,-0.010216,0.004897,0.003570,-0.003497,0.000697,0.000000,0.000000,0.000000
29,1917722.909196004,0.007542,-0.010234,0.004900,0.003623,-0.003767,0.000687,0.000000,0.000000,0.000000
30,1917722.914139852,0.007560,-0.010252,0.004904,0.003722,-0.004095,0.000686,0.000000,0.000000,0.000000
