,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,0.007278,-0.010075,0.004850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,0.007278,-0.010075,0.004850,0.000041,-0.000192,0.000113,-0.000160,0.000033,-0.000826
2,1917722.775834188,0.007278,-0.010076,0.004851,0.000130,-0.000198,0.000213,-0.000317,0.000066,-0.001641
3,1917722.780778035,0.007279,-0.010077,0.004852,0.000237,-0.000284,0.000216,-0.000476,0.000099,-0.002462
4,1917722.785691366,0.007280,-0.010078,0.004853,0.000418,-0.000441,0.000222,-0.000633,0.000132,-0.003278
5,1917722.790635213,0.007282,-0.010080,0.004854,0.000558,-0.000377,0.000207,-0.000792,0.000165,-0.004098
6,1917722.795579061,0.007285,-0.010082,0.004855,0.000731,-0.000468,0.000122,-0.000950,0.000198,-0.004919
7,1917722.800522909,0.007288,-0.010085,0.004855,0.000818,-0.000282,0.000069,-0.001109,0.000231,-0.005740
8,1917722.805466756,0.007292,-0.010086,0.004856,0.001030,-0.000263,0.000147,-0.001267,0.000264,-0.006560
9,1917722.810380086,0.007298,-0.010087,0.004856,0.001154,-0.000164,0.000280,-0.001425,0.000297,-0.007376
10,1917722.815323934,0.007303,-0.010088,0.004858,0.001342,-0.000174,0.000238,-0.001584,0.000330,-0.008196
11,1917722.820267782,0.007310,-0.010089,0.004859,0.001517,-0.000089,0.000120,-0.001742,0.000363,-0.009017
12,1917722.825211629,0.007317,-0.010089,0.004860,0.001674,-0.000047,0.000146,-0.001901,0.000396,-0.009838
13,1917722.830155477,0.007326,-0.010090,0.004860,0.001764,-0.000060,0.000113,-0.002059,0.000429,-0.010658
14,1917722.835068807,0.007334,-0.010090,0.004861,0.001834,-0.000004,0.000145,-0.002217,0.000461,-0.011474
15,1917722.840012655,0.007343,-0.010090,0.004862,0.001973,0.000007,0.000210,-0.002375,0.000494,-0.012295
16,1917722.844925985,0.007353,-0.010090,0.004863,0.002095,-0.000176,0.000272,-0.002533,0.000527,-0.013110
17,1917722.849900350,0.007364,-0.010091,0.004864,0.002224,-0.000360,0.000270,-0.002692,0.000560,-0.013936
18,1917722.854844198,0.007375,-0.010093,0.004865,0.002330,-0.000522,0.000373,-0.002851,0.000593,-0.014757
19,1917722.859788045,0.007386,-0.010095,0.004867,0.002493,-0.000654,0.000568,-0.003009,0.000626,-0.015577
20,1917722.864731893,0.007398,-0.010098,0.004870,0.002713,-0.000699,0.000704,-0.003168,0.000659,-0.016398
21,1917722.869675741,0.007412,-0.010102,0.004873,0.002835,-0.000923,0.000770,-0.003327,0.000692,-0.017219
22,1917722.874619588,0.007426,-0.010106,0.004877,0.002884,-0.001120,0.000917,-0.003485,0.000725,-0.018039
23,1917722.879563436,0.007440,-0.010112,0.004882,0.002777,-0.001229,0.000864,-0.003644,0.000758,-0.018860
24,1917722.884507284,0.007454,-0.010118,0.004886,0.002896,-0.001338,0.000749,-0.003802,0.000791,-0.019680
25,1917722.889451131,0.007468,-0.010125,0.004890,0.003069,-0.001493,0.000800,-0.003961,0.000824,-0.020501
26,1917722.894394979,0.007483,-0.010132,0.004894,0.003169,-0.001771,0.000815,-0.004119,0.000857,-0.021322
27,1917722.899308309,0.007499,-0.010141,0.004898,0.003225,-0.001943,0.000782,-0.004277,0.000890,-0.022137
28,1917722.904252157,0.007515,-0.010150,0.004902,0.003351,-0.001956,0.000812,-0.004435,0.000923,-0.022958
29,1917722.909196004,0.007531,-0.010160,0.004906,0.003388,-0.002112,0.000811,-0.004594,0.000956,-0.023779
30,1917722.914139852,0.007548,-0.010170,0.004910,0.003470,-0.002322,0.000819,-0.004753,0.000989,-0.024599
31,1917722.919083700,0.007565,-0.010182,0.004914,0.003559,-0.002458,0.000865,-0.004911,0.001022,-0.025420
32,1917722.923997030,0.007583,-0.010194,0.004918,0.003696,-0.002473,0.000905,-0.005069,0.001055,-0.026236
33,1917722.928940877,0.007601,-0.010206,0.004922,0.003884,-0.002415,0.000953,-0.005227,0.001088,-0.027056
34,1917722.933884725,0.007620,-0.010218,0.004927,0.003954,-0.002417,0.000990,-0.005386,0.001121,-0.027877
35,1917722.938828573,0.007640,-0.010230,0.004932,0.004000,-0.002610,0.000965,-0.005544,0.001154,-0.028698
36,1917722.943772420,0.007660,-0.010243,0.004937,0.004123,-0.002722,0.000956,-0.005703,0.001187,-0.029518
37,1917722.948716268,0.007680,-0.010257,0.004941,0.004346,-0.002884,0.000801,-0.005861,0.001220,-0.030339
38,1917722.953629598,0.007701,-0.010271,0.004945,0.004559,-0.003040,0.000877,-0.006019,0.001253,-0.031154
39,1917722.958573446,0.007724,-0.010286,0.004950,0.004629,-0.003184,0.000858,-0.006178,0.001286,-0.031975
40,1917722.963517293,0.007747,-0.010301,0.004954,0.004660,-0.003161,0.000661,-0.006336,0.001319,-0.032796
41,1917722.968461141,0.007770,-0.010317,0.004957,0.004711,-0.003248,0.000569,-0.006495,0.001352,-0.033616
42,1917722.973374471,0.007793,-0.010333,0.004960,0.004719,-0.003400,0.000500,-0.006652,0.001385,-0.034432
43,1917722.978318319,0.007816,-0.010350,0.004963,0.004737,-0.003483,0.000426,-0.006811,0.001418,-0.035253
44,1917722.983262166,0.007840,-0.010367,0.004965,0.004842,-0.003600,0.000440,-0.006969,0.001451,-0.036073
45,1917722.988206014,0.007864,-0.010385,0.004967,0.004768,-0.003719,0.000352,-0.007128,0.001484,-0.036894
46,1917722.993149862,0.007887,-0.010403,0.004969,0.004797,-0.003794,0.000244,-0.007286,0.001517,-0.037715
47,1917722.998063192,0.007911,-0.010422,0.004970,0.004809,-0.003814,0.000145,-0.007444,0.001550,-0.038530
48,1917723.003007039,0.007934,-0.010441,0.004970,0.004882,-0.003822,0.000124,-0.007603,0.001583,-0.039351
49,1917723.007950887,0.007959,-0.010460,0.004971,0.004914,-0.003706,0.000022,-0.007761,0.001616,-0.040171
50,1917723.012894735,0.007983,-0.010478,0.004971,0.005016,-0.003637,0.000133,-0.007920,0.001649,-0.040992
51,1917723.017838582,0.008008,-0.010496,0.004972,0.005066,-0.003535,0.000144,-0.008078,0.001682,-0.041813
52,1917723.022751912,0.008033,-0.010513,0.004973,0.005210,-0.003349,0.000113,-0.008236,0.001714,-0.042628
