,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,0.066496,-1.590544,-0.395282,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,0.066496,-1.590544,-0.395282,-0.000034,0.000193,0.000113,-0.000158,-0.000229,-0.003841
2,1917722.775834188,0.066496,-1.590544,-0.395281,-0.000125,0.000188,0.000212,-0.000314,-0.000454,-0.007634
3,1917722.780778035,0.066497,-1.590545,-0.395280,-0.000231,0.000248,0.000214,-0.000472,-0.000681,-0.011451
4,1917722.785691366,0.066498,-1.590546,-0.395279,-0.000411,0.000368,0.000218,-0.000628,-0.000907,-0.015244
5,1917722.790635213,0.066501,-1.590547,-0.395278,-0.000559,0.000249,0.000203,-0.000785,-0.001134,-0.019061
6,1917722.795579061,0.066504,-1.590548,-0.395277,-0.000736,0.000273,0.000115,-0.000943,-0.001361,-0.022878
7,1917722.800522909,0.066508,-1.590548,-0.395276,-0.000839,0.000001,0.000059,-0.001100,-0.001588,-0.026696
8,1917722.805466756,0.066512,-1.590547,-0.395276,-0.001062,-0.000113,0.000135,-0.001257,-0.001815,-0.030513
9,1917722.810380086,0.066517,-1.590545,-0.395275,-0.001202,-0.000325,0.000265,-0.001413,-0.002041,-0.034306
10,1917722.815323934,0.066522,-1.590542,-0.395274,-0.001402,-0.000442,0.000219,-0.001571,-0.002268,-0.038123
11,1917722.820267782,0.066528,-1.590539,-0.395272,-0.001595,-0.000668,0.000098,-0.001728,-0.002495,-0.041940
12,1917722.825211629,0.066535,-1.590533,-0.395272,-0.001770,-0.000867,0.000118,-0.001885,-0.002723,-0.045757
13,1917722.830155477,0.066542,-1.590527,-0.395271,-0.001877,-0.001028,0.000081,-0.002042,-0.002950,-0.049574
14,1917722.835068807,0.066550,-1.590520,-0.395270,-0.001968,-0.001272,0.000108,-0.002199,-0.003175,-0.053367
15,1917722.840012655,0.066558,-1.590511,-0.395269,-0.002128,-0.001485,0.000167,-0.002356,-0.003402,-0.057184
16,1917722.844925985,0.066566,-1.590502,-0.395268,-0.002266,-0.001517,0.000222,-0.002512,-0.003628,-0.060978
17,1917722.849900350,0.066575,-1.590491,-0.395267,-0.002412,-0.001567,0.000213,-0.002670,-0.003857,-0.064818
18,1917722.854844198,0.066584,-1.590481,-0.395265,-0.002537,-0.001652,0.000310,-0.002828,-0.004084,-0.068635
19,1917722.859788045,0.066594,-1.590470,-0.395263,-0.002722,-0.001780,0.000497,-0.002985,-0.004311,-0.072452
20,1917722.864731893,0.066605,-1.590458,-0.395260,-0.002967,-0.002008,0.000626,-0.003142,-0.004538,-0.076269
21,1917722.869675741,0.066617,-1.590445,-0.395257,-0.003110,-0.002075,0.000683,-0.003299,-0.004765,-0.080087
22,1917722.874619588,0.066629,-1.590431,-0.395253,-0.003184,-0.002187,0.000822,-0.003457,-0.004992,-0.083904
23,1917722.879563436,0.066641,-1.590417,-0.395248,-0.003105,-0.002406,0.000760,-0.003614,-0.005219,-0.087721
24,1917722.884507284,0.066653,-1.590401,-0.395244,-0.003254,-0.002633,0.000636,-0.003771,-0.005446,-0.091538
25,1917722.889451131,0.066665,-1.590385,-0.395240,-0.003456,-0.002828,0.000677,-0.003928,-0.005674,-0.095355
26,1917722.894394979,0.066678,-1.590367,-0.395236,-0.003582,-0.002915,0.000682,-0.004085,-0.005901,-0.099172
27,1917722.899308309,0.066691,-1.590349,-0.395232,-0.003670,-0.003123,0.000638,-0.004242,-0.006126,-0.102965
28,1917722.904252157,0.066705,-1.590329,-0.395229,-0.003834,-0.003504,0.000659,-0.004399,-0.006353,-0.106782
29,1917722.909196004,0.066719,-1.590308,-0.395225,-0.003906,-0.003761,0.000647,-0.004556,-0.006581,-0.110599
30,1917722.914139852,0.066733,-1.590285,-0.395221,-0.004023,-0.003978,0.000643,-0.004713,-0.006808,-0.114416
31,1917722.919083700,0.066747,-1.590261,-0.395217,-0.004151,-0.004282,0.000678,-0.004871,-0.007035,-0.118233
32,1917722.923997030,0.066761,-1.590235,-0.395213,-0.004332,-0.004717,0.000706,-0.005027,-0.007261,-0.122026
33,1917722.928940877,0.066776,-1.590207,-0.395209,-0.004567,-0.005242,0.000742,-0.005184,-0.007488,-0.125843
34,1917722.933884725,0.066791,-1.590177,-0.395204,-0.004685,-0.005725,0.000768,-0.005342,-0.007715,-0.129660
35,1917722.938828573,0.066806,-1.590143,-0.395200,-0.004773,-0.006033,0.000729,-0.005499,-0.007942,-0.133478
36,1917722.943772420,0.066821,-1.590109,-0.395195,-0.004943,-0.006434,0.000708,-0.005656,-0.008169,-0.137295
37,1917722.948716268,0.066837,-1.590072,-0.395191,-0.005211,-0.006796,0.000539,-0.005813,-0.008396,-0.141112
38,1917722.953629598,0.066853,-1.590033,-0.395187,-0.005472,-0.007176,0.000602,-0.005970,-0.008622,-0.144905
39,1917722.958573446,0.066870,-1.589992,-0.395183,-0.005591,-0.007591,0.000570,-0.006127,-0.008849,-0.148722
40,1917722.963517293,0.066887,-1.589949,-0.395179,-0.005679,-0.008189,0.000359,-0.006284,-0.009076,-0.152539
41,1917722.968461141,0.066904,-1.589902,-0.395176,-0.005784,-0.008693,0.000253,-0.006441,-0.009303,-0.156356
42,1917722.973374471,0.066921,-1.589854,-0.395174,-0.005845,-0.009142,0.000169,-0.006598,-0.009529,-0.160149
