,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,0.007278,-0.010075,0.004850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,0.007278,-0.010075,0.004850,-0.000034,0.000193,0.000113,0.000000,0.000000,0.000000
2,1917722.775834188,0.007278,-0.010074,0.004851,-0.000124,0.000207,0.000212,0.000000,0.000000,0.000000
3,1917722.780778035,0.007277,-0.010073,0.004852,-0.000228,0.000305,0.000214,0.000000,0.000000,0.000000
4,1917722.785691366,0.007276,-0.010072,0.004853,-0.000404,0.000481,0.000219,0.000000,0.000000,0.000000
5,1917722.790635213,0.007274,-0.010069,0.004854,-0.000549,0.000438,0.000204,0.000000,0.000000,0.000000
6,1917722.795579061,0.007271,-0.010067,0.004855,-0.000720,0.000556,0.000117,0.000000,0.000000,0.000000
7,1917722.800522909,0.007268,-0.010064,0.004855,-0.000816,0.000397,0.000062,0.000000,0.000000,0.000000
8,1917722.805466756,0.007264,-0.010062,0.004856,-0.001031,0.000415,0.000138,0.000000,0.000000,0.000000
9,1917722.810380086,0.007259,-0.010060,0.004856,-0.001163,0.000353,0.000269,0.000000,0.000000,0.000000
10,1917722.815323934,0.007253,-0.010058,0.004858,-0.001353,0.000406,0.000224,0.000000,0.000000,0.000000
11,1917722.820267782,0.007246,-0.010056,0.004859,-0.001536,0.000369,0.000104,0.000000,0.000000,0.000000
12,1917722.825211629,0.007239,-0.010055,0.004859,-0.001699,0.000377,0.000126,0.000000,0.000000,0.000000
13,1917722.830155477,0.007230,-0.010053,0.004860,-0.001794,0.000442,0.000090,0.000000,0.000000,0.000000
14,1917722.835068807,0.007221,-0.010051,0.004860,-0.001871,0.000442,0.000118,0.000000,0.000000,0.000000
15,1917722.840012655,0.007212,-0.010048,0.004861,-0.002016,0.000493,0.000179,0.000000,0.000000,0.000000
16,1917722.844925985,0.007202,-0.010046,0.004862,-0.002138,0.000742,0.000235,0.000000,0.000000,0.000000
17,1917722.849900350,0.007192,-0.010042,0.004863,-0.002267,0.000997,0.000228,0.000000,0.000000,0.000000
18,1917722.854844198,0.007180,-0.010037,0.004864,-0.002375,0.001232,0.000326,0.000000,0.000000,0.000000
19,1917722.859788045,0.007169,-0.010031,0.004866,-0.002541,0.001443,0.000515,0.000000,0.000000,0.000000
20,1917722.864731893,0.007156,-0.010024,0.004868,-0.002767,0.001575,0.000645,0.000000,0.000000,0.000000
21,1917722.869675741,0.007142,-0.010016,0.004871,-0.002890,0.001885,0.000704,0.000000,0.000000,0.000000
22,1917722.874619588,0.007128,-0.010007,0.004875,-0.002941,0.002170,0.000845,0.000000,0.000000,0.000000
23,1917722.879563436,0.007114,-0.009996,0.004879,-0.002840,0.002365,0.000784,0.000000,0.000000,0.000000
24,1917722.884507284,0.007100,-0.009985,0.004883,-0.002965,0.002573,0.000662,0.000000,0.000000,0.000000
25,1917722.889451131,0.007085,-0.009972,0.004886,-0.003143,0.002831,0.000705,0.000000,0.000000,0.000000
26,1917722.894394979,0.007069,-0.009958,0.004890,-0.003244,0.003216,0.000712,0.000000,0.000000,0.000000
27,1917722.899308309,0.007053,-0.009942,0.004893,-0.003305,0.003495,0.000670,0.000000,0.000000,0.000000
28,1917722.904252157,0.007037,-0.009925,0.004897,-0.003442,0.003624,0.000692,0.000000,0.000000,0.000000
29,1917722.909196004,0.007020,-0.009907,0.004900,-0.003486,0.003896,0.000682,0.000000,0.000000,0.000000
30,1917722.914139852,0.007003,-0.009888,0.004903,-0.003573,0.004227,0.000680,0.000000,0.000000,0.000000
31,1917722.919083700,0.006985,-0.009867,0.004907,-0.003671,0.004489,0.000716,0.000000,0.000000,0.000000
32,1917722.923997030,0.006967,-0.009845,0.004910,-0.003821,0.004636,0.000747,0.000000,0.000000,0.000000
33,1917722.928940877,0.006948,-0.009822,0.004914,-0.004024,0.004715,0.000784,0.000000,0.000000,0.000000
34,1917722.933884725,0.006928,-0.009798,0.004918,-0.004109,0.004854,0.000811,0.000000,0.000000,0.000000
35,1917722.938828573,0.006908,-0.009774,0.004922,-0.004162,0.005188,0.000774,0.000000,0.000000,0.000000
36,1917722.943772420,0.006888,-0.009749,0.004926,-0.004298,0.005448,0.000754,0.000000,0.000000,0.000000
37,1917722.948716268,0.006866,-0.009722,0.004929,-0.004530,0.005765,0.000587,0.000000,0.000000,0.000000
38,1917722.953629598,0.006844,-0.009694,0.004932,-0.004754,0.006080,0.000651,0.000000,0.000000,0.000000
