,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,0.007278,-0.010075,0.004850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,0.007278,-0.010075,0.004850,0.000041,-0.000192,0.000113,-0.000102,0.000013,-0.000490
2,1917722.775834188,0.007278,-0.010076,0.004851,0.000131,-0.000200,0.000212,-0.000203,0.000026,-0.000974
3,1917722.780778035,0.007279,-0.010077,0.004852,0.000237,-0.000289,0.000215,-0.000304,0.000040,-0.001461
4,1917722.785691366,0.007280,-0.010078,0.004853,0.000419,-0.000451,0.000221,-0.000405,0.000053,-0.001945
5,1917722.790635213,0.007282,-0.010081,0.004854,0.000560,-0.000393,0.000206,-0.000507,0.000066,-0.002432
6,1917722.795579061,0.007285,-0.010083,0.004855,0.000734,-0.000493,0.000120,-0.000608,0.000079,-0.002919
7,1917722.800522909,0.007288,-0.010085,0.004855,0.000822,-0.000317,0.000065,-0.000709,0.000092,-0.003406
8,1917722.805466756,0.007293,-0.010087,0.004856,0.001035,-0.000310,0.000142,-0.000811,0.000105,-0.003893
9,1917722.810380086,0.007298,-0.010088,0.004856,0.001161,-0.000224,0.000274,-0.000912,0.000119,-0.004377
10,1917722.815323934,0.007303,-0.010089,0.004858,0.001351,-0.000248,0.000231,-0.001013,0.000132,-0.004864
11,1917722.820267782,0.007310,-0.010090,0.004859,0.001528,-0.000180,0.000112,-0.001115,0.000145,-0.005351
12,1917722.825211629,0.007318,-0.010091,0.004859,0.001687,-0.000156,0.000135,-0.001216,0.000158,-0.005838
13,1917722.830155477,0.007326,-0.010092,0.004860,0.001780,-0.000189,0.000101,-0.001317,0.000171,-0.006325
14,1917722.835068807,0.007335,-0.010093,0.004861,0.001852,-0.000154,0.000131,-0.001418,0.000184,-0.006809
15,1917722.840012655,0.007344,-0.010094,0.004861,0.001994,-0.000166,0.000194,-0.001520,0.000198,-0.007296
16,1917722.844925985,0.007354,-0.010095,0.004862,0.002119,-0.000375,0.000253,-0.001620,0.000211,-0.007780
17,1917722.849900350,0.007364,-0.010096,0.004863,0.002251,-0.000585,0.000248,-0.001723,0.000224,-0.008270
18,1917722.854844198,0.007375,-0.010099,0.004865,0.002360,-0.000775,0.000349,-0.001824,0.000237,-0.008756
19,1917722.859788045,0.007387,-0.010103,0.004866,0.002528,-0.000936,0.000541,-0.001925,0.000250,-0.009243
20,1917722.864731893,0.007399,-0.010108,0.004869,0.002751,-0.001013,0.000674,-0.002027,0.000264,-0.009730
21,1917722.869675741,0.007413,-0.010113,0.004872,0.002877,-0.001270,0.000736,-0.002128,0.000277,-0.010217
22,1917722.874619588,0.007427,-0.010119,0.004876,0.002931,-0.001502,0.000880,-0.002230,0.000290,-0.010704
23,1917722.879563436,0.007442,-0.010126,0.004880,0.002829,-0.001648,0.000824,-0.002331,0.000303,-0.011191
24,1917722.884507284,0.007456,-0.010135,0.004884,0.002952,-0.001795,0.000705,-0.002433,0.000316,-0.011678
25,1917722.889451131,0.007470,-0.010143,0.004888,0.003130,-0.001989,0.000752,-0.002534,0.000330,-0.012165
26,1917722.894394979,0.007486,-0.010153,0.004892,0.003235,-0.002309,0.000763,-0.002635,0.000343,-0.012652
27,1917722.899308309,0.007502,-0.010165,0.004895,0.003297,-0.002523,0.000726,-0.002736,0.000356,-0.013136
28,1917722.904252157,0.007518,-0.010177,0.004899,0.003428,-0.002581,0.000752,-0.002838,0.000369,-0.013623
29,1917722.909196004,0.007535,-0.010190,0.004903,0.003470,-0.002783,0.000746,-0.002939,0.000382,-0.014110
30,1917722.914139852,0.007552,-0.010204,0.004906,0.003558,-0.003041,0.000750,-0.003041,0.000395,-0.014597
31,1917722.919083700,0.007570,-0.010219,0.004910,0.003654,-0.003227,0.000790,-0.003142,0.000409,-0.015084
32,1917722.923997030,0.007588,-0.010235,0.004914,0.003797,-0.003293,0.000826,-0.003243,0.000422,-0.015568
33,1917722.928940877,0.007606,-0.010251,0.004918,0.003991,-0.003287,0.000868,-0.003344,0.000435,-0.016055
34,1917722.933884725,0.007626,-0.010267,0.004922,0.004069,-0.003344,0.000900,-0.003446,0.000448,-0.016542
35,1917722.938828573,0.007646,-0.010284,0.004927,0.004121,-0.003593,0.000869,-0.003547,0.000461,-0.017029
36,1917722.943772420,0.007667,-0.010301,0.004931,0.004252,-0.003763,0.000855,-0.003649,0.000475,-0.017516
37,1917722.948716268,0.007688,-0.010320,0.004935,0.004482,-0.003985,0.000694,-0.003750,0.000488,-0.018003
38,1917722.953629598,0.007710,-0.010340,0.004939,0.004703,-0.004202,0.000764,-0.003851,0.000501,-0.018487
39,1917722.958573446,0.007733,-0.010360,0.004943,0.004781,-0.004409,0.000739,-0.003952,0.000514,-0.018974
40,1917722.963517293,0.007757,-0.010382,0.004946,0.004820,-0.004451,0.000535,-0.004054,0.000527,-0.019461
41,1917722.968461141,0.007780,-0.010404,0.004949,0.004879,-0.004603,0.000437,-0.004155,0.000540,-0.019948
42,1917722.973374471,0.007804,-0.010427,0.004951,0.004896,-0.004823,0.000361,-0.004256,0.000554,-0.020432
43,1917722.978318319,0.007829,-0.010451,0.004953,0.004922,-0.004976,0.000279,-0.004357,0.000567,-0.020919
44,1917722.983262166,0.007853,-0.010475,0.004954,0.005037,-0.005163,0.000287,-0.004459,0.000580,-0.021406
45,1917722.988206014,0.007878,-0.010501,0.004956,0.004971,-0.005355,0.000191,-0.004560,0.000593,-0.021893
46,1917722.993149862,0.007902,-0.010527,0.004957,0.005010,-0.005505,0.000076,-0.004662,0.000606,-0.022380
47,1917722.998063192,0.007927,-0.010554,0.004957,0.005031,-0.005600,-0.000031,-0.004762,0.000619,-0.022864
48,1917723.003007039,0.007952,-0.010582,0.004957,0.005114,-0.005686,-0.000060,-0.004864,0.000633,-0.023351
49,1917723.007950887,0.007977,-0.010610,0.004956,0.005156,-0.005649,-0.000169,-0.004965,0.000646,-0.023838
50,1917723.012894735,0.008003,-0.010638,0.004956,0.005268,-0.005661,-0.000067,-0.005067,0.000659,-0.024325
51,1917723.017838582,0.008029,-0.010666,0.004955,0.005329,-0.005642,-0.000064,-0.005168,0.000672,-0.024812
52,1917723.022751912,0.008055,-0.010694,0.004955,0.005483,-0.005539,-0.000104,-0.005269,0.000685,-0.025295
53,1917723.027695760,0.008082,-0.010721,0.004954,0.005513,-0.005558,-0.000181,-0.005370,0.000698,-0.025782
54,1917723.032639608,0.008109,-0.010749,0.004954,0.005470,-0.005499,-0.000223,-0.005472,0.000712,-0.026269
55,1917723.037583455,0.008136,-0.010776,0.004952,0.005593,-0.005528,-0.000264,-0.005573,0.000725,-0.026756
56,1917723.042527303,0.008164,-0.010803,0.004951,0.005766,-0.005556,-0.000479,-0.005675,0.000738,-0.027243
57,1917723.047471151,0.008192,-0.010831,0.004949,0.005782,-0.005493,-0.000767,-0.005776,0.000751,-0.027730
58,1917723.052414998,0.008221,-0.010858,0.004945,0.005723,-0.005418,-0.000988,-0.005878,0.000764,-0.028217
59,1917723.057358846,0.008249,-0.010884,0.004940,0.005844,-0.005277,-0.001229,-0.005979,0.000778,-0.028704
60,1917723.062272176,0.008278,-0.010910,0.004934,0.005790,-0.005056,-0.001544,-0.006080,0.000791,-0.029188
61,1917723.067216024,0.008307,-0.010935,0.004926,0.005725,-0.004838,-0.001773,-0.006181,0.000804,-0.029675
62,1917723.072159871,0.008335,-0.010959,0.004918,0.005738,-0.004548,-0.002134,-0.006283,0.000817,-0.030162
63,1917723.077073201,0.008363,-0.010982,0.004907,0.005773,-0.004111,-0.002410,-0.006384,0.000830,-0.030646
64,1917723.082017049,0.008392,-0.011002,0.004895,0.005879,-0.003870,-0.002555,-0.006485,0.000843,-0.031133
65,1917723.086960897,0.008421,-0.011021,0.004883,0.005901,-0.003503,-0.002828,-0.006586,0.000857,-0.031620
66,1917723.091904744,0.008450,-0.011038,0.004869,0.005934,-0.003147,-0.003032,-0.006688,0.000870,-0.032107
67,1917723.096848592,0.008479,-0.011054,0.004854,0.005973,-0.002787,-0.003215,-0.006789,0.000883,-0.032594
68,1917723.101792440,0.008509,-0.011068,0.004838,0.006007,-0.002402,-0.003387,-0.006891,0.000896,-0.033081
69,1917723.106705770,0.008538,-0.011080,0.004821,0.006075,-0.002050,-0.003482,-0.006992,0.000909,-0.033565
70,1917723.111649618,0.008568,-0.011090,0.004804,0.006288,-0.001825,-0.003562,-0.007093,0.000923,-0.034052
71,1917723.116593465,0.008599,-0.011099,0.004786,0.006354,-0.001569,-0.003674,-0.007194,0.000936,-0.034539
72,1917723.121537313,0.008631,-0.011106,0.004768,0.006448,-0.001263,-0.003831,-0.007296,0.000949,-0.035026
73,1917723.126481160,0.008663,-0.011113,0.004749,0.006520,-0.001029,-0.003952,-0.007397,0.000962,-0.035513
74,1917723.131425008,0.008695,-0.011118,0.004730,0.006600,-0.000753,-0.004176,-0.007499,0.000975,-0.036000
75,1917723.136368856,0.008728,-0.011122,0.004709,0.006530,-0.000431,-0.004169,-0.007600,0.000988,-0.036487
76,1917723.141282186,0.008760,-0.011124,0.004689,0.006596,-0.000165,-0.004191,-0.007701,0.001002,-0.036971
77,1917723.146195516,0.008792,-0.011124,0.004668,0.006698,0.000062,-0.004199,-0.007802,0.001015,-0.037455
78,1917723.151139364,0.008825,-0.011124,0.004647,0.006589,0.000420,-0.004280,-0.007903,0.001028,-0.037942
79,1917723.156083211,0.008858,-0.011122,0.004626,0.006610,0.000778,-0.004396,-0.008005,0.001041,-0.038429
80,1917723.161027059,0.008891,-0.011118,0.004604,0.006510,0.001155,-0.004556,-0.008106,0.001054,-0.038916
81,1917723.165970907,0.008923,-0.011113,0.004582,0.006288,0.001504,-0.004598,-0.008208,0.001067,-0.039403
82,1917723.170914754,0.008954,-0.011105,0.004559,0.006011,0.001744,-0.004860,-0.008309,0.001081,-0.039890
83,1917723.175858602,0.008983,-0.011096,0.004535,0.005748,0.001961,-0.004931,-0.008410,0.001094,-0.040377
84,1917723.180802450,0.009012,-0.011087,0.004511,0.005475,0.002175,-0.004940,-0.008512,0.001107,-0.040864
85,1917723.185715780,0.009039,-0.011076,0.004486,0.005206,0.002327,-0.004959,-0.008613,0.001120,-0.041348
86,1917723.190659627,0.009065,-0.011065,0.004462,0.005039,0.002368,-0.004981,-0.008714,0.001133,-0.041835
87,1917723.195603475,0.009089,-0.011053,0.004437,0.004825,0.002405,-0.004936,-0.008815,0.001147,-0.042321
88,1917723.200547323,0.009113,-0.011041,0.004413,0.004688,0.002728,-0.004969,-0.008917,0.001160,-0.042808
89,1917723.205491170,0.009136,-0.011028,0.004388,0.004573,0.003130,-0.004980,-0.009018,0.001173,-0.043295
90,1917723.210404500,0.009159,-0.011012,0.004364,0.004411,0.003666,-0.005089,-0.009119,0.001186,-0.043779
91,1917723.215348348,0.009181,-0.010994,0.004339,0.004215,0.004270,-0.005245,-0.009221,0.001199,-0.044266
92,1917723.220292196,0.009202,-0.010973,0.004313,0.004130,0.004847,-0.005519,-0.009322,0.001212,-0.044753
93,1917723.225236043,0.009222,-0.010949,0.004285,0.004076,0.005544,-0.005674,-0.009423,0.001226,-0.045240
94,1917723.230179891,0.009242,-0.010922,0.004257,0.004070,0.006101,-0.005810,-0.009525,0.001239,-0.045727
95,1917723.235093221,0.009262,-0.010892,0.004229,0.004015,0.006438,-0.005850,-0.009626,0.001252,-0.046211
96,1917723.240037069,0.009282,-0.010860,0.004200,0.003949,0.006731,-0.005756,-0.009727,0.001265,-0.046698
97,1917723.244980916,0.009302,-0.010826,0.004171,0.003737,0.006707,-0.005620,-0.009829,0.001278,-0.047185
98,1917723.249894246,0.009320,-0.010793,0.004144,0.003540,0.006580,-0.005350,-0.009929,0.001291,-0.047669
99,1917723.254838094,0.009337,-0.010761,0.004117,0.003328,0.006387,-0.005045,-0.010031,0.001305,-0.048156
100,1917723.259781942,0.009354,-0.010729,0.004092,0.003057,0.005959,-0.004822,-0.010132,0.001318,-0.048643
101,1917723.264725789,0.009369,-0.010700,0.004069,0.002765,0.005607,-0.004306,-0.010234,0.001331,-0.049130
102,1917723.269639119,0.009383,-0.010672,0.004047,0.002426,0.004890,-0.003740,-0.010335,0.001344,-0.049614
103,1917723.274582967,0.009395,-0.010648,0.004029,0.002055,0.004066,-0.003054,-0.010436,0.001357,-0.050101
104,1917723.279526815,0.009405,-0.010628,0.004014,0.001737,0.003201,-0.002331,-0.010537,0.001371,-0.050588
105,1917723.284470662,0.009413,-0.010612,0.004002,0.001451,0.002190,-0.001536,-0.010639,0.001384,-0.051075
106,1917723.289383993,0.009420,-0.010602,0.003995,0.001234,0.001305,-0.000692,-0.010740,0.001397,-0.051559
107,1917723.294358358,0.009427,-0.010595,0.003991,0.000965,0.000432,0.000196,-0.010842,0.001410,-0.052049
108,1917723.299271688,0.009431,-0.010593,0.003992,0.000750,-0.000367,0.000852,-0.010943,0.001423,-0.052533
109,1917723.304215535,0.009435,-0.010595,0.003996,0.000412,-0.001070,0.001497,-0.011044,0.001436,-0.053020
110,1917723.309159383,0.009437,-0.010600,0.004004,-0.000035,-0.001897,0.001980,-0.011145,0.001450,-0.053507
111,1917723.314103231,0.009437,-0.010609,0.004014,-0.000533,-0.002693,0.002383,-0.011247,0.001463,-0.053994
112,1917723.319016561,0.009434,-0.010623,0.004025,-0.000963,-0.003278,0.002817,-0.011348,0.001476,-0.054478
113,1917723.323960409,0.009430,-0.010639,0.004039,-0.001415,-0.003951,0.003260,-0.011449,0.001489,-0.054965
114,1917723.328904256,0.009423,-0.010658,0.004055,-0.002022,-0.004389,0.003614,-0.011551,0.001502,-0.055452
115,1917723.333848104,0.009413,-0.010680,0.004073,-0.002676,-0.004846,0.003934,-0.011652,0.001515,-0.055939
116,1917723.338761434,0.009399,-0.010704,0.004093,-0.003416,-0.005262,0.004054,-0.011753,0.001529,-0.056423
117,1917723.343735799,0.009382,-0.010730,0.004113,-0.004219,-0.005444,0.004437,-0.011855,0.001542,-0.056913
118,1917723.348649129,0.009362,-0.010757,0.004135,-0.005001,-0.005303,0.004930,-0.011956,0.001555,-0.057397
119,1917723.353592977,0.009337,-0.010783,0.004159,-0.005526,-0.004891,0.005320,-0.012057,0.001568,-0.057884
120,1917723.358536825,0.009310,-0.010807,0.004185,-0.006223,-0.004169,0.005678,-0.012158,0.001581,-0.058371
121,1917723.363480672,0.009279,-0.010828,0.004213,-0.006628,-0.003096,0.006098,-0.012260,0.001595,-0.058857
122,1917723.368424520,0.009246,-0.010843,0.004243,-0.006949,-0.001806,0.006411,-0.012361,0.001608,-0.059344
123,1917723.373337850,0.009212,-0.010852,0.004275,-0.007099,-0.000088,0.006341,-0.012462,0.001621,-0.059828
124,1917723.378281698,0.009177,-0.010852,0.004306,-0.007072,0.001717,0.006227,-0.012564,0.001634,-0.060315
125,1917723.383225545,0.009142,-0.010844,0.004337,-0.006871,0.003652,0.005814,-0.012665,0.001647,-0.060802
126,1917723.393113241,0.009074,-0.010808,0.004395,-0.006463,0.007883,0.004973,-0.012868,0.001674,-0.061776
127,1917723.398057088,0.009042,-0.010769,0.004419,-0.005968,0.009673,0.004440,-0.012969,0.001687,-0.062263
128,1917723.402970418,0.009013,-0.010721,0.004441,-0.005508,0.011531,0.003838,-0.013070,0.001700,-0.062747
129,1917723.407914266,0.008985,-0.010664,0.004460,-0.004891,0.013190,0.003318,-0.013172,0.001713,-0.063234
130,1917723.412858114,0.008961,-0.010599,0.004476,-0.004282,0.014527,0.002700,-0.013273,0.001726,-0.063721
131,1917723.417801961,0.008940,-0.010527,0.004490,-0.003739,0.015815,0.002207,-0.013374,0.001739,-0.064208
132,1917723.422715291,0.008922,-0.010450,0.004501,-0.003186,0.016812,0.001697,-0.013475,0.001753,-0.064692
133,1917723.427659139,0.008906,-0.010366,0.004509,-0.002696,0.017602,0.001232,-0.013577,0.001766,-0.065179
134,1917723.432602987,0.008893,-0.010279,0.004515,-0.002251,0.018407,0.000767,-0.013678,0.001779,-0.065666
135,1917723.437516317,0.008882,-0.010189,0.004519,-0.001857,0.019040,0.000329,-0.013779,0.001792,-0.066150
136,1917723.442460164,0.008872,-0.010095,0.004520,-0.001591,0.019446,-0.000061,-0.013880,0.001805,-0.066637
137,1917723.447404012,0.008865,-0.009999,0.004520,-0.001440,0.019807,-0.000470,-0.013982,0.001818,-0.067124
138,1917723.452347860,0.008857,-0.009901,0.004518,-0.001288,0.020022,-0.000807,-0.014083,0.001832,-0.067611
139,1917723.457291707,0.008851,-0.009802,0.004514,-0.001354,0.020260,-0.001175,-0.014185,0.001845,-0.068098
140,1917723.462235555,0.008844,-0.009702,0.004508,-0.001442,0.020630,-0.001577,-0.014286,0.001858,-0.068585
141,1917723.467179403,0.008837,-0.009600,0.004500,-0.001426,0.021124,-0.001838,-0.014388,0.001871,-0.069072
142,1917723.472092733,0.008830,-0.009496,0.004491,-0.001509,0.021716,-0.002022,-0.014488,0.001884,-0.069556
143,1917723.477036580,0.008823,-0.009389,0.004481,-0.001541,0.022302,-0.002363,-0.014590,0.001898,-0.070043
