,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,0.020968,-0.162407,-0.431822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,0.020968,-0.162407,-0.431822,-0.000034,0.000193,0.000113,-0.000091,0.000027,-0.000259
2,1917722.775834188,0.020968,-0.162408,-0.431821,-0.000123,0.000206,0.000212,-0.000181,0.000053,-0.000515
3,1917722.780778035,0.020968,-0.162409,-0.431820,-0.000227,0.000301,0.000215,-0.000272,0.000079,-0.000773
4,1917722.785691366,0.020969,-0.162411,-0.431819,-0.000402,0.000473,0.000220,-0.000362,0.000105,-0.001029
5,1917722.790635213,0.020971,-0.162413,-0.431818,-0.000545,0.000425,0.000206,-0.000452,0.000132,-0.001287
6,1917722.795579061,0.020974,-0.162415,-0.431817,-0.000715,0.000536,0.000119,-0.000543,0.000158,-0.001545
7,1917722.800522909,0.020977,-0.162418,-0.431816,-0.000809,0.000370,0.000065,-0.000633,0.000185,-0.001803
8,1917722.805466756,0.020981,-0.162420,-0.431816,-0.001022,0.000379,0.000142,-0.000724,0.000211,-0.002060
9,1917722.810380086,0.020986,-0.162422,-0.431815,-0.001151,0.000307,0.000274,-0.000814,0.000237,-0.002316
10,1917722.815323934,0.020992,-0.162423,-0.431814,-0.001338,0.000348,0.000231,-0.000904,0.000264,-0.002574
11,1917722.820267782,0.020999,-0.162425,-0.431812,-0.001517,0.000297,0.000112,-0.000995,0.000290,-0.002832
12,1917722.825211629,0.021006,-0.162426,-0.431811,-0.001677,0.000291,0.000136,-0.001085,0.000316,-0.003090
13,1917722.830155477,0.021014,-0.162428,-0.431811,-0.001767,0.000341,0.000102,-0.001176,0.000343,-0.003347
14,1917722.835068807,0.021023,-0.162430,-0.431810,-0.001840,0.000324,0.000132,-0.001266,0.000369,-0.003603
15,1917722.840012655,0.021032,-0.162431,-0.431809,-0.001981,0.000357,0.000195,-0.001356,0.000396,-0.003861
16,1917722.844925985,0.021042,-0.162433,-0.431808,-0.002097,0.000587,0.000254,-0.001446,0.000422,-0.004117
17,1917722.849900350,0.021052,-0.162436,-0.431806,-0.002221,0.000820,0.000249,-0.001537,0.000448,-0.004377
18,1917722.854844198,0.021063,-0.162440,-0.431805,-0.002322,0.001033,0.000349,-0.001628,0.000475,-0.004634
19,1917722.859788045,0.021075,-0.162445,-0.431803,-0.002483,0.001221,0.000541,-0.001718,0.000501,-0.004892
20,1917722.864731893,0.021087,-0.162452,-0.431800,-0.002702,0.001327,0.000674,-0.001809,0.000528,-0.005150
21,1917722.869675741,0.021100,-0.162458,-0.431796,-0.002818,0.001611,0.000736,-0.001899,0.000554,-0.005408
22,1917722.874619588,0.021114,-0.162466,-0.431792,-0.002862,0.001869,0.000880,-0.001990,0.000580,-0.005665
23,1917722.879563436,0.021128,-0.162476,-0.431788,-0.002753,0.002036,0.000823,-0.002080,0.000607,-0.005923
