,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,-0.086000,-0.719935,-0.375073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,-0.086000,-0.719935,-0.375073,-0.000196,0.000002,0.000113,-0.000089,0.000045,0.000006
2,1917722.775834188,-0.086000,-0.719936,-0.375073,-0.000226,-0.000084,0.000212,-0.000176,0.000089,0.000012
3,1917722.780778035,-0.085999,-0.719937,-0.375072,-0.000341,-0.000167,0.000215,-0.000264,0.000134,0.000018
4,1917722.785691366,-0.085998,-0.719939,-0.375071,-0.000546,-0.000308,0.000220,-0.000352,0.000179,0.000024
5,1917722.790635213,-0.085996,-0.719941,-0.375069,-0.000529,-0.000455,0.000206,-0.000440,0.000223,0.000031
6,1917722.795579061,-0.085993,-0.719943,-0.375068,-0.000676,-0.000600,0.000120,-0.000528,0.000268,0.000037
7,1917722.800522909,-0.085990,-0.719946,-0.375068,-0.000537,-0.000721,0.000066,-0.000616,0.000313,0.000043
8,1917722.805466756,-0.085986,-0.719947,-0.375067,-0.000593,-0.000926,0.000143,-0.000705,0.000357,0.000049
9,1917722.810380086,-0.085980,-0.719949,-0.375066,-0.000555,-0.001063,0.000275,-0.000792,0.000402,0.000055
10,1917722.815323934,-0.085975,-0.719950,-0.375065,-0.000641,-0.001237,0.000232,-0.000880,0.000447,0.000061
11,1917722.820267782,-0.085968,-0.719952,-0.375064,-0.000637,-0.001419,0.000113,-0.000968,0.000491,0.000067
12,1917722.825211629,-0.085960,-0.719953,-0.375063,-0.000674,-0.001573,0.000137,-0.001057,0.000536,0.000073
13,1917722.830155477,-0.085952,-0.719955,-0.375062,-0.000754,-0.001649,0.000103,-0.001145,0.000581,0.000079
14,1917722.835068807,-0.085943,-0.719956,-0.375061,-0.000767,-0.001719,0.000133,-0.001232,0.000625,0.000086
15,1917722.840012655,-0.085934,-0.719958,-0.375060,-0.000842,-0.001846,0.000196,-0.001320,0.000670,0.000092
16,1917722.844925985,-0.085924,-0.719960,-0.375059,-0.001108,-0.001914,0.000256,-0.001408,0.000714,0.000098
17,1917722.849900350,-0.085914,-0.719963,-0.375057,-0.001380,-0.001988,0.000251,-0.001497,0.000759,0.000104
18,1917722.854844198,-0.085903,-0.719967,-0.375056,-0.001630,-0.002043,0.000352,-0.001585,0.000804,0.000110
19,1917722.859788045,-0.085891,-0.719972,-0.375054,-0.001866,-0.002160,0.000543,-0.001673,0.000849,0.000116
20,1917722.864731893,-0.085879,-0.719979,-0.375051,-0.002035,-0.002350,0.000677,-0.001761,0.000893,0.000122
21,1917722.869675741,-0.085865,-0.719986,-0.375047,-0.002360,-0.002405,0.000739,-0.001849,0.000938,0.000128
22,1917722.874619588,-0.085851,-0.719994,-0.375043,-0.002648,-0.002394,0.000884,-0.001937,0.000983,0.000135
23,1917722.879563436,-0.085836,-0.720004,-0.375038,-0.002820,-0.002250,0.000827,-0.002025,0.001028,0.000141
24,1917722.884507284,-0.085822,-0.720015,-0.375034,-0.003045,-0.002324,0.000709,-0.002114,0.001072,0.000147
25,1917722.889451131,-0.085807,-0.720027,-0.375030,-0.003329,-0.002442,0.000756,-0.002202,0.001117,0.000153
26,1917722.894394979,-0.085792,-0.720040,-0.375026,-0.003724,-0.002460,0.000767,-0.002290,0.001162,0.000159
27,1917722.899308309,-0.085776,-0.720054,-0.375022,-0.004008,-0.002458,0.000729,-0.002377,0.001206,0.000165
28,1917722.904252157,-0.085759,-0.720071,-0.375018,-0.004157,-0.002557,0.000756,-0.002466,0.001251,0.000171
29,1917722.909196004,-0.085742,-0.720088,-0.375014,-0.004429,-0.002538,0.000750,-0.002554,0.001296,0.000177
30,1917722.914139852,-0.085725,-0.720106,-0.375010,-0.004768,-0.002550,0.000753,-0.002642,0.001340,0.000183
31,1917722.919083700,-0.085707,-0.720126,-0.375006,-0.005041,-0.002585,0.000794,-0.002730,0.001385,0.000190
32,1917722.923997030,-0.085688,-0.720147,-0.375002,-0.005211,-0.002692,0.000830,-0.002818,0.001429,0.000196
33,1917722.928940877,-0.085669,-0.720168,-0.374997,-0.005323,-0.002863,0.000873,-0.002906,0.001474,0.000202
34,1917722.933884725,-0.085649,-0.720190,-0.374992,-0.005473,-0.002907,0.000905,-0.002994,0.001519,0.000208
35,1917722.938828573,-0.085629,-0.720213,-0.374988,-0.005808,-0.002883,0.000874,-0.003082,0.001563,0.000214
36,1917722.943772420,-0.085608,-0.720238,-0.374983,-0.006085,-0.002953,0.000860,-0.003170,0.001608,0.000220
37,1917722.948716268,-0.085587,-0.720263,-0.374978,-0.006436,-0.003108,0.000699,-0.003258,0.001653,0.000226
38,1917722.953629598,-0.085564,-0.720290,-0.374974,-0.006783,-0.003254,0.000769,-0.003346,0.001697,0.000232
39,1917722.958573446,-0.085541,-0.720319,-0.374970,-0.007091,-0.003263,0.000744,-0.003434,0.001742,0.000238
40,1917722.963517293,-0.085517,-0.720349,-0.374966,-0.007233,-0.003269,0.000541,-0.003522,0.001787,0.000245
41,1917722.968461141,-0.085492,-0.720380,-0.374963,-0.007489,-0.003269,0.000443,-0.003610,0.001831,0.000251
42,1917722.973374471,-0.085468,-0.720411,-0.374960,-0.007803,-0.003213,0.000367,-0.003698,0.001876,0.000257
43,1917722.978318319,-0.085443,-0.720445,-0.374958,-0.008057,-0.003181,0.000286,-0.003786,0.001921,0.000263
44,1917722.983262166,-0.085418,-0.720480,-0.374956,-0.008367,-0.003226,0.000293,-0.003874,0.001965,0.000269
