,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,-0.074526,-0.282572,-0.436907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,-0.074526,-0.282572,-0.436907,-0.000034,0.000193,0.000113,-0.000129,0.000031,-0.000222
2,1917722.775834188,-0.074525,-0.282573,-0.436906,-0.000123,0.000206,0.000212,-0.000256,0.000062,-0.000442
3,1917722.780778035,-0.074525,-0.282574,-0.436905,-0.000226,0.000301,0.000215,-0.000384,0.000093,-0.000663
4,1917722.785691366,-0.074523,-0.282576,-0.436904,-0.000401,0.000474,0.000220,-0.000511,0.000124,-0.000883
5,1917722.790635213,-0.074521,-0.282578,-0.436903,-0.000543,0.000426,0.000205,-0.000639,0.000155,-0.001104
6,1917722.795579061,-0.074518,-0.282580,-0.436902,-0.000712,0.000539,0.000119,-0.000767,0.000186,-0.001325
7,1917722.800522909,-0.074515,-0.282582,-0.436901,-0.000804,0.000373,0.000065,-0.000894,0.000217,-0.001546
8,1917722.805466756,-0.074511,-0.282584,-0.436901,-0.001016,0.000383,0.000142,-0.001022,0.000248,-0.001767
9,1917722.810380086,-0.074506,-0.282585,-0.436900,-0.001143,0.000312,0.000274,-0.001149,0.000279,-0.001987
10,1917722.815323934,-0.074500,-0.282586,-0.436898,-0.001329,0.000355,0.000231,-0.001277,0.000310,-0.002208
11,1917722.820267782,-0.074493,-0.282587,-0.436897,-0.001506,0.000306,0.000112,-0.001405,0.000341,-0.002429
12,1917722.825211629,-0.074486,-0.282588,-0.436896,-0.001664,0.000302,0.000135,-0.001533,0.000372,-0.002650
13,1917722.830155477,-0.074477,-0.282589,-0.436895,-0.001751,0.000353,0.000101,-0.001661,0.000402,-0.002871
14,1917722.835068807,-0.074469,-0.282590,-0.436895,-0.001821,0.000339,0.000131,-0.001788,0.000433,-0.003090
15,1917722.840012655,-0.074459,-0.282591,-0.436894,-0.001959,0.000374,0.000194,-0.001916,0.000464,-0.003312
16,1917722.844925985,-0.074450,-0.282592,-0.436893,-0.002073,0.000606,0.000253,-0.002043,0.000495,-0.003531
17,1917722.849900350,-0.074439,-0.282594,-0.436891,-0.002193,0.000842,0.000248,-0.002172,0.000526,-0.003754
18,1917722.854844198,-0.074428,-0.282597,-0.436890,-0.002292,0.001058,0.000348,-0.002300,0.000557,-0.003975
19,1917722.859788045,-0.074416,-0.282601,-0.436888,-0.002448,0.001249,0.000539,-0.002427,0.000588,-0.004196
20,1917722.864731893,-0.074404,-0.282606,-0.436885,-0.002664,0.001358,0.000673,-0.002555,0.000619,-0.004417
21,1917722.869675741,-0.074390,-0.282612,-0.436881,-0.002775,0.001646,0.000734,-0.002683,0.000650,-0.004638
22,1917722.874619588,-0.074376,-0.282619,-0.436877,-0.002815,0.001907,0.000878,-0.002811,0.000681,-0.004859
23,1917722.879563436,-0.074361,-0.282627,-0.436872,-0.002702,0.002078,0.000821,-0.002939,0.000712,-0.005080
24,1917722.884507284,-0.074347,-0.282636,-0.436868,-0.002815,0.002259,0.000702,-0.003067,0.000743,-0.005301
25,1917722.889451131,-0.074333,-0.282646,-0.436864,-0.002979,0.002490,0.000749,-0.003195,0.000774,-0.005522
26,1917722.894394979,-0.074317,-0.282657,-0.436860,-0.003066,0.002846,0.000759,-0.003323,0.000805,-0.005743
27,1917722.899308309,-0.074301,-0.282670,-0.436856,-0.003114,0.003096,0.000721,-0.003450,0.000836,-0.005963
28,1917722.904252157,-0.074284,-0.282683,-0.436852,-0.003236,0.003194,0.000747,-0.003578,0.000867,-0.006184
29,1917722.909196004,-0.074267,-0.282698,-0.436848,-0.003264,0.003434,0.000741,-0.003705,0.000898,-0.006405
30,1917722.914139852,-0.074249,-0.282713,-0.436844,-0.003335,0.003732,0.000743,-0.003833,0.000929,-0.006626
31,1917722.919083700,-0.074231,-0.282730,-0.436840,-0.003417,0.003960,0.000784,-0.003961,0.000960,-0.006847
32,1917722.923997030,-0.074213,-0.282748,-0.436836,-0.003550,0.004072,0.000819,-0.004088,0.000991,-0.007066
