,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917722.765946493,-0.127027,-1.450840,-0.399345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917722.770920858,-0.127027,-1.450840,-0.399345,-0.000034,0.000193,0.000113,0.000086,-0.000252,-0.003836
2,1917722.775834188,-0.127027,-1.450841,-0.399345,-0.000126,0.000188,0.000212,0.000170,-0.000501,-0.007626
3,1917722.780778035,-0.127026,-1.450842,-0.399343,-0.000234,0.000248,0.000214,0.000255,-0.000751,-0.011438
4,1917722.785691366,-0.127025,-1.450843,-0.399342,-0.000418,0.000369,0.000218,0.000340,-0.001000,-0.015228
5,1917722.790635213,-0.127023,-1.450845,-0.399341,-0.000571,0.000251,0.000203,0.000425,-0.001251,-0.019040
6,1917722.795579061,-0.127020,-1.450846,-0.399340,-0.000754,0.000275,0.000116,0.000510,-0.001501,-0.022853
7,1917722.800522909,-0.127016,-1.450847,-0.399340,-0.000864,0.000004,0.000060,0.000595,-0.001752,-0.026666
8,1917722.805466756,-0.127011,-1.450846,-0.399339,-0.001095,-0.000109,0.000135,0.000680,-0.002002,-0.030479
9,1917722.810380086,-0.127006,-1.450845,-0.399338,-0.001245,-0.000320,0.000265,0.000764,-0.002251,-0.034268
10,1917722.815323934,-0.127000,-1.450842,-0.399337,-0.001456,-0.000436,0.000220,0.000849,-0.002501,-0.038081
11,1917722.820267782,-0.126994,-1.450839,-0.399336,-0.001661,-0.000661,0.000099,0.000934,-0.002752,-0.041894
12,1917722.825211629,-0.126986,-1.450835,-0.399335,-0.001849,-0.000858,0.000119,0.001019,-0.003002,-0.045706
13,1917722.830155477,-0.126977,-1.450830,-0.399334,-0.001970,-0.001018,0.000083,0.001104,-0.003253,-0.049519
14,1917722.835068807,-0.126968,-1.450824,-0.399333,-0.002077,-0.001260,0.000110,0.001189,-0.003502,-0.053308
15,1917722.840012655,-0.126959,-1.450816,-0.399332,-0.002254,-0.001471,0.000169,0.001274,-0.003752,-0.057121
16,1917722.844925985,-0.126949,-1.450808,-0.399331,-0.002409,-0.001502,0.000225,0.001358,-0.004001,-0.060910
17,1917722.849900350,-0.126938,-1.450799,-0.399330,-0.002574,-0.001549,0.000216,0.001444,-0.004253,-0.064747
18,1917722.854844198,-0.126926,-1.450790,-0.399328,-0.002719,-0.001632,0.000313,0.001529,-0.004503,-0.068560
19,1917722.859788045,-0.126914,-1.450780,-0.399326,-0.002926,-0.001758,0.000500,0.001614,-0.004754,-0.072372
20,1917722.864731893,-0.126901,-1.450770,-0.399323,-0.003194,-0.001983,0.000629,0.001699,-0.005004,-0.076185
21,1917722.869675741,-0.126886,-1.450758,-0.399319,-0.003361,-0.002048,0.000687,0.001784,-0.005255,-0.079998
22,1917722.874619588,-0.126871,-1.450746,-0.399315,-0.003460,-0.002157,0.000826,0.001869,-0.005505,-0.083811
23,1917722.879563436,-0.126856,-1.450733,-0.399311,-0.003407,-0.002373,0.000765,0.001954,-0.005755,-0.087623
24,1917722.884507284,-0.126841,-1.450720,-0.399306,-0.003583,-0.002598,0.000641,0.002039,-0.006006,-0.091436
25,1917722.889451131,-0.126825,-1.450705,-0.399303,-0.003814,-0.002789,0.000683,0.002124,-0.006256,-0.095249
26,1917722.894394979,-0.126808,-1.450689,-0.399299,-0.003970,-0.002873,0.000688,0.002209,-0.006507,-0.099062
27,1917722.899308309,-0.126790,-1.450672,-0.399295,-0.004089,-0.003078,0.000645,0.002293,-0.006756,-0.102851
28,1917722.904252157,-0.126772,-1.450655,-0.399291,-0.004286,-0.003456,0.000666,0.002378,-0.007006,-0.106664
29,1917722.909196004,-0.126753,-1.450635,-0.399287,-0.004391,-0.003709,0.000654,0.002463,-0.007257,-0.110477
30,1917722.914139852,-0.126734,-1.450615,-0.399283,-0.004542,-0.003922,0.000651,0.002548,-0.007507,-0.114289
31,1917722.919083700,-0.126714,-1.450593,-0.399279,-0.004706,-0.004222,0.000686,0.002633,-0.007757,-0.118102
32,1917722.923997030,-0.126694,-1.450569,-0.399274,-0.004924,-0.004653,0.000716,0.002718,-0.008006,-0.121891
33,1917722.928940877,-0.126673,-1.450543,-0.399270,-0.005198,-0.005174,0.000752,0.002803,-0.008257,-0.125704
34,1917722.933884725,-0.126651,-1.450515,-0.399265,-0.005355,-0.005653,0.000778,0.002888,-0.008507,-0.129517
35,1917722.938828573,-0.126628,-1.450484,-0.399260,-0.005483,-0.005957,0.000740,0.002973,-0.008758,-0.133330
36,1917722.943772420,-0.126605,-1.450451,-0.399256,-0.005695,-0.006353,0.000720,0.003058,-0.009008,-0.137143
