,time,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z,linacce_x,linacce_y,linacce_z,grav_x,grav_y,grav_z,magnet_x,magnet_y,magnet_z,pos_x,pos_y,pos_z,ori_w,ori_x,ori_y,ori_z,rv_w,rv_x,rv_y,rv_z
0,1917663617220121.0,-0.058044,0.043106,0.03154,0.7838576293475507,9.883506240457482,-0.9671402404574818,-0.045372,-0.031353,-0.038662,0.815143,9.730016,-0.912532,8.040454277960192,-41.77201048845824,12.25497946221312,-0.001301,-0.124215,-0.025744,0.672843,0.737484,-0.058187,0.003895,0.48789399999999994,0.4912089999999999,-0.5524859999999999,-0.46414799999999995
1,1917663622163969.0,-0.060181,0.042038,0.033676,0.8005043890861936,9.869579610909357,-0.9748579260066248,-0.020705,-0.057936,-0.05212,0.816819,9.730119,-0.909939,7.646105244290765,-41.578505271878655,12.795326702908927,-0.001398,-0.124346,-0.025794,0.672956,0.73738,-0.058178,0.004014,0.48804700000000006,0.491153,-0.552416,-0.46413000000000004
2,1917663627107817.0,-0.058044,0.039917,0.033676,0.8100049444220373,9.854666277732852,-0.9952485372432567,-0.025317,-0.063526,-0.081968,0.818449,9.73019,-0.907705,7.251756210621338,-41.38500005529907,13.335673943604736,-0.001496,-0.124475,-0.025845,0.673069,0.737276,-0.058174,0.004132,0.488187,0.491104,-0.552356,-0.46410499999999993
3,1917663632021147.0,-0.060181,0.043106,0.037933,0.8179647138158845,9.842198286218716,-1.0032152859054857,-0.011108,-0.080318,-0.077846,0.820414,9.730244,-0.905353,6.9275658056802385,-41.24133989106063,13.810933031088679,-0.001595,-0.124602,-0.025897,0.673182,0.737173,-0.058172,0.004254,0.48834099999999997,0.491046,-0.5522979999999998,-0.464072
4,1917663636964994.0,-0.060181,0.045242,0.036865,0.8382923314969092,9.820676946374554,-0.988028001694834,0.010139000000000002,-0.104102,-0.058942,0.82254,9.730298,-0.902834,7.316884305157901,-41.61079123393202,13.636713947154991,-0.001695,-0.124729,-0.025951,0.673297,0.737067,-0.058169,0.004384,0.4885070000000001,0.49098400000000003,-0.552237,-0.4640350000000001
5,1917663641908842.0,-0.061249,0.048431,0.037933,0.8427352221504383,9.830154407667468,-0.98950294458345,-0.0015099999999999992,-0.068931,-0.080028,0.824611,9.730349,-0.900396,7.70620288338365,-41.98024265153293,13.462494827981725,-0.001795,-0.124853,-0.026007,0.673414,0.73696,-0.058162,0.004519,0.48867299999999997,0.4909299999999999,-0.552173,-0.463995
6,1917663646852690.0,-0.064438,0.046295,0.041122,0.8221591294143752,9.846315481499431,-0.9671677959016944,-0.032197,-0.066101,-0.030449000000000004,0.826574,9.730458,-0.897408,8.095521461609401,-42.34969406913385,13.28827570880846,-0.001894,-0.124956,-0.026063,0.673535,0.736849,-0.058158,0.004658,0.48884799999999995,0.4908619999999999,-0.552096,-0.4639750000000001
7,1917663651796537.0,-0.065506,0.0495,0.044327,0.8123298144847525,9.835308575722104,-0.9371730195544077,-0.030143,-0.086436,-0.020525,0.828738,9.730562,-0.894289,8.466298902962853,-42.650353632332646,13.129829246592513,-0.001994,-0.125058,-0.02612,0.673659,0.736734,-0.058159,0.004802,0.48903500000000005,0.490789,-0.5520160000000001,-0.4639490000000001
8,1917663656709867.0,-0.067642,0.0495,0.042191,0.8277975707324767,9.809278143727573,-0.9390891424742487,-0.008408000000000002,-0.115531,-0.036883,0.830981,9.73065,-0.891241,8.654206600908033,-42.27915828045619,13.125978621095022,-0.002094,-0.125159,-0.026178,0.673786,0.736617,-0.058158,0.00495,0.4892210000000001,0.4907160000000001,-0.551941,-0.46392000000000005
9,1917663661684233.0,-0.068695,0.0495,0.042191,0.8480635222213242,9.816818897230322,-0.9499070371971021,0.006583,-0.07967,-0.049039,0.833348,9.730728,-0.888171,8.84444858827643,-41.90335174237869,13.122080161078404,-0.002197,-0.125259,-0.02624,0.673918,0.736496,-0.058155,0.005097,0.48941200000000007,0.49063900000000005,-0.5518670000000001,-0.4638880000000001
10,1917663666628080.0,-0.070831,0.05162,0.044327,0.8347964472686958,9.846199053578722,-0.9708824420907444,-0.031459,-0.054214,-0.081961,0.835482,9.730811,-0.885263,9.03352339268875,-41.52985087295034,13.11820561910506,-0.002299,-0.125358,-0.026303,0.674051,0.736373,-0.058153,0.005246,0.4895939999999999,0.49057500000000004,-0.55179,-0.463855
11,1917663671541410.0,-0.072968,0.05162,0.046448,0.8177948572298218,9.844251572072302,-0.9726847148424795,-0.036632,-0.075844,-0.066025,0.837676,9.730904,-0.882161,9.165995995554724,-41.26727631457364,13.141572657286822,-0.002401,-0.125454,-0.026368,0.674188,0.736247,-0.058152,0.0054,0.4897830000000001,0.4905030000000001,-0.5517100000000001,-0.46382700000000004
12,1917663676485258.0,-0.075089,0.0495,0.049652,0.8340325928212194,9.842663981584588,-0.9572595924983939,-0.008693999999999997,-0.061684,-0.056863,0.840248,9.73098,-0.878855,8.980883984270562,-41.626965651568284,13.321417325784141,-0.002505,-0.125549,-0.026435,0.67433,0.736116,-0.058159,0.005557,0.48998400000000003,0.49041400000000007,-0.551637,-0.46379600000000004
13,1917663681398588.0,-0.076157,0.0495,0.049652,0.8487395713416359,9.857759713815884,-0.9464371431353074,-0.008268,-0.045268,-0.050785,0.842796,9.731067,-0.875458,8.796914655439496,-41.98443465347446,13.50015182673723,-0.002609,-0.125642,-0.026503,0.674473,0.735983,-0.05817,0.005714,0.49018600000000007,0.4903230000000001,-0.551561,-0.46376900000000004
14,1917663686342436.0,-0.077225,0.0495,0.049652,0.8775088151735247,9.852658147991201,-0.9512718890054872,0.036656,-0.065792,-0.069757,0.845741,9.731108,-0.872153,8.611802644155334,-42.3441239904691,13.67999649523455,-0.002714,-0.125734,-0.026573,0.674618,0.735847,-0.058181,0.005871,0.4903959999999999,0.490224,-0.551496,-0.463728
15,1917663691255766.0,-0.080414,0.048431,0.047516,0.8763578582391168,9.85947328491349,-0.9606301427182786,-0.0035430000000000045,-0.038077,-0.077998,0.848213,9.731194,-0.868773,8.4118948486191,-42.643380704706765,13.872172375435953,-0.002818,-0.125823,-0.026644,0.674767,0.735708,-0.058191,0.006025,0.4905950000000001,0.49013399999999996,-0.55142,-0.463704
16,1917663696199613.0,-0.08255,0.047363,0.048584,0.8571070374607063,9.906324217419957,-0.9674946289695049,-0.01142,0.022632,-0.089882,0.850638,9.73129,-0.865323,8.028165327774873,-42.27765628919754,14.219517045296016,-0.002924,-0.125911,-0.026716,0.674921,0.735565,-0.058201,0.006176,0.49079300000000003,0.4900410000000001,-0.551343,-0.46368400000000004
17,1917663701173979.0,-0.084686,0.047363,0.052841,0.8634448534068463,9.919902275143606,-0.9558813669613374,0.000729999999999998,0.0009370000000000003,-0.067359,0.853401,9.731382,-0.861574,7.642066995507751,-41.90967421008405,14.569005918239116,-0.00303,-0.125998,-0.026789,0.67508,0.735416,-0.058218,0.006331,0.49100699999999997,0.48993299999999995,-0.551266,-0.463664
18,1917663706117826.0,-0.086807,0.047363,0.053909,0.8567208166043568,9.919024554426139,-0.929263428045609,-0.024659,0.015027999999999998,-0.044495,0.85598,9.73151,-0.857552,7.258337474663524,-41.54394979457482,14.91635058809918,-0.003137,-0.126082,-0.026862,0.675242,0.735265,-0.058239,0.00649,0.4912239999999999,0.48982199999999987,-0.551178,-0.46365599999999996
19,1917663711061674.0,-0.088943,0.0495,0.054977,0.8494398148462493,9.91036275906642,-0.9270710741952423,-0.023175,-0.010768,-0.064697,0.858648,9.731622,-0.853602,6.8887511801741725,-41.185081607547794,15.250741419490845,-0.003244,-0.126164,-0.026935,0.675408,0.735109,-0.058261,0.006652,0.49144200000000005,0.489713,-0.551092,-0.4636410000000001
20,1917663716005522.0,-0.088943,0.050568,0.053909,0.8793979633305878,9.920019166935756,-0.9167733701460886,0.022847,0.024796,-0.039008,0.861622,9.731726,-0.849409,7.268757833475818,-41.189596402343554,14.898577069256289,-0.003353,-0.126245,-0.027008,0.675576,0.734952,-0.05828,0.006816,0.4916769999999999,0.48959299999999994,-0.5510049999999999,-0.46362299999999984
21,1917663720949369.0,-0.091064,0.046295,0.051773,0.8910225383081232,9.957305034024314,-0.8992129821404263,0.003921000000000001,0.062409,-0.035,0.864292,9.731867,-0.845072,7.648764409912913,-41.1941111962261,14.546412790254578,-0.003461,-0.126325,-0.027081,0.675745,0.734793,-0.058299,0.006975,0.4919029999999999,0.4894699999999999,-0.5509129999999999,-0.4636219999999998
22,1917663725893217.0,-0.092133,0.045242,0.05072,0.8800227406870114,9.975343666689186,-0.8829349998341373,-0.005878,0.064703,-0.017425,0.866824,9.732034,-0.840543,8.02877106321456,-41.19862599102187,14.194248440020022,-0.003571,-0.126403,-0.027153,0.675917,0.734632,-0.058319,0.007126,0.492129,0.48934599999999995,-0.550814,-0.463631
23,1917663730806547.0,-0.096405,0.042038,0.05072,0.9043291414649535,9.985168570993807,-0.8690581430834078,0.039029,0.078812,-0.014399,0.869684,9.732186,-0.835815,8.406431964169963,-41.20311291633063,13.844257973699467,-0.00368,-0.126481,-0.027224,0.676093,0.734467,-0.058342,0.007272,0.49236399999999997,0.48920299999999994,-0.550722,-0.463641
24,1917663735750395.0,-0.099594,0.04097,0.052841,0.9437450743206506,10.01528970401315,-0.85507105541655,0.068605,0.11893299999999998,-0.0008979999999999995,0.87287,9.732333,-0.830767,8.063412398878429,-41.37476062307085,13.99869628255004,-0.00379,-0.126558,-0.027294,0.676276,0.734295,-0.05837,0.007415,0.49261600000000005,0.489043,-0.550631,-0.46365100000000004
