,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1917663.617220121,-0.053419,0.413411,-0.073211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1917663.622163969,-0.053419,0.413411,-0.073211,0.000002,0.000295,-0.000155,-0.000151,-0.000057,-0.000369
2,1917663.627107817,-0.053420,0.413412,-0.073212,0.000153,0.000550,-0.000424,-0.000302,-0.000114,-0.000737
3,1917663.632021147,-0.053422,0.413415,-0.073214,0.000396,0.000923,-0.000707,-0.000453,-0.000171,-0.001103
4,1917663.636964994,-0.053424,0.413419,-0.073218,0.000686,0.001236,-0.001070,-0.000604,-0.000229,-0.001472
5,1917663.641908842,-0.053426,0.413426,-0.073223,0.000996,0.001410,-0.001551,-0.000755,-0.000286,-0.001841
6,1917663.646852690,-0.053427,0.413434,-0.073231,0.001321,0.001700,-0.001854,-0.000906,-0.000343,-0.002209
7,1917663.651796537,-0.053429,0.413445,-0.073240,0.001365,0.001931,-0.002179,-0.001057,-0.000400,-0.002578
8,1917663.656709867,-0.053431,0.413456,-0.073251,0.001394,0.002121,-0.002605,-0.001207,-0.000457,-0.002944
9,1917663.661684233,-0.053434,0.413469,-0.073263,0.001574,0.002294,-0.003163,-0.001360,-0.000515,-0.003315
10,1917663.666628080,-0.053436,0.413482,-0.073279,0.001826,0.002455,-0.003531,-0.001511,-0.000572,-0.003683
11,1917663.671541410,-0.053439,0.413497,-0.073296,0.002049,0.002864,-0.003774,-0.001661,-0.000629,-0.004050
12,1917663.676485258,-0.053442,0.413514,-0.073315,0.002213,0.003241,-0.004134,-0.001812,-0.000686,-0.004418
13,1917663.681398588,-0.053446,0.413533,-0.073335,0.002431,0.003487,-0.004416,-0.001962,-0.000743,-0.004785
14,1917663.686342436,-0.053449,0.413554,-0.073357,0.002621,0.003714,-0.004621,-0.002113,-0.000800,-0.005153
15,1917663.691255766,-0.053454,0.413576,-0.073380,0.003041,0.003847,-0.004899,-0.002264,-0.000857,-0.005520
16,1917663.696199613,-0.053457,0.413600,-0.073404,0.003340,0.004154,-0.005055,-0.002415,-0.000914,-0.005888
