,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,-0.012173,0.000674,0.058398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,-0.012173,0.000674,0.058398,0.000593,0.000019,0.000182,-0.000429,-0.001670,-0.002063
2,1916733.464633537,-0.012170,0.000674,0.058399,0.001058,0.000049,0.000482,-0.000861,-0.003350,-0.004139
3,1916733.469607902,-0.012165,0.000674,0.058401,0.001546,0.000005,0.000838,-0.001296,-0.005041,-0.006228
4,1916733.474551750,-0.012157,0.000674,0.058405,0.002145,-0.000127,0.001161,-0.001728,-0.006721,-0.008304
5,1916733.479465080,-0.012147,0.000674,0.058411,0.002848,-0.000294,0.001386,-0.002157,-0.008391,-0.010367
6,1916733.484378410,-0.012133,0.000672,0.058418,0.003637,-0.000480,0.001600,-0.002586,-0.010061,-0.012430
7,1916733.489322257,-0.012115,0.000670,0.058426,0.004398,-0.000710,0.001839,-0.003018,-0.011741,-0.014506
8,1916733.494266105,-0.012093,0.000666,0.058435,0.005226,-0.000915,0.001971,-0.003450,-0.013421,-0.016582
9,1916733.499209953,-0.012067,0.000662,0.058445,0.006028,-0.001283,0.001990,-0.003882,-0.015101,-0.018658
10,1916733.504153800,-0.012037,0.000656,0.058455,0.006643,-0.001614,0.002012,-0.004313,-0.016782,-0.020734
11,1916733.509067130,-0.012005,0.000648,0.058464,0.006969,-0.001891,0.001998,-0.004743,-0.018452,-0.022798
12,1916733.514010978,-0.011970,0.000638,0.058474,0.007222,-0.001974,0.001933,-0.005175,-0.020132,-0.024874
13,1916733.518924308,-0.011935,0.000629,0.058484,0.007220,-0.001871,0.001693,-0.005604,-0.021802,-0.026937
14,1916733.523868156,-0.011899,0.000619,0.058492,0.007179,-0.001576,0.001499,-0.006036,-0.023482,-0.029013
15,1916733.528812003,-0.011864,0.000612,0.058500,0.006947,-0.001134,0.001304,-0.006468,-0.025162,-0.031089
16,1916733.533755851,-0.011829,0.000606,0.058506,0.006669,-0.000703,0.001066,-0.006899,-0.026842,-0.033165
17,1916733.538699699,-0.011796,0.000602,0.058511,0.006284,-0.000287,0.000749,-0.007331,-0.028523,-0.035241
18,1916733.543643546,-0.011765,0.000601,0.058515,0.005911,0.000168,0.000335,-0.007763,-0.030203,-0.037317
19,1916733.548587394,-0.011736,0.000602,0.058517,0.005553,0.000561,-0.000061,-0.008195,-0.031883,-0.039393
20,1916733.553531242,-0.011708,0.000605,0.058516,0.005374,0.000919,-0.000286,-0.008627,-0.033563,-0.041469
21,1916733.558475089,-0.011682,0.000609,0.058515,0.005110,0.001077,-0.000424,-0.009059,-0.035244,-0.043545
22,1916733.563388419,-0.011657,0.000614,0.058513,0.004826,0.000967,-0.000493,-0.009488,-0.036914,-0.045608
23,1916733.568332267,-0.011633,0.000619,0.058510,0.004484,0.000718,-0.000618,-0.009920,-0.038594,-0.047684
24,1916733.573276115,-0.011611,0.000623,0.058507,0.004153,0.000118,-0.000847,-0.010352,-0.040274,-0.049760
25,1916733.578219962,-0.011590,0.000623,0.058503,0.003701,-0.000643,-0.000878,-0.010784,-0.041954,-0.051836
26,1916733.583163810,-0.011572,0.000620,0.058499,0.003101,-0.001332,-0.000905,-0.011216,-0.043634,-0.053912
27,1916733.588077140,-0.011557,0.000614,0.058494,0.002443,-0.002014,-0.000921,-0.011645,-0.045304,-0.055975
28,1916733.593020988,-0.011545,0.000604,0.058490,0.001928,-0.002719,-0.001137,-0.012077,-0.046985,-0.058051
