,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,-0.012173,0.000674,0.058398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,-0.012173,0.000674,0.058398,0.000593,0.000019,0.000182,0.000000,0.000000,0.000000
2,1916733.464633537,-0.012170,0.000674,0.058399,0.001061,0.000047,0.000495,0.000000,0.000000,0.000000
3,1916733.469607902,-0.012165,0.000674,0.058401,0.001553,-0.000001,0.000877,0.000000,0.000000,0.000000
4,1916733.474551750,-0.012157,0.000674,0.058406,0.002158,-0.000139,0.001239,0.000000,0.000000,0.000000
5,1916733.479465080,-0.012147,0.000674,0.058412,0.002870,-0.000314,0.001516,0.000000,0.000000,0.000000
6,1916733.484378410,-0.012132,0.000672,0.058419,0.003670,-0.000510,0.001795,0.000000,0.000000,0.000000
7,1916733.489322257,-0.012114,0.000670,0.058428,0.004444,-0.000753,0.002112,0.000000,0.000000,0.000000
8,1916733.494266105,-0.012092,0.000666,0.058439,0.005287,-0.000972,0.002335,0.000000,0.000000,0.000000
9,1916733.499209953,-0.012066,0.000661,0.058450,0.006107,-0.001355,0.002458,0.000000,0.000000,0.000000
10,1916733.504153800,-0.012036,0.000654,0.058462,0.006742,-0.001705,0.002598,0.000000,0.000000,0.000000
11,1916733.509067130,-0.012003,0.000646,0.058475,0.007090,-0.002001,0.002712,0.000000,0.000000,0.000000
12,1916733.514010978,-0.011968,0.000636,0.058488,0.007367,-0.002107,0.002791,0.000000,0.000000,0.000000
13,1916733.518924308,-0.011932,0.000626,0.058502,0.007392,-0.002029,0.002706,0.000000,0.000000,0.000000
14,1916733.523868156,-0.011895,0.000616,0.058516,0.007379,-0.001760,0.002681,0.000000,0.000000,0.000000
15,1916733.528812003,-0.011859,0.000607,0.058529,0.007178,-0.001346,0.002669,0.000000,0.000000,0.000000
16,1916733.533755851,-0.011823,0.000600,0.058542,0.006933,-0.000945,0.002626,0.000000,0.000000,0.000000
17,1916733.538699699,-0.011789,0.000596,0.058555,0.006583,-0.000562,0.002517,0.000000,0.000000,0.000000
18,1916733.543643546,-0.011756,0.000593,0.058567,0.006247,-0.000142,0.002324,0.000000,0.000000,0.000000
19,1916733.548587394,-0.011725,0.000592,0.058579,0.005929,0.000215,0.002162,0.000000,0.000000,0.000000
20,1916733.553531242,-0.011696,0.000593,0.058590,0.005792,0.000534,0.002185,0.000000,0.000000,0.000000
21,1916733.558475089,-0.011667,0.000596,0.058600,0.005572,0.000652,0.002307,0.000000,0.000000,0.000000
22,1916733.563388419,-0.011640,0.000599,0.058612,0.005335,0.000500,0.002509,0.000000,0.000000,0.000000
23,1916733.568332267,-0.011614,0.000602,0.058624,0.005041,0.000205,0.002671,0.000000,0.000000,0.000000
24,1916733.573276115,-0.011589,0.000603,0.058637,0.004761,-0.000441,0.002741,0.000000,0.000000,0.000000
25,1916733.578219962,-0.011565,0.000600,0.058651,0.004362,-0.001250,0.003023,0.000000,0.000000,0.000000
