,time,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,bias_x,bias_y,bias_z
0,1916733.454776359,-0.029892,-0.741722,0.677606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1916733.459689689,-0.029892,-0.741722,0.677606,0.000590,-0.000062,0.000183,0.000089,0.000619,-0.000822
2,1916733.464633537,-0.029889,-0.741722,0.677607,0.001057,-0.000094,0.000497,0.000178,0.001241,-0.001649
3,1916733.469607902,-0.029883,-0.741721,0.677609,0.001540,-0.000200,0.000878,0.000268,0.001868,-0.002480
4,1916733.474551750,-0.029876,-0.741721,0.677613,0.002124,-0.000405,0.001239,0.000357,0.002490,-0.003307
5,1916733.479465080,-0.029865,-0.741722,0.677620,0.002810,-0.000656,0.001514,0.000446,0.003109,-0.004129
6,1916733.484378410,-0.029851,-0.741724,0.677627,0.003581,-0.000935,0.001790,0.000534,0.003727,-0.004951
7,1916733.489322257,-0.029833,-0.741726,0.677636,0.004321,-0.001251,0.002105,0.000623,0.004350,-0.005778
8,1916733.494266105,-0.029811,-0.741730,0.677647,0.005135,-0.001548,0.002324,0.000713,0.004972,-0.006604
9,1916733.499209953,-0.029785,-0.741734,0.677658,0.005904,-0.001999,0.002443,0.000802,0.005595,-0.007431
10,1916733.504153800,-0.029755,-0.741741,0.677671,0.006496,-0.002387,0.002577,0.000891,0.006217,-0.008258
11,1916733.509067130,-0.029722,-0.741749,0.677684,0.006812,-0.002678,0.002687,0.000980,0.006836,-0.009080
12,1916733.514010978,-0.029687,-0.741758,0.677697,0.007085,-0.002766,0.002760,0.001069,0.007459,-0.009907
13,1916733.518924308,-0.029651,-0.741767,0.677711,0.007134,-0.002632,0.002671,0.001158,0.008077,-0.010728
14,1916733.523868156,-0.029615,-0.741776,0.677725,0.007172,-0.002299,0.002641,0.001247,0.008700,-0.011555
15,1916733.528812003,-0.029578,-0.741783,0.677738,0.007044,-0.001792,0.002625,0.001336,0.009322,-0.012382
16,1916733.533755851,-0.029543,-0.741788,0.677752,0.006872,-0.001287,0.002578,0.001425,0.009945,-0.013209
17,1916733.538699699,-0.029509,-0.741790,0.677765,0.006596,-0.000779,0.002464,0.001515,0.010567,-0.014036
18,1916733.543643546,-0.029476,-0.741790,0.677777,0.006339,-0.000232,0.002266,0.001604,0.011190,-0.014862
19,1916733.548587394,-0.029445,-0.741788,0.677788,0.006093,0.000255,0.002098,0.001693,0.011812,-0.015689
20,1916733.553531242,-0.029415,-0.741783,0.677799,0.006021,0.000684,0.002114,0.001782,0.012435,-0.016516
21,1916733.558475089,-0.029386,-0.741776,0.677809,0.005841,0.000929,0.002228,0.001871,0.013057,-0.017343
22,1916733.563388419,-0.029358,-0.741768,0.677820,0.005609,0.000913,0.002420,0.001960,0.013676,-0.018165
23,1916733.568332267,-0.029331,-0.741760,0.677832,0.005302,0.000769,0.002570,0.002049,0.014298,-0.018991
24,1916733.573276115,-0.029305,-0.741753,0.677845,0.004964,0.000280,0.002626,0.002139,0.014921,-0.019818
25,1916733.578219962,-0.029281,-0.741749,0.677858,0.004486,-0.000350,0.002892,0.002228,0.015543,-0.020645
26,1916733.583163810,-0.029259,-0.741748,0.677872,0.003874,-0.000887,0.003173,0.002317,0.016166,-0.021472
27,1916733.588077140,-0.029239,-0.741750,0.677888,0.003209,-0.001407,0.003477,0.002406,0.016785,-0.022293
28,1916733.593020988,-0.029223,-0.741755,0.677905,0.002686,-0.001965,0.003595,0.002495,0.017407,-0.023120
29,1916733.597964836,-0.029209,-0.741763,0.677923,0.002125,-0.002522,0.003747,0.002584,0.018030,-0.023947
30,1916733.602908683,-0.029197,-0.741774,0.677942,0.001682,-0.003020,0.003870,0.002673,0.018652,-0.024774
31,1916733.607822013,-0.029187,-0.741787,0.677961,0.001405,-0.003135,0.004000,0.002762,0.019271,-0.025596
32,1916733.612765861,-0.029179,-0.741801,0.677982,0.001278,-0.002951,0.003899,0.002851,0.019893,-0.026422
33,1916733.617709709,-0.029171,-0.741815,0.678001,0.001223,-0.002558,0.003702,0.002940,0.020516,-0.027249
34,1916733.622623039,-0.029164,-0.741826,0.678020,0.001201,-0.001956,0.003361,0.003029,0.021134,-0.028071
35,1916733.627566886,-0.029157,-0.741835,0.678036,0.001262,-0.001119,0.002865,0.003118,0.021757,-0.028898
36,1916733.632510734,-0.029150,-0.741840,0.678051,0.001438,-0.000302,0.002329,0.003208,0.022379,-0.029725
37,1916733.637424064,-0.029143,-0.741840,0.678062,0.001645,0.000558,0.001822,0.003296,0.022998,-0.030546
38,1916733.642337394,-0.029135,-0.741836,0.678071,0.001959,0.001450,0.001169,0.003385,0.023617,-0.031368
